ANCHORAGE INTL ARPT AK - 702730                                                 														
 61 deg    10' N  150 deg    01' W - Elev   40m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	3.3	3.09	3.16	3.17	3.36	3.87	3.86	3.42	3.21	3.28	3.19	3.01	2.99
	1973	2.59	2.59	2.31	2.35	3.24	4.23	3.51	2.98	2.45	1.12	1.98	1.88	2.35
	1974	2.9	2.38	2.59	2.38	2.75	3.03	3.48	3.2	3.04	3.09	3.48	3.12	2.23
	1975	3.01	2.72	3.2	2.29	2.6	3.58	4.01	3.15	3.11	3.4	3.07	2.23	2.87
	1976	3.4	2.45	3.01	3.33	3.51	4.07	3.86	4.13	3.18	3.41	3.02	3.54	3.2
	1977	3.22	3.43	2.81	3.3	3.8	3.79	3.9	3.71	2.81	3.32	2.86	2.35	2.39
	1978	3	1.97	3.58	2.48	2.73	3.71	3.94	2.98	2.64	2.6	3.25	2.69	3.29
	1979	3.4	2.67	4.47	3.05	2.87	4.29	3.61	3.34	2.7	3.25	3.29	4.16	3.28
	1980	3.29	4.24	3.45	2.97	3.51	4.32	3.69	3.16	3.09	2.99	3.22	2.69	2.12
	1981	3.18	3.29	3.13	2.75	3.19	3.43	3.9	3.56	3.56	3.19	2.78	2.72	2.66
	1982	3.47	3.13	4.24	3.76	4.01	3.71	3.76	3.57	2.83	3.37	3.5	2.4	3.45
	1983	2.99	3.65	2.18	2.45	2.99	3.41	3.59	2.91	3.4	3.4	3.38	2.68	1.77
	1984	2.88	3.05	3.17	2.35	2.97	3.43	3.58	3.02	3.08	2.33	2.47	2.4	2.69
	1985	3.59	3.14	3.6	3.61	3.73	4.33	4.2	3.75	3.74	3.88	3.37	2.84	2.89
	1986	3.19	3.08	3.13	3.1	3.83	3.93	4.32	3.33	2.97	2.71	2.37	2.71	2.84
	1987	3.21	3.32	3.56	2.94	2.68	2.76	4.06	3.23	3.22	3.65	3.55	3.05	2.61
	1988	3.49	2.48	4.32	3.25	3.63	4.05	3.43	3.56	3.54	3.31	3.39	3.29	3.6
	1989	3.6	3.47	2.53	4.07	3.21	3.42	4.27	3.43	3.48	3.31	4.33	4.15	3.41
	1990	3.62	3.8	3.24	3.38	3.11	4.11	3.87	3.7	3.66	4.06	3.22	3.99	3.24
	1991	3.5	3.73	3.38	3.07	3.37	4.32	3.76	3.33	3.19	3.62	3.1	3.44	3.66
	1992	3.5	2.94	2.78	3.48	3.39	4.27	3.67	3.37	3.69	3.91	3.31	3.74	3.45
	1993	3.49	3.32	3.08	3.34	3.11	3.58	3.8	3.22	3.41	4.3	3.52	4.05	3.12
	1994	3.69	3.47	4.41	3.82	3.44	4.13	4.39	3.74	3.52	3.11	3.47	3.7	3.14
	1995	3.44	2.45	3.73	3.72	3.37	4	4.1	3.56	3.39	3.13	2.9	3.28	3.7
	1996	3.58	2.27	3.4	3.93	4.11	3.25	4.24	3.76	3.48	3.7	3.92	3.18	3.73
	1997	3.97	4.05	3.76	4.93	4.01	4.56	3.87	3.76	3.58	3.55	4.08	3.6	3.88
	1998	3.31	3.4	3.06	3.54	4.52	5.15	3.43	3.09	3.61	3.75	2.47	1.48	1.93
	1999	3.13	2.86	2.2	3	3.59	3.85	3.78	3.42	2.71	3.3	3.02	2.52	3.37
	2000	2.95	3.08	1.93	2.59	2.78	3.64	3.97	3.31	3.02	3.06	2.6	2.8	2.67
