ANIAK (AWOS)        AK - 702320                                                 														
 61 deg    35' N  159 deg    32' W - Elev   26m   LST=GMT+99 hours   *NT=-11    														
 01/73-09/02                                                                    					Adjusted to Alaska Timezone (GMT-9)									
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.69	2.73	3.07	3.07	3.03	2.84	2.47	2.2	2.27	2.59	2.76	2.77	2.65
	1973	2.82	4.76	-1	-1	-1	-1	7.4	2	-1	0	2	2.4	2.72
	1974	3.32	2.6	3.42	2.62	3.67	3.82	2.77	-1	-1	4.66	3.51	3.35	2.84
	1975	3.52	3.38	4.56	3.88	4.63	4.68	3.98	3.57	3.14	3.65	3.82	3.08	2.53
	1976	2.98	3.39	3.61	3.8	3.33	3.63	3.13	3.27	2.96	2.64	3.21	2.45	2.43
	1977	2.75	3.49	3.12	3.23	2.93	2.59	2.26	2.25	2.36	2.76	2.72	2.95	1.83
	1978	3.03	2.69	3.63	2.96	3.29	2.58	3.07	2.53	2.22	2.62	3.59	3.48	3.81
	1979	3.07	3.14	2.76	3.42	4.12	2.85	2.64	2.56	2.73	3.2	2.99	3.66	2.83
	1980	3.24	3.79	3.9	3.77	2.9	4.21	3.39	3.12	2.41	3.42	2.83	2.74	2.88
	1981	2.85	2.9	3.43	3.29	3.15	2.99	2.42	2.48	2.86	2.48	3.1	2.81	2.34
	1982	2.73	2.6	2.76	3.31	2.92	2.89	3.09	2.69	2.09	2.3	2.6	3.12	2.22
	1983	2.72	3.25	2.85	2.84	3.04	2.44	2.35	2.43	2.24	2.71	3.08	3.27	3.2
	1984	2.59	2.15	2.52	3.02	3.13	2.58	2.25	2.6	2.68	2.5	2.34	2.31	2.9
	1985	3.14	3.4	2.95	3.19	2.37	3.55	2.65	2.19	3.72	3.42	3.38	3.87	3.83
	1986	3.18	2.32	3.38	3.35	3.12	3.3	3.52	3.08	3.02	3.85	2.4	3.35	3.68
	1987	2.92	3.28	3.18	3.16	3.32	2.84	3.25	2.33	2.65	2.96	3.03	2.47	2.58
	1988	2.9	3.16	2.99	3.15	3.8	2.71	2.45	2.46	2.64	2.38	3	2.36	3.65
	1989	2.94	2.45	4.38	2.82	3.21	3.08	2.79	2.32	2.35	3.21	3.51	2.44	2.83
	1990	2.62	2.59	2.3	2.68	2.77	3.12	1.98	2.42	2.3	2.85	2.62	2.78	3.16
	1991	2.69	3	2.93	2.83	3.01	3.37	2.79	1.93	2.12	3.1	3.01	2.59	2.01
	1992	2.32	1.61	2.04	3.25	2.81	3.13	2.5	1.56	2.27	2.48	2.6	2.4	2.04
	1993	2.55	2.69	2.85	3.07	2.54	2.7	2.17	1.91	2.22	2.48	2.41	3.05	2.54
	1994	2.4	1.95	2.73	2.88	2.74	2.62	2.01	2.03	2.03	2.22	2.21	2.84	2.77
	1995	2.21	1.98	3.02	2.56	2.67	2.64	2.07	1.76	1.6	1.99	2.5	1.74	1.96
	1996	2.38	2.33	2.92	2.95	3.01	2.45	2.46	1.95	2.01	2.06	2.44	2.36	1.44
	1997	2.42	2.83	2.85	3.06	2.86	2.65	2.05	1.74	2.22	2.2	2.01	2.53	2.13
	1998	2.52	2.46	1.6	3.75	3	3.61	2.34	1.73	2.17	2.05	2.68	2.15	2.49
	1999	2.15	2.64	2.46	2.35	3.13	2.27	1.8	1.68	2.05	2.31	1.69	2.17	1.59
	2000	2.56	2.15	3.53	3.1	2.74	2.15	2.2	1.74	2.23	1.8	2.57	3.54	3.08
	2001	2.9	2.91	3.03	3.2	3.05	3.14	2.67	2.69	2.68	2.56	3.32	2.68	2.44
	2002	2.26	3.59	3.01	2.8	2.67	2.32	2.1	2.07	1.52	1.13	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	39	44	57	50	48	40	26	21	27	31	38	46	46
	1973	53	100	-1	-1	-1	-1	335	5	-1	0	5	38	52
	1974	60	41	47	20	65	78	28	-1	-1	110	50	83	60
	1975	71	75	164	109	143	117	108	72	40	52	57	44	35
	1976	40	55	54	59	39	52	34	37	37	31	47	31	35
	1977	42	65	52	59	44	38	22	23	25	35	39	69	30
	1978	48	39	66	40	50	27	40	25	23	27	65	84	90
	1979	50	49	38	49	97	37	27	33	34	65	33	77	65
	1980	55	70	87	69	48	110	38	35	20	43	42	28	44
	1981	38	40	63	48	38	41	19	22	36	25	50	47	33
	1982	36	31	41	48	36	46	45	28	14	21	32	55	31
	1983	30	42	35	26	48	19	20	20	18	33	41	42	46
	1984	47	18	35	55	72	36	18	62	137	28	22	25	43
	1985	60	63	40	49	38	113	26	17	147	50	51	123	80
	1986	50	20	71	63	45	49	62	42	39	69	19	63	64
	1987	44	65	48	49	51	36	50	19	27	48	52	36	49
	1988	43	55	51	56	79	35	21	22	25	25	44	21	77
	1989	45	38	116	39	61	39	28	18	24	42	58	38	43
	1990	31	29	23	29	40	39	12	21	28	39	29	33	55
	1991	36	51	61	38	48	54	27	12	19	44	46	27	22
	1992	27	22	15	60	32	31	29	9	22	25	39	29	30
	1993	34	44	53	51	40	33	16	14	24	27	21	55	36
	1994	33	25	50	54	32	28	14	16	15	25	23	46	78
	1995	27	28	61	36	42	30	16	12	9	17	42	16	14
	1996	31	38	55	47	44	32	21	16	15	20	34	35	15
	1997	31	48	38	54	38	32	18	11	19	22	24	41	34
	1998	37	35	10	72	54	67	26	10	22	22	33	25	74
	1999	29	57	51	36	51	19	14	11	30	25	14	30	17
	2000	40	38	80	61	33	17	21	15	27	15	42	74	63
	2001	42	64	78	58	51	35	21	23	21	20	53	25	20
	2002	28	60	79	54	32	24	21	17	8	4	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	206565	16319	15775	17422	16747	18387	18394	18565	18320	16180	17316	16590	16550
	1973	345	33	0	0	0	0	2	1	0	1	1	113	194
	1974	944	148	135	5	126	107	49	0	0	48	90	120	116
	1975	1718	133	25	220	44	14	231	125	82	177	221	225	221
	1976	4132	166	231	194	211	172	183	195	320	698	694	620	448
	1977	7872	741	648	730	709	713	697	719	696	669	679	539	332
	1978	7871	591	664	715	229	716	699	743	668	715	732	679	720
	1979	8216	641	643	709	671	626	713	738	691	662	739	712	671
	1980	5893	190	689	578	714	578	138	141	407	315	729	675	739
	1981	8474	604	671	650	720	742	720	726	727	718	741	720	735
	1982	7872	732	653	737	720	739	562	729	724	425	591	695	565
	1983	5713	144	243	737	700	695	634	541	458	691	351	240	279
	1984	7544	580	436	650	623	636	573	689	682	654	676	650	695
	1985	6506	697	639	674	605	691	636	658	87	372	360	493	594
	1986	6877	544	600	576	580	602	537	303	664	364	714	676	717
	1987	8324	696	637	730	695	730	678	712	625	682	721	692	726
	1988	8352	707	685	727	682	709	642	710	662	697	703	701	727
	1989	8106	712	647	726	669	697	701	719	688	578	724	617	628
	1990	6433	701	623	591	609	613	548	422	574	494	468	346	444
	1991	5501	400	347	461	320	388	609	552	540	515	613	248	508
	1992	6485	415	349	333	364	368	546	742	725	646	551	715	731
	1993	7696	678	660	724	221	650	691	718	663	655	685	649	702
	1994	8100	671	579	562	578	738	690	732	741	707	733	695	674
	1995	8197	685	657	625	697	727	689	704	637	696	724	683	673
	1996	8100	720	691	705	700	701	675	509	728	707	601	709	654
	1997	8091	540	688	647	722	731	674	743	715	644	711	642	634
	1998	6452	591	82	262	673	707	697	703	618	570	601	574	374
	1999	8479	561	608	725	712	633	741	735	760	686	748	769	801
	2000	9798	814	761	814	809	832	823	846	847	815	806	801	830
	2001	7856	833	761	810	810	672	591	618	590	552	609	592	418
	2002	10618	651	723	805	834	1460	2025	2092	2001	27	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	8179	628	607	664	673	752	726	752	736	640	700	650	651
	1	8210	651	634	715	683	743	706	733	719	630	706	641	649
	2	8429	655	640	691	708	773	746	776	751	629	725	680	655
