BARTER ISLAND (DEW) AK - 700860                                                 														
 70 deg    08' N  143 deg    38' W - Elev   15m   LST=GMT+99 hours   *NT=-10    														
 01/73-12/81 01/87-12/90 08/92-08/92 11/96-08/02                                									Adjusted to Alaska Time Zone (GMT-9)					
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.91	6.81	5.88	5.73	5.17	5.98	5.18	5.27	5.2	5.75	6.99	6.93	6.18
	1973	5.24	6.69	5.48	5.45	3.35	5.33	4.17	4.34	4.74	4.06	5.23	7.63	6.27
	1974	6.45	10.1	5.85	5.44	5.23	4.57	6.45	4.65	5.19	8.61	8.83	6.75	5.7
	1975	6.27	7.82	6.9	6.66	5.1	6.99	5.69	5.04	5.58	5.42	7.7	6.28	6.1
	1976	6.1	6.88	8.35	7.56	4.62	6.28	5.39	5.6	4.96	5.39	6.32	6.87	5.38
	1977	6.1	8.31	6.54	5.89	4.97	5.63	5.37	5.74	5.93	4.77	6.39	6.71	6.76
	1978	5.7	6.5	4.67	5.3	5.76	6.08	4.94	5.65	4.94	5.19	7.45	6.73	5.98
	1979	6.1	5.67	5.82	6.58	6.02	5.7	5.63	4.32	4.67	6.32	8	6.42	7.58
	1980	6.65	8.42	5.48	6.53	7.17	6.67	4.88	6.74	5	6.67	6.36	9.23	7.12
	1981	5.9	4.89	6.85	6.42	3.99	5.24	5.45	5.42	5.62	5.71	7.6	7.65	6.72
	1987	6.15	7.04	5.79	4.74	4.88	6.57	5.97	6.08	6.46	6.2	6.34	8.21	5.48
	1988	6.02	6.87	5.09	5.82	5.29	7.82	5.38	5.58	5.52	5.03	7.59	5.68	6.44
	1989	5.78	5.54	7.66	7.05	6.24	5.58	5.16	4.58	5.03	6.19	7.39	5.99	7.52
	1990	6.46	4.94	8.72	6.49	7.01	6.55	6.06	4.96	6.96	6.82	7.17	6.18	4.6
	1992	1.5	-1	-1	-1	-1	-1	-1	-1	1.5	-1	-1	-1	-1
	1996	5.61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.03	5.54
	1997	4.61	5.18	4.01	5.07	3.86	3.88	3.45	5.21	5.23	4.92	4.3	4.81	6.6
	1998	4.68	3.71	4.78	3.54	3.08	6.45	4.46	5.34	4.21	4.72	5.48	5.48	5.44
	1999	5.95	4.99	3.7	3.89	4.08	5.32	4.12	4.05	5.18	5.43	6.99	6.44	6.13
	2000	5.38	6.38	4.21	5.06	4.91	3.97	3.65	4.29	5.81	5.19	6.06	6.86	9.45
	2001	4.74	5.25	4.68	3.9	5.45	4.5	4.67	4.66	4.79	4.09	5.37	6.06	4.47
	2002	4.5	4.32	4.61	4.63	6.21	5	3.75	3.9	4.14	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	327	565	409	314	206	267	155	161	170	263	518	538	406
	1973	237	440	285	203	50	225	70	89	113	74	237	713	343
	1974	438	1593	267	177	176	134	255	97	155	802	925	427	270
	1975	390	628	696	563	182	374	190	125	224	219	674	413	396
	1976	380	517	1203	692	118	277	171	164	128	181	340	544	336
	1977	334	811	453	248	197	186	190	180	237	130	395	344	569
	1978	303	639	202	236	264	300	140	195	133	215	572	602	389
	1979	371	312	284	506	258	259	196	97	108	312	796	411	819
	1980	414	908	223	379	425	307	121	251	183	336	419	1002	544
	1981	293	205	544	396	81	203	149	170	201	214	544	614	357
	1987	321	567	406	154	127	275	215	242	274	265	335	767	232
	1988	289	402	255	276	205	496	149	196	169	138	544	291	330
	1989	283	353	622	589	312	203	174	102	117	271	408	476	606
	1990	382	158	774	371	575	288	293	140	380	362	612	335	70
	1992	2	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1
	1996	345	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	743	337
	1997	168	200	106	245	126	80	64	122	178	197	145	228	406
	1998	158	76	210	97	54	351	96	178	79	118	265	269	212
	1999	421	213	109	99	85	177	85	72	189	319	557	541	520
	2000	263	852	131	139	215	106	77	96	306	180	310	480	934
	2001	168	257	134	91	327	114	90	99	113	78	194	418	151
	2002	179	150	281	159	435	180	59	109	129	-1	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	101523	8215	7752	8650	8164	8596	9044	8946	8978	7909	8471	7866	8932
	1973	7020	506	538	594	557	496	541	638	627	605	627	620	671
	1974	7591	609	592	655	622	660	615	622	621	678	634	625	658
	1975	7463	613	565	591	515	512	629	640	680	667	697	668	686
	1976	7896	694	605	616	682	700	658	670	692	611	672	607	689
	1977	6984	656	606	666	636	546	565	639	592	525	442	454	657
	1978	6756	566	411	652	659	639	606	635	695	640	448	366	439
	1979	7488	498	641	724	680	605	552	674	559	619	676	618	642
	1980	7896	651	593	666	658	689	686	707	705	689	650	553	649
	1981	7341	645	548	538	527	704	695	690	692	704	548	539	511
	1987	8368	699	635	707	687	699	685	713	710	686	719	700	728
	1988	8535	728	674	729	711	728	702	714	706	691	719	697	736
	1989	1902	196	78	90	89	374	556	92	89	89	83	78	88
	1990	822	86	46	83	72	79	66	68	59	76	102	84	1
	1992	1	0	0	0	0	0	0	0	1	0	0	0	0
	1996	136	0	0	0	0	0	0	0	0	0	0	3	133
	1997	1385	173	126	128	102	122	132	39	121	153	103	137	49
	1998	3760	201	439	611	138	373	601	671	330	100	103	80	113
	1999	4137	126	101	99	245	130	82	112	215	195	1087	876	869
	2000	667	5	45	54	54	66	51	49	70	100	58	75	40
	2001	1448	51	57	37	102	71	103	100	84	81	103	86	573
	2002	3927	512	452	410	428	403	519	473	730	0	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	4038	313	286	325	320	356	372	383	370	329	336	313	335
	1	4174	319	328	360	341	329	375	357	374	320	370	325	376
	2	4191	316	322	351	345	371	360	371	359	316	367	338	375
	3	4606	384	357	390	373	397	403	395	395	339	394	372	407
	4	4163	329	330	356	324	351	359	346	378	307	367	330	386
	5	4196	354	334	352	338	336	358	369	385	319	351	326	374
	6	4188	340	324	353	327	335	363	365	378	322	368	339	374
	7	4182	344	334	345	341	329	366	353	377	322	367	324	380
	8	4269	350	344	365	339	343	375	358	374	338	371	329	383
	9	5110	443	402	453	418	419	418	444	441	406	414	413	439
	10	4181	339	323	340	333	336	351	363	372	315	369	351	389
	11	4193	336	325	349	323	334	370	370	363	326	372	342	383
	12	4277	347	334	356	344	363	376	379	371	315	373	349	370
	13	4194	342	323	359	333	335	373	358	364	325	362	339	381
	14	4153	328	318	363	326	345	357	350	352	329	363	344	378
	15	5057	430	398	445	430	431	427	429	434	389	417	401	426
	16	4173	345	306	354	316	352	375	344	367	323	357	348	386
	17	4069	315	306	352	331	358	370	363	351	322	337	309	355
	18	3979	327	296	333	330	349	364	361	350	312	316	281	360
	19	3805	298	274	339	303	354	361	355	348	299	289	263	322
	20	3832	305	280	335	315	336	373	352	341	317	295	260	323
	21	4797	399	348	428	397	447	437	451	431	403	353	326	377
	22	3866	314	287	335	309	343	378	366	361	304	275	270	324
	23	3830	298	273	312	308	347	383	364	342	312	288	274	329

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	5.79	6.92	5.88	5.53	4.93	5.9	4.88	4.98	5.04	5.58	7.2	6.83	6.19
	1	5.81	6.83	5.95	5.85	4.98	5.81	4.77	4.92	4.87	5.42	7.29	6.89	6.32
	2	5.74	6.75	5.7	5.61	4.93	5.77	4.71	4.9	4.88	5.62	7.1	6.95	6.03
	3	5.85	7.01	6.24	5.78	5.06	5.72	4.68	4.95	4.89	5.64	7.19	6.84	6.28
	4	5.78	6.93	6.12	5.59	4.95	5.73	4.61	5.05	5.04	5.52	6.82	7.08	6.03
