BETHEL AIRPORT      AK - 702190                                                 														
 60 deg    47' N  161 deg    48' W - Elev   46m   LST=GMT+99 hours   *NT=-11    														
 01/73-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.53	6.52	6.43	6.15	5.58	5.01	4.77	4.58	4.85	5.1	5.43	5.86	6.13
	1973	5.3	5.17	6.49	4.83	5.19	5.29	5.31	4.62	4.75	4.94	5.39	5.55	6.17
	1974	5.35	5.76	5.7	6.3	4.93	4.94	4.9	5.5	4.49	4.03	5.3	6.16	6.22
	1975	5.21	5.47	6.31	5.28	5.99	4.64	5.41	4.69	4.06	5.07	5.47	4.99	5.23
	1976	5.01	6.63	6.24	5.5	4.79	4.54	4.72	3.89	3.61	4.18	4.69	4.65	6.46
	1977	5.77	7.61	6.79	6.84	5.41	4.27	4.15	4.63	4.63	6.73	5.49	6.76	5.99
	1978	6.16	5.66	7.14	6.12	5.62	4.75	6.69	5.6	5.21	6.05	6.83	7.33	7.02
	1979	6.48	7.07	8.59	7.82	7.33	5.05	6.23	5.13	5.34	6.04	5.24	6.89	7.24
	1980	6.26	6.66	7.71	7.69	6.18	6.21	5.66	5.53	4.63	5.06	5.25	6.15	8.42
	1981	5.5	6.02	6.32	6.3	5.99	4.79	4.97	5.19	4.35	4.62	5.33	6.18	6.01
	1982	5.96	7.12	6.21	7.02	6.25	5.35	5.44	5.45	4.87	5.5	5.77	5.96	6.58
	1983	5.49	7.39	7.23	6.48	5.67	4.61	4.32	4.31	4.36	5.2	5.69	5.02	5.65
	1984	5.12	6.07	6.53	5.71	5.12	4.01	3.49	4.07	4.34	3.78	5.15	5.47	7.73
	1985	5.36	6.46	6.95	6.23	4.88	5.18	4.64	4.07	4.92	5.51	5.72	4.98	4.87
	1986	5.7	6.38	5.71	6.87	5.25	5.42	4.32	4.67	4.88	5.52	5.52	7.22	6.63
	1987	5.52	6.85	7.56	6.65	5.89	5.05	5.02	4.47	4.73	5.36	5.05	5.03	4.8
	1988	6.07	7.38	8.03	7.26	6.02	5.06	4.93	5.04	5.25	5.04	5.97	6.13	6.79
	1989	5.91	6.3	7.56	5.68	6.54	6.32	4.87	4.96	4.86	5.32	6.15	5.9	6.54
	1990	5.67	6.9	6.2	5.71	5.18	4.82	4.56	4.34	5.35	6	5.55	6.19	7.35
	1991	5.9	8.15	6.64	6.42	4.98	5.33	5.25	5.01	4.03	5.23	6.03	7.58	6.36
	1992	5.41	6.3	5.68	5.6	5	5.85	4.66	3.43	4.78	5.43	6.57	6.09	5.59
	1993	5.78	8.12	6.21	5.91	4.8	4.81	4.74	4.69	5.74	6.28	5.25	6.73	6.13
	1994	5.93	7.01	7.76	6.69	5.44	4.56	4.85	4.75	6.73	5.05	5.79	6.63	6.13
	1995	5.11	5.18	6.19	6.25	5.32	4.68	3.93	4.11	4.36	4.61	5.11	5.56	6.19
	1996	5.51	5.85	6.07	6.04	5.34	4.63	4.89	5.18	5.87	5.04	5.77	6.24	5.13
	1997	5.26	6.38	5.56	6.42	5.11	5.61	4.31	3.91	5.39	4.72	5.62	5.11	5
