BETTLES FIELD       AK - 701740                                                 														
 66 deg    55' N  151 deg    31' W - Elev  196m   LST=GMT+99 hours   *NT=-10    														
 01/73-12/81 01/87-09/02                                                        						Adjusted to Alaska Time Zone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.91	2.52	2.64	3.08	3.38	3.29	3.16	2.95	2.81	2.94	2.94	2.62	2.5
	1973	3.08	1.45	3.22	3.8	3.74	3.09	3.37	3.8	3.01	2.73	3.2	1.99	3.51
	1974	3.38	2.66	2.11	3.52	3.89	3.49	4.05	3.8	3.14	3.39	4.22	3.16	3.21
	1975	3.29	2.67	3.41	3.23	3.89	4.31	3.66	3.18	3.34	3.65	2.91	2.76	2.78
	1976	3.48	3.56	2.69	3.59	4.49	3.68	3.96	3.21	2.94	3.59	3.43	3.3	3.24
	1977	3.11	2.85	3.23	3.53	3.73	3.89	3.29	3.25	2.94	2.89	3.71	2.54	1.44
	1978	3.04	2.66	3.24	3.58	3	3.64	3.03	2.63	2.45	2.67	3.65	3.02	2.84
	1979	2.88	2.12	2.02	3.12	3.76	3.38	3.47	2.68	2.73	3.29	3.04	2.75	2.14
	1980	2.76	2.27	3.14	3.11	3.35	3.2	2.62	2.21	2.99	2.84	2.66	2.91	1.91
	1981	3.01	3.02	2.61	3.42	3.11	3.14	3.15	3.31	2.51	3.03	2.85	3.27	2.7
	1987	3.13	3.14	2.93	3.38	3.37	3.19	3.63	3.44	2.8	3.29	2.99	3.25	2.18
	1988	3.14	2.63	3.56	3.39	3.84	3.36	3.44	3.28	2.84	2.31	2.89	3.2	2.77
	1989	2.85	1.51	2.64	2.98	2.66	3.3	3.37	3.17	2.55	2.99	3.21	2.82	2.63
	1990	2.8	2.72	1.89	2.84	3.18	3.02	3.11	2.75	2.84	3.17	3.06	2.28	2.59
	1991	3.05	2.7	2.69	3.05	3.61	3.21	3.18	3.08	3.21	3.09	2.57	2.81	3.41
	1992	2.96	2.82	2.45	3.1	3.07	4.03	3.3	3.08	3.09	3.53	2.58	2.42	2.33
	1993	3.04	2.52	2.86	3.03	3.84	3.69	3.11	2.78	3.01	3.21	3.15	2.53	2.9
	1994	2.97	3.46	2.23	2.78	3.38	3.25	3.53	2.99	3.22	2.98	2.89	2.6	2.16
	1995	2.65	2.49	2.43	2.4	3.15	3.32	3.06	2.76	2.4	3.02	2.74	1.72	2.24
	1996	2.62	1.61	2.51	2.79	3.17	2.79	3.14	2.99	2.76	2.97	2.26	2.69	1.86
	1997	2.67	2.12	2.87	2.88	3.35	3.04	2.74	2.61	2.74	2.76	1.97	2.22	2.71
	1998	2.68	2.1	2.46	2.8	3.19	3.6	2.57	2.31	2.89	2.91	2.99	2.1	1.98
	1999	2.48	2.24	2.2	2.8	3.16	2.59	2.33	2.71	2.05	2.35	2.71	2.33	2.28
	2000	2.49	2.32	2.27	3.37	3.22	2.75	2.54	2.56	2.56	1.78	2.24	2	2.23
	2001	2.81	2.55	2.34	2.56	3.09	3.02	3.19	3.23	3.21	2.51	3.13	2.4	2.51
	2002	2.5	2.62	2.34	2.34	2.68	2.9	2.6	2.32	2.28	1.58	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	36	32	32	40	48	45	42	34	29	35	34	30	28
	1973	46	21	38	79	55	51	52	77	39	29	36	21	61
	1974	54	40	23	55	60	47	84	63	40	51	92	50	46
	1975	54	36	59	48	61	103	68	54	58	58	42	37	35
	1976	53	67	36	53	94	59	66	45	31	54	46	45	41
	1977	42	47	52	51	59	58	39	41	30	31	54	33	14
	1978	41	32	41	65	32	55	43	26	21	26	58	51	44
	1979	42	18	16	51	138	48	53	24	25	43	38	28	17
	1980	31	29	64	51	33	32	20	14	34	28	25	27	16
	1981	39	47	30	48	34	34	43	47	21	39	29	55	36
	1987	38	47	37	42	38	46	55	40	30	35	35	34	15
	1988	42	36	76	46	56	45	44	40	28	21	27	36	47
	1989	37	14	46	34	26	41	44	39	26	48	41	45	33
	1990	33	28	15	41	43	44	34	30	29	45	47	20	22
	1991	41	31	24	35	53	48	53	37	44	44	22	35	73
	1992	37	31	22	36	49	71	69	35	36	47	24	26	22
	1993	37	37	30	30	51	84	37	24	29	37	33	21	33
	1994	34	78	17	27	41	36	46	28	32	29	25	31	15
	1995	28	19	24	35	31	44	38	33	19	35	29	12	19
	1996	27	12	28	24	34	30	40	32	27	32	19	31	14
	1997	26	18	30	32	36	36	26	21	25	31	12	16	26
	1998	26	16	19	27	35	51	22	17	29	33	32	13	16
	1999	23	21	17	28	35	22	22	29	14	23	26	25	17
	2000	24	22	22	39	41	26	27	23	24	12	18	15	24
	2001	26	23	25	20	39	25	30	33	30	14	29	18	17
	2002	24	20	18	22	34	29	28	22	21	7	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	193511	15775	15480	16636	16419	16648	16004	16895	16727	15882	16205	15240	15600
	1973	6532	542	522	556	525	398	516	611	518	575	599	590	580
	1974	6757	591	531	584	544	591	533	556	571	569	543	554	590
	1975	6604	554	484	521	499	526	511	583	549	566	612	563	636
	1976	7880	545	577	660	682	713	680	670	682	670	662	626	713
	1977	7924	656	612	655	671	684	668	700	651	628	647	686	666
	1978	8016	686	598	702	673	694	626	707	673	643	668	669	677
	1979	8235	710	645	711	683	693	671	687	697	682	691	672	693
	1980	8252	687	645	688	678	707	684	709	710	697	706	626	715
	1981	8446	712	652	726	701	732	704	704	704	702	715	699	695
	1987	8136	662	614	700	671	692	663	699	675	669	715	676	700
	1988	7802	691	667	716	680	703	673	701	677	676	642	486	490
	1989	8008	503	621	666	670	710	697	704	687	690	669	680	711
	1990	8185	693	644	699	700	705	686	711	705	690	628	614	710
	1991	7715	705	655	604	698	725	638	694	701	698	703	471	423
	1992	5244	364	410	443	330	305	376	517	564	514	480	468	473
	1993	7432	472	431	470	460	648	695	724	729	695	692	699	717
	1994	8221	689	605	715	703	728	668	710	717	691	718	639	638
	1995	7994	685	616	607	673	706	699	700	590	649	694	664	711
	1996	8253	713	659	720	700	695	674	637	669	668	714	700	704
	1997	8130	605	658	695	685	670	656	695	693	687	701	691	694
	1998	7928	652	665	696	699	695	681	710	695	705	609	580	541
