SDR	5.7.6

-----Logger Information-----
Model #	
Serial #	5062
Hardware Rev.	009-009-000

-----Site Information-----
Site #	5062
Site Desc	Buckland
Project Code	
Project Desc	
Site Location	
Site Elevation	70
Latitude	N 061° 00.000'
Longitude	W 155° 00.000'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	20   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.351
Offset	180
Units	deg

Channel #	8
Type	0
Description	No Sensor
Details	
Serial Number	SN:
Height	0
Scale Factor	0
Offset	0
Units	

Channel #	9
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.138
Offset	-42.383
Units	C

Channel #	10
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
09/01/2005 13:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													180	0	180	180					-42.4	0	-42.4	-42.4												
09/01/2005 13:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													180	0	180	180					-42.4	0	-42.4	-42.4												
09/01/2005 13:20:00	0.4	0.5	4.2	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													180	0	180	180					-42.4	0	-42.4	-42.4												
09/01/2005 13:30:00	3.5	1	4.9	0.4	2.2	1.7	4.9	0.4	1.5	1.5	4.6	0.4													177	10	180	180					-42.4	0	-42.4	-42.4												
09/01/2005 13:40:00	4.5	0.5	5.7	2.6	4.6	0.5	5.7	2.3	4.4	0.6	5.7	2.6													136	12	124	180					-3.4	22.9	98.9	-42.4												
09/01/2005 13:50:00	4.3	0.7	6.1	3	4.4	0.7	6.1	3	4.1	0.7	6.5	2.3													129	8	131	180					6.7	0.1	7	6.2												
09/01/2005 14:00:00	4.1	0.5	5.3	2.6	4.2	0.5	5.3	2.6	3.9	0.5	4.9	2.6													142	8	139	180					7	0.2	7.3	6.2												
09/01/2005 14:10:00	4.1	0.7	5.7	2.3	4.3	0.6	6.1	2.6	4.1	0.6	5.7	2.6													124	11	118	180					7.2	0.1	7.4	6.5												
09/01/2005 14:20:00	5.5	0.6	6.8	3.8	5.7	0.6	6.8	4.2	5.2	0.6	6.8	3.4													113	5	119	180					7	0.2	7.3	6.6												
09/01/2005 14:30:00	5.2	0.8	7.2	2.3	5.4	0.7	7.2	3	4.9	0.7	6.8	2.6													113	8	112	180					7.2	0	7.4	6.9												
09/01/2005 14:40:00	4.9	0.8	6.8	2.6	5.2	0.8	6.8	3.4	4.6	0.7	6.8	2.6													114	10	117	180					7.2	0	7.4	6.9												
09/01/2005 14:50:00	3.5	1	5.7	1.1	3.6	1	5.7	1.5	3.2	0.8	5.3	1.5													161	43	126	180					7.2	0.1	7.3	6.9												
09/01/2005 15:00:00	3.4	0.8	5.3	1.5	3.4	0.8	5.3	1.5	3.4	0.8	5.3	1.9													210	11	221	180					7.2	0	7.4	7												
09/01/2005 15:10:00	2	0.3	3	1.1	2.1	0.3	3	1.5	2	0.4	3	1.1													216	8	221	180					7.2	0	7.4	6.9												
09/01/2005 15:20:00	1	0.4	1.9	0.4	1.2	0.3	1.9	0.4	0.9	0.4	1.9	0.4													170	14	203	180					7.2	0	7.4	7												
09/01/2005 15:30:00	1.4	0.5	2.6	0.4	1.6	0.5	2.6	0.7	1.7	0.5	2.6	0.7													149	9	143	180					7.2	0	7.4	6.9												
09/01/2005 15:40:00	2.2	0.3	3	1.5	2.3	0.3	3	1.5	2.1	0.3	2.6	1.1													135	6	128	180					7.2	0.1	7.4	6.9												
09/01/2005 15:50:00	2.1	0.4	2.6	1.1	2.2	0.3	3	1.1	1.8	0.4	2.6	0.4													156	12	165	180					7.2	0.1	7.3	6.9												
09/01/2005 16:00:00	2	0.6	3	0.4	2.1	0.5	3	0.7	1.8	0.5	2.6	0.7													148	9	154	180					7.1	0.1	7.3	6.9												
09/01/2005 16:10:00	1.8	0.4	2.6	0.7	1.9	0.4	2.6	0.7	1.6	0.4	2.3	0.7													140	9	131	180					7.1	0.1	7.3	6.9												
