CAPE LISBURNE(AWOS) AK - 701040                                                 														
 68 deg    53' N  166 deg    08' W - Elev    3m   LST=GMT+99 hours   *NT=-11    														
 01/73-12/81 01/87-08/02                                                        								Adjusted to Alaska Time Zone (GMT-9)						
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.24	5.61	5.31	5.11	4.58	4.72	4.01	4.73	5.06	5.97	6.61	5.9	5.41
	1973	5.31	7.42	5.41	4.3	4.03	5.13	3.67	5.01	5.91	4.56	6.46	6.36	6.03
	1974	4.89	5.65	4.54	5.42	4.49	3.32	5.02	4.9	3.69	3.96	7.05	6.14	4.42
	1975	5.03	6.35	6.71	5.2	4.29	3.91	3.79	3.7	4.53	6.79	5.47	4.92	3.98
	1976	4.48	5.71	4.31	4.06	3.87	4.24	4.39	3.94	4.07	5.05	6.17	3.44	5.23
	1977	4.21	4.63	4.95	3.29	3.51	3.8	2.78	1.98	3.11	5.55	7.04	4.66	4.83
	1978	4.54	3.43	3.96	4.49	4.25	4	3.45	3.37	3.89	4.56	7	6.11	5.95
	1979	5.41	4.93	5.33	6.77	5.36	4.82	2.93	5.59	3.55	4.53	8.18	6.91	5.98
	1980	4.75	4.68	5.64	4.59	4.99	4.3	3.84	2.54	5.67	6.59	3.61	6.22	4.42
	1981	4.51	5.87	4.81	4.62	2.72	4.29	2.9	4.85	4.69	5.51	3.85	5.9	4.12
	1987	4.59	7.01	4.3	8.17	1.49	3.77	2.79	4.09	6.8	3.99	3.78	4.9	4.52
	1988	4.65	4.68	5.67	6.07	2.27	4.26	2.91	3.44	6.21	6.42	5.18	8.63	2.7
	1989	4.75	4.51	9.49	3.71	4.91	3.08	3.91	5.4	2.81	5.63	3.53	3.98	5.35
	1990	3.84	4.2	2.38	3.44	4.11	0.88	0.95	0.85	3.07	4.34	6.63	6.07	2.08
	1991	5.56	4.57	5.93	5.82	4.69	5.08	3.32	4.75	5.96	7.84	7.38	6.55	4.37
	1992	6.2	5.51	7.28	4.86	5.57	8.34	3.49	4.88	5.09	6.48	7.01	7.47	8.12
	1993	5.79	7.79	6.47	3.86	5.16	3.76	3.94	5.51	4.86	8.18	6.42	7.02	6.22
	1994	5.39	4.33	4.46	5.19	4	4.96	3.29	4.41	6.84	8.75	7.25	5.21	6.21
	1995	5.72	4.36	3.92	6.65	5.31	4.87	3.78	6.45	4.52	6.69	8.07	8.41	5.72
	1996	6.38	6.46	5.74	7.68	5.97	6.05	6.03	7.29	5.45	7.84	6.96	7.6	3.36
	1997	5.32	5.18	4.61	5.51	4.45	3.3	4.49	6.01	6	4.7	6.75	5.85	6.76
	1998	5.81	6.41	8.33	3.51	2.69	5.68	3.89	2.41	4.67	7.53	9.21	6.42	7.04
	1999	5.45	6.64	4.61	5.5	5.26	3.18	4.08	9.64	6.1	5.28	6.11	4.18	5
	2000	5.62	5.58	5.67	4.93	3.66	4.85	6.41	5.12	6.95	5.3	7.62	5.92	6.43
	2001	5.52	8.87	6.83	4.39	3.18	4.59	5.08	4.49	7.33	7.5	7.59	3.61	2.01
	2002	6.44	3.08	6.72	7.65	7.47	7.14	5.37	4.72	6.35	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	302	393	330	303	207	200	169	254	224	336	462	400	366
	1973	309	851	334	105	106	212	166	290	325	152	446	440	424
	1974	242	412	311	272	149	48	252	236	91	92	498	372	179
	1975	272	663	478	223	201	77	119	159	207	321	229	253	177
	1976	215	360	490	126	148	95	213	201	167	207	354	93	277
	1977	181	134	163	108	243	102	64	19	64	233	457	167	337
	1978	195	124	107	187	103	100	81	117	98	145	479	391	400
	1979	330	228	585	410	226	170	73	296	83	199	572	460	676
	1980	241	367	292	212	144	89	156	50	238	542	133	373	305
	1981	217	373	227	125	137	219	69	224	138	201	184	390	316
	1987	226	508	98	806	39	140	54	131	407	151	105	159	252
	1988	226	237	432	296	23	71	86	84	390	387	221	706	89
	1989	262	413	1067	123	161	53	189	250	78	279	110	156	130
	1990	163	104	34	70	191	3	2	3	95	97	455	337	23
	1991	319	375	416	328	197	269	55	146	356	643	506	563	146
	1992	432	245	644	296	351	635	90	248	180	298	558	771	846
	1993	368	776	469	145	143	132	124	352	180	581	475	611	438
	1994	330	137	203	281	113	188	107	183	392	1042	561	351	420
	1995	411	191	147	906	247	224	160	470	249	443	823	862	289
	1996	475	511	423	840	268	419	361	492	273	549	556	940	164
	1997	295	329	127	510	203	66	206	385	394	171	372	376	299
	1998	389	363	535	140	46	307	120	54	165	403	985	399	605
	1999	308	437	216	361	279	113	127	1193	300	206	332	133	307
	2000	309	515	260	158	121	279	585	256	342	168	540	303	306
	2001	279	701	442	97	92	132	261	191	471	451	437	89	9
	2002	446	72	579	654	746	441	304	183	295	-1	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	141043	11035	9953	11437	12300	12717	12602	11731	11787	11377	12711	11942	11451
	1973	6615	454	448	596	530	691	579	547	569	544	563	482	612
	1974	7126	648	510	635	641	541	600	485	611	661	558	625	611
	1975	6103	628	607	466	529	556	457	402	414	437	557	560	490
	1976	6044	411	404	425	522	695	598	595	511	438	460	539	446
	1977	7534	360	553	604	697	694	584	574	709	676	702	675	706
	1978	8570	726	660	735	712	735	703	724	723	696	727	705	724
	1979	8607	732	665	731	709	738	705	732	729	710	737	699	720
	1980	8792	752	696	744	720	744	720	744	744	720	744	720	744
	1981	8759	744	672	743	720	744	720	744	744	720	744	720	744
	1987	1145	50	29	83	64	70	157	108	164	97	178	82	63
	1988	1125	36	56	63	57	96	228	86	70	104	161	80	88
	1989	1209	31	131	104	101	141	83	152	105	124	123	99	15
	1990	707	85	42	35	69	39	23	52	57	74	130	47	54
	1991	3569	48	49	182	489	524	263	267	264	202	586	305	390
	1992	5648	297	262	428	426	504	479	544	547	564	534	533	530
	1993	6995	542	503	500	624	614	515	537	718	676	671	584	511
	1994	7515	570	642	677	637	686	618	604	527	613	601	647	693
