CAPE NEWENHAM(AWOS) AK - 703050                                                 														
 58 deg    39' N  162 deg    04' W - Elev  165m   LST=GMT+99 hours   *NT=-11    														
 01/73-08/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.39	6.31	6.36	6.16	5.43	4.38	3.65	3.79	4.78	5.17	5.88	6.58	6.42
	1973	5.59	6.86	6.85	5.38	5.92	4.58	4	2.51	4.79	4.99	6.86	7.26	5.78
	1974	5.11	6.58	6.29	7	5.1	4.12	3.16	5.1	4.06	4.36	4.89	5.73	4.25
	1975	5.19	4.77	5.37	7.31	6.49	3.88	4.13	3.11	3.37	3.82	5.73	6.01	7.17
	1976	4.93	5.98	6.54	6.32	5.33	4.68	3.37	3.37	3.68	4.33	5.74	5.24	4.89
	1977	5.2	6.91	6.26	6.47	4.11	3.87	2.65	3.32	3.56	5.84	6.17	6.72	5.61
	1978	5.04	6.7	5.44	4.49	4.82	2.8	4.36	3.97	3.44	4.45	5.35	7.37	7.43
	1979	5.06	7.84	4.93	5.21	5.43	3.08	3.56	2.79	4.84	4.57	5.18	7.31	6.12
	1980	4.46	5.53	6.07	5.96	1.39	3.29	3.44	3.61	3.51	4.75	4.58	4.95	6.39
	1981	5.16	7.3	6.98	6	4.38	3.58	2.98	4.14	5.49	5.09	6.28	4.84	4.95
	1982	5.36	6.33	5.48	6.54	5.48	4.48	4.09	4.23	4.18	5.16	6.51	5.63	6.14
	1983	4.67	4.5	4.81	5.1	5.41	4.04	2.78	3.66	4.04	4.83	5.28	5.68	5.93
	1984	4.13	5.16	4.7	3.62	5.75	3.1	2.27	2.44	4.76	3.8	4.21	5.37	5.97
	1985	5.12	6.4	5.11	5.08	4.79	5.16	3.79	2.43	4.53	4.82	5.93	7.08	5.96
	1986	4.36	5.06	6.57	3.17	5.39	4.08	2.41	2.14	3.87	4.68	4.12	4.53	6.32
	1987	4.05	4.52	5.06	5.12	5.76	3.28	2.11	1.03	1.42	3.88	5.49	5.51	4.8
	1988	4.81	3.75	8.58	2.33	6.25	3.87	3.99	2.02	3.98	6.02	4.49	4.63	6.16
	1989	4.48	5.13	10.09	3.24	6.45	3.65	4.36	3.82	3.52	2.38	4.63	4.5	3.55
	1990	4.63	4.2	6.32	5.85	1.43	4.26	0.92	2.27	4.96	3.73	2.81	5.69	6.44
	1991	6.25	2.05	7.21	9.55	5.62	5.83	5.66	4.23	4.27	5.86	8.16	8.04	6.66
	1992	6	6.31	6.05	6.1	5.13	5.16	5.04	3.87	6.43	6.74	6.92	6.33	7.5
	1993	6.37	8.5	8.31	6.57	5.68	5.18	4.2	4.57	6.28	6.71	5.97	7.73	7.36
	1994	6	4.25	5.72	7.12	5.89	4.21	3.63	4.66	6.31	6.14	7.62	9.68	8.22
	1995	5.04	5.81	8.38	6.08	4.98	5.6	3.13	3.79	4.77	4.02	3.75	5.15	6.02
	1996	6.93	7.8	9.95	5.85	7.06	5.13	5.82	4.88	6.45	7.27	6.76	8.83	8.65
	1997	5.4	6.36	6.88	3.64	3.91	4.04	2.87	3.14	6.41	5.11	5.82	8.31	7.46
	1998	6.32	6.23	3.77	9.16	7.39	6.25	4.52	3.87	6.8	6.34	7.12	6.86	7.86
	1999	5.96	7.16	6.75	6.4	7.55	4.98	3.07	4.29	5.82	5.61	5.54	6.29	5.47
	2000	6.45	6.23	9.53	7.81	5.6	5.01	4.35	5.28	8.04	6.36	5.45	5.55	7.69
	2001	6.42	5.84	8.47	7.78	4.75	4.41	3.66	4.9	4.78	4.93	7.41	9.15	6.08
	2002	6.07	9.12	7.3	8.05	7	5.9	3.16	4.48	4.55	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	295	452	453	396	302	165	105	112	181	203	302	457	451
	1973	301	531	610	290	287	162	135	43	167	179	363	523	289
	1974	275	595	368	502	290	172	64	228	134	134	181	353	225
	1975	326	310	454	668	498	111	202	115	86	93	256	283	689
	1976	246	464	462	432	290	184	111	113	82	111	224	200	259
	1977	261	448	272	433	144	127	44	66	96	253	317	546	304
	1978	217	376	298	162	242	59	134	84	74	116	192	438	444
	1979	236	472	241	243	272	51	71	48	173	144	181	494	456
	1980	232	589	414	291	12	72	107	110	90	132	138	362	445
	1981	244	487	492	276	182	99	54	95	289	218	261	233	257
	1982	269	401	339	383	272	176	122	152	121	168	374	404	317
	1983	205	259	217	242	278	128	45	81	94	162	224	333	391
	1984	151	228	252	116	248	97	37	33	144	90	153	232	384
	1985	224	280	204	272	162	232	60	38	151	139	250	529	288
	1986	148	181	417	58	192	130	51	31	79	112	180	86	247
	1987	172	202	256	167	271	108	57	23	12	67	293	281	250
	1988	224	165	822	50	267	93	134	26	74	211	90	120	429
	1989	222	366	1428	100	477	76	88	84	75	25	180	96	98
	1990	258	94	728	231	8	131	2	29	158	84	36	326	744
	1991	361	28	659	906	289	240	253	105	102	219	599	664	437
	1992	339	375	383	335	223	214	157	133	299	386	401	392	682
	1993	387	786	766	416	266	240	122	176	301	344	269	507	523
	1994	410	261	479	532	360	130	106	181	356	324	555	1060	878
	1995	277	276	750	511	271	226	69	118	153	145	251	316	375
	1996	531	964	1131	402	598	224	257	178	296	518	485	770	846
	1997	322	397	457	150	162	184	63	73	271	134	304	896	641
	1998	408	479	182	758	556	295	165	79	396	327	504	465	779
	1999	375	560	408	464	553	248	107	154	301	206	217	453	374
	2000	357	375	776	510	289	220	133	153	579	264	473	334	451
