CAPE ROMANZOFF AWOS AK - 702120                                                 														
 61 deg    47' N  166 deg    02' W - Elev  146m   LST=GMT+99 hours   *NT=-11    														
 01/73-08/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	6.51	8.24	8.55	7.55	6.95	5.44	4.78	4.3	4.86	5.84	6.41	7.51	7.98
	1973	5.84	7.95	6.95	5.03	6	4.55	4.34	4.34	4.4	4.94	6.34	6.15	8.75
	1974	6.46	9.29	8.94	5.68	7.18	4.94	3.9	4.33	4.44	5.1	7.2	8.16	9.22
	1975	6.07	7.09	7.62	6.82	5.59	4.66	5.09	4.73	3.83	7.79	5.78	6.33	6.86
	1976	6.19	8.84	8.68	6.69	6.18	4.42	4.9	4.2	3.64	4.97	6.27	7.63	9.02
	1977	6.5	9.54	10.31	7.65	6.67	5.51	4.27	3.12	4.5	7.06	5.81	6.9	7.45
	1978	6.78	6.08	8.94	8.82	5.93	5.69	5.64	4.99	3.62	5.69	8.55	9.38	8.25
	1979	6.71	8.14	6.27	9.07	7.23	5.97	6.13	5.23	5.56	7.2	4.61	8.62	6.74
	1980	5.53	7.14	8.43	6.83	7.4	4.35	3.41	3.16	2.56	3.6	4.17	6.17	9.28
	1981	6.21	6.75	8.12	8.31	6.01	5.57	4.24	4.05	5.44	5.11	6.06	6.64	8.3
	1982	6	6.17	6.84	6.53	7.2	6.35	4.49	2.74	4.02	6.67	6.42	7.72	6.97
	1983	6.41	11.06	7.12	6.7	7.22	3.96	5.13	3.82	4.22	5.49	8.08	7	7.15
	1984	6.68	10.51	12.35	9.76	6.36	5.14	4.5	5.01	4.47	4.25	6.19	4.91	8.25
	1985	5.53	6.12	9.51	7.22	5.89	3.93	4.32	3.83	3.71	4.18	5.58	5.2	5.52
	1986	6	6.16	6.65	8.96	6.65	3.28	2.96	3.83	4.38	7.53	6.12	5.11	6.09
	1987	5.14	9.25	5.16	1.85	4.26	6.95	4.12	2.47	3.01	4.66	3.72	6.03	7.39
	1988	4.9	5.26	6.96	8.7	7.07	3.93	4.16	3.04	4.05	5.09	3.98	4.54	7.3
	1989	6.22	1.1	6.87	5.87	7.02	7.22	4.43	5.74	4.55	5	5.67	7.27	11.43
	1990	5.7	7.18	7.45	4.89	5.6	5.8	3.75	4.08	3.75	5.67	4.58	6.91	8.01
	1991	6.35	6.86	9.45	8.65	7.07	4.66	4.54	4.95	4.61	4.89	7.36	6.9	7.5
	1992	6.83	7.93	9.65	6.81	5.91	6.37	4.55	4.21	6.4	6.92	7.77	8.07	7.46
	1993	7.15	9.84	8.62	6.15	7.47	7.31	5.18	4.96	5.51	7.59	7.15	8.11	8.25
	1994	7.61	7.38	10.75	9.47	9.78	5	4.54	4.95	7.87	5.92	7.15	9.43	9.4
	1995	6.78	10.05	9.69	7.22	8.06	5.03	5.84	4.24	4.14	5.76	6.63	6.49	8.1
