CHANDALAR LAKE      AK - 701745                                                 														
 67 deg    30' N  148 deg    29' W - Elev  585m   LST=GMT+99 hours   *NT=-10    														
 06/73-12/81 01/87-09/02                                                        							Adjusted to Alaska Time Zone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.8	2.3	2.05	2.4	2.7	2.88	3.12	3.37	3.35	3.08	3.34	2.25	2.26
	1973	3.25	-1	-1	-1	-1	-1	3.6	2	3.03	2.67	2.5	-1	4.93
	1974	2.25	1.75	1.93	2	2.55	2.08	5.1	-1	-1	-1	4.32	1.78	1.26
	1975	2.5	1.29	2.63	1.54	2.21	3.84	3.43	3.74	2.84	-1	-1	2.51	1.68
	1976	2.94	2.56	2.95	2.26	2.72	3.08	3.5	3.31	1.84	3.03	0	2.05	-1
	1977	1.45	0	0	2	2	0	2.25	-1	1.5	0	4.1	3.55	0
	1978	2.3	3.6	-1	1.8	1.29	-1	-1	5.97	3.16	2.34	2.74	1.61	1.46
	1979	2.2	2.06	0.47	2.14	2.32	3.06	3.29	2.64	2.32	2.1	2.39	2.02	0.79
	1980	2.14	1.64	1.93	1.58	2.77	3.22	2.59	2.68	2.61	2.89	2.36	1.62	0.75
	1981	2.08	2.07	1.25	2.03	1.66	2.28	2.5	3.22	2.34	2.2	2.33	1.56	1.25
	1987	2.21	1.85	1.38	2.19	2.29	2.38	2.59	3	2.7	2.58	1.65	2.53	1.02
	1988	2.42	1.4	1.08	2.7	3.15	3.01	3.13	2.78	2.78	2.02	3.71	2.68	1.28
	1989	2.08	0.63	0.19	0.96	1.56	1.91	2.68	3.38	2.08	2.4	0.82	0.98	-1
	1990	2.63	-1	0.69	1.25	1.52	1.91	2.63	3.31	3.64	4	4.21	2.71	2.1
	1991	3.54	2.72	3.4	2.25	2.91	3.79	3.51	4.58	4.26	4.02	-1	-1	-1
	1992	3	2.58	2.97	2.16	3.07	3.78	3.48	2.76	4.06	3.45	2.61	2.57	2.11
	1993	2.29	2.53	1.81	1.74	2.33	1.66	2.06	1.92	2.85	3.41	2.62	1.16	2.7
	1994	2.8	3.69	1.46	2.2	3.77	2.54	3.06	2.91	3.66	3.41	3.5	1.42	1.74
	1995	2.49	1.32	1.87	2.22	2.97	2.54	2.17	2.94	2.68	3.38	3.23	0.58	2.41
	1996	2.23	0.85	1.82	1.69	2.74	2.5	2.33	2.4	2.71	3.02	3.71	-1	-1
	1997	4.12	-1	-1	-1	-1	-1	-1	-1	2.5	3.48	4.32	3.15	5.38
	1998	5.49	5.78	5.55	5.42	5.56	5.99	5.67	5.6	6.21	6.08	6.94	4.54	3.74
	1999	3.96	4.18	-1	3.2	3.62	4.18	4.27	5.38	3.93	3.93	4.76	2.92	4.21
	2000	3.11	1.97	2.81	5.15	3.2	3.2	3.83	3.72	3.9	3.2	2.73	1.58	2.62
	2001	4.03	3.04	1.67	2.93	3.61	3.62	4.29	5.1	5.22	4.22	5.53	4.73	5.55
	2002	3.13	5.39	2.78	1.67	2.14	2.5	3.58	3.94	4.24	2.5	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	49	48	44	51	47	39	42	53	58	52	74	40	42
	1973	40	-1	-1	-1	-1	-1	27	5	25	11	10	-1	124
