SDR	4.28.3

-----Logger Information-----
Model #	
Serial #	3296
Hardware Rev.	009-009-000

-----Site Information-----
Site #	1296
Site Desc	Chena Hot Springs
Project Code	Chena
Project Desc	Chena
Site Location	
Site Elevation	805
Latitude	N 065° 01.500'
Longitude	W 146° 01.600'
Time offset (hrs)	

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	20   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.351
Offset	0
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	0
Scale Factor	0.351
Offset	0
Units	deg

Channel #	9
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.138
Offset	-86.383
Units	C

Channel #	10
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
08/09/2006 21:00:00	3.3	0.4	3.8	2.3	3.4	0.4	4.2	2.3	3.3	0.4	3.8	2.3													223	6	231	0	0	0	0	0	15.8	0	16.3	15.5												
08/09/2006 21:10:00	3.2	0.4	3.8	2.3	3.2	0.4	4.2	2.3	3.2	0.4	4.2	2.3													220	3	224	0	0	0	1	0	15.6	0	15.7	15.2												
08/09/2006 21:20:00	4.3	0.5	4.9	3	4.3	0.5	4.9	3	4.3	0.5	4.9	3													223	3	224	0	0	0	0	0	15.5	0	15.7	15.2												
08/09/2006 21:30:00	4.6	0.4	5.7	3.4	4.6	0.4	5.7	3.4	4.6	0.4	5.7	3.8													231	4	236	0	0	0	0	0	15.4	0	15.7	15.2												
08/09/2006 21:40:00	4.9	0.4	5.7	3.8	4.9	0.4	5.7	3.8	4.9	0.4	6.1	3.4													227	5	236	0	0	0	0	0	15.5	0	15.7	15.2												
08/09/2006 21:50:00	4.7	0.5	6.1	3.4	4.7	0.5	5.7	3.4	4.7	0.5	5.7	3.4													223	8	236	0	0	0	0	0	15.4	0	15.7	14.9												
08/09/2006 22:00:00	5	0.5	6.8	3.8	4.9	0.5	6.5	3.8	4.8	0.5	6.5	3.4													208	10	211	0	0	0	0	0	15.1	0.3	15.7	14.4												
08/09/2006 22:10:00	4.6	0.4	5.7	3.4	4.5	0.4	5.3	3.4	4.2	0.4	5.3	3.4													206	5	204	0	0	1	0	0	14.2	0.1	14.6	13.5												
08/09/2006 22:20:00	4.8	0.5	6.1	3.4	4.7	0.5	6.1	3.4	4.5	0.5	6.1	3													210	7	200	0	0	0	1	0	14.3	0	14.6	14.1												
08/09/2006 22:30:00	4.4	0.6	6.1	2.6	4.3	0.6	5.7	2.6	4.1	0.5	4.9	2.3													218	10	222	0	0	0	0	0	14.5	0	14.6	14.1												
08/09/2006 22:40:00	3.2	0.8	4.9	1.5	3.3	0.7	4.9	1.9	2.5	0.9	4.6	0.4													251	15	234	0	0	0	0	0	14.6	0	14.9	14.4												
08/09/2006 22:50:00	2.6	0.6	4.2	1.5	3.1	0.4	3.8	1.9	2.5	0.5	3.4	0.7													278	9	268	0	0	0	0	0	14.8	0	14.9	14.6												
08/09/2006 23:00:00	1.9	0.4	2.6	1.1	2.5	0.2	3	1.9	1.6	0.5	2.3	0.4													288	8	295	0	0	0	0	0	14.6	0	14.9	14.4												
08/09/2006 23:10:00	2.1	0.5	2.6	0.7	2.3	0.2	2.6	1.9	1.8	0.2	2.3	1.1													267	7	274	0	0	0	0	0	14.8	0	14.9	14.6												
08/09/2006 23:20:00	1.5	0.3	2.3	0.7	1.8	0.2	2.3	1.1	1	0.3	1.5	0.4													302	18	322	0	0	0	0	0	14.8	0	14.9	14.6												
08/09/2006 23:30:00	1.3	0.3	2.3	0.4	1.5	0.3	2.3	0.7	0.9	0.3	1.5	0.4													342	9	332	0	0	0	0	0	14.8	0	14.9	14.4												
08/09/2006 23:40:00	0.7	0.4	1.5	0.4	1.3	0.5	2.3	0.4	0.4	0.2	1.1	0.4													318	26	322	0	0	0	0	0	14.7	0	14.9	14.4												
08/09/2006 23:50:00	1.4	0.5	2.6	0.4	2	0.3	2.6	1.5	1.3	0.6	2.3	0.4													283	2	277	0	0	0	0	0	14.6	0.1	14.9	14.1												
