CHULITNA            AK - 702606                                                 														
 62 deg    53' N  149 deg    50' W - Elev  381m   LST=GMT+99 hours   *NT=-10    														
 11/78-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	3.42	4.17	4.18	3.57	3.3	2.96	2.91	2.57	2.52	2.76	3.77	4.09	3.82
	1978	3.33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	3.43
	1979	3.25	4.43	7.01	1.61	2.93	1.13	1.52	2.48	2.21	3.89	3.64	3.87	5.43
	1980	4.7	5.76	4.96	4.63	4.21	3.59	3.29	3.03	2.33	2.25	0	-1	2.8
	1981	2.95	7.7	-1	3.1	-1	2.75	0	-1	1.75	-1	-1	-1	-1
	1982	1.87	-1	3.05	0	2.5	2	-1	-1	-1	-1	-1	-1	-1
	1983	4.02	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.73	4.31	4
	1984	3.59	4.28	5.26	3.63	3.79	3.39	2.93	2.67	2.89	2.92	3.72	4.04	3.15
	1985	3.43	3.48	4.84	3.44	4.17	2.98	3.19	2.52	2.41	2.44	4.31	4.19	2.95
	1986	4.07	4.76	4.47	5.07	4.31	3.56	3.38	3.1	2.91	2.98	4.62	4.65	4
	1987	3.73	4.64	4.9	4.56	4.13	3.12	3.45	2.63	3.08	3.23	3.03	3.95	3.96
	1988	3.67	4.34	4.83	3.74	4.01	2.61	2.82	2.35	2.33	3.22	4.45	5.37	3.69
	1989	3.74	5.28	4.13	4.5	3.49	3.61	3.49	3.18	2.48	2.89	3.92	4.81	4.06
	1990	3.79	4.67	5.24	3.99	3.22	2.67	3.34	3.06	2.72	2.85	4.14	5.07	4.21
	1991	3.55	3.59	4.92	3.56	3.75	3.29	3.23	2.93	3.23	2.87	3.46	4.38	2.86
	1992	3.37	3.26	3.59	2.93	3.92	3.24	3.4	2.45	2.8	3.52	3.27	3.4	4.32
	1993	3.03	3.85	2.85	3.14	2.8	2.54	2.5	2.71	2.25	3.05	3.3	3.24	3.75
	1994	3.58	4.58	5.68	4.19	2.94	3.2	3.03	2.49	2.34	2.37	3.51	3.77	4.08
	1995	3.54	4.36	4.56	4.81	3.04	2.78	2.88	1.62	-1	-1	-1	-1	2.81
	1996	2.53	3.33	2.35	2.36	2.03	4.06	1.28	1.21	2.18	2.18	3.17	2.97	4.07
	1997	3.27	3.85	2.17	4.68	2.59	2.82	3.91	2.6	2.37	2.82	4.35	3.47	3.61
	1998	3.24	5.02	4.43	2.95	2.4	2.62	2.51	1.95	2.13	2.12	3.9	4.29	4.83
	1999	3.51	4.68	5.39	3.67	3.39	3.27	2.82	2.73	2.56	2.37	3.33	4.65	4.21
	2000	2.86	4.1	3.2	2.71	3.28	3.02	1.95	2.3	2.25	2.21	3.18	2.83	3.49
	2001	3.59	3.04	3.04	2.84	1.3	1.64	4.67	4.08	4.12	3.74	4.31	4.71	5.25
	2002	2.31	3.92	2.55	2.51	1.88	2.2	2.18	2.42	1.25	0	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	62	94	112	66	51	39	38	26	28	37	70	88	73
	1978	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	94
	1979	96	114	609	13	64	15	12	41	16	69	54	122	172
	1980	116	198	129	97	73	42	26	27	8	7	0	-1	16
