CORDOVA/MILE 13     AK - 702960                                                 														
 60 deg    30' N  145 deg    30' W - Elev   13m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.31	2.41	2.44	2.5	2.74	2.46	2.07	1.67	1.85	2.4	2.51	2.18	2.51
	1973	2.04	2.06	1.89	2.88	2.99	3.3	1.74	1.43	1.7	1.84	1.88	1.04	2.21
	1974	1.83	1.21	2.92	1.42	2.68	1.51	1.39	0.93	0.86	1.68	2.74	2.61	2.09
	1975	2.07	2.4	3.11	1.8	2.55	2.69	1.75	1.32	1.47	1.96	1.92	1.7	2.33
	1976	2.21	1.96	1.03	2.04	2.89	2.51	1.6	1.36	1.37	3.02	2.27	4.06	2.74
	1977	2.05	2.97	3.25	1.94	2.94	2.34	1.44	1.54	1.43	1.82	3.29	0.62	1.2
	1978	2.2	1.53	3.37	2.73	2.06	2.71	1.88	1.94	1.47	1.76	3.15	1.8	1.99
	1979	1.88	1.36	1.38	2.22	1.25	1.89	1.71	1.09	1.21	1.83	3.28	2.98	2.29
	1980	2.71	3.32	3.4	2.73	4.16	3.07	1.89	1.8	1.92	2.18	3.73	3.4	1.08
	1981	2.23	4.2	1.91	3.16	2.23	2.04	1.92	1.37	2.16	1.61	1.86	2.2	2.12
	1982	2.09	1.57	2.49	1.75	2.21	1.82	2.12	1.78	1.54	2.34	2.26	2.01	3.21
	1983	2.08	2.22	2.44	1.72	2.69	2.53	1.99	1.73	2.13	2.03	2.68	2.29	0.55
	1984	2.33	2.34	2.9	2.34	2.6	2.39	2.14	1.68	2.28	2.31	2.65	1.72	2.62
	1985	2.93	4.04	2.54	3.83	3.5	2.81	3.06	2.06	2.24	3.04	2.24	1.76	3.99
	1986	2.84	3.98	2.92	2.1	2.96	2.87	2.67	2.24	2.32	2.09	2.86	2.79	4.24
	1987	3.03	4.09	3.37	2.73	3.47	2.68	3.36	1.92	1.79	3.83	3.69	3.15	2.43
	1988	2.62	1.59	3.5	3.79	3.78	2.26	2.47	1.64	2.7	2.53	2.2	1.62	3.39
	1989	1.89	2.18	0.37	1.53	2.15	2.08	2.2	1.61	1.65	2.24	2.39	1.52	2.65
	1990	2.51	1.66	1.23	3.1	2.25	2.29	2.51	2.79	2.22	3.7	3.06	2.44	2.82
	1991	3.24	2.64	3.7	2.78	4	3.92	2.9	2.59	3.04	3.98	3.01	2.95	3.45
	1992	3.02	3.81	2.78	4.16	3.3	3.07	2.95	2.16	2.87	2.7	2.72	3.58	2.08
	1993	2.62	2.3	3.31	3.13	3.45	2.65	2.38	2.32	2.93	2.67	1.75	2.06	2.59
	1994	1.96	1.25	1.35	2.9	2.31	2.78	1.45	1.38	1.18	2.06	2.32	2.01	2.44
	1995	2.03	1.92	2.13	2.68	2.68	2.45	1.53	1.26	1.27	2.57	2.03	1.59	2.24
	1996	1.63	0.42	2.2	1.82	2.28	1.53	1.93	1.22	1.54	2.1	1.62	0.8	2.13
	1997	2.14	2.29	2.88	1.94	2.57	2.04	1.76	1.24	1.39	2.33	1.55	2.52	3.36
	1998	1.9	0.89	2.36	1.77	3.32	3.01	1.72	1.41	1.75	1.93	1.98	0.95	1.72
	1999	2.07	1.48	1.51	2.57	2.49	1.94	1.41	1.38	1.36	2.87	2.2	2.49	2.95
	2000	2.02	2.27	2.3	2.78	2.42	1.92	1.63	1.4	1.38	1.33	2.34	2.08	2.35
	2001	3.06	3.98	1.89	3.01	2.47	3.47	2.73	2.28	3.1	3.49	3.63	3.37	4.05
	2002	2.07	4.19	3.01	1.48	1.69	1.85	1.9	1.4	1.65	1.1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	41	60	53	46	50	38	23	16	22	40	44	45	60
	1973	36	32	42	58	69	67	17	13	18	26	30	14	54
	1974	30	20	52	15	56	17	14	6	19	20	44	62	40
	1975	35	39	82	27	45	42	28	9	11	27	25	27	58
	1976	42	40	13	28	68	39	14	10	38	54	44	111	55
	1977	33	71	77	28	46	32	11	10	13	28	63	5	17
	1978	33	31	80	46	23	34	14	18	8	28	59	29	29
	1979	30	18	15	29	28	15	25	4	5	12	70	92	48
	1980	62	129	113	51	111	70	15	13	18	29	91	70	34
