ELMENDORF AFB     & AK - 702720                                                 														
 61 deg    15' N  149 deg    48' W - Elev   65m   LST=GMT+99 hours   *NT=-10    														
 01/73-08/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.3	2.3	2.35	2.41	2.34	2.51	2.52	2.24	2.06	2.16	2.24	2.19	2.27
	1973	1.83	1.85	1.25	1.76	2.11	2.44	2.53	2.24	2.03	1.22	1.29	1.36	1.75
	1974	2	1.9	2.24	2.02	1.96	2.12	2.63	2.09	1.8	1.45	2.49	1.77	1.5
	1975	1.76	2.07	2.21	1.68	1.77	2.04	2.47	1.59	1.23	1.49	1.47	1.16	1.98
	1976	2.12	1.56	1.72	1.95	1.25	2.32	2.96	2.64	1.97	1.96	2.2	2.57	2.33
	1977	1.97	2.08	1.56	2.42	3.05	2.2	2.45	2.47	1.15	1.97	1.83	1.33	1.12
	1978	1.79	1.22	2.2	1.38	1.68	2.01	2.14	1.45	1.79	1.48	2.13	1.82	2.27
	1979	2.03	2.04	2.64	1.72	1.61	2.01	2.07	2.04	1.5	2.01	1.87	2.83	2.06
	1980	2.03	3	2.18	1.63	1.95	2.39	2.18	2.03	2.07	1.65	1.99	1.47	1.77
	1981	2.18	2.19	2.14	2.43	2.59	2.4	2.88	2.37	2.05	1.77	1.66	2	1.74
	1982	2.08	1.76	2.81	2.15	2.16	1.99	2.14	2.29	1.76	2.33	2.23	1.36	2.01
	1983	1.67	1.83	1.14	1.38	1.8	1.9	1.88	1.65	2.01	1.91	2.35	1.42	0.69
	1984	1.47	1.49	1.89	1.05	1.44	1.54	1.8	1.5	1.69	1.06	1.38	1.35	1.41
	1985	1.57	1.7	1.81	1.59	1.48	2.38	1.71	1.38	1.49	1.65	1.21	1.27	1.17
	1986	1.66	1.61	1.75	1.7	2.1	1.83	2.03	1.75	1.38	1.41	0.95	1.58	1.82
	1987	1.84	2.23	2.6	1.72	2.03	2.04	1.77	1.75	1.55	1.8	1.86	1.66	1.2
	1988	1.79	0.95	2.04	1.88	2.28	2.15	2.2	1.71	1.7	1.46	1.71	1.36	2.06
