EMMONAK             AK - 702084                                                 														
 62 deg    46' N  164 deg    30' W - Elev    3m   LST=GMT+99 hours   *NT=-11    														
 10/77-10/80 10/83-09/02                                                        							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	4.79	5.21	5.53	5.36	5.22	4.64	4.22	4.1	4.59	4.49	4.42	5.17	4.82
	1977	3.83	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.18	2.8	3.55
	1978	5.34	4.08	5.66	5.14	5.16	3.23	5.61	4.5	4.32	5.67	6.33	7.05	5.5
	1979	4.89	5.45	2.98	5.82	6.02	4.53	5.74	7.38	6.57	5.62	3.98	4.77	3.63
	1980	4.84	3.41	5.61	5.25	5.12	-1	-1	5.1	3.37	3.8	5.77	-1	-1
	1983	5.26	-1	-1	-1	-1	-1	-1	-1	-1	-1	5.32	5.13	5.33
	1984	5.19	4.8	4.84	6.41	5.56	5.15	4.7	5.64	5.48	4.79	4.81	4.38	5.59
	1985	5.2	5.82	5.45	5.81	4.75	5.53	4.96	4.21	5.18	4.96	5.32	4.89	5.37
	1986	4.43	4.53	4.12	4.82	-1	-1	-1	-1	-1	-1	-1	-1	4.1
	1987	4.35	4.99	5.23	4.5	4.85	4.49	4.37	3.31	3.22	4.62	3.98	3.96	4.39
	1988	4.81	3.84	6.26	5.6	5.51	5.2	5.55	3.95	4.24	4.32	4.54	4.14	5.43
	1989	5.15	4.7	7.1	5.41	6.25	6.42	-1	-1	3.22	2.69	5.01	5.09	4.94
	1990	4.61	4.53	4.69	3.69	3.5	3.12	4.01	4.89	5.91	5.77	4.95	5.62	5.14
	1991	5.09	5.73	5.67	5.86	4.69	4.19	4.79	4.58	4.19	4.86	5.77	5.59	4.66
	1992	4.37	3.61	4.32	4.3	4.96	4.22	4.66	-1	-1	-1	-1	-1	-1
	1993	2.9	1.85	3.51	-1	2.42	2.71	2.36	2.89	3.04	3.89	2.89	2.92	2.37
	1994	3.97	2.1	-1	3.41	-1	-1	-1	-1	-1	4.11	4.12	6.08	4.57
	1995	6.33	5.99	7.42	6.37	5.81	3.6	-1	3.3	7.7	4.99	4.1	-1	6
	1996	4.62	-1	-1	-1	-1	-1	-1	4.45	4.87	4.46	4.01	5.67	4.42
	1997	4.65	5.02	5.48	4.49	4.53	4.61	3.9	3.72	4.55	4.31	4.4	5.8	4.74
	1998	4.77	5.36	5.23	5.14	6.16	5.27	4.01	3.39	4.7	4.51	4.41	4.53	4.35
	1999	4.64	5.74	4.84	5.23	6.1	4.4	4.07	4.49	4.23	4.39	3.25	5.11	3.91
	2000	5.21	4.37	6.4	6.26	4.89	4.43	3.75	4.32	4.97	5.65	4.57	6.45	6.65
	2001	5.09	6.23	6.51	6.24	5.63	5.19	4.66	4.59	4.93	4.18	4.58	4.41	4.27
	2002	4.61	7.16	6.55	5.72	5	4.56	4.2	3.78	4.43	2.92	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	144	216	219	182	186	116	77	80	111	105	117	179	171
	1977	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	79	24	139
	1978	169	51	188	133	151	44	164	83	89	175	252	369	213
	1979	137	173	45	163	219	88	172	266	218	151	74	199	102
