FAIRBANKS INTL ARPT AK - 702610                                                 														
 64 deg    49' N  147 deg    52' W - Elev  138m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.38	1.46	1.65	2.35	2.89	3.4	3.17	2.9	2.77	2.67	2.31	1.53	1.31
	1973	2.26	1.02	1.97	2.49	2.86	3.34	3.34	3.24	2.65	2.1	2.02	1.09	1.07
	1974	2.5	1.34	1.23	2.59	3.05	3.28	3.58	2.88	2.95	2.96	2.91	1.72	1.51
	1975	2.42	1.58	2.11	1.91	2.7	3.43	3.26	3.16	2.86	2.57	2.46	1.68	1.37
	1976	2.51	1.48	1.52	2.6	2.99	3.54	3.57	2.86	2.59	2.81	2.19	1.69	2.16
	1977	2.47	1.95	1.71	2.45	2.57	3.5	3.37	3.15	2.81	3.13	2.77	1.35	0.7
	1978	2.6	1.27	1.92	2.81	2.88	3.97	3.59	2.7	2.96	2.63	2.84	1.68	1.79
	1979	2.33	1.1	1.32	2.8	2.6	3.39	3.24	2.83	2.45	2.48	2.17	1.73	1.78
	1980	2.71	1.68	2.52	2.43	3.94	4.24	3.51	3.3	2.98	3.39	2.28	1.66	0.59
	1981	2.81	2.09	2.08	2.99	3.69	3.54	3.7	3.37	3.1	2.81	2.47	2.37	1.43
	1982	2.58	1.94	2.16	2.4	2.96	3.46	3.02	3.2	2.47	2.92	2.89	1.56	1.93
	1983	2.68	1.74	2.11	2.86	3.04	4.17	3.6	3.28	2.97	2.87	2.9	1.58	0.95
	1984	2.42	1.42	1.55	2.74	2.76	3.34	2.93	3.48	3.05	2.38	2.36	1.71	1.23
	1985	2.57	1.69	1.94	2.15	3.2	3.76	3.78	3.38	3.33	3.4	2.07	0.9	1.27
	1986	2.41	1.65	1.57	2.31	3.14	3.22	3.27	3.39	2.79	2.73	2.36	1.06	1.25
	1987	2.42	1.61	1.43	1.92	3.21	3.61	3.42	3.22	2.93	2.55	2.08	1.68	1.28
	1988	2.42	1.16	2.34	3.12	3.51	3.09	2.86	2.8	2.57	2.11	2.21	1.72	1.61
	1989	2.41	1.02	1.96	2.58	1.9	2.97	3.46	2.87	2.65	2.85	2.77	1.81	2.03
	1990	2.48	1.38	1.26	2.38	2.95	2.91	3.31	2.74	2.92	3.22	2.76	2.02	1.87
	1991	2.56	1.96	2.41	2.31	2.16	3	3.06	2.84	3.5	2.87	2.51	2.23	1.91
