FIVE MILE CAMP      AK - 701795                                                 														
 65 deg    56' N  149 deg    50' W - Elev  155m   LST=GMT+99 hours   *NT=-10    														
 08/73-07/79 01/87-06/96                                                        								Adjusted to Alaska Timezone (GMT-9)						
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	1.48	0.74	0.95	1.47	2.59	2.38	2	1.86	1.48	1.42	1.29	0.69	0.56
	1973	1.2	-1	-1	-1	-1	-1	-1	-1	0	1.8	-1	-1	-1
	1974	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1975	1.22	0.36	0.89	1.15	2.5	1.96	1.09	1.14	1.17	1.14	1.24	0.83	0.55
	1976	1.82	1.17	0.87	1.74	2.92	2.8	3.01	2.44	1.51	1.97	1.26	0.54	1
	1977	1.86	0.61	1.17	1.75	2.81	2.96	2.59	2.65	2.12	1.6	1.97	0.4	0.18
	1978	0.8	0.25	0.87	2.41	-1	-1	3.85	0	4.05	0	2.5	0.62	0
	1979	1.7	0	0.19	4.55	4.1	2.5	2.74	3	-1	-1	-1	-1	-1
	1987	1.68	2.66	0.7	1.19	1.75	1.79	2.72	1.97	1.73	1.09	1.72	1.56	0.94
	1988	1.95	1.96	3.17	2.75	2.14	2.74	3.25	1.81	2.07	1	1.2	3	0.63
	1989	1.48	0.72	0.83	2.1	2.31	2.97	2.35	1.23	1.43	2.29	1.27	0.55	0.55
	1990	0.58	0	0	0.35	0.63	0.48	0.61	0.19	0.45	2.18	1.29	1.02	0.37
	1991	0.88	1.69	0.21	1.17	1.03	0.93	0.91	0.55	0.43	0.58	1.21	0.83	0.34
	1992	1.34	1.16	0.39	0.81	2.29	2.88	1.07	1.42	1.83	1.12	1.34	1.45	0.37
	1993	0.93	2.42	1.17	0.05	0.72	1.84	1.47	0.8	1.02	0.34	1.11	0.12	0.45
	1994	0.69	0.41	0.19	1.1	1.28	0.82	1.11	0.75	1.01	1.29	0.25	0.27	0
	1995	1.2	0.09	2.09	2.23	1.75	2.36	0.88	2.26	0.22	0.65	0.97	0.05	0.34
	1996	0.89	0	0.89	0.54	2.21	0.98	0.75	-1	-1	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	16	9	10	18	30	28	22	17	19	15	13	7	4
	1973	9	-1	-1	-1	-1	-1	-1	-1	0	14	-1	-1	-1
	1974	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1975	15	6	11	15	35	25	10	11	28	13	15	6	4
	1976	18	8	11	19	31	33	34	22	12	18	10	4	10
	1977	19	5	9	19	32	34	28	25	20	14	22	4	0
	1978	12	2	8	56	-1	-1	98	0	46	0	10	2	0
	1979	17	0	0	85	43	10	22	16	-1	-1	-1	-1	-1
	1987	7	20	2	7	5	5	12	7	5	2	7	8	3
	1988	26	8	71	27	16	34	82	6	12	4	4	80	2
