FORT YUKON (AWOS)   AK - 701940                                                 														
 66 deg    34' N  145 deg    16' W - Elev  131m   LST=GMT+99 hours   *NT=-10    														
 01/73-12/81 01/87-09/02                                                        							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.25	1.4	1.47	2.36	2.88	3.08	2.54	2.49	2.41	2.5	2.32	1.72	1.42
	1973	2.25	1.11	1.35	3.52	2.86	3.26	2.77	2.71	2.25	1.92	2.16	0.95	3.06
	1974	2.43	1.12	1.55	2.05	2.63	2.61	2.91	2.43	2.83	2.53	3.53	2.04	2.04
	1975	2.17	1.25	1.41	1.89	1.77	2.87	2.54	2.79	2.55	2.57	2.14	3.02	1.95
	1976	2.16	2.25	0.69	2.11	2.42	2.87	3.17	2.43	2.09	2.39	2.32	1.63	1.7
	1977	1.9	1.45	1.91	1.71	2.28	2.7	1.97	2.45	2.1	2.19	2.46	1.12	0.52
	1978	2.24	1.19	1.47	2.55	2.24	3.66	2.74	2.38	2.37	2.12	2.78	1.65	1.57
	1979	2.1	0.44	0.44	2.72	2.52	2.97	3.13	2.06	2.36	2.21	3.03	2.03	1.66
	1980	2.5	1.96	2.36	2.62	4.01	3.59	2.51	2.32	2.99	2.78	2.04	1.75	1.02
	1981	2.5	1.72	1.16	2.62	2.6	2.84	2.81	3.23	2.42	2.84	2.48	2.45	1.22
	1987	2.56	2.26	1.55	2.14	3.1	2.83	3.04	3.31	2.88	2.84	2.28	3.59	0.83
	1988	2.81	1.14	2.7	3.68	3.85	4.05	2.74	2.81	2.9	2.43	2.51	2.85	1.78
	1989	2.55	0.94	2.1	2.17	2.45	3.32	3.2	3.16	2.47	2.96	2.71	2.35	2.72
	1990	2.09	1.48	1.07	2.14	3.15	2.67	2.97	2.76	3.38	3.39	2.8	1.99	0
	1991	2.58	2.73	3.45	2.11	2.26	2.46	2.78	2.94	3.14	3.04	1.86	2.83	1.25
	1992	2.22	1.3	2.13	1.8	3.55	3.79	2.4	2.04	2.51	3.32	2.06	1.78	1.4
	1993	2.31	1.71	1.71	1.86	3.37	3.94	2.27	2.25	2.26	2.93	2.04	1.36	1.89
	1994	2.26	2.24	0.89	2.22	3.79	2.99	2.58	2.18	2.46	2.66	1.92	1.76	1.27
	1995	2.05	0.72	1.6	2.58	2.8	2.86	2.31	2.67	1.59	2.47	2.6	0.56	1.6
	1996	2.07	0.83	1.36	1.93	3.85	2.59	2.4	2.47	2.59	2.52	1.13	0.99	1.21
	1997	1.92	0.64	0.87	2.28	2.56	2.72	1.94	2.14	2.3	2.04	1.56	0.73	1.41
	1998	1.9	1.42	1.59	1.53	2.4	3.03	2	1.79	2.1	2.17	2.16	0.66	0.84
	1999	1.83	0.97	0.39	2.39	2.59	3.09	1.91	2.19	1.82	1.84	2.43	1.13	1.03
	2000	1.94	0.73	1.54	2.83	2.97	2.52	2.12	2.19	2.37	1.9	1.5	0.89	1.52
	2001	2.89	1.98	1.31	3.38	3.64	3.89	2.89	3.12	3.16	2.45	3.62	2.79	1.84
	2002	2.13	2.36	1.5	2.35	2.32	2.86	1.87	1.82	1.64	0.5	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	27	19	21	33	43	41	26	24	23	27	26	26	17
	1973	20	19	8	56	18	37	23	26	13	7	16	1	67
	1974	26	10	16	22	21	18	32	19	30	21	51	35	28
	1975	22	19	7	21	11	37	21	26	37	25	15	39	26
	1976	20	35	2	20	19	37	36	18	11	21	22	9	20
	1977	16	9	21	12	23	25	10	18	13	19	27	15	0
	1978	24	8	12	43	15	58	29	17	18	16	40	14	13
	1979	22	0	1	43	26	34	40	12	21	23	38	19	14
	1980	29	26	27	33	67	51	22	16	48	29	13	18	8
	1981	26	21	2	28	30	26	33	45	21	32	21	30	9
	1987	31	28	12	17	40	33	36	41	29	37	25	66	4
	1988	42	9	54	68	77	64	25	31	32	23	29	57	21
	1989	38	6	52	40	44	47	48	39	20	37	24	55	50
	1990	26	9	7	23	49	20	29	23	59	45	45	37	0
