FT.GREELY/ALLEN AAF AK - 702670                                                 														
 64 deg    00' N  145 deg    44' W - Elev  391m   LST=GMT+99 hours   *NT=-9 (Alaska Time Zone)														
Wind speed is in m/s														
 01/73-09/02                                                                    														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	3.97	5.52	4.83	4.14	3.77	3.69	3.16	2.73	2.94	3.65	3.74	4.51	5.18
	1973	3.96	3.41	4.81	3.09	4.11	4.6	2.99	2.73	2.66	3.59	4.32	4.22	6.95
	1974	3.87	4.3	3.36	4.07	4.86	3.72	3.64	3.29	3.35	4.5	4.25	4.09	3.04
	1975	4.11	4.57	6.33	3.8	3.85	4.85	3.46	3.34	2.84	4.12	3.7	3.63	4.86
	1976	4.3	4.85	3.59	3.64	5.41	4.13	3.11	2.75	3.08	5.14	3.58	5.72	6.4
	1977	3.94	6.44	5.54	3.24	4.45	3.82	3.15	2.86	3.16	3.55	4.77	3.28	3.43
	1978	4.24	7.06	6.96	4.09	3.6	3.54	2.85	3.26	2.97	2.41	3.88	4.96	5.17
	1979	4.04	7.14	4.08	3.69	3.02	3.8	3.46	2.84	3.68	4.08	4.8	4.81	3.08
	1980	3.98	4.47	6	4.64	4	4.74	2.8	2.64	2.47	2.94	4.45	4.3	4.41
	1981	3.87	7.71	4.63	5.43	2.94	3.44	2.26	2.4	3.58	2.72	2.87	3.62	4.66
	1982	3.9	6.97	3.38	4.51	3.17	2.67	3.95	2.5	1.96	4.44	2.18	4.56	6.34
	1983	3.95	5.24	5.94	3.51	4.22	3.19	2.59	2.37	2.54	2.99	2.75	6.89	5.36
	1984	3.27	4.15	2.59	3.76	3.22	2.77	2.61	2.31	2.26	3.26	3.92	3.35	5.24
	1985	3.68	6	2.91	4.33	3.04	3.97	2.97	2.3	2.77	3.68	2.25	4.63	5.27
	1986	3.66	5.29	3.65	2.26	2.18	2.27	3.29	2.7	4.02	3.29	4.13	5.37	5.49
	1987	4.19	5.58	4.99	5.26	3.34	4.02	5.15	2.43	2.4	4.2	4.77	3.69	4.71
	1988	4.12	6.26	8.55	4.73	4.76	2.33	2.14	2.1	3.38	2.55	3.29	3.13	6.53
	1989	3.98	3.52	4.39	3.35	3.34	3.55	3.95	2.93	3.57	4.15	4.56	4.17	6.11
	1990	3.37	4.91	3.75	4.82	2.67	2.51	2.55	2.54	2.15	3.79	3.16	3.31	4.29
	1991	3.91	4.14	4.82	2.7	4.08	4.67	2.81	2.26	3.12	4.8	4.07	4.3	5.26
	1992	3.45	4.46	3.09	4.38	3.07	2.96	2.84	2.22	3.21	2.2	3.76	4.62	4.63
	1993	3.68	3.96	5.63	3.84	3.67	3.32	2.4	2.52	3.01	3.67	3.93	3.66	6.5
	1994	3.78	7.92	3.84	4.41	3.21	4.51	2.38	2.78	2.47	3.45	3.37	3.89	4.7
	1995	3.84	5.38	4.31	3.47	3.74	4.41	2.73	2.52	2.2	4.02	3.21	3.33	6.54
	1996	3.24	3.49	3.17	3.72	3.22	2.98	3.46	2.73	2.37	3.08	2	5.86	2.94
	1997	4.09	6.15	6.41	3.48	4.03	3.44	2.99	2.33	2.83	4.13	3.09	6.14	4.88
	1998	5	7.05	5.4	6.37	6.45	6.18	4.11	3.08	3.41	3.99	4.64	5.1	3.69
	1999	4.1	5.72	5.05	3.86	4.6	4.18	3.21	3.06	3.43	4.01	3.27	4.53	4.43
	2000	4.61	5.19	4.4	5.67	4.11	3.46	3.8	3.39	3.51	3.24	4.5	5.74	8.04
	2001	4.68	6.45	5.51	4.06	4	3.63	3.51	3.5	3.63	4.11	4.75	5.93	6.63
	2002	4.29	6.84	6.69	4.94	3.27	3.44	3.75	3.16	2.36	3.37	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	163	367	259	163	110	95	63	37	62	118	137	241	320
	1973	122	118	187	80	95	133	35	21	27	64	131	160	406
	1974	104	217	83	94	121	64	46	49	54	111	126	161	93
	1975	143	158	395	120	98	134	59	45	48	143	92	148	277
	1976	152	228	128	98	195	94	49	27	43	206	85	287	368
	1977	123	377	244	55	118	89	39	50	42	83	182	119	103
	1978	162	466	380	121	69	54	30	54	36	32	135	237	312
	1979	170	602	179	136	51	78	58	46	124	154	232	252	127
	1980	172	334	332	265	151	162	52	41	38	59	202	211	235
	1981	160	598	202	260	43	93	18	30	118	40	69	182	256
	1982	193	728	136	235	54	33	137	29	15	228	41	222	435
	1983	174	440	348	111	150	50	24	23	72	65	62	479	248
	1984	112	236	83	130	78	27	30	20	27	89	169	178	301
	1985	145	367	91	151	45	135	58	17	56	129	43	341	305
	1986	158	350	173	65	34	44	74	44	134	107	213	354	310
	1987	177	316	217	271	68	123	211	32	34	181	235	204	252
	1988	224	419	888	232	230	44	35	12	64	56	105	115	535
	1989	174	164	163	110	104	98	139	67	104	155	227	286	452
	1990	137	356	203	192	72	28	45	48	40	139	140	108	269
	1991	158	190	269	40	147	170	44	22	75	199	154	274	318
	1992	132	274	109	209	67	36	40	17	71	33	153	297	284
	1993	135	163	367	94	87	72	25	35	109	144	189	145	397
	1994	156	691	139	173	60	152	26	52	52	118	124	205	283
	1995	161	353	209	156	129	170	40	28	28	133	102	141	438
	1996	110	133	118	135	83	55	92	41	30	92	23	401	116
	1997	180	562	376	118	109	59	35	13	42	163	93	349	343
	1998	257	526	300	319	402	378	129	43	71	202	188	300	206
	1999	167	395	284	143	137	127	45	32	92	148	93	222	294
	2000	208	301	267	286	109	49	111	63	94	58	150	281	706
	2001	208	469	323	150	134	56	40	51	69	108	191	350	491
	2002	170	403	433	232	85	56	104	39	18	37	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	232697	19405	18041	20215	19607	20075	19277	20268	19767	18742	19387	18919	18994
	1973	5669	469	427	470	448	457	440	471	536	473	489	483	506
	1974	6336	494	502	490	455	481	466	484	496	574	623	631	640
	1975	7893	676	632	661	654	657	644	670	660	644	655	658	682
	1976	7922	686	664	708	670	705	649	671	553	646	654	645	671
	1977	7646	627	603	681	638	692	638	696	646	556	549	668	652
	1978	7954	698	608	702	614	689	629	683	584	677	712	670	688
	1979	8490	708	654	728	702	715	692	713	740	714	734	713	677
	1980	8602	693	683	738	712	742	703	734	728	717	734	681	737
	1981	8620	744	669	737	716	742	720	743	736	707	673	716	717
	1982	8440	733	633	738	719	738	717	740	700	693	667	650	712
	1983	7087	706	553	496	601	591	562	580	634	640	587	534	603
	1984	7160	601	513	620	634	647	601	642	607	570	576	586	563
	1985	7826	564	533	661	677	687	640	657	623	685	696	697	706
	1986	8106	719	635	685	700	686	687	715	684	569	703	675	648
	1987	7801	642	551	625	633	669	638	699	662	659	695	655	673
	1988	8051	697	639	703	621	681	680	707	706	635	681	653	648
	1989	7960	664	654	701	668	697	676	583	668	641	678	638	692
	1990	7863	646	646	645	635	599	637	689	679	622	699	662	704
	1991	8329	656	653	728	659	673	640	733	727	697	728	711	724
	1992	8441	734	671	736	710	726	702	727	676	690	730	692	647
	1993	7755	626	395	723	705	695	693	725	722	634	685	704	448
	1994	7182	437	384	599	659	713	645	705	708	651	568	521	592
	1995	7522	616	592	564	611	667	675	653	600	635	644	590	675
	1996	7508	616	583	673	566	625	568	577	689	689	648	626	648
	1997	7094	490	528	643	457	612	659	671	623	571	570	634	636
	1998	7082	550	635	642	680	617	634	642	536	560	584	549	453
	1999	7818	579	460	691	685	671	510	601	634	651	781	834	721
	2000	9612	693	777	840	785	751	750	811	813	848	864	824	856
