GALBRAITH LAKE      AK - 700635                                                 														
 68 deg    29' N  149 deg    29' W - Elev  814m   LST=GMT+99 hours   *NT=-10    														
 01/75-09/80 01/87-08/02                                                        									Adjusted to Alaska Time Zone (GMT-9)					
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.71	2.7	2.36	2.37	2.69	3.2	3.32	3.17	2.75	2.72	2.73	2.36	2.16
	1975	3.04	2.53	3.23	3.05	3.02	3.35	3.81	3.33	3.14	2.81	3.46	2.81	2.15
	1976	2.61	3.05	2.15	2.41	3.59	3.65	3.31	2.95	2.21	2.52	2.09	2.49	0.57
	1977	2.31	2.38	1.29	1.37	2.11	2.77	2.95	3.35	2.32	3.5	2.8	0.74	3.65
	1978	2.43	1.89	2.86	2.33	-1	-1	4.37	3.6	3.3	0	0	9.07	2.5
	1979	2.47	0	0.95	2.05	6.6	5.1	2.97	4.07	-1	-1	-1	-1	-1
	1980	2.49	3.2	4.6	0	-1	1.5	-1	-1	-1	1.77	-1	-1	-1
	1987	3.05	4.32	1.81	1.57	2.51	5.01	6.45	3.32	2.27	2.44	1.81	0.91	5.21
	1988	3.39	3.36	3.87	3.36	3.84	4.12	4.02	5.41	4.3	2.36	0.56	1.02	3.32
	1989	3.8	1.88	6.69	2.38	6.9	3.67	4.99	3.94	4.94	3.9	4.2	1.68	2.93
	1990	3.04	0.58	4.38	6.03	2.69	2.91	4.17	3.21	3.5	3.11	2.84	2.56	2.43
	1991	2.3	4.41	1.96	1.5	1.03	2.8	2.51	3.29	1.79	1.65	2.24	0.48	1.8
	1992	2.89	0.77	1.2	2.63	1.29	1.69	2.66	3.13	4.47	1.81	2.57	3.02	6.68
	1993	2.76	5.47	0.26	2.2	0.45	3.73	3.44	1.12	2.68	2.87	2.97	2.82	4.65
	1994	3.04	5.58	3.48	2.65	0	2.04	2.84	1.89	7.59	1.09	1.74	1.44	3.3
