GALENA AIRPORT      AK - 702220                                                 														
 64 deg    44' N  156 deg    56' W - Elev   46m   LST=GMT+99 hours   *NT=-10    														
 01/73-08/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2	1.65	1.75	1.94	2.19	2.2	2.05	1.99	2.16	2.24	2.19	1.92	1.74
	1973	1.91	2.36	1.47	1.48	1.8	2.09	1.98	2.33	1.92	1.8	2.47	1.47	1.75
	1974	1.65	1.34	1.42	1.55	1.52	1.84	2.12	1.79	2.25	1.79	1.73	1.56	0.95
	1975	1.64	1.5	1.77	1.72	1.71	1.53	1.82	1.55	1.65	1.99	2.32	1.17	1.03
	1976	1.59	1.1	0.56	1.91	1.6	1.9	2.21	1.88	1.19	1.91	1.82	1.62	1.34
	1977	1.84	1.77	1.3	1.89	1.94	2.17	1.74	1.54	1.4	2.65	2.28	1.33	2.01
	1978	1.86	1.11	1.21	1.4	1.83	2.27	2.17	1.61	1.34	1.58	2.24	2.64	2.9
	1979	2.04	2.33	0.53	2.49	2.74	1.61	2.48	1.68	1.97	2.39	1.78	3.14	1.34
	1980	1.92	1.53	2.61	2.17	2.2	2.23	2.26	1.88	1.72	2.37	2.02	1.25	0.9
	1981	1.74	1.42	1.7	2.21	2.1	1.81	1.69	2.07	1.6	1.75	1.84	1.37	1.29
	1982	2.33	2.1	1.79	2.48	2.62	2.5	2.51	2.46	1.61	2.68	2.75	2.61	1.82
	1983	2.09	1.7	1.69	1.95	2.43	2.44	2.02	1.92	2.1	2.35	2.29	2.03	2.15
	1984	1.88	1.26	1.7	2.11	2.09	2.16	1.4	2.2	2.41	1.51	1.98	1.6	2.12
	1985	2.13	1.49	2.29	2.14	1.45	2.92	2.37	1.91	2.21	2.69	2.39	2.1	1.57
	1986	1.94	1.21	1.51	1.19	1.87	2.27	2.31	2.32	2.41	2.94	1.68	1.94	1.61
	1987	1.87	2	1.13	1.2	1.84	1.99	1.78	1.62	1.77	2.25	2.64	2.5	1.74
	1988	2.03	1.38	2.05	2.75	2.26	1.58	1.39	1.99	2.25	1.72	1.99	2.02	2.95
	1989	2.02	1.34	3.66	2.07	2.3	2.17	2.04	1.79	1.79	1.6	2.12	1.68	1.89
	1990	1.67	0.79	0.83	1.47	1.96	1.21	1.55	1.31	2.32	2.55	2.23	2.32	1.47
	1991	1.67	1.71	1.9	1.51	1.34	1.24	1.67	1.63	1.66	2.13	2.48	1.6	1.1
	1992	1.5	1.01	0.88	1.22	1.76	2.64	1.51	1.11	1.9	1.62	1.62	1.18	1.6
	1993	2.12	1.82	1.44	1.12	1.44	1.74	1.76	1.47	2.25	3.86	3.51	2.75	2.7
	1994	2.6	2.35	2.39	2.69	2.66	2.19	2.41	2.79	3.72	2.02	2.04	3.37	2.58
	1995	2.27	1.89	2.34	2.18	2.75	2.74	2.39	2.28	2.33	2.53	2.56	1.24	2.14
	1996	2.3	2	2.72	2.12	2.63	2.53	2.54	2.7	2.89	2.35	1.93	2.53	0.72
	1997	2.1	1.47	1.64	1.78	2.13	2.63	2.25	2.2	3.08	2.23	2.06	2.37	1.31
	1998	2.46	1.62	1.18	2.27	3.43	3.3	2.56	2.24	3.42	2.81	2.8	1.71	1.9
	1999	2.15	1.89	1.68	1.98	3.44	2.74	1.84	2.93	2.17	2.24	1.77	1.43	1.37
	2000	2.59	2.14	2.43	2.58	2.64	2.48	2.31	2.22	3.62	2.75	1.99	2.77	3.11
	2001	2.36	2.4	2.97	3	3.66	2.91	2.56	2.79	2.82	1.92	2.31	0.8	1.39
	2002	2.47	2.14	2.28	2.82	2.84	3.34	2.14	2.35	2.29	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	27	29	29	27	26	23	19	18	24	28	28	35	34
	1973	30	76	32	18	13	33	16	25	15	16	39	32	46
	1974	20	23	25	16	8	15	14	12	32	16	23	41	15
	1975	23	29	28	23	20	9	20	8	17	21	58	17	21
	1976	16	12	9	37	11	14	21	17	6	17	17	16	20
	1977	24	29	16	33	18	20	11	12	10	41	32	20	45
