GAMBELL (AWOS)      AK - 702040                                                 														
 63 deg    46' N  171 deg    44' W - Elev    8m   LST=GMT+99 hours   *NT=-11    														
 06/87-09/02                                                                    					Adjusted to Alaska Timezone (GMT-9)									
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	8.17	10.1	10.36	8.95	8.31	6.69	5.84	5.88	6.87	7.87	8.31	10.16	10.41
	1987	8.19	-1	-1	-1	-1	-1	6.44	5.15	5.75	8.64	9.57	11.27	10.34
	1988	8.01	9.76	10.08	8.24	8.72	8.48	6.07	5.17	7.73	6.56	7.06	10.82	-1
	1989	6.27	-1	-1	4.39	10.46	7.54	4.76	5.42	6.41	-1	-1	-1	-1
	1990	9.62	-1	-1	-1	-1	-1	-1	-1	-1	6.15	10.4	10.25	10.62
	1991	8.2	9.69	10.9	9.42	9.15	6.77	5.33	5.49	6.11	9.08	8.12	10.17	9.97
	1992	7.76	11.13	9.73	8.58	6.65	6.15	6.25	5.13	6.77	7.51	7.66	10.11	9.05
	1993	8.04	6.6	10.02	8.88	11.37	6.77	5.82	5.86	6.21	9.05	7.76	9.44	11.58
	1994	8.05	10.24	8.49	9.81	9.06	7.15	5.13	5.24	7.63	8.23	7.31	8.42	10.02
	1995	7.65	8.81	9.09	5.69	8.66	5.57	5.64	6	4.92	8.15	7.7	7.95	13.47
	1996	8.48	8.43	10.22	8.72	9.02	6.82	6.81	6.6	6.98	9.33	8.93	10.74	8.64
	1997	7.64	10.8	10.98	6.79	6.53	7.38	5.66	5.83	6.46	7.49	6.54	10.56	9.25
	1998	7.7	11.47	-1	9.02	8.15	7.19	5.91	5.55	8.06	6.93	7.67	10.3	16.27
	1999	8.09	9.37	9.2	11.6	8.77	5.5	5.9	6.25	7.56	7.66	9.26	10.21	8.74
	2000	9.27	10.94	13	11.34	8.45	6.68	6.49	5.85	6.99	6.13	9.87	12.68	13.39
	2001	9.6	13.04	12.79	10.36	9.66	7.31	7.28	6.77	8.27	8.6	9.69	10.8	9.52
	2002	7.25	11.86	9.67	9.36	6.03	6.26	4.52	6.55	6.75	5.39	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	704	1196	1223	955	676	351	246	229	365	587	653	1144	1229
	1987	630	-1	-1	-1	-1	-1	264	121	215	636	868	1252	1037
	1988	558	716	940	555	685	492	219	169	610	467	400	1008	-1
	1989	285	-1	-1	122	883	429	113	162	276	-1	-1	-1	-1
	1990	1013	-1	-1	-1	-1	-1	-1	-1	-1	246	1029	1203	1304
	1991	664	1063	1148	1078	686	313	175	202	292	773	583	1027	1110
	1992	626	1414	999	895	427	223	268	152	340	537	570	1184	872
	1993	657	445	1008	848	1067	390	229	186	265	838	567	1030	1376
	1994	718	1085	858	1327	720	397	237	210	467	903	542	800	1137
	1995	629	917	820	363	833	287	177	220	156	521	492	521	2210
	1996	735	747	1255	903	854	330	375	308	343	814	783	1209	793
	1997	586	1214	1234	426	364	461	179	220	339	513	306	1330	969
	1998	563	1353	-1	868	560	480	207	213	521	426	661	655	3636
	1999	677	1119	1079	1529	740	214	264	315	416	463	740	1147	782
	2000	972	1615	1853	1315	718	309	266	214	350	281	932	1890	2073
	2001	991	1924	1893	1456	1088	426	383	284	543	580	922	1247	874
	2002	604	1800	1274	1069	462	338	237	298	348	183	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	94840	7594	6509	6886	7260	8660	8577	8653	10143	7612	7988	7524	7434
	1987	1600	0	0	0	0	0	218	237	210	238	254	211	232
	1988	2356	233	236	254	231	250	247	149	221	234	203	98	0
	1989	459	0	0	15	33	120	124	101	66	0	0	0	0
	1990	1337	0	0	0	0	0	0	0	0	258	304	320	455
	1991	6786	392	381	444	649	743	567	580	582	563	691	644	550
	1992	7647	467	439	511	684	707	519	683	742	706	738	715	736
	1993	7751	733	646	691	152	569	708	736	733	654	732	674	723
	1994	8288	724	621	655	702	736	691	688	675	705	733	692	666
	1995	8236	678	651	684	656	677	685	708	678	697	727	683	712
	1996	8224	717	692	700	680	715	679	497	735	657	718	722	712
	1997	7549	505	328	497	674	717	690	741	719	620	713	689	656
	1998	5327	532	0	535	700	722	550	702	716	603	263	1	3
	1999	7817	608	668	219	703	746	721	738	644	673	654	710	733
	2000	8524	729	678	689	709	726	712	724	736	720	717	683	701
	2001	6674	680	662	473	330	567	564	673	686	261	541	682	555
	2002	6265	596	507	519	357	665	902	696	2000	23	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	3748	283	233	260	293	353	349	363	409	300	300	303	302
	1	3803	330	278	279	295	344	327	326	403	306	318	298	299
	2	3697	312	261	269	283	335	316	326	385	286	324	305	295
	3	3744	287	235	265	288	353	356	355	426	299	301	294	285
	4	3829	331	284	281	291	328	324	346	414	301	320	306	303
	5	3676	313	261	275	283	335	303	315	392	284	316	293	306
	6	3877	287	242	264	290	378	384	382	444	314	311	293	288
	7	4149	324	282	288	336	380	410	387	430	343	351	307	311
