GULKANA ARPT (AUT)  AK - 702710                                                 														
 62 deg    09' N  145 deg    27' W - Elev  481m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.39	1.47	1.73	2.26	2.88	3.32	3.19	2.98	2.91	2.96	2.24	1.3	1.33
	1973	2.69	2.34	1.97	3.01	4.08	4.42	3.82	4.06	3.71	2.41	1.82	1.1	0.85
	1974	2.37	1.43	1.47	1.68	3.39	3.01	4.01	3.22	2.67	2.8	2.79	2.18	0.63
	1975	2.51	1.71	2.2	1.41	3.38	3.63	3.36	2.94	2.32	3.61	3.4	0.63	1.78
	1976	2.58	1.49	1.57	2.39	3.32	3.31	2.98	2.93	2.73	3.12	2.62	2.52	1.59
	1977	2.27	2.1	2.1	2.19	4.3	2.85	2.88	2.94	1.97	3.09	1.9	0.36	0.58
	1978	2.26	0.34	1.9	1.71	2.54	3.1	3.82	3.4	2.34	1.9	3.18	1.37	1.4
	1979	2.5	0.69	1.38	2.58	2.35	4.06	3.51	2.86	2.89	3.51	2.79	2.85	1.19
	1980	2.27	2.51	2.18	1.72	2.77	3.27	3.02	3.06	2.4	2.18	2.16	1.3	0.56
	1981	2.17	2.02	1.93	2.27	1.94	2.87	2.68	2.95	3.41	2.23	1.8	1.1	0.83
	1982	2.18	0.64	1.9	2.44	2.61	2.72	3.15	2.96	2.32	2.85	2.06	1.05	1.48
	1983	1.81	0.91	0.47	0.59	2.82	3.05	2.64	2.2	2.84	2.51	2.38	0.91	0.3
	1984	1.94	1.28	1.39	1.49	2.74	2.3	2.89	2.51	2.86	2.04	2.04	0.64	1.07
	1985	2.36	1.61	1.51	2.89	2.24	3.33	2.8	2.79	2.96	3.42	1.84	1.47	1.55
	1986	2.33	0.69	2.13	1.58	2.16	3.11	3.17	2.92	3.83	2.7	2.38	1.22	2.14
	1987	2.64	2.37	2.44	2	2.82	3.47	3.85	2.69	2.39	3.43	3.25	1.35	1.51
	1988	2.39	0.68	2.14	2.49	3.28	3.1	3.09	3.03	3.28	2.82	1.96	0.59	2.15
	1989	2.36	1.67	1.08	2.54	2.67	3.24	2.86	2.61	2.78	2.73	2.85	1.08	2.05
	1990	2.32	1.77	1.55	2.55	2.13	2.69	3.24	2.85	2.45	3.8	1.51	1.66	1.59
	1991	2.37	1.73	1.52	2.63	2.58	3.34	2.69	3.02	2.98	3.5	1.99	0.74	1.62
	1992	2.32	1.27	1.81	3.09	2.2	2.97	3.15	2.91	2.86	2.44	1.88	2.16	1.12
	1993	2.39	1.36	1.71	2.01	2.08	3.33	2.62	2.48	3.23	3.99	2.08	2.09	1.35
	1994	2.59	1.07	1.74	3.74	2.92	3.71	3.34	2.96	2.61	2.72	1.62	2.15	1.81
	1995	2.16	0.69	1.85	2.14	2.39	3.19	2.86	2.81	2.3	2.96	1.82	1.53	1.06
	1996	2.5	0.59	2.53	2.6	3.15	3.7	4.27	4.02	4.02	3.35	1.42	0.91	1.43
	1997	2.27	0.68	2.13	2.17	2.67	3.68	2.93	2.46	3.21	3.08	1.67	1.2	1.74
	1998	2.43	0.55	0.75	2	4.78	4.77	4.06	3.02	3.39	3.01	1.8	0.34	0.53
	1999	2.41	1.26	1.06	2.82	3.5	3.64	3.15	2.97	3.41	3.31	2.46	0.25	1.78
	2000	2.35	2.38	1.53	2.43	2.81	2.92	3.12	3.19	2.69	3.01	1.8	1.72	0.84
	2001	3.21	2.76	1.91	3.54	3.38	4.3	3.47	3.57	3.5	3.25	3.79	1.12	2.15
	2002	3.07	3.49	2.01	1.57	3.34	3.42	3.35	3.79	3.72	3.03	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	44	32	37	52	61	60	49	41	48	57	40	22	26
	1973	55	58	29	79	97	107	68	78	114	32	24	10	5
	1974	40	32	10	14	79	38	76	49	46	48	62	37	4
	1975	45	28	42	18	77	63	52	37	26	82	77	6	38
	1976	50	56	46	43	64	55	40	46	38	71	50	59	30
	1977	44	57	37	48	121	47	40	41	23	74	23	1	9
	1978	35	1	36	24	38	42	82	49	32	20	62	21	15
