GUSTAVUS            AK - 703670                                                 														
 58 deg    25' N  135 deg    44' W - Elev    9m   LST=GMT+99 hours   *NT= -9    														
 08/76-09/83 07/87-09/02                                                        														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.24	2.1	2.18	2.58	2.38	2.38	2.02	1.79	1.93	2.2	2.63	2.37	2.45
	1976	3.65	-1	-1	-1	-1	-1	-1	-1	3.39	3.46	3.86	3.98	3.61
	1977	2.6	2.6	3.2	-1	-1	-1	3.55	2.5	-1	1.5	1.5	-1	-1
	1978	3.13	-1	-1	-1	3.3	-1	2	4.1	-1	-1	2	4.1	-1
	1979	7.7	-1	-1	7.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1980	2.86	-1	-1	-1	-1	-1	-1	2.62	3.33	2	2.5	5.1	1.5
	1981	2.21	1.62	1.57	-1	-1	4.1	3.03	3.23	-1	1.5	-1	-1	-1
	1982	3.09	-1	-1	-1	5.55	3.4	2.72	2.72	2.69	2.63	-1	2.5	-1
	1983	3.3	-1	-1	-1	-1	-1	-1	-1	4.1	2.5	-1	-1	-1
	1987	3.2	-1	-1	-1	-1	-1	-1	3.06	2.57	3.44	3.42	3.24	3.42
	1988	2.96	2.65	3.13	2.99	3.8	2.98	2.97	2.66	2.42	2.53	2.75	3.18	3.58
	1989	2.87	3.71	1.91	2.72	2.74	3.13	3.01	2.75	2.71	2.86	3.16	3.1	2.58
	1990	3.22	2.64	3.58	3.01	3.32	3.14	3.12	3.04	2.95	3.49	3.62	3.28	3.2
	1991	3.16	2.43	3.32	3.36	3.5	3.44	3.35	2.9	3.14	2.82	3.15	3.1	3.56
	1992	2.58	3.68	3.4	3.51	3.51	3.89	3.12	1.41	1.35	1.97	1.91	1.89	1.95
	1993	1.54	1.79	1.53	1.73	1.48	1.58	0.9	1.17	1.14	1.41	1.44	2.24	1.95
	1994	1.76	0.93	1.99	2.32	1.7	1.91	1.6	1.32	1.12	1.64	2.14	2.38	2.19
	1995	1.49	0.85	1.7	2.38	1.84	1.46	1.45	1.09	1.08	1	1.67	2.07	1.3
	1996	1.62	0.97	2.03	2	1.95	1.51	1.5	1.33	1.16	1.5	1.8	1.34	2.33
	1997	1.78	1.31	1.23	2.19	1.7	1.74	1.84	1.54	1.59	1.9	2.42	1.58	2.2
	1998	2.07	0.84	2.32	1.73	2.58	2.25	1.93	1.56	1.99	2.14	2.83	1.74	3.3
	1999	2.73	3.77	2.24	3.29	3.25	2.45	1.87	1.99	2.01	2.52	3.62	2.83	3.63
	2000	2.33	2.78	1.52	3.18	2.53	2.21	1.84	1.65	1.94	2.31	3.27	2.9	1.77
	2001	3.2	3.85	2.2	3.29	2.57	3.94	3.07	3.01	2.84	4.01	3.67	3.11	1.98
	2002	2.41	3.38	3.42	2.89	2.79	2.75	2.14	1.74	2.29	2.12	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	31	37	37	41	31	29	20	14	19	29	42	37	43
	1976	51	-1	-1	-1	-1	-1	-1	-1	34	38	64	68	53
	1977	22	22	41	-1	-1	-1	30	9	-1	2	2	-1	-1
	1978	23	-1	-1	-1	22	-1	5	43	-1	-1	5	43	-1
	1979	290	-1	-1	290	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1980	23	-1	-1	-1	-1	-1	-1	19	29	5	10	83	2
	1981	14	3	6	-1	-1	43	31	25	-1	2	-1	-1	-1
	1982	33	-1	-1	-1	129	28	16	16	16	19	-1	10	-1
	1983	26	-1	-1	-1	-1	-1	-1	-1	42	10	-1	-1	-1
	1987	49	-1	-1	-1	-1	-1	-1	29	20	76	48	50	66
	1988	38	36	47	32	60	27	29	20	20	22	54	45	67
	1989	41	74	21	31	27	40	34	27	23	77	59	50	34
	1990	45	24	75	36	47	35	27	51	29	48	64	49	47
	1991	43	21	49	48	44	41	33	23	36	28	40	78	78
	1992	35	67	46	55	56	64	29	5	8	17	16	22	29
	1993	15	27	20	19	8	11	5	7	7	10	16	28	25
	1994	18	6	32	22	13	14	10	8	5	11	20	33	47
	1995	13	6	26	32	16	9	9	5	6	4	11	20	11
	1996	16	7	30	23	16	11	9	8	5	11	12	13	43
	1997	21	12	9	25	17	13	13	10	12	22	41	20	49
	1998	26	6	32	17	31	21	17	11	16	19	62	24	77
	1999	49	105	33	80	72	26	14	16	27	39	72	67	71
	2000	38	65	26	68	40	23	14	11	20	36	76	53	25
	2001	61	107	56	81	44	97	27	32	21	90	55	49	6
	2002	36	51	90	47	43	39	35	11	32	18	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	100490	7383	7737	8327	7803	9643	8896	9574	10171	7693	8076	7709	7478
	1976	710	0	0	0	0	0	0	0	172	154	150	138	96
	1977	46	36	3	0	0	0	2	2	0	2	1	0	0
	1978	6	0	0	0	2	0	1	1	0	0	1	1	0
	1979	1	0	0	1	0	0	0	0	0	0	0	0	0
	1980	35	0	0	0	0	0	0	20	11	1	1	1	1
	1981	19	4	7	0	0	1	3	3	0	1	0	0	0
	1982	61	0	0	0	8	4	5	5	9	29	0	1	0
	1983	2	0	0	0	0	0	0	0	1	1	0	0	0
	1987	1544	0	0	0	0	0	0	201	265	270	296	250	262
	1988	2920	266	257	244	171	225	265	248	261	191	281	222	289
	1989	3097	280	260	276	263	269	253	256	253	188	269	243	287
	1990	3025	114	198	267	278	282	268	278	282	261	281	239	277
	1991	3160	275	233	230	256	237	268	271	258	288	297	273	274
	1992	3335	285	239	271	260	262	153	168	233	212	249	390	613
	1993	8388	717	589	738	717	723	565	736	739	708	727	693	736
	1994	8223	711	626	732	670	735	653	711	741	699	734	692	519
	1995	8275	656	656	674	682	728	697	714	676	671	733	682	706
	1996	8401	714	692	728	712	740	683	569	735	657	733	706	732
	1997	8322	613	691	712	724	730	700	604	694	710	719	701	724
	1998	7923	604	654	717	699	689	626	719	726	684	698	702	405
	1999	8054	372	663	730	530	763	671	741	759	706	666	718	735
	2000	8307	721	662	712	600	726	631	719	736	705	715	692	688
	2001	6010	601	640	580	682	586	447	487	432	531	525	365	134
	2002	10626	414	667	715	549	1943	2005	2121	2188	24	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	3443	251	241	276	264	349	319	353	366	261	260	254	249
	1	3465	236	289	315	280	346	311	316	337	259	259	268	249
	2	3397	246	286	300	275	335	282	325	329	234	268	261	256
	3	3449	257	254	256	268	358	327	349	366	262	260	254	238
	4	3464	251	300	314	278	330	303	318	336	253	255	260	266
	5	3393	251	261	292	280	343	308	306	341	240	263	252	256
	6	4217	246	262	270	372	473	432	454	481	371	381	246	229
	7	5241	365	397	440	402	475	464	516	528	422	450	395	387
	8	5196	375	396	414	394	473	455	489	509	424	450	425	392
	9	5232	382	377	416	392	481	458	503	531	442	442	409	399
	10	5053	387	412	437	395	446	426	459	490	383	400	411	407
	11	4677	357	357	397	377	454	416	435	438	338	390	354	364
	12	4856	333	350	372	393	490	448	493	530	380	416	339	312
	13	4901	354	370	398	341	433	424	473	502	395	427	400	384
	14	4964	378	387	394	359	446	417	461	506	417	434	400	365
	15	5175	390	385	410	383	488	474	493	538	442	438	376	358
	16	4873	384	387	418	368	424	382	441	480	356	383	436	414
	17	4235	319	360	375	348	408	346	377	416	281	337	337	331
	18	3897	310	313	344	268	359	344	360	402	278	274	313	332
	19	3558	267	281	314	276	345	323	337	359	261	254	276	265
	20	3455	263	271	294	280	343	304	310	343	245	276	266	260
	21	3469	251	247	274	267	349	325	352	370	269	253	254	258
	22	3479	263	285	310	269	354	306	335	334	246	254	267	256
	23	3401	267	269	297	274	341	302	319	339	234	252	256	251
	24	3443	251	241	276	264	349	319	353	366	261	260	254	249
SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	1.54	1.84	1.85	2.08	1.22	1.24	0.82	0.69	1.22	1.8	2.33	1.93	2.17
	1	1.53	1.87	1.64	2.1	1.34	1.17	0.66	0.7	1.27	1.63	2.31	1.94	2.26
	2	1.56	1.96	1.88	2.01	1.48	1.12	0.72	0.75	1.17	1.53	2.23	2.16	2.16
	3	1.5	1.92	1.91	1.92	1.17	1.16	0.71	0.85	1.08	1.71	2.25	2.11	2.07
	4	1.53	1.98	1.8	2	1.26	1.11	0.66	0.73	1.13	1.7	2.34	1.97	2.21
	5	1.55	1.9	1.96	1.96	1.34	1.14	0.78	0.79	1.24	1.58	2.3	2.09	2.08
	6	1.71	1.79	1.83	2.08	1.58	1.65	1.14	1.16	1.27	1.97	2.49	2.05	2.37
	7	1.96	2.3	2.19	2.22	1.83	1.94	1.4	1.3	1.5	2.04	2.46	2.34	2.46
	8	2.15	2.28	2.16	2.45	2.18	2.24	1.89	1.49	1.65	2.11	2.64	2.45	2.48
