HAYES RIVER         AK - 702495                                                 														
 61 deg    59' N  152 deg    05' W - Elev  305m   LST=GMT+99 hours   *NT=-10    														
 01/73-05/84 06/87-09/02                                                        						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	1.81	1.45	1.54	1.8	1.86	1.97	2.17	1.86	1.91	2.03	2.04	1.58	1.39
	1973	1.49	1.53	0.75	2.01	1.86	1.46	1.45	1.42	1.74	2.02	2.23	1.65	0.2
	1974	1.67	0.84	1.92	1	0.61	1.33	2.47	1.81	2.11	1.76	1.72	1.95	1.69
	1975	2.25	2.22	1.87	2.25	2.81	2.21	2.23	2.16	2.22	2.11	2.85	2.2	1.68
	1976	2.29	1.66	2.48	2.32	2.73	2.67	2.67	2.47	1.7	2.13	1.23	1.2	1.15
	1977	1.54	0.77	1.11	1.79	0.5	0	1.99	1.34	1.41	2.64	2.25	-1	1.25
	1978	1.67	1.41	-1	4.6	2.7	1.58	2.69	0	5.1	2.07	1.81	1.25	1.09
	1979	1.72	0.81	1.21	1.34	1.32	1.21	1.64	2.56	1.87	2.06	1.51	2.71	1.69
	1980	1.71	1.83	1.81	1.62	1.2	1.54	1.24	1.59	1.42	1.35	1.99	2.09	-1
	1981	2.47	3	-1	-1	-1	-1	-1	-1	1.89	-1	2.81	1.5	-1
	1982	3.25	3.23	-1	1.33	2.3	10.6	-1	4.6	-1	1	0	0.67	-1
	1983	0.75	-1	0	-1	-1	-1	1.5	-1	-1	1.5	0	-1	-1
	1984	0.75	1.5	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1
	1987	1.95	-1	-1	-1	-1	-1	2.38	1.88	1.99	2.38	1.9	1.83	1.33
	1988	1.85	0.98	1.85	1.91	2.68	1.96	2.38	1.87	1.96	2.14	1.54	1.67	1.2
	1989	1.98	2.84	0.75	1.65	1.87	2.75	2.77	2.47	1.88	1.69	2.07	1.45	1.21
	1990	2.06	1.18	2.2	2.01	1.64	2.18	2.24	2.15	1.83	2.55	2.8	2.44	1.3
	1991	1.93	1.27	1.92	1.8	2.28	2.47	2.5	2.09	2.04	1.99	1.93	1.32	1.51
	1992	2.12	1.61	2.08	2.18	2.67	2.61	2.54	2	2.04	3.09	1.69	1.74	1.56
	1993	2.01	1.65	1.74	2.01	2.08	2.28	2.84	2.42	2.62	2.27	1.84	1.32	1.11
	1994	2.18	0.98	1.86	2.91	2.3	2.59	2.74	2.18	2.24	1.9	2.4	2.65	1.29
	1995	1.88	1.15	1.52	3.05	2.12	1.76	2.2	1.83	2.36	1.8	2.24	1.75	0.81
	1996	1.52	0.92	1.88	1.33	1.24	3	1.82	1.78	1.94	2.02	1.79	0.38	1.89
	1997	1.96	1.34	0.58	1.8	1.91	1.83	1.72	1.37	2.03	2.18	3.4	1.77	2.69
	1998	1.44	1.51	1.33	2.27	1.9	1.61	1.7	1.4	1.37	1.03	1.2	0.74	1.57
	1999	1.39	1.51	2.17	0.79	1.29	1	1.8	1.85	1.36	1.57	1.43	1.32	1.24
	2000	1.3	1.62	0.62	0.91	1.52	1.77	1.45	1.05	2.18	2	1.28	0.73	0.5
	2001	1.68	1.01	0.5	0.5	0.49	1.82	2.77	3.06	2.77	3.13	4.77	3.01	4.97
	2002	0.8	4.52	0.77	1.05	0.87	0.77	0.53	0.51	0.45	0	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	26	34	27	27	26	22	19	13	21	27	42	26	28
	1973	34	23	4	95	17	12	8	8	31	54	89	59	0
	1974	25	29	126	24	2	7	34	11	15	12	21	21	17
	1975	21	30	11	20	53	13	18	13	15	12	35	18	10
	1976	18	7	36	19	21	23	21	16	9	18	16	8	8
	1977	14	4	6	11	1	0	12	6	5	46	22	-1	6
	1978	14	6	-1	57	46	8	26	0	77	17	18	8	12
	1979	11	3	3	5	7	7	8	20	11	27	10	14	13
	1980	13	14	10	12	7	6	6	5	4	14	18	30	-1
	1981	31	16	-1	-1	-1	-1	-1	-1	7	-1	46	2	-1
	1982	421	68	-1	3	28	3120	-1	57	-1	2	0	2	-1
	1983	1	-1	0	-1	-1	-1	2	-1	-1	2	0	-1	-1
	1984	1	2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1
	1987	16	-1	-1	-1	-1	-1	18	11	16	25	16	16	12
	1988	14	7	21	15	22	11	16	9	11	15	12	18	8
	1989	25	122	6	30	11	30	29	17	11	9	21	15	8
	1990	25	13	36	18	10	15	14	13	12	44	63	39	14
	1991	19	6	23	19	19	23	19	17	25	23	23	12	17
	1992	22	15	24	16	26	29	23	13	17	62	19	15	22
	1993	36	26	15	19	22	23	30	32	45	30	26	66	78
	1994	41	11	22	67	54	27	32	18	73	47	39	65	25
	1995	26	7	14	77	89	11	15	9	19	11	26	24	12
	1996	24	20	39	9	9	16	23	9	23	27	38	6	63
	1997	63	33	4	44	39	23	17	11	33	50	266	70	98
	1998	23	96	14	51	21	13	13	12	11	7	10	8	18
	1999	28	92	131	15	37	17	14	17	11	15	13	13	21
	2000	17	64	16	7	11	12	10	5	27	28	14	6	4
	2001	24	8	6	3	3	17	20	33	23	33	112	22	233
	2002	14	158	14	9	7	34	3	5	4	0	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	51056	4122	3798	4023	4198	4061	4483	4370	4731	4338	4573	4418	3941
	1973	1275	79	71	82	81	79	56	143	133	126	111	151	163
	1974	2084	145	139	142	128	134	176	178	206	214	161	225	236
	1975	2294	232	182	178	212	216	184	182	204	180	170	221	133
	1976	1899	176	166	243	226	236	237	229	233	62	58	8	25
	1977	351	66	65	20	3	1	15	24	60	57	34	0	6
	1978	259	22	0	2	3	8	16	1	1	51	47	88	20
	1979	485	26	17	18	37	48	32	19	136	48	40	38	26
	1980	332	23	19	32	23	29	28	11	6	22	130	9	0
	1981	25	1	0	0	0	0	0	0	8	0	15	1	0
	1982	24	9	0	3	2	3	0	1	0	2	1	3	0
	1983	4	0	1	0	0	0	1	0	0	1	1	0	0
	1984	2	1	0	0	0	1	0	0	0	0	0	0	0
	1987	1880	0	0	0	0	0	234	262	268	280	300	282	254
	1988	3123	286	273	287	277	296	289	248	217	246	220	242	242
	1989	3150	231	204	214	221	289	276	297	284	275	294	280	285
	1990	2731	258	171	192	180	200	238	233	247	283	252	253	224
	1991	3064	248	246	275	269	286	242	251	232	226	267	257	265
	1992	2768	249	248	239	233	220	243	229	207	167	255	256	222
	1993	2587	209	197	202	177	201	215	235	243	214	211	245	238
	1994	2878	244	172	208	226	210	237	293	291	276	293	247	181
	1995	3143	262	247	262	266	275	289	271	214	272	278	251	256
	1996	2407	237	257	257	209	1	210	129	203	210	249	238	207
	1997	2872	157	166	142	201	281	275	278	283	238	290	282	279
	1998	2894	281	251	197	245	214	243	245	211	278	289	275	165
	1999	2608	170	143	234	245	251	232	71	253	253	258	268	230
	2000	2897	234	236	235	236	240	198	218	247	247	284	276	246
	2001	1333	233	170	136	235	90	84	67	90	103	65	22	38
	2002	1687	43	157	223	263	252	233	255	254	7	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	7	2	0	0	0	2	1	0	1	1	0	0	0
	1	1201	79	77	93	106	125	105	99	113	105	125	102	72
	2	7	0	0	0	1	0	1	1	2	2	0	0	0
	3	557	1	0	1	65	76	79	89	95	80	70	1	0
	4	364	74	59	63	3	0	1	0	0	1	9	78	76
	5	1880	58	45	54	176	196	226	223	254	235	245	109	59
	6	867	143	142	111	47	26	30	15	16	23	31	146	137
	7	3041	96	103	151	331	312	350	353	373	370	359	142	101
	8	1396	258	239	247	41	17	30	24	18	11	29	241	241
	9	3950	198	182	192	393	402	418	439	473	443	430	204	176
	10	1339	249	216	225	33	8	37	16	18	9	37	241	250
	11	4084	214	200	205	413	410	432	464	465	442	428	223	188
	12	1275	227	206	220	38	12	44	13	16	11	33	229	226
	13	3966	221	213	221	392	414	403	418	431	420	407	234	192
	14	1217	218	193	212	41	22	27	9	15	10	28	225	217
	15	4017	220	203	199	376	394	406	429	495	441	452	224	178
	16	1312	234	221	223	45	15	33	19	13	10	22	237	240
	17	3780	192	180	183	396	386	407	407	419	402	417	210	181
	18	1323	243	228	226	40	6	33	9	14	11	28	235	250
	19	3642	147	161	191	362	359	410	406	443	396	417	187	163
	20	4165	362	315	327	349	336	382	345	356	327	369	368	329
	21	5126	395	352	388	421	418	458	453	508	435	462	454	382
	22	1812	252	230	240	82	65	91	66	99	79	94	276	238
	23	728	39	33	51	47	60	79	73	94	74	81	52	45

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	0.29	0	-1	-1	-1	1	0	-1	0	0	-1	-1	-1
	1	1.48	1.64	1.75	1.42	1.35	1.2	1.42	1.19	1.24	1.72	1.93	1.82	1.02
	2	1.61	-1	-1	-1	0	-1	0	3.6	2.55	1.3	-1	-1	-1
	3	1.27	0	-1	0	1.39	1.27	1.01	0.93	1.25	1.52	1.57	4.6	-1
	4	1.19	1.58	1.12	0.87	0	-1	1.5	-1	-1	2.1	2.46	1.14	1.06
	5	1.19	1.88	0.68	1.17	0.87	0.92	0.91	0.86	1.2	1.58	1.78	1.01	1.28
	6	1.33	1.22	1.35	1.7	0.72	0.65	1.03	0.65	1.27	0.96	1.52	1.7	1.25
	7	1.33	1.45	0.39	1.11	1.27	1.2	1.42	1.09	1.45	1.55	1.71	1.02	1.42
	8	1.41	1.35	1.37	1.48	1.1	1.08	1.11	1	1.08	1.64	1.31	1.83	1.18
	9	1.72	1.66	1.03	1.05	1.81	2.02	2.04	1.8	1.84	1.77	1.78	1.11	1.53
	10	1.56	1.38	1.63	1.74	1.49	2.51	1.94	1.16	1.99	2.46	1.55	1.67	1.31
	11	2.15	1.53	1.28	1.47	2.36	2.56	2.57	2.31	2.32	2.48	2.24	1.33	1.46
