HEALY RIVER AIRPORT AK - 702647                                                 														
 63 deg    53' N  149 deg    01' W - Elev  396m   LST=GMT+99 hours   *NT=-10    														
 12/76-03/81 12/83-09/02                                                        								Adjusted to Alaska Timezone (GMT-9)						
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.95	2.6	2.78	3.14	3.47	3.53	3.16	2.76	3.16	3.32	2.41	2.21	2.83
	1976	2.86	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.86
	1977	3.11	3.01	2.83	2.65	4.16	2.78	3.71	2.99	3.34	2.52	3.17	1.91	-1
	1978	3.21	-1	4.32	1.86	3.56	3.61	-1	-1	-1	-1	-1	-1	-1
	1979	3.12	-1	-1	-1	5.17	3.7	2.59	0.5	2.47	4.43	3.64	3.19	1.68
	1980	1.49	1.03	1.71	1.83	-1	-1	5.1	0.83	5.1	1.83	1	-1	0
	1981	2.42	4.1	0.25	5.1	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1983	2.49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.49
	1984	2.05	1.48	0.74	2.1	2.63	2.42	2.52	2.45	2.47	2.83	1.79	0.81	2.64
	1985	2.69	3.28	1.75	2.91	2.04	3.18	2.37	1.78	2.55	2.67	1.77	3.91	3.92
	1986	2.61	1.45	2.53	1.88	2.48	2.37	3.32	2.46	4.19	2.82	1.82	2.41	4.1
	1987	2.93	3.65	2.85	3.54	3.05	3.55	3.83	2.36	2.17	2.95	3.33	1.23	2.63
	1988	2.87	2.54	3.12	3.19	4.21	3.75	2.95	2.51	4.1	2.56	1.71	0.72	3.66
	1989	3.21	0.75	5.84	2.16	3.88	3.32	3.45	2.93	3.79	4.4	3.02	1.59	2.82
	1990	3.37	1.74	1.56	4.18	3.37	4.58	3.37	3.75	3.64	4.36	3.16	3.05	3.75
	1991	3.58	2.73	2.9	3.88	4.57	4.8	4.2	3.04	3.36	4.67	3.82	1.72	3.13
	1992	3.28	2.74	1.78	4.15	3.24	4.02	4.32	2.87	4.82	2.65	2.58	3.03	3.09
	1993	3.57	3.92	3.41	4.42	3.83	3.79	3.14	2.53	3.83	4.54	2.83	3.1	3.34
	1994	3.27	2.19	1.9	3.85	3.81	4.64	3.17	3.8	3.53	2.71	2.35	3.86	3.17
	1995	2.73	2.8	3.09	2.21	3.85	3.81	3.06	2.49	2.43	4.41	1.92	0.77	2.09
	1996	2.52	1.96	3.2	3.18	2.7	7.7	3.61	3.63	2.31	2.12	1.83	2.11	1.79
	1997	2.7	2.45	3.75	2.12	3.78	3.31	2.72	2.07	2.64	3.71	1.42	3.18	1.37
	1998	3.01	1.09	1.72	4.03	4.85	4.33	3.07	3.2	3.61	3.08	2.92	2.23	1.69
	1999	2.48	2.2	1.88	2.25	4.01	3.18	2.41	2.97	3.1	3.1	1.34	1.38	1.51
	2000	3.04	3.57	3.27	4.49	2.94	2.6	3.17	2.73	2.41	2.36	2.32	2.5	4.14
	2001	3.42	3.93	3.56	2.48	3.46	2.98	2.87	3.73	3.93	3.77	3.82	3.46	3.32
	2002	2.52	4.34	4	2.23	2.78	2.3	2.31	1.67	1.01	1.76	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	76	84	96	85	86	79	54	47	72	81	57	73	96
	1976	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	27
	1977	35	39	31	23	52	23	48	23	26	25	29	10	-1
	1978	34	-1	64	6	40	37	-1	-1	-1	-1	-1	-1	-1
	1979	108	-1	-1	-1	81	113	38	0	29	646	79	78	22
	1980	23	28	19	22	-1	-1	76	1	76	5	1	-1	0
	1981	29	40	0	76	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1983	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61
	1984	31	24	3	25	45	24	30	33	42	40	20	13	79
	1985	69	66	28	54	28	69	24	21	41	50	30	251	166
	1986	58	23	61	26	32	35	51	31	119	60	27	102	153
	1987	67	164	88	91	53	77	78	25	21	53	66	20	70
	1988	70	76	111	112	152	84	32	25	93	45	22	1	123
	1989	81	5	279	18	95	73	54	39	110	126	73	34	85
