HOONAH SEAPLANE     AK - 702607                                                 														
 58 deg    07' N  135 deg    27' W - Elev    0m   LST=GMT+99 hours   *NT= -9    														
 11/78-08/83 10/87-08/02                                                        														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.5	2.93	2.76	2.73	2.52	2.52	2.24	1.97	2.04	2.22	2.53	2.88	2.83
	1978	1.15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.55	1.22
	1979	1.81	1.15	2.1	1.29	2.23	2.15	2.06	1.9	2.01	1.2	1.73	1.84	2.04
	1980	2.24	2.63	2.07	2.69	2.48	2.5	2.16	2.01	2.02	1.94	1.57	2.04	2.45
	1981	2.11	1.75	1.8	2.16	3.2	2.25	2.23	1.93	2.25	1.96	2.28	1.71	2.02
	1982	1.95	1.83	2.34	2.73	2.95	2.06	2.38	1.12	1.65	1.2	-1	-1	2.5
	1983	2	-1	-1	-1	-1	-1	2	-1	2	-1	-1	-1	-1
	1987	2.74	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.48	2.88	2.77
	1988	2.67	3.2	3.1	2.62	3.2	3.2	2.63	1.97	2.12	2.28	2.06	3.45	2.98
	1989	2.19	2.67	1.87	2.49	2.54	2.69	2.34	2.01	1.86	1.15	1.41	2.99	3.01
	1990	2.31	2.48	2.82	2.2	1.99	1.95	1.98	1.66	2.14	2.08	2.66	3.39	2.43
	1991	2.36	2.4	2.05	1.98	1.99	2.51	2.27	2.15	3.62	2.13	2.49	3.17	2.64
	1992	2.47	2.82	3.25	2.45	2.39	2.47	2.32	1.8	1.82	2.3	2.43	2.63	2.91
	1993	2.53	2.34	3.59	2.77	2.43	2.43	2.04	1.61	1.23	2.12	3.24	3.15	3.32
	1994	3	4.34	5.32	2.75	2.66	2.75	-1	2.79	2.15	2.55	2.89	2.71	3.03
	1995	2.67	2.61	2.7	2.96	3.38	2.25	2.28	2.3	2.33	2.11	2.61	3.22	3.34
	1996	2.88	3.27	2.46	2.65	3.1	2.25	2.45	2.3	2.17	2.86	2.74	3.36	3.65
	1997	2.7	3.65	2.9	3.68	2.77	2.71	2.17	2.14	2.34	2.38	2.53	2.85	2.69
	1998	2.85	3.84	3.62	2.76	2.83	2.58	2.6	2.43	2.46	2.37	3.02	2.62	3.01
	1999	2.82	3.19	3.42	3.15	2.92	3.06	2.38	2.44	2.32	2.58	2.94	2.95	2.51
	2000	2.62	2.98	2.04	3.6	3.04	2.55	2.32	2.19	2.27	2.25	2.8	2.66	2.84
	2001	2.92	3.07	2.65	3.35	2.8	3.31	2.54	2.72	2.5	3.06	2.51	2.98	3.46
	2002	2.05	3.2	2.72	2.86	1.87	2.3	1.91	1.33	1.54	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	29	44	35	37	28	28	19	15	20	21	28	37	39
	1978	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	11
	1979	18	6	13	46	20	14	11	12	50	5	8	15	15
	1980	14	23	15	23	14	16	10	8	8	9	6	19	16
	1981	28	12	7	11	35	12	38	6	122	9	109	4	6
	1982	9	4	12	17	19	9	13	4	4	3	-1	-1	9
	1983	5	-1	-1	-1	-1	-1	5	-1	5	-1	-1	-1	-1
	1987	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	36	32
	1988	31	44	45	29	38	44	29	12	27	19	18	47	46
	1989	25	34	15	30	22	37	16	11	10	9	9	41	76
	1990	28	36	40	22	14	13	10	9	17	29	41	64	41
	1991	27	33	25	17	24	28	20	15	41	18	32	42	40
	1992	25	38	53	24	15	22	20	9	10	16	25	27	38
	1993	39	28	68	29	19	60	44	5	3	32	63	52	67
	1994	57	151	153	40	60	37	-1	126	13	29	31	36	41
	1995	29	31	29	40	47	16	19	16	20	15	26	41	50
	1996	35	54	26	28	40	7	23	14	17	28	27	50	51
	1997	27	69	31	49	29	22	12	16	15	19	18	28	27
	1998	31	55	48	31	30	22	22	21	22	17	30	27	42
	1999	32	49	44	36	36	38	17	19	20	33	34	36	24
	2000	26	41	14	55	32	21	16	14	15	16	30	32	32
	2001	32	36	25	45	28	41	18	26	20	36	22	34	44
