ILIAMNA ARPT (AMOS) AK - 703400                                                 														
 59 deg    45' N  154 deg    55' W - Elev   49m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	4.61	5.1	4.91	4.52	4.41	4.35	4.29	3.93	4.15	4.61	4.83	5.11	5.18
	1973	5.28	4.81	4.54	3.93	5.98	5.89	4.57	5.48	4.54	5.73	6.17	5.82	5.75
	1974	5.23	5.93	5.15	5.77	5.09	4.78	5.53	4.95	4.99	4.91	5.56	5.54	4.83
	1975	5.08	6.21	5.48	5.04	5.45	5.62	5.47	4.44	4.01	4.83	5.52	5.27	4.63
	1976	4.39	4.38	5.06	4.61	4.06	3.83	3.75	3.82	3.91	5.04	4.61	4.96	4.74
	1977	4.55	6.12	4.6	4.39	4.45	4.26	4.09	4.42	4.07	3.95	4.49	5.19	4.4
	1978	4.75	5.33	5.74	3.67	4.28	3.83	4.44	4.06	3.89	4.24	5.12	6.09	6.6
	1979	4.48	5.79	3.74	4.33	4.27	4.78	4.1	3.61	4.22	4.24	5.21	4.79	4.76
	1980	4.49	4.74	4.38	4.16	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1981	4.07	-1	-1	-1	-1	-1	-1	3.74	3.97	3.48	4.69	4.42	4.13
	1982	4.32	4.56	4.38	4.41	4.25	3.88	4.65	3.72	3.23	4.58	5.12	4.83	5.12
	1983	4.21	4.61	3.66	3.37	4.07	4.3	4.06	3.93	3.66	4.5	4.29	5.12	4.86
	1984	3.96	4.65	3.58	3.66	4.14	3.64	3.37	3.31	4.14	3.94	4.18	4.28	4.58
	1985	4.57	5.27	4.34	5.12	4.06	3.91	3.92	3.33	4.02	4.74	4.83	5.71	6.06
	1986	4.59	4.24	5.08	3.7	4.26	3.98	5.12	4.33	4.81	4.22	4.34	5.27	5.86
	1987	4.63	5.46	5.71	4.98	4.51	4.27	4.78	3.88	3.66	4.94	4.74	4.4	4.41
	1988	4.65	5.1	6.08	4.67	5.14	4.27	3.71	3.18	4.54	4.31	4.31	4.66	5.83
	1989	4.84	5.62	5.36	4.01	4.3	4.7	4.76	4.03	4.41	4.99	5.61	5.14	5.12
	1990	4.68	4.81	4.4	4.52	3.94	4.91	4.29	4.12	4.18	5.27	5.1	5.68	5.84
	1991	4.84	4.83	4.86	4	4.85	5.09	5	3.56	4.4	6	5.45	5.21	4.93
	1992	4.58	5.17	3.75	5.05	4.35	4.28	4.83	3.62	4.83	5.16	4.57	4.69	4.6
	1993	4.66	4.26	5.27	4.77	4.49	4.43	4.49	3.8	4.4	5.4	4.41	5.2	5.02
	1994	4.82	4.27	5.25	6.25	4.02	4.52	4.08	4.46	4.02	4.53	5.41	5.68	5.82
	1995	4.53	4.69	4.9	4.42	3.99	4.82	4.01	4.06	4.26	4.42	4.52	4.84	5.3
	1996	4.6	4.56	5.35	3.44	4.15	4.23	4.58	4.94	4.09	4.56	5.04	5.47	5.3
	1997	4.96	5.66	5.54	4.52	5.47	4.64	3.97	4.06	4.67	5.03	5.39	5.87	4.84
	1998	4.8	4.92	3.83	5.69	4.98	5.76	4.95	3.73	4.42	4.55	4.45	5.08	5.16
	1999	4.45	5.27	4.37	4.09	5.26	4.45	3.91	3.84	4.18	4.7	4.19	4.83	4.39
	2000	4.85	4.36	5.36	5.44	3.84	4.17	4.05	3.76	4.96	4.56	4.41	5.74	7.37
	2001	4.79	5.98	5.43	4.89	4.75	4.2	4.13	4.22	4.16	4.22	5.48	4.7	5.01
	2002	4.35	6.19	6.13	4.36	3.96	3.15	3.76	4.18	3.1	3.7	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	148	199	205	152	133	114	106	82	101	140	154	190	207
	1973	191	176	167	164	249	217	112	182	101	218	204	278	220
	1974	189	338	194	309	174	113	172	119	158	132	218	196	161
	1975	190	269	246	284	228	245	197	111	88	156	194	183	161
	1976	134	126	199	187	124	75	78	92	95	168	125	177	156
	1977	139	305	129	140	144	96	88	103	95	86	151	204	111
	1978	173	187	245	87	108	86	122	98	94	116	227	300	421
	1979	143	314	75	122	134	133	88	74	113	139	193	208	139
	1980	248	285	270	128	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1981	108	-1	-1	-1	-1	-1	-1	75	107	51	156	147	115
	1982	138	132	156	158	114	116	162	77	50	168	179	226	189
	1983	129	157	79	50	133	99	83	98	63	170	108	292	199
	1984	99	143	85	73	101	68	54	54	93	103	121	120	166
	1985	160	259	134	182	115	101	78	53	115	182	151	298	300
	1986	134	87	275	72	120	80	157	94	110	113	107	188	230
	1987	145	197	251	162	99	103	147	73	69	165	188	134	170
	1988	141	162	279	168	185	104	63	44	107	108	94	112	268
	1989	148	204	218	121	108	132	112	82	97	151	238	141	161
	1990	130	128	109	146	107	122	85	80	99	156	134	194	254
	1991	152	195	168	105	161	165	146	54	99	226	204	168	151
	1992	128	161	79	192	92	81	156	72	146	148	107	139	151
	1993	148	122	228	159	118	129	104	77	147	192	109	205	191
	1994	166	110	162	293	97	111	87	117	87	160	175	267	350
	1995	130	166	165	144	102	146	77	80	92	123	158	128	167
	1996	123	117	257	80	81	98	110	142	78	100	122	167	154
	1997	156	206	219	108	156	100	71	77	147	153	143	266	208
	1998	167	189	92	247	185	289	148	64	116	148	130	178	199
	1999	139	215	215	128	244	116	83	69	135	159	82	151	111
	2000	186	164	299	227	100	90	112	85	147	127	121	259	483
	2001	159	295	296	172	185	82	77	82	83	96	238	122	150
	2002	156	324	419	131	108	48	98	84	38	39	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	200452	17034	15578	17360	16603	17243	16393	17676	17437	16207	16487	15516	16918
	1973	1558	119	121	126	105	101	105	146	152	131	151	150	151
	1974	2034	152	127	144	133	119	133	132	180	190	220	196	308
	1975	3702	242	246	268	281	287	248	276	340	329	274	307	604
	1976	7905	690	619	691	684	724	649	687	507	665	711	625	653
	1977	7893	700	610	679	684	672	577	676	697	623	633	663	679
	1978	8328	706	630	712	674	723	682	711	716	699	721	647	707
	1979	8163	681	617	738	684	721	711	706	743	714	736	505	607
	1980	1779	744	684	351	0	0	0	0	0	0	0	0	0
	1981	4367	0	0	0	0	0	0	737	723	717	740	715	735
	1982	7456	644	591	747	716	738	700	725	707	509	461	453	465
	1983	5819	480	433	481	463	472	462	472	513	570	501	508	464
	1984	7273	552	454	678	608	600	655	596	541	636	650	652	651
	1985	7361	697	541	675	649	652	611	671	626	620	625	481	513
	1986	7125	507	440	582	629	672	611	587	527	653	657	657	603
	1987	7885	663	602	701	589	690	682	714	671	614	673	621	665
	1988	7909	692	659	712	615	679	681	689	671	597	620	625	669
	1989	7606	677	588	644	643	653	585	643	679	668	710	509	607
	1990	6823	575	562	663	623	611	602	662	661	565	461	342	496
	1991	7528	521	489	648	652	654	588	682	707	662	617	668	640
	1992	6909	647	525	606	595	563	594	581	599	418	608	553	620
	1993	7169	505	581	584	527	685	611	678	663	564	506	625	640
	1994	7538	624	387	541	684	665	632	680	682	652	703	613	675
	1995	6807	564	597	545	581	660	625	508	433	620	574	508	592
	1996	5943	475	458	576	512	617	569	470	478	458	437	438	455
	1997	5446	399	405	362	402	455	448	446	469	467	474	459	660
	1998	7574	623	678	694	699	708	665	681	542	553	602	577	552
	1999	8742	661	522	721	721	732	708	762	737	724	793	820	841
	2000	9779	828	780	844	814	826	800	750	823	818	831	824	841
	2001	9390	836	800	819	809	711	704	774	791	748	798	775	825
	2002	6641	830	832	828	827	853	755	834	859	23	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	6423	541	489	587	551	593	533	562	546	520	503	449	549
	1	6373	540	484	579	553	580	544	566	538	520	494	442	533
	2	5997	511	467	550	521	564	508	540	491	458	465	421	501
	3	7561	648	580	694	669	680	647	677	647	591	564	537	627
	4	6576	536	473	578	571	605	563	622	592	546	519	435	536
	5	7442	544	493	584	628	703	674	744	745	653	644	484	546
	6	8246	655	600	679	657	727	686	776	760	702	709	623	672
	7	8683	690	633	717	727	757	710	777	780	741	767	665	719
	8	8947	746	712	776	732	754	738	796	776	710	761	697	749
	9	10470	906	855	920	866	866	833	902	922	856	858	831	855
	10	9489	826	747	813	773	792	755	811	834	749	802	778	809
	11	9504	828	764	811	774	790	738	806	825	774	800	782	812
	12	9523	836	751	819	777	789	766	817	824	771	804	769	800
	13	9550	817	772	809	791	794	747	836	822	758	811	782	811
	14	9185	796	744	769	756	763	733	790	785	732	792	749	776
	15	10501	937	842	905	862	869	846	911	911	842	845	855	876
	16	9011	792	718	762	716	742	719	756	755	727	759	767	798
	17	8784	740	688	754	709	754	709	741	766	723	753	700	747
	18	8729	727	673	751	706	733	712	756	777	719	741	691	743
	19	8686	730	649	744	706	751	712	764	761	717	725	682	745
	20	8219	689	643	695	665	702	685	735	705	668	667	652	713
	21	9079	803	741	844	746	755	741	804	755	681	682	734	793
	22	6955	641	566	639	589	592	550	592	565	525	513	540	643
	23	6519	555	494	581	558	588	544	595	555	524	509	451	565

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	3.99	4.94	4.62	4.23	3.68	3.26	3.32	3.05	3.39	4.01	4.31	4.77	4.62
	1	3.99	4.84	4.67	4.34	3.62	3.26	3.15	3.08	3.43	4.02	4.39	4.77	4.67
	2	3.98	4.81	4.68	4.32	3.67	3.18	3.09	3.01	3.26	4.07	4.3	4.82	4.86
	3	4.02	4.93	4.82	4.34	3.73	3.28	3.02	2.98	3.29	4.02	4.44	4.9	4.93
	4	3.94	4.83	4.81	4.33	3.76	3.24	2.93	2.84	3.29	3.98	4.36	4.77	4.84
	5	4.01	4.84	4.8	4.18	3.73	3.42	3.19	3.05	3.44	4.3	4.53	4.85	4.83
	6	4.17	4.97	4.8	4.39	3.77	3.48	3.32	3.17	3.44	4.33	4.56	5.12	5.13
	7	4.29	4.98	4.92	4.37	4.02	3.65	3.58	3.31	3.54	4.43	4.65	5.24	5.13
	8	4.48	5.14	4.99	4.59	4.05	3.98	3.92	3.49	3.75	4.53	4.82	5.23	5.38
	9	4.6	5.19	5.1	4.63	4.39	4.23	4.15	3.76	3.87	4.59	4.81	5.14	5.41
	10	4.81	5.32	5.14	4.74	4.6	4.67	4.48	4.01	4.18	4.79	5.05	5.33	5.47
	11	5	5.34	5.26	4.84	4.88	5	4.81	4.35	4.53	4.96	5.21	5.34	5.47
	12	5.15	5.27	5.34	4.95	5.12	5.3	5.07	4.6	4.79	5.21	5.32	5.31	5.53
	13	5.23	5.27	5.23	4.86	5.26	5.54	5.33	4.85	4.95	5.33	5.39	5.32	5.47
	14	5.31	5.26	5.25	5.07	5.32	5.59	5.43	4.94	5.2	5.5	5.38	5.31	5.49
	15	5.33	5.32	5.14	4.99	5.44	5.59	5.59	5.04	5.28	5.47	5.41	5.33	5.4
	16	5.18	5.23	4.88	4.77	5.35	5.44	5.53	4.88	5.19	5.36	5.15	5.1	5.27
	17	5.08	5.09	4.8	4.59	5.19	5.47	5.5	4.92	5.05	5.05	5.01	4.96	5.27
	18	4.89	5.06	4.49	4.42	4.9	5.17	5.27	4.79	4.88	4.8	4.8	5.01	5.1
	19	4.69	4.92	4.7	4.17	4.46	4.83	4.98	4.54	4.5	4.43	4.67	4.98	5.18
	20	4.49	5.04	4.69	4.08	4.03	4.38	4.57	4.11	4.11	4.17	4.64	5.12	5.02
	21	4.3	5.13	4.79	4.24	3.87	3.75	3.9	3.54	3.69	3.97	4.44	5.09	5.2
	22	4.14	5.03	4.54	4.17	3.83	3.39	3.5	3.19	3.46	3.93	4.53	5.04	4.95
	23	4	4.95	4.49	4.16	3.71	3.28	3.29	3.11	3.38	3.93	4.44	4.83	4.78

