INDIAN MTN AFS AWOS AK - 701730                                                 														
 66 deg    00' N  153 deg    42' W - Elev  389m   LST=GMT+99 hours   *NT=-10    														
 01/73-12/81 01/87-08/02                                                        							Adjusted to Alaska Time Zone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.37	2.58	2.46	2.89	2.83	2.73	2.14	1.83	1.75	2.19	2.43	2.26	2.43
	1973	2.39	1.04	2.67	3.71	2.22	3.02	2.59	2.45	1.73	1.42	1.67	1.09	4.34
	1974	2.71	2.12	1.51	3.36	3.46	2.37	2.86	1.87	1.54	2.74	5.85	1.91	2.87
	1975	2.06	2.56	2.92	1.84	1.84	3.26	1.85	1.8	1.69	2.17	1.61	1.72	1.47
	1976	2.05	3.63	1.94	2.73	2.06	2.28	1.63	1.03	0.81	1.57	1.46	2.12	3.64
	1977	1.76	3.12	2.47	1.54	2.25	2.75	1.83	1.38	1.14	1.05	2.21	1.89	0.12
	1978	1.94	2.66	1.56	2.93	2.08	2.68	0.95	0.68	1.07	0.96	3.42	2.05	2.19
	1979	1.96	1.88	1.48	3.99	1.93	2.61	1.78	1.59	1.05	2.23	2.16	1.36	1.3
	1980	1.97	1.79	3.15	2.18	3.1	2.36	1.61	1.06	1.2	2.31	1.92	2.01	1.1
	1981	2.17	2.43	2.32	3.01	2.66	1.91	2.26	1.58	1.25	2.28	1.95	2.94	1.53
	1987	1.85	2.28	2.13	2.24	1.11	0.92	0.99	2.13	2.01	0.59	2.48	2.96	1.23
	1988	2.35	3.17	3.94	2.43	1.96	1.62	1.18	1.28	1.93	1.57	1.96	4.24	2.45
	1989	1.45	0.27	0.92	2.54	2.22	1.94	1.37	1.32	0.43	1.65	1.13	1.01	2.08
	1990	1.01	1.5	0.33	0.74	0.1	0.25	1.17	0.81	0.92	1.16	1.97	0.27	1.53
	1991	3.25	0.16	2.9	2.14	1.36	2.12	1.06	1.49	3.42	4.08	3.34	4.39	3.61
	1992	2.78	3.73	1.85	2.61	3.56	3.1	2.42	2.37	2.07	3.24	2.61	2.74	2.97
	1993	2.81	1.53	3.25	2.4	4.18	4.47	2.46	2.31	2.29	2.23	2.32	1.66	6.55
	1994	3.15	6.91	2.66	2.7	4.83	2.85	2.93	1.9	2.05	3.65	2.33	2.83	1.73
	1995	3.11	2.62	3.24	3.23	2.95	3.09	2.58	3.02	2	3	3.04	3.02	4.9
	1996	2.36	1.11	1.98	2.54	4.18	2.71	2.5	2.39	2.46	2.97	2.03	2.28	1.43
	1997	2.39	1.93	3.87	3	2.66	2.4	2.82	2.43	1.85	2.52	1.97	1.99	1.17
	1998	2.45	2.36	3.22	2.77	2.48	3.17	1.98	1.89	1.9	2.37	2.94	2.7	1.9
	1999	2.81	2.88	1.57	3.83	3.33	2.56	2.39	2.44	1.74	2.24	3.21	2.7	4.2
	2000	2.81	2.18	2.71	4.84	3.59	2.94	2.53	2.26	2.45	1.48	1.88	2.57	4.61
	2001	2.59	3.72	2.08	2.4	4.33	2.62	2.61	1.88	3.18	1.45	2.58	3.09	1.91
	2002	2.39	1.52	3.92	2.04	2.23	3.13	2.57	2.07	2.39	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	59	120	87	86	58	43	20	15	15	40	57	69	101
	1973	55	34	61	105	37	61	29	28	17	16	24	15	212
	1974	74	84	44	98	101	25	39	13	9	52	262	54	100
	1975	50	138	125	37	22	73	13	12	14	40	32	52	38
	1976	56	162	77	88	24	28	10	6	4	26	23	59	190
	1977	35	157	90	15	38	30	13	6	5	6	45	61	1
	1978	47	103	36	81	33	40	6	4	7	8	120	61	58
	1979	47	34	57	222	23	42	20	10	4	52	38	30	29
	1980	38	46	92	55	61	28	10	3	6	33	37	36	49
	1981	47	76	64	90	50	16	20	9	8	37	41	110	47
	1987	53	122	43	39	6	4	5	27	16	3	55	54	21
	1988	63	109	143	65	32	18	8	5	13	21	16	202	151
	1989	23	2	16	55	41	26	9	6	2	53	14	9	36
	1990	13	13	5	8	0	1	5	3	4	11	46	8	26
	1991	83	0	62	42	8	11	4	15	46	92	58	240	107
	1992	75	193	37	61	79	47	22	26	20	56	55	102	127
	1993	69	28	128	53	112	166	24	19	21	32	40	20	372
	1994	128	631	100	77	206	38	35	14	23	127	50	87	51
	1995	98	138	142	114	48	61	26	37	15	58	67	114	296
	1996	43	17	55	45	117	31	24	22	30	71	19	68	29
	1997	46	60	186	79	35	25	32	22	14	49	29	61	22
	1998	58	93	151	54	39	50	16	14	20	36	97	57	92
	1999	80	133	32	129	67	30	30	31	12	33	86	145	195
	2000	77	100	102	196	83	37	22	22	25	9	25	45	213
	2001	62	124	70	36	129	30	23	13	38	11	58	101	58
	2002	39	36	153	22	27	53	22	19	27	-1	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	135844	11449	10972	11243	11333	11087	11032	11344	12527	11302	11520	10982	11053
	1973	7191	391	471	708	672	712	607	549	659	546	625	639	612
	1974	5924	451	400	570	539	476	408	418	533	450	427	553	699
	1975	6152	564	509	558	518	412	436	493	593	661	564	473	371
	1976	6543	406	540	604	467	585	694	463	548	550	574	557	555
	1977	7806	429	586	722	582	677	670	616	707	692	731	703	691
	1978	8435	725	663	727	694	723	700	725	717	688	697	692	684
	1979	8441	682	666	726	716	732	692	714	701	685	723	687	717
	1980	8808	770	696	744	720	744	720	744	744	720	743	720	743
	1981	8760	744	672	744	720	744	720	744	744	720	744	720	744
	1987	912	254	91	45	24	36	99	63	29	51	93	26	101
	1988	594	51	70	63	65	19	58	12	85	74	31	33	33
	1989	1120	50	44	70	76	96	200	83	67	135	178	45	76
	1990	786	76	56	71	39	37	33	58	73	80	87	73	103
	1991	1390	25	41	62	52	9	72	42	212	211	280	164	220
	1992	4774	393	235	148	241	256	230	283	573	477	674	660	604
	1993	6036	454	507	560	631	452	504	635	725	657	382	318	211
	1994	6305	671	648	349	324	479	601	619	658	580	608	413	355
	1995	6901	463	560	694	677	594	357	360	520	652	687	681	656
	1996	7122	693	627	694	676	686	665	539	477	265	691	485	624
	1997	6402	441	363	506	656	649	633	636	645	571	402	501	399
	1998	7545	531	535	549	619	589	674	686	696	676	703	669	618
	1999	5403	613	555	648	657	557	291	298	376	356	325	350	377
	2000	4225	400	466	380	257	272	217	364	401	422	375	288	383
