KENAI MUNICIPAL     AK - 702590                                                 														
 60 deg    34' N  151 deg    15' W - Elev   29m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	3.65	3.59	3.7	3.86	3.8	3.92	4.02	3.77	3.29	3.34	3.46	3.36	3.66
	1973	3.64	2.75	3.03	4.13	4.33	4.76	4.65	4.88	3.79	2.67	3.01	2.09	3.37
	1974	3.9	2.73	3.75	3.92	4.71	4.41	4.59	4.35	2.86	3.83	4.66	3.79	3.16
	1975	3.76	3.64	4.16	3.61	3.68	4.57	4.55	3.98	3.48	3.32	3.5	3.11	3.63
	1976	4.02	3.7	2.93	4.07	4.51	4.17	4.42	3.9	3.2	3.88	3.48	4.93	5.22
	1977	3.7	4.7	4.82	3.76	4.43	4.17	3.84	3.28	3.35	3.15	4.5	2.21	2.28
	1978	3.78	3.53	5.45	4.07	3.36	4.36	4.31	3.32	3.42	2.58	3.82	2.82	4.57
	1979	3.47	3.94	4	3.66	3.11	3.67	4.26	3.27	2.83	3.14	3.31	3.59	2.95
	1980	3.72	3.89	3.95	3.91	4.44	4.26	4.08	3.59	3.46	3.22	4.11	3.8	2.04
	1981	3.74	4.34	3.44	4.41	3.7	3.59	4.49	4.16	3.65	3.11	2.85	3.55	3.61
	1982	3.65	3.61	3.99	3.52	4.43	3.57	3.79	3.98	2.68	3.1	3.17	3.31	4.7
	1983	3.45	4.18	3.59	4.11	2.92	3.34	3.07	3.71	3.25	3.28	3.87	3.59	2.46
	1984	3.38	3.04	3.95	3.56	3.49	3.47	3.76	3.59	3.55	3.19	3.07	2.91	3.01
	1985	3.61	4.59	3.18	4.11	3.67	3.85	3.8	3.49	3.12	3.46	2.48	2.99	4.5
	1986	3.68	4.2	3.39	3.62	4.07	3.72	3.78	3.94	3.46	2.76	3.11	3.84	4.26
	1987	3.8	4.92	4.83	3.7	4.28	3.47	4.44	3.73	3.25	3.44	3.54	3.46	2.65
	1988	4.02	4.02	5.63	4.27	4.06	3.63	4.12	4.11	3.7	3.37	3.76	3.33	4.35
	1989	3.54	2.54	2.14	3.21	2.58	3.69	4.18	3.87	3.19	3.33	4.02	4.99	4.67
	1990	3.47	3.09	2.62	3.91	3.3	3.41	4.34	4.2	3.69	4.18	3.02	2.78	3
	1991	3.78	3.71	3.92	2.71	4.19	4.19	4.28	3.89	3.41	3.86	3.22	4.17	3.87
	1992	3.5	3.71	2.67	3.82	3.4	4.24	4.21	3.58	3.43	3.57	3.04	3.24	3.12
	1993	3.43	2.82	3	3.83	3.67	3.46	3.79	3.68	3.33	3.6	2.9	2.83	4.23
	1994	3.59	3.58	4.41	4.98	3.84	4.07	3.93	2.93	3.22	2.76	3.27	2.73	3.26
	1995	3.58	3.27	4.06	3.37	3.76	3.98	3.57	3.1	3.15	3.29	3.38	3	4.86
	1996	3.34	1.87	2.95	3.44	3.95	3.44	3.57	3.7	3.73	3.67	3.25	3.4	3.43
	1997	3.86	3.35	4.51	4.53	4.6	4.4	3.76	3.98	3.1	3.36	3.14	3.31	4.21
	1998	3.61	3.57	3.92	3.66	3.69	3.92	3.78	3.41	3.82	3.71	3.97	3.13	2.67
	1999	3.54	4.04	2.14	3.77	3.83	4.2	3.76	4.17	2.63	3.36	3.48	3.29	3.72
	2000	3.48	2	3.17	4.29	3.64	3.84	3.59	3.73	2.83	3.34	3.57	3.56	4.21
	2001	3.99	4.1	3.44	4.69	3.64	4.75	4.26	3.81	3.4	3.52	4.27	3.88	3.98
	2002	3.63	4.41	4.57	3.32	2.99	3.54	3.64	3.88	2.98	1.44	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	84	102	114	102	82	77	73	64	55	65	82	85	103
	1973	90	45	54	138	115	113	109	122	85	47	78	54	105
	1974	108	102	112	114	134	108	111	106	39	98	166	108	93
	1975	101	151	196	100	75	117	90	71	63	60	90	75	129
	1976	104	150	44	123	131	85	93	68	50	81	81	177	172
	1977	85	135	156	99	128	79	61	40	50	59	152	22	50
	1978	90	106	211	107	53	84	91	42	66	42	91	58	152
	1979	91	101	221	105	49	63	94	66	37	76	75	114	96
	1980	87	167	127	99	105	89	67	52	58	49	91	110	30
	1981	86	95	74	114	75	55	95	79	84	51	56	129	127
	1982	91	131	159	93	122	56	59	89	31	72	84	73	134
	1983	65	130	78	88	36	50	38	57	58	65	90	67	20
	1984	61	65	121	65	56	53	56	50	58	42	73	51	52
	1985	76	121	64	92	100	92	74	45	58	69	31	53	118
	1986	73	100	90	71	103	56	55	70	51	34	52	90	104
	1987	81	139	195	77	96	51	80	52	46	56	72	71	45
	1988	94	110	241	105	80	49	67	78	68	52	77	80	128
	1989	81	58	27	114	28	59	83	60	39	51	100	185	171
	1990	75	61	44	87	59	55	88	78	74	101	79	86	82
	1991	88	116	119	61	101	83	79	67	63	68	85	124	94
	1992	78	109	72	106	63	106	72	47	56	95	54	76	78
	1993	71	79	70	92	60	47	57	53	66	103	49	61	110
	1994	88	99	216	167	77	84	93	40	48	44	71	42	82
	1995	88	79	129	105	73	98	64	50	45	53	80	107	162
	1996	71	50	72	85	91	61	58	55	62	92	67	54	110
	1997	91	100	110	161	109	97	56	59	39	62	81	83	137
	1998	73	75	85	64	67	72	60	43	76	80	109	78	63
	1999	78	121	34	77	71	87	61	87	30	75	83	86	122
	2000	72	33	72	123	64	76	52	62	58	66	87	71	103
	2001	92	120	95	145	77	131	69	57	40	49	96	93	115
	2002	85	102	169	83	74	79	64	79	42	7	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	241699	20510	19203	20791	20369	21044	20318	20819	20374	19427	20000	19151	19693
	1973	7488	532	541	594	598	640	619	687	679	614	659	650	675
	1974	7853	639	593	684	669	676	645	653	677	669	673	612	663
	1975	7950	656	583	683	647	652	642	641	676	681	703	688	698
	1976	7974	714	674	713	705	723	688	653	648	642	625	576	613
	1977	7403	620	585	612	558	635	663	694	624	602	615	612	583
	1978	7822	594	556	647	655	693	620	659	696	671	688	660	683
	1979	8228	710	649	718	674	687	668	681	717	676	683	682	683
	1980	8210	691	641	702	667	700	675	684	701	687	707	646	709
	1981	8459	726	653	720	696	727	705	708	698	705	719	691	711
	1982	8363	699	637	713	699	710	695	716	711	689	704	679	711
	1983	8320	722	647	719	698	721	685	712	648	678	712	666	712
	1984	8482	725	654	727	713	710	694	722	712	693	721	699	712
	1985	8522	718	661	723	701	730	682	724	724	702	723	701	733
	1986	8456	716	647	717	701	722	688	717	728	693	715	703	709
	1987	8404	703	629	732	695	703	694	724	705	673	728	694	724
	1988	8482	727	674	723	693	715	698	715	701	699	713	700	724
	1989	8513	715	651	718	699	729	702	734	723	708	730	692	712
	1990	8512	713	658	705	702	725	701	725	721	708	717	703	734
	1991	8590	729	665	732	706	734	717	722	720	710	729	707	719
	1992	8560	721	691	720	702	728	703	714	725	690	732	706	728
	1993	8497	730	655	720	707	719	703	726	730	687	715	687	718
	1994	8281	707	607	727	700	726	690	724	729	696	723	605	647
	1995	8044	701	655	646	672	714	702	707	543	652	710	636	706
	1996	7486	709	670	697	682	721	680	578	547	527	593	541	541
	1997	7043	532	555	583	588	601	622	610	574	575	556	625	622
	1998	7767	613	644	628	667	667	643	656	610	666	676	677	620
	1999	8313	649	621	628	642	708	712	738	726	713	730	726	720
	2000	8684	762	699	738	708	703	689	744	717	721	743	709	751
	2001	7301	749	731	712	708	615	601	634	507	576	558	478	432
	2002	5692	588	677	710	717	810	692	717	757	24	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	10036	850	795	856	839	887	843	867	844	797	841	796	821
	1	10023	845	808	866	833	870	836	862	839	806	835	804	819
	2	9938	847	799	855	830	879	842	836	835	794	813	793	815
	3	9977	852	785	845	840	882	830	852	847	803	831	792	818
	4	10015	832	788	857	853	894	844	856	848	802	836	795	810
	5	10023	833	803	863	849	881	846	868	840	787	837	792	824
	6	10014	843	803	850	862	887	829	852	846	806	835	786	815
	7	10019	857	806	879	842	858	831	869	829	814	830	787	817
	8	10003	839	804	870	844	847	849	863	834	810	828	790	825
	9	9982	849	813	870	834	854	841	868	841	803	811	789	809
	10	10038	857	803	876	846	864	844	856	841	803	834	797	817
	11	10068	863	806	873	845	882	838	868	857	800	828	801	807
	12	10132	868	807	875	856	883	843	879	872	804	821	797	827
	13	10168	869	800	878	861	880	846	872	861	816	849	807	829
	14	10192	866	806	878	851	880	864	888	856	826	843	807	827
	15	10063	839	780	861	847	876	847	892	863	827	835	795	801
	16	10143	859	795	872	860	882	857	875	849	827	845	808	814
	17	10147	855	798	877	865	884	858	874	843	820	845	799	829
	18	10153	860	798	865	854	874	863	877	873	823	834	810	822
	19	10205	872	805	881	866	885	851	868	863	822	849	800	843
	20	10187	864	805	873	854	879	865	886	869	815	833	806	838
	21	10045	859	786	861	850	873	855	867	842	804	832	797	819
	22	10067	871	797	854	850	881	851	857	836	808	835	812	815
	23	10061	861	813	856	838	882	845	867	846	810	820	791	832

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	3.23	3.59	3.49	3.31	3.04	3.02	3.51	3.44	2.66	2.7	3.02	3.27	3.74
	1	3.14	3.56	3.4	3.24	2.94	2.92	3.22	3.17	2.59	2.66	3.02	3.32	3.63
	2	3.04	3.54	3.46	3.26	2.84	2.66	2.98	2.91	2.44	2.55	3.02	3.28	3.62
	3	2.97	3.38	3.43	3.29	2.81	2.59	2.64	2.69	2.28	2.59	3.07	3.28	3.6
	4	2.93	3.43	3.54	3.32	2.84	2.48	2.43	2.5	2.23	2.61	3.04	3.28	3.62
	5	2.94	3.46	3.47	3.32	2.82	2.46	2.55	2.46	2.24	2.73	3.05	3.24	3.57
	6	2.98	3.41	3.48	3.39	2.86	2.55	2.73	2.53	2.2	2.7	3.12	3.17	3.68
	7	3.11	3.38	3.5	3.33	2.97	3.08	3.22	2.86	2.36	2.67	3.09	3.24	3.61
	8	3.31	3.39	3.44	3.36	3.38	3.67	3.6	3.34	2.8	2.85	3.12	3.2	3.52
	9	3.56	3.4	3.45	3.65	3.97	4.04	4.02	3.67	3.25	3.27	3.2	3.16	3.58
	10	3.83	3.45	3.59	4.08	4.35	4.38	4.28	3.92	3.64	3.74	3.57	3.26	3.57
	11	4.04	3.48	3.73	4.52	4.6	4.67	4.46	4.09	3.83	4.13	4.01	3.4	3.47
	12	4.24	3.5	4.09	4.72	4.8	4.94	4.67	4.22	4.04	4.31	4.22	3.64	3.67
	13	4.41	3.71	4.27	4.82	4.9	5.09	4.87	4.41	4.27	4.44	4.48	3.8	3.76
	14	4.49	3.82	4.38	4.92	4.96	5.24	4.91	4.53	4.39	4.48	4.5	3.89	3.79
	15	4.54	3.85	4.52	4.9	5.04	5.21	5.11	4.66	4.44	4.53	4.43	3.83	3.84
	16	4.48	3.78	4.32	4.73	4.95	5.28	5.2	4.71	4.43	4.43	4.36	3.54	3.86
	17	4.33	3.74	4.14	4.58	4.84	5.18	5.15	4.74	4.3	4.13	3.84	3.41	3.73
	18	4.14	3.77	3.77	4.28	4.57	4.99	5.06	4.74	4.12	3.87	3.38	3.26	3.68
	19	3.92	3.69	3.55	3.86	4.14	4.74	4.91	4.57	3.91	3.35	3.25	3.23	3.72
	20	3.71	3.74	3.44	3.6	3.71	4.31	4.55	4.48	3.57	3.03	3.09	3.19	3.65
	21	3.53	3.73	3.44	3.43	3.36	3.9	4.29	4.19	3.16	2.78	3.06	3.26	3.64
	22	3.42	3.71	3.49	3.36	3.23	3.52	4.06	3.89	2.9	2.8	3.08	3.22	3.68
	23	3.31	3.69	3.47	3.34	3.06	3.25	3.77	3.63	2.78	2.76	3.07	3.28	3.56

POWER BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	70	98	108	82	61	45	56	61	35	43	68	81	108
	1	71	123	101	76	56	42	53	46	35	44	69	97	113
	2	64	93	101	80	51	36	41	41	41	42	64	85	102
	3	65	88	101	90	52	41	38	43	29	45	68	88	108
	4	63	101	113	79	54	36	29	32	29	45	66	83	102
	5	66	91	113	83	52	34	42	41	29	59	69	83	98
	6	65	90	101	106	52	37	32	32	27	49	71	80	112
	7	65	85	112	79	57	48	44	36	30	49	67	80	95
	8	70	88	105	79	67	66	52	48	40	58	69	79	93
	9	81	92	114	99	88	76	67	65	50	67	70	78	105
	10	91	97	114	108	99	100	83	64	62	85	95	89	95
	11	95	105	119	128	111	100	77	66	64	91	97	86	93
	12	103	102	134	136	129	109	87	69	73	99	102	97	102
	13	109	103	141	141	120	123	95	76	80	99	126	98	108
	14	113	120	142	142	122	132	97	80	92	112	116	100	103
	15	112	116	148	141	122	117	108	86	86	97	123	94	106
	16	107	100	127	126	121	123	113	90	86	91	114	80	109
	17	102	111	130	120	112	119	114	93	76	78	88	86	98
	18	93	105	105	104	99	107	110	93	72	70	72	77	102																									
	19	89	102	96	86	83	108	108	86	77	56	74	79	108																									
	20	82	103	102	100	71	79	86	84	59	48	67	80	98																									
	21	78	105	104	89	62	68	79	82	47	42	71	83	101																									
	22	76	117	104	79	63	56	71	62	52	47	73	81	106																									
	23	71	103	108	79	58	51	62	55	39	45	73	86	98																									

SPEED BY DIRECTION                                                              																																							
	Month	calm	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360
	ALL	0	4.09	4.38	4.83	5.06	4.84	4.16	3.58	3.49	3.61	3.71	3.51	3.1	3.07	2.97	2.99	3.12	3.39	3.9	4.4	4.8	5.02	5	4.9	4.54	4.28	3.96	3.75	3.66	3.63	3.45	3.32	3.2	3.18	3.26	3.4	3.91	4.09
	1	0	3.3	4	4.8	5.3	5.2	4.4	3.6	3.6	3.6	4	3.6	3.1	3	3	3	3.3	3.9	4.6	5	5.3	5.8	6.1	5.5	4.7	4.2	3.6	3.7	4.2	2.8	2.4	3.1	2.7	3	2.9	3.1	3.5	3.3
	2	0	4	4.4	5	5.3	5.1	4.3	3.6	3.4	3.3	3.6	3.6	2.8	3.1	3.2	3.3	4	3.8	4.6	5	5.9	5.6	6.1	6	4.5	4.4	3.6	3.2	3.6	2.2	2.3	2.6	2.9	2.5	3	3.2	4.1	4
	3	0	4.2	4.5	5	5.2	5.2	4.3	3.7	3.7	3.7	3.9	3.6	3.5	3.6	3.1	3.4	3.2	3.5	4.4	4.7	5	5.3	5.2	4.8	4	3.9	3.8	3.3	3.2	3.1	3.1	3.1	2.9	2.8	3.4	3.4	4	4.2
	4	0	4.2	4.8	5	5.2	4.9	4.4	4	3.8	4.3	4.1	4.1	3.3	3.5	3.2	3	3	3.1	3.6	4.1	4.7	4.8	4.3	4.2	4.1	4.1	3.8	3.8	3.5	3.6	3.6	3.5	3.4	3.4	3.3	3.5	3.9	4.2
	5	0	4.5	4.8	4.7	4.8	4.7	4.5	4.1	4.1	4.1	4.2	4.1	3.7	3.7	3.1	3.1	3	3.2	3.6	4.2	4.8	4.9	4.9	4.9	4.7	4.5	4.3	4.1	4.1	4.2	4	3.9	3.7	3.6	3.7	4	4.2	4.5
	6	0	3.9	3.9	4	4.2	4.3	4.2	3.9	3.9	4	4.2	3.9	3.4	3.6	3.3	2.9	2.9	3.1	3.9	4.3	4.6	4.9	5	5.1	4.9	4.6	4.3	4	3.8	3.8	3.7	3.6	3.4	3.6	3.4	3.7	4	3.9
