KETCHIKAN INTL ARPT AK - 703950                                                 														
 55 deg    21' N  131 deg    42' W - Elev   29m   LST=GMT+99 hours   *NT= -9    														
 01/73-09/02                                                                    														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	4.22	4.26	4.48	4.23	4.32	4.32	4.16	3.89	3.97	4	4.37	4.39	4.27
	1973	4.08	3.63	4.44	3.97	4.9	4.6	4.37	3.51	3.5	3.15	4.36	4.07	4.79
	1974	4.76	4.72	5.75	4.08	4.87	4.47	4.35	3.9	4.25	3.66	5.85	5.48	5.75
	1975	4.47	5.06	4.91	3.46	4.74	4.16	4.14	4.84	4.48	4.97	4.19	4	4.71
	1976	4.81	4.63	4.83	5.13	5.01	5.56	4.43	4.64	4.77	4.85	4.26	4.35	5.17
	1977	4.98	4.06	6.51	4.6	5.08	5.32	5.58	4.93	4.79	4.19	6.04	4.7	4.11
	1978	4.75	3.61	5.68	4.8	4.41	4.72	5.03	4.38	4.43	4.85	5.16	5.04	4.97
	1979	4.54	3.96	4.48	5.4	3.83	4.41	4.05	4.34	4	4.47	4.61	5.88	4.95
	1980	4.64	4.68	4.96	4.4	5.89	4.63	4.38	4.23	4.28	4.45	5.16	5.11	3.55
	1981	4.82	4.67	4.06	5.22	4.89	4.79	4.82	4.87	5.61	4.95	3.99	5.68	4.16
	1982	4.54	4.06	4.24	4.12	5.09	5.64	4.43	4.82	3.68	4.56	5.34	4.21	4.33
	1983	4.45	5.55	4.54	4.21	4.7	4.39	4.25	4.4	4.77	3.74	4.97	4.43	3.32
	1984	4.41	5.13	6.36	5.32	4.9	4.42	3.71	2.33	2.88	4.32	4.93	4.58	4.06
	1985	3.61	4.74	4.16	3.64	3.65	3	3.08	3.4	3.89	3.22	3.15	3.7	3.78
	1986	4.3	4.8	3.55	4.93	4.35	3.87	4.22	3.91	4.18	4.1	5.42	3.9	4.23
	1987	4.26	5.04	5.16	4.08	4.72	4.7	4.22	3.36	3.2	4.07	3.79	4.55	4.4
	1988	3.81	3.37	3.68	4.72	3.77	3.93	3.63	3.38	3.73	3.33	3.73	5.07	3.44
	1989	3.59	4.64	3.15	3.93	3.39	3.73	4.06	3	2.94	3.46	3.47	3.52	3.8
	1990	3.44	3.56	3.8	3	3.55	3.3	3.38	3.33	3.83	2.81	3.69	3.52	3.53
	1991	3.88	3.44	4.96	3.72	4.38	4.28	3.78	3.08	3.73	2.99	3.48	3.79	5.01
	1992	4.73	5.49	4.87	4.9	4.63	5.07	4.85	4.63	4.33	4.46	4.1	4.8	4.65
	1993	4.73	5.11	5.38	4.73	4.63	5.26	4.51	4.62	4.65	4.61	4.77	4.45	4.07
	1994	4.48	3.05	3.85	4.79	4.55	5.12	4.64	4.44	4.17	4.73	4.67	4.69	4.99
	1995	4.49	4.01	4.55	4.54	5.09	3.96	4.46	4.45	3.76	4.01	5.11	4.99	4.81
	1996	4.49	4.51	5.01	4.33	4.7	4.17	5.37	4.1	4.07	4.3	4.94	4.1	4.25
	1997	3.55	3.72	3.73	3.73	3.53	3.2	3.63	3.17	3.49	3.57	3.42	2.95	4.49
	1998	3.52	3.46	4.15	2.67	3.46	3.35	3.79	3.64	3.32	3.38	3.6	3.49	3.95
	1999	3.62	3.56	4.05	3.36	3.59	3.97	3.49	3.47	3.33	2.87	3.95	4.25	3.61
