KODIAK              AK - 703500                                                 														
 57 deg    45' N  152 deg    30' W - Elev   34m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.11	5.79	5.79	5.66	5.38	5.01	4.53	3.79	4.04	4.68	5.25	5.68	5.8
	1973	4.66	5.85	3.91	3.89	4.39	5.6	4.1	3.86	3.98	4.45	5.35	5.36	5.52
	1974	4.86	5.78	7.3	6.15	5.17	4.33	4.1	3.46	3.39	4.31	4.5	5.29	4.68
	1975	5.15	6.77	5.47	5.47	5.26	6.09	4.62	3.92	3.78	3.94	5.16	5.87	5.58
	1976	4.97	5.28	5.81	5.58	4.71	4.83	4.1	4.04	4.4	5.39	4.53	5.83	5.14
	1977	5.06	6.14	5.91	5.08	5.23	4.65	3.81	4.64	3.69	4.22	5.58	5.97	5.91
	1978	4.92	5.85	7.7	5.12	5.09	5.09	3.66	3.95	3.8	4.42	4.29	5.15	5.6
	1979	4.63	5.09	6.03	5.08	3.89	5.02	4.55	3.38	3.45	4.82	4.72	4.33	5.35
	1980	4.7	5.59	4.35	4.15	5.43	5.44	4.12	3.38	3.41	4.8	5.05	5.07	5.71
	1981	4.82	5.78	4.67	5.84	4.86	5.18	3.67	3.19	3.65	4.4	4.88	5.83	5.79
	1982	5.29	5.56	6.43	5.8	6.63	4.8	5.01	4.32	3.64	4.07	5.65	5.41	6.21
	1983	5.54	7.43	6.21	6.37	4.63	5.71	5.58	3.91	3.64	4.99	6.03	6.36	5.56
	1984	5.43	5.42	7.19	5.69	6.29	5.03	4.68	4.76	4.45	5.5	5.92	4.78	5.63
	1985	5.63	6.57	5.94	6.42	6.32	4.98	5.26	4.13	4.52	4.92	5.89	5.7	6.5
	1986	5.54	6.71	5.94	6.23	6.4	5.66	5.94	4.08	4.21	4.23	5.46	6.08	5.64
	1987	5.48	6.46	6.59	5.56	6.49	5.13	6.89	4.01	4.12	5	4.68	5.55	5.56
	1988	5.53	5.33	7.21	6.53	6.49	4.7	5.05	3.55	4.74	5.18	5.43	6.38	5.87
	1989	5.28	6.88	4.73	6.23	5.18	5.28	5.13	4.16	4.23	4.19	6.08	5.29	5.97
	1990	5.44	5.36	6.43	6.74	4.99	5.28	4.29	4.63	5.12	5.06	4.83	7.56	5.08
	1991	4.98	5.42	5.2	5.01	5.78	5.84	4.42	3.29	4.41	5	4.47	6.24	4.79
	1992	5.1	5.12	4.93	4.31	4.81	5.32	5.16	3.81	4.17	5.58	6.34	5.96	5.74
	1993	5.32	5.58	5.85	6.65	6.15	4.56	3.93	3.84	4.97	4.74	5.3	6.06	6.31
	1994	6.02	5.61	7.46	8.05	5.85	6.47	4.68	4.77	4.59	4.85	6	7.81	6.29
	1995	5.36	4.72	5.28	6.83	4.98	4.34	3.8	3.12	5.33	5.32	6.23	6.83	7.7
	1996	5.21	5.39	6.53	4.87	6.06	4.5	3.81	3.93	3.34	4.82	5.75	5.77	7.59
	1997	4.7	6.31	4.88	5.23	5.6	4.33	3.53	3.22	3.72	4.3	5.34	4.82	5.05
	1998	4.81	5.39	5.56	6.08	5.23	4.47	4.36	3.4	3.93	4.18	4.77	4.27	6.19
	1999	4.86	5.71	6.26	5.14	5.4	5.29	4.77	3.62	3.39	4.6	4.68	5.04	4.75
	2000	4.57	5.23	4.16	5.28	4.52	4.56	4.23	2.83	4.31	3.84	4.64	4.78	6.39
	2001	4.98	5.55	5.07	5.59	5.27	5	4.54	3.39	4.16	4.81	4.78	5.53	5.86
	2002	4.28	6.18	5.65	4.58	4.23	3.41	3.98	3.62	2.68	1.8	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	200	279	287	263	202	155	119	73	92	153	212	279	291
	1973	151	352	95	88	110	206	82	71	80	110	200	229	240
	1974	182	310	483	339	172	95	104	45	48	92	144	217	147
	1975	196	345	206	243	239	254	145	99	86	76	169	279	226
	1976	172	182	304	206	162	126	83	73	108	203	125	283	221
	1977	180	318	247	210	177	105	67	100	69	137	213	248	283
	1978	171	252	535	159	168	156	50	65	64	117	101	192	265
	1979	151	206	256	195	79	149	120	57	58	171	164	143	222
	1980	150	210	133	97	178	232	69	40	47	146	227	213	214
	1981	176	240	134	289	133	178	62	52	92	134	199	319	273
	1982	226	302	336	320	360	135	121	112	64	92	277	255	347
	1983	248	451	279	277	128	229	184	88	64	232	320	474	248
	1984	230	256	493	224	294	176	121	131	155	201	298	184	246
	1985	258	431	280	330	274	130	217	83	109	170	322	279	417
	1986	231	382	264	255	312	221	228	86	115	191	183	274	263
	1987	213	324	403	206	306	139	342	75	75	155	141	201	218
	1988	246	312	473	357	411	97	131	56	124	165	219	305	311
	1989	217	361	156	349	133	185	153	83	91	103	403	213	363
	1990	236	217	380	435	143	144	98	120	146	217	155	601	201
	1991	158	199	157	206	209	192	98	61	93	146	104	299	137
	1992	171	179	132	111	110	166	157	58	87	222	319	265	240
	1993	244	244	368	394	293	133	139	67	200	149	211	340	401
	1994	325	303	468	651	236	286	119	142	123	185	283	709	421
	1995	246	165	231	451	158	124	93	45	170	236	306	368	624
	1996	207	209	451	142	248	119	64	73	47	173	232	247	475
	1997	163	324	184	192	230	94	54	61	88	109	197	230	186
	1998	168	202	194	279	185	102	89	52	81	139	159	162	376
	1999	179	257	402	186	248	195	125	71	55	158	165	174	159
	2000	156	206	158	233	103	100	95	32	88	87	173	191	403
	2001	185	302	227	310	165	143	91	51	102	142	132	231	288
	2002	142	371	290	133	106	67	82	62	32	14	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	249730	21114	19655	21650	21043	21356	20670	21234	21281	20028	20841	20106	20752
	1973	6894	384	531	583	555	518	557	616	617	615	614	622	682
	1974	7459	649	558	640	618	589	579	603	639	624	666	634	660
	1975	7949	650	568	674	648	649	620	651	702	682	713	687	705
	1976	7930	721	675	722	700	723	685	607	622	607	674	578	616
	1977	7664	584	558	693	659	662	624	645	612	659	671	658	639
	1978	7737	580	524	661	653	626	648	612	697	658	697	675	706
	1979	8237	688	617	705	672	692	670	704	706	674	711	683	715
	1980	8181	685	667	698	675	667	681	709	694	670	691	641	703
	1981	8351	709	650	709	691	708	688	701	696	687	720	683	709
	1982	8257	706	639	705	688	702	692	695	690	679	692	678	691
	1983	8298	724	654	717	698	721	669	692	705	673	698	665	682
	1984	8385	713	643	718	705	709	686	725	708	681	700	686	711
	1985	8172	707	645	735	701	726	625	630	636	621	722	700	724
	1986	8450	718	649	727	708	721	697	717	723	705	711	682	692
	1987	8375	699	616	722	691	701	693	725	711	681	727	686	723
	1988	8548	718	675	732	703	730	703	724	707	692	727	702	735
	1989	8573	719	656	715	704	735	710	734	727	716	735	695	727
	1990	8593	724	665	717	710	729	713	729	729	713	728	704	732
	1991	8607	727	662	729	704	737	714	728	726	704	735	711	730
	1992	8617	735	682	736	713	737	706	720	728	706	724	711	719
	1993	8538	728	658	720	710	723	702	731	729	701	717	701	718
	1994	8583	724	653	730	704	738	705	732	736	711	734	696	720
	1995	8550	737	668	728	712	733	711	736	724	697	722	664	718
	1996	8475	698	665	721	712	740	685	702	688	694	719	706	745
	1997	8537	747	685	696	707	725	683	742	722	702	711	711	706
	1998	8525	689	698	735	703	719	683	745	693	734	738	716	672
	1999	8925	694	632	701	697	731	741	737	743	727	849	844	829
	2000	10147	852	826	864	841	836	855	855	843	833	843	833	866
	2001	9507	887	803	853	853	790	761	731	786	760	752	754	777
	2002	6666	818	833	864	808	839	784	856	842	22	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	10202	830	794	871	870	887	850	864	886	822	851	823	854
	1	10202	848	799	894	864	867	845	869	868	820	860	812	856
	2	9112	760	712	797	773	792	766	757	761	704	772	739	779
	3	12573	1042	989	1085	1053	1077	1045	1099	1094	1012	1040	1006	1031
	4	10195	851	787	886	866	891	850	844	868	823	847	833	849
	5	10251	857	817	897	860	888	855	864	868	821	857	816	851
	6	10157	849	813	891	862	863	826	849	865	815	849	825	850
	7	10152	856	802	878	857	870	841	851	854	826	863	817	837
	8	9184	799	731	796	772	784	773	762	773	728	761	726	779
	9	12372	1062	971	1076	1038	1037	1016	1090	1063	1002	1021	992	1004
	10	10163	868	799	879	859	865	840	871	864	814	839	829	836
	11	10201	868	808	890	854	874	831	875	866	827	838	828	842
	12	10231	860	807	892	866	878	844	876	869	824	854	817	844
	13	10237	870	802	884	875	863	844	870	879	819	840	836	855
	14	9137	794	725	800	773	779	770	747	755	717	768	738	771
	15	12347	1052	973	1067	1029	1033	1012	1076	1069	1004	1023	990	1019
	16	10141	854	802	869	854	870	839	863	876	813	853	816	832
	17	10220	855	811	887	860	874	843	864	869	838	862	819	838
	18	10192	861	781	877	856	868	851	868	870	829	856	825	850
	19	10188	871	800	881	845	882	839	860	865	817	860	821	847
	20	9194	792	724	798	776	791	760	759	770	710	786	750	778
	21	12566	1037	981	1087	1046	1062	1045	1111	1095	1024	1040	1007	1031
	22	10267	892	810	885	864	879	841	880	873	806	846	824	867
	23	10246	886	817	883	871	882	844	865	861	813	855	817	852

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	4.86	5.76	5.82	5.41	4.88	4.49	4.19	3.5	3.79	4.36	4.98	5.5	5.75
