MCCARTHY            AK - 702755                                                 														
 61 deg    26' N  142 deg    56' W - Elev  455m   LST=GMT+99 hours   *NT=-10    														
 04/74-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	1.17	0.57	0.82	1.28	1.72	2.05	1.62	1.25	1.12	1.13	0.92	0.77	0.57
	1974	1.72	-1	-1	-1	2.59	2.66	2.01	1.23	1.62	1.66	1.68	1.52	1.07
	1975	1.82	1.33	1.9	1.7	2.32	2.43	2.17	1.53	2.07	1.81	1.62	1.45	1.14
	1976	1.57	1.2	1.14	2.1	2.33	2.79	1.84	1.53	1.54	1.64	1.03	0.81	0.49
	1977	0.95	0.68	0.83	1.29	1.76	1.96	1.17	0.97	0.71	0.91	0.72	0.23	0.04
	1978	0.81	0.05	0.74	0.84	1.21	1.46	1.25	0.95	0.82	0.67	0.96	0.67	0.27
	1979	0.83	0.17	0.11	0.95	1.07	1.53	0.99	0.72	0.89	0.81	0.91	1.23	0.47
	1980	1	1.17	0.75	1.19	1.92	1.83	1.39	0.83	0.7	0.82	0.84	0.52	0.06
	1981	0.93	0.71	0.56	1.42	1.68	1.47	1.24	0.86	0.95	0.91	0.64	0.76	0.33
	1982	0.75	0.09	0.7	1.14	1.69	1.6	1.16	0.47	0.15	0.67	0.49	0.21	0.21
	1983	0.37	0.04	0.17	0.72	-1	-1	-1	-1	-1	-1	-1	0.94	0.4
	1984	1.26	0.84	1.1	1.3	1.65	2.26	1.84	1.43	1.21	1.18	1.11	0.49	0.55
	1985	1.35	0.83	0.79	1.27	2.08	2.36	1.91	1.26	1.3	1.5	0.9	0.85	1.09
	1986	1.42	0.72	1.29	1.3	2.08	2.2	2.03	1.66	1.35	1.52	1.35	0.61	0.95
	1987	1.42	1.29	1.59	1.52	2.09	2.16	1.73	1.47	1.45	1.34	1.33	0.67	0.47
	1988	1.23	0.45	1.13	1.24	1.87	1.74	1.56	1.29	1.33	1.37	1.07	0.66	1.34
	1989	1.37	0.78	0.91	1.45	1.69	2.09	2	1.49	1.19	1.07	1.12	0.84	-1
	1990	1.39	-1	-1	1.57	1.69	1.94	1.67	1.44	1.34	1.4	0.92	0.69	0.58
	1991	1.09	-1	0.81	1.22	1.52	2.03	1.69	1.22	0.86	0.81	0.6	0.44	0.36
	1992	1.09	0.23	0.6	1.25	1.62	2.03	1.55	0.96	0.68	1.25	0.81	0.75	0.44
	1993	1.03	0.52	0.6	1.07	1.35	1.79	1.33	1.17	1.14	1.06	0.76	0.68	0.69
	1994	1.22	0.35	1	1.64	1.71	1.89	1.69	1.52	1.27	1.26	1.04	0.44	0.64
	1995	1.16	0.81	1.34	1.34	1.52	2.06	1.81	1.52	1.24	0.89	0.82	0.64	0.27
	1996	1.21	0.81	0.88	1.37	1.87	2.33	1.82	1.51	1.13	1.22	0.68	0.55	0.58
	1997	1.37	0.47	0.84	1.49	1.68	2.21	1.74	1.86	1.11	1.25	1.04	1.26	1.07
	1998	1.31	0.37	0.78	1.48	1.78	2.23	2.24	2.19	1.24	1.35	0.97	0.44	0.54
	1999	1	0.51	0.82	1.35	1.81	2.32	1.51	0.44	0.3	0.39	0.28	1.16	0.85
	2000	0.73	0.18	0.26	0.69	1.1	1.43	1.04	0.98	0.79	0.38	0.36	1.1	0.41
	2001	1.37	0.42	0.45	0.7	1.23	2.48	2.38	2.07	2.26	2.25	2.15	1.76	1.59
	2002	1.31	1.38	0.71	1.09	1.69	2.13	1.46	1.18	0.84	0.91	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	8	4	5	8	11	16	12	11	6	10	6	6	4
