MCGRATH             AK - 702310                                                 														
 62 deg    58' N  155 deg    37' W - Elev  103m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.35	1.6	1.93	2.38	2.86	3.02	2.82	2.58	2.55	2.68	2.46	1.74	1.42
	1973	2.08	1.14	1.53	1.61	2.54	2.71	2.58	2.28	2.68	2.02	2.69	1.27	1.81
	1974	2.57	1.62	2.57	2.77	2.66	2.89	3.26	2.95	2.56	2.71	2.65	2.55	1.68
	1975	2.29	1.73	2.23	2.28	3.19	2.97	2.84	2.59	2.17	2.72	2.59	1.45	0.82
	1976	2.15	1.24	0.96	2.59	2.72	2.89	2.64	2.6	2.06	2.46	2.21	1.73	1.46
	1977	2.42	1.79	1.71	2.35	2.98	2.85	2.57	2.86	2.59	3.42	2.8	1.36	1.49
	1978	2.36	0.86	2.66	2.51	2.8	3.07	3.14	2.42	2.1	2.45	2.43	1.94	1.97
	1979	2.28	1.12	1.82	2.72	3.16	2.67	2.89	2.36	2.14	2.63	2.07	2.34	1.49
	1980	2.32	1.65	3.02	2.28	2.78	3.04	2.62	2.54	2.36	2.75	2.48	1.25	1.09
	1981	2.62	1.91	2.13	2.82	3.17	2.95	2.75	3.24	2.91	2.87	2.91	2.25	1.53
	1982	2.56	1.35	2.02	2.86	3.81	2.86	3.04	3.17	2.51	2.81	2.83	1.89	1.46
	1983	2.4	2.08	1.84	1.75	2.48	3.03	2.94	2.58	2.83	2.95	2.95	2.23	1.15
	1984	2.44	1.22	3	2.15	3.14	3.12	2.69	3.23	3.33	2.34	2.12	1.06	1.84
	1985	2.55	1.35	2.48	3.01	2.87	3.52	3.07	2.48	2.67	3.13	3.11	1.51	1.41
	1986	2.46	1.6	2.01	2.31	3.05	3.6	2.78	2.91	2.7	2.91	2.25	2.1	1.28
	1987	2.39	1.69	1.64	2.05	2.9	3.02	3.27	2.86	2.69	3.26	2.52	1.67	1.16
	1988	2.4	1.28	2.33	3.36	3.31	2.61	2.54	2.58	2.43	2.35	2.32	1.61	2.08
	1989	2.57	1.22	2.05	2.34	2.79	3.53	3.17	2.89	2.92	2.74	2.84	1.68	1.95
	1990	2.53	1.32	1.15	2.28	2.95	2.91	3.23	2.73	2.92	3.2	2.88	2.72	1.98
	1991	2.79	2.83	2.68	3.27	2.9	3.35	3.26	3.08	2.93	2.89	2.61	2.5	1.22
	1992	2.61	1.91	2.4	2.59	3.22	3.92	3.1	2.57	2.63	3.06	2.45	2.02	1.47
	1993	2.69	3.09	1.7	2.46	2.56	3.03	2.86	2.64	3.09	3.59	2.86	2.58	1.72
	1994	2.9	2.02	3.24	2.8	3.19	3.65	3.3	2.94	3.35	2.75	2.71	2.81	2.08
	1995	2.15	1.33	2.49	2.91	2.96	3.08	2.91	2.41	2.01	1.94	1.54	1.23	1.04
	1996	2.25	1.28	1.91	2.54	2.7	2.6	3.07	2.72	2.84	2.66	2.65	1.32	0.82
	1997	2.07	1.31	1.52	2.51	2.31	2.62	2.3	1.44	2.46	2.42	2.69	1.8	1.37
	1998	1.88	1.37	1.28	1.87	3.06	3.38	2.53	1.88	2.28	2.08	1.85	0.18	0.69
	1999	1.63	1.3	0.93	1.74	2.16	2.54	1.79	1.86	1.75	1.95	1.38	0.84	1.25
	2000	1.6	2.21	0.65	1.32	2.54	2.45	1.96	1.54	1.99	1.92	1.46	0.94	0.59
	2001	2.14	0.93	0.9	1.95	2.23	3.12	3.11	2.59	2.9	2.5	2.75	2.03	1.59
	2002	2.02	2.28	1.25	1.62	2.8	2.4	2.18	2.12	1.64	1.49	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	28	19	26	35	39	40	31	25	26	31	27	20	14
	1973	25	12	24	16	35	34	33	23	34	22	33	13	28
	1974	32	17	35	55	28	37	45	36	25	26	32	40	10
	1975	26	23	22	21	47	42	32	23	20	33	33	13	6
	1976	22	17	8	37	27	32	24	24	14	26	25	19	11
	1977	28	17	16	33	35	37	23	33	23	48	32	13	27
	1978	26	2	35	32	33	39	39	23	19	22	24	21	24
	1979	29	4	28	49	58	27	33	18	30	28	16	29	23
	1980	29	22	59	39	35	44	23	36	15	27	28	7	7
	1981	31	21	18	43	45	33	26	36	30	37	38	19	25
	1982	36	7	28	51	64	36	40	39	35	44	37	34	20
	1983	27	29	16	16	23	37	35	21	30	44	34	31	4
	1984	27	7	46	22	44	36	26	41	43	19	17	5	23
	1985	34	12	36	42	46	65	37	24	31	45	38	25	10
	1986	30	13	34	39	45	56	30	32	27	34	21	26	7
	1987	30	24	28	28	39	42	49	26	24	51	27	12	7
	1988	30	13	39	68	64	26	21	25	20	23	26	11	22
	1989	32	17	32	40	34	59	40	29	31	26	32	19	23
	1990	29	9	8	25	41	34	39	28	29	43	32	34	20
	1991	42	60	47	80	33	51	45	34	33	33	31	47	13
	1992	31	16	26	46	43	70	36	19	26	35	25	19	11
	1993	34	66	19	34	29	38	29	22	39	52	39	32	14
	1994	39	17	69	34	51	56	40	28	52	31	30	43	21
	1995	22	6	41	41	40	37	25	19	13	19	8	9	9
	1996	27	25	24	34	37	31	35	24	30	28	35	11	5
	1997	20	16	8	34	23	32	19	10	18	24	31	17	9
	1998	20	13	5	19	41	44	26	13	22	22	17	1	6
	1999	15	21	9	15	20	28	13	17	12	19	9	7	10
	2000	15	24	11	9	29	30	19	9	18	17	13	7	5
	2001	21	7	16	23	22	36	28	20	24	20	26	14	9
	2002	23	21	11	19	46	36	20	20	13	9	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	244637	20211	19340	21432	20943	21212	20257	20685	20803	19587	20686	19621	19860
	1973	7259	549	545	622	566	531	580	641	651	644	652	616	662
	1974	7652	627	583	647	621	660	643	623	648	655	637	646	662
	1975	7936	632	594	649	629	640	636	654	708	689	714	693	698
	1976	7885	712	665	699	693	731	695	682	667	627	622	424	668
	1977	7796	625	549	657	641	697	684	692	678	631	664	665	613
	1978	8079	670	615	703	682	695	644	709	699	631	681	658	692
	1979	8315	709	655	720	697	716	689	673	701	663	707	684	701
	1980	8368	687	671	719	680	708	690	707	704	710	708	660	724
	1981	8496	728	654	730	699	714	711	701	706	702	723	706	722
	1982	8433	715	645	716	706	720	704	725	716	695	710	678	703
	1983	8437	737	658	720	692	726	691	720	719	680	717	674	703
	1984	8557	721	662	737	710	726	706	728	721	704	729	693	720
	1985	8614	724	658	739	710	737	689	732	722	712	739	714	738
	1986	8561	731	657	734	712	731	693	727	730	708	721	709	708
	1987	8474	714	640	724	694	718	691	727	711	687	739	696	733
	1988	8498	715	686	733	698	733	705	718	711	706	729	707	657
	1989	7910	490	457	548	656	735	707	738	726	713	725	694	721
	1990	8569	732	661	724	711	733	710	733	715	714	725	695	716
	1991	8606	733	670	732	704	737	709	734	728	705	724	700	730
	1992	8641	725	678	735	711	734	706	736	737	699	736	713	731
	1993	8609	733	666	730	716	730	712	730	738	705	715	706	728
	1994	8440	713	615	735	711	735	690	730	725	695	727	679	685
	1995	8258	724	658	685	690	722	713	719	576	670	719	667	715
	1996	8455	713	677	723	703	716	678	690	687	686	740	733	709
	1997	8517	651	710	719	718	721	700	727	718	700	733	730	690
	1998	7849	670	686	706	720	731	688	561	530	588	668	702	599
	1999	7686	474	417	693	672	651	546	600	653	660	829	829	662
	2000	8875	554	737	819	782	758	666	664	704	701	834	845	811
	2001	7231	835	861	827	810	639	542	474	575	485	619	305	259
	2002	5631	468	710	807	809	687	639	690	799	22	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	9991	804	761	849	855	887	839	860	868	803	847	810	808
	1	10049	811	770	858	869	875	851	865	865	805	857	801	822
	2	9271	777	739	812	778	816	775	784	781	730	778	751	750
	3	12155	1009	960	1061	1033	1036	1011	1035	1042	969	1029	985	985
	4	9986	827	780	871	853	881	845	852	852	779	835	794	817
	5	9980	817	788	883	858	870	824	855	843	796	843	798	805
	6	9994	831	792	875	868	864	821	855	837	796	845	799	811
	7	9985	820	800	879	866	851	813	851	826	803	850	802	824
	8	9252	758	741	809	778	813	770	792	784	737	784	724	762
	9	11895	1009	965	1053	1021	989	976	991	1014	953	1005	956	963
	10	9890	826	789	883	849	861	805	836	842	776	837	786	800
	11	9884	820	804	880	854	845	803	831	842	781	835	787	802
	12	9972	839	796	883	859	853	827	820	845	799	838	808	805
	13	10026	840	808	896	872	860	810	835	832	799	850	806	818
	14	9240	787	746	811	782	806	768	767	773	731	787	733	749
	15	11846	1009	961	1047	1015	1002	939	964	1004	937	1002	982	984
	16	9964	841	794	860	857	870	838	823	832	811	836	788	814
	17	9998	821	807	886	858	858	822	841	839	817	846	792	811
	18	9937	801	760	856	841	864	826	853	860	810	849	807	810
	19	9947	801	768	859	845	874	836	847	863	821	841	783	809
	20	9255	764	710	796	779	823	786	792	786	740	790	750	739
	21	12021	962	942	1054	1040	1045	990	1024	1050	960	1005	977	972
	22	10067	814	782	884	857	881	849	854	875	818	854	795	804
	23	10032	823	777	887	856	888	833	858	848	816	843	807	796

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	2.01	1.61	1.81	2.12	2.32	2.3	2.1	2.01	2.08	2.29	2.27	1.74	1.35
	1	1.97	1.61	1.85	1.98	2.27	2.22	1.98	1.94	2.07	2.24	2.28	1.68	1.4
	2	2	1.68	1.86	2.08	2.28	2.2	2.02	1.97	2.08	2.37	2.26	1.73	1.51
