MEKORYUK            AK - 702185                                                 														
 60 deg    22' N  166 deg    16' W - Elev   15m   LST=GMT+99 hours   *NT=-11    														
 11/83-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	6.39	7.36	7.7	6.6	6.51	5.75	5	4.68	5.98	6.37	6.86	7.67	7.1
	1983	5.78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5.6	5.91
	1984	5.32	7.04	6.08	5.49	5.43	3.39	3.33	4.49	5.76	4.01	6.21	4.81	7.2
	1985	8.64	6.36	6.7	6.94	8.25	9.15	7.07	7.13	7.81	9.85	12.33	11.49	8.71
	1986	8.25	9.58	8.99	8.71	7.47	7.43	8.56	6.3	7.17	6.38	7.55	9.84	9.81
	1987	8.85	9.82	9.64	7.5	8.91	7.6	7.42	7.33	7.26	9.88	9.54	9.84	9.4
	1988	5.52	8.55	7.54	6.13	6.53	4.8	3.97	3.1	3.49	4.3	4.41	5.31	5.67
	1989	6.03	5.68	7	5.96	6.77	6.43	4.68	3.83	4.2	6.12	6.87	7.18	6.18
	1990	5.86	6.26	5.87	5.26	5.65	6.29	5.01	4.29	6.13	6.59	5.6	6.3	7.41
	1991	5.26	6.38	5.98	6.34	3.45	4.18	5.61	5.36	3.93	5.36	7.42	5.27	6.4
	1992	5.81	4.05	5.12	3.53	5.24	5.74	4.68	3.89	6.06	6.65	7.42	6.55	6.6
	1993	6.33	9.22	7.78	5.87	5.27	5.89	5.26	4.62	5.02	7.11	6.43	7.32	6.68
	1994	6.65	6.29	6.96	7.34	5.64	4.25	5.13	5.14	7.41	6.19	6.79	9.12	8.34
	1995	5.84	6.65	6.98	5.42	6.44	4.58	5.32	4.34	5.27	6.03	7.21	5.48	6.77
	1996	6.81	7.24	9.17	6.44	6.76	5.61	6.24	4.99	6.66	7.18	6.71	8.32	6.24
	1997	6.05	6.84	7.79	5.55	4.31	6.33	4.25	4.51	5.94	5.91	6.54	7.68	6.54
	1998	6.47	6.85	5.23	7.4	8.25	6.71	4.95	3.74	6.77	6.3	6.54	7.33	7.41
	1999	6.23	7.12	7.84	6.12	7.74	4.65	4.71	3.78	5.59	5.96	6.46	8.22	6.57
	2000	6.59	7.61	8.82	6.87	5.54	4.46	4.29	4.47	6.69	6.19	5.85	8.41	8.69
	2001	6.67	7.58	9.43	7.51	6.88	5.52	5.1	5.47	6.01	5.88	7.06	7.7	6.66
	2002	5.91	8.08	6.97	7.46	7.16	6.59	4.68	5.03	5.57	4.11	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	346	517	559	394	374	250	138	123	248	301	387	557	456
	1983	301	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	290	309
	1984	206	409	248	185	197	65	35	109	252	69	321	162	397
	1985	766	274	355	369	529	869	314	380	506	915	1876	1593	678
	1986	652	943	897	922	462	400	531	253	363	298	427	1003	1006
	1987	859	1245	1077	641	816	416	542	397	404	1092	870	1084	1034
	1988	253	705	469	306	270	137	63	27	53	116	128	207	294
	1989	258	232	336	252	283	254	94	59	80	247	337	502	259
	1990	225	293	273	190	173	249	101	69	198	256	174	290	431
	1991	165	274	183	297	60	88	138	144	68	171	426	125	265
	1992	250	64	107	50	146	249	128	86	227	301	409	373	389
	1993	322	831	503	268	227	208	140	112	180	413	295	451	332
	1994	384	326	470	578	217	81	131	149	453	277	330	829	673
	1995	254	374	386	243	382	122	132	90	161	208	478	172	345
	1996	384	488	801	354	348	186	259	163	285	403	320	600	366
	1997	298	386	527	258	202	409	73	98	210	258	300	578	316
	1998	370	441	195	447	697	401	139	74	343	239	320	482	650
	1999	327	503	501	334	523	143	135	89	259	211	266	612	356
	2000	375	474	766	406	228	109	100	96	318	244	332	615	672
	2001	391	651	969	521	438	162	132	207	230	254	398	528	348
	2002	260	574	429	505	506	351	103	122	184	58	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	100581	7686	6574	8165	7820	9529	9194	9168	10531	7871	7961	8191	7891
	1983	337	0	0	0	0	0	0	0	0	0	0	140	197
	1984	1852	136	152	206	207	172	80	107	202	185	135	127	143
	1985	1931	178	147	206	189	124	87	107	167	160	182	216	168
	1986	1991	183	147	212	217	162	82	126	180	79	235	199	169
	1987	2125	233	209	231	206	182	156	43	114	175	166	209	201
	1988	2154	233	220	181	226	182	176	113	176	191	190	147	119
	1989	2150	146	116	153	158	168	158	53	239	234	266	217	242
	1990	1731	250	227	226	223	174	150	51	135	85	74	68	68
	1991	567	43	31	30	46	61	85	49	82	33	33	35	39
	1992	5563	33	16	36	420	643	603	742	742	587	640	627	474
	1993	7628	511	563	733	691	678	589	613	604	674	552	698	722
	1994	6928	714	334	522	310	286	662	731	739	706	728	681	515
	1995	8305	655	501	733	704	735	685	722	716	703	727	708	716
	1996	8139	718	686	724	704	730	612	526	732	697	666	615	729
	1997	6939	541	271	428	331	659	675	510	691	696	731	700	706
	1998	7604	478	540	710	671	509	708	659	735	575	663	723	633
	1999	7742	672	588	705	483	775	650	476	676	671	657	713	676
	2000	7948	725	681	732	710	587	379	722	709	716	630	689	668
	2001	8217	727	521	704	683	709	696	708	718	680	686	679	706
	2002	10730	510	624	693	641	1993	1961	2110	2174	24	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	3600	264	204	255	263	368	357	368	396	300	267	286	272
	1	3640	263	242	307	275	350	348	353	387	277	282	281	275
	2	3517	257	219	287	267	331	324	356	363	267	281	298	267
	3	3604	250	198	249	258	360	367	373	406	294	287	286	276
	4	3589	262	240	293	270	345	340	358	382	276	271	285	267
	5	3520	266	220	279	272	335	337	336	380	250	283	282	280
	6	3765	249	194	259	276	396	371	377	437	334	329	278	265
	7	4565	329	288	352	393	467	414	378	475	402	400	331	336
	8	5286	415	348	441	438	519	461	425	535	434	445	421	404
	9	5550	434	373	460	431	532	485	473	556	454	448	461	443
	10	5435	424	385	484	461	484	467	447	549	418	418	451	447
	11	5291	434	374	461	430	459	456	440	530	404	427	450	426
	12	5078	409	350	409	406	482	459	420	518	384	383	439	419
	13	5025	414	343	431	419	464	413	428	525	393	409	393	393
	14	4916	394	342	426	403	421	421	406	498	375	400	421	409
	15	4916	379	322	395	385	462	454	420	514	391	397	412	385
	16	4319	402	344	434	332	344	348	349	382	277	291	419	397
	17	3549	254	242	270	265	334	325	350	381	271	292	292	273
	18	3570	250	206	262	255	361	357	353	402	298	271	275	280
	19	3653	272	241	300	268	353	348	358	396	275	281	283	278
	20	3470	270	232	271	257	322	312	337	362	262	281	288	276
	21	3588	260	198	259	260	360	362	373	405	294	267	282	268
	22	3642	266	249	299	275	342	335	349	383	287	284	293	280
	23	3493	269	220	282	261	338	333	341	369	254	267	284	275

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	5.94	7.6	7.76	6.38	6.29	5.01	4.07	3.97	5.49	5.89	6.47	7.5	7.12
	1	5.91	7.29	7.79	6.44	6.21	4.84	3.97	3.85	5.62	5.78	6.43	7.49	6.93
	2	5.92	7.33	8.12	6.39	6.14	4.99	4.05	3.77	5.49	5.92	6.22	7.64	6.73
	3	5.79	7.19	7.87	6.48	5.92	4.85	4.18	3.72	5.36	5.7	6.4	7.55	6.77
	4	5.95	7.48	7.61	6.43	6.34	4.98	4.07	3.78	5.52	5.83	6.5	7.62	6.98
	5	5.92	7.33	7.88	6.27	6.29	4.99	3.94	3.79	5.27	5.97	6.44	7.55	7.01
	6	5.83	7.48	7.56	6.59	6.18	4.93	4.04	3.75	5.31	5.81	6.54	7.63	6.78
	7	6.05	7.5	7.3	6.37	6.36	5.31	4.55	3.95	5.21	5.93	6.61	7.66	7.19
	8	6.21	7.63	7.43	6.43	6.19	5.63	4.66	4.36	5.52	5.98	6.85	7.62	6.96
	9	6.3	7.27	7.38	6.33	6.32	5.77	5.04	4.55	5.67	6.29	6.79	7.61	7.18
	10	6.45	7.24	7.45	6.28	6.56	6.02	5.26	4.9	6.04	6.52	6.82	7.61	7.09
	11	6.65	7.28	7.59	6.43	6.65	6.26	5.52	5.21	6.26	6.73	6.99	7.73	7.43
	12	6.69	7.25	7.73	6.8	6.64	6.22	5.62	5.31	6.29	6.79	7.15	7.67	7.23
	13	6.94	7.52	7.82	6.74	6.97	6.51	5.87	5.55	6.6	7.08	7.43	8.08	7.53
	14	7.04	7.27	7.88	6.98	6.98	6.82	6.04	5.69	6.81	7.11	7.53	8.2	7.38
	15	6.98	7.28	7.72	7.15	6.97	6.57	6.04	5.8	6.69	7.23	7.55	8.02	7.24
	16	7.01	7.38	7.79	7.09	7.05	6.68	6.03	5.75	6.95	7.16	7.26	7.64	7.18
