MERRILL FIELD       AK - 702735                                                 														
 61 deg    13' N  149 deg    51' W - Elev   42m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.07	1.79	1.88	1.99	2.19	2.53	2.55	2.26	2.03	2.06	2.05	1.77	1.67
	1973	2.86	2.84	2.35	2.54	3.05	3.82	3.78	3.44	3.23	2.13	2.68	2.1	2.59
	1974	2.78	2.74	3.12	2.78	2.59	3.15	3.63	2.74	2.54	2.37	3.19	2.68	1.86
	1975	2.87	3.01	2.96	2.2	2.69	3.25	3.31	2.98	2.63	3.1	3	2.34	2.98
	1976	3.08	2.56	2.9	3.25	3.19	3.4	3.67	3.31	2.66	2.9	2.92	3.13	3.06
	1977	3.06	3.02	2.49	3.48	3.88	3.73	3.57	3.41	2.45	3.17	2.83	2.36	2.18
	1978	2.87	1.9	3.12	2.42	2.74	3.39	3.73	2.73	2.77	2.49	3.36	2.77	3.01
	1979	3.15	2.78	3.52	2.81	3	3.5	3.51	3.08	2.71	2.94	3.05	3.79	3.12
	1980	3.34	3.98	3.34	2.88	3.4	4.04	3.83	3.6	3.63	3.31	3.34	2.73	1.98
	1981	2.47	2.54	2.43	2.64	2.84	2.96	3.29	2.93	2.65	2.39	1.99	1.86	1.16
	1982	2.09	1.55	2.23	2.14	2.36	2.5	2.58	2.65	1.81	2.29	2.19	1.34	1.4
	1983	1.54	1.35	0.87	1.15	1.77	1.62	1.78	1.78	1.84	1.87	2.31	1.44	0.63
	1984	1.38	1.24	1.6	0.89	1.72	2.07	2.11	1.84	1.89	0.87	0.92	0.67	0.72
	1985	1.86	1.17	1.51	1.47	1.55	2.14	1.5	1.26	2.19	3.05	2.53	1.97	2.02
	1986	1.95	2.18	2.49	2.53	2.73	1.95	2.22	1.96	1.52	1.53	1.32	1.81	1.19
	1987	1.73	1.66	1.95	1.33	1.9	2.12	2.06	1.93	1.65	1.78	1.83	1.46	1.11
	1988	1.71	0.95	2.32	1.78	2.14	2.25	2.21	1.83	1.55	1.2	1.47	1.12	1.76
