MIDDLETON ISL. AMOS AK - 703430                                                 														
 59 deg    26' N  146 deg    20' W - Elev   14m   LST=GMT+99 hours   *NT=-10    														
 11/77-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.99	7.59	7.11	6.6	6.18	5.16	4.72	3.93	4.34	5.56	6.55	7	7.68
	1977	5.88	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.84	6.23
	1978	6.15	6.87	9.49	6.85	5.37	5.76	4.41	4.26	4	4.82	7.19	5.67	9.45
	1979	5.82	6.38	6.93	6.54	4.23	5.43	4.44	3.65	4.41	6.03	7.14	6.62	7.68
	1980	6.53	8.76	7.82	7	7.76	6.27	4.82	3.41	4.12	5.8	8.33	7.67	6.62
	1981	6.23	9.81	5.82	7.59	5.88	4.84	4.72	3.45	5.68	5.25	5.9	8.36	7.31
	1982	5.82	6.9	6.66	6.12	6.36	5.2	4.54	4.88	3.86	5.35	5.35	6.36	7.95
	1983	5.74	7.97	6.7	5.74	5.33	5.37	4.16	3.77	3.91	5.67	7.68	8	4.23
	1984	5.78	7.71	7.33	5.91	5.53	4.71	5.36	3.79	4.98	5.1	5.93	4.69	7.91
	1985	6.24	8.44	6.8	7.67	6.76	5.34	5.36	3.85	4.64	5.69	5.26	6.79	8.24
	1986	5.9	7.43	6.92	6.28	6.31	4.56	4.89	3.88	4.5	5.36	5.92	6.87	7.8
	1987	6.31	8.67	8.26	7.09	6.78	5.04	7	3.71	3.46	5.99	7.01	7.22	6.81
	1988	6.01	6.97	8.87	6.41	6.64	4.59	4.61	3.82	5.21	5.25	5.87	6.69	8.47
	1989	5.66	7.63	4.21	5.74	5.21	4.21	5.02	4.55	4.07	4.72	6.68	7.43	8.35
	1990	5.64	7.03	6.8	6.28	4.84	4.05	3.64	3.89	5.03	5.88	6.38	7.17	7.17
	1991	6.06	6.37	7.61	5.14	7.44	5.76	4.72	3.61	4.46	6.41	6.42	7.5	8.19
