MINCHUMINA          AK - 702460                                                 														
 63 deg    54' N  152 deg    16' W - Elev  214m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	1.56	1.26	1.31	1.55	1.74	1.94	1.78	1.71	1.6	1.68	1.62	1.17	1.16
	1973	2.87	3.82	3.16	2.42	1.72	2.73	3.25	2.8	1.68	4.1	2.51	2.97	8.61
	1974	2.59	2.03	5.05	3.46	2.65	5.11	2.62	2.26	2.24	2.89	3.54	6.63	1.45
	1975	1.95	2.49	2.26	0.82	2.45	2.54	2.31	2.1	1.52	2.74	1.87	1.51	1
	1976	2.21	2.29	1.61	1.93	2.46	2.89	2.9	2.41	1.65	2.87	1.55	1.33	1.94
	1977	1.92	1.72	1.88	1.75	2.21	2.14	2.42	2.07	1.8	2.79	1.92	1.58	0.39
	1978	1.75	0.91	1.28	1.36	1.58	2.35	2.65	1.6	3.06	2.04	2.02	1.16	1.27
	1979	1.69	0.68	2.77	2.98	1.73	1.96	1.83	1.4	1.97	1.95	1.41	1.06	0.69
	1980	1.59	1.22	1.99	1.93	1.46	2.1	1.81	1.57	1.58	1.63	0.67	0.81	1.11
	1981	1.37	0.92	1.35	1.34	1.88	0.83	1.88	1.79	0.86	1.63	1.51	1.55	0.45
	1982	1.74	2.36	1.54	1.72	2.05	2.26	1.77	2.42	1.24	1.72	1.45	1.02	1.53
	1983	1.63	1.84	1.46	1.65	1.77	2.04	2.23	1.51	1.51	1.54	1.56	0.74	1.88
	1984	1.88	0.89	1.75	1.48	2.27	2.29	1.44	2.09	1.63	2.1	2.6	2.05	1.95
	1985	2.28	1.64	2.46	2.33	2.15	2.48	2.82	2.31	2.81	2.64	2.65	1.52	1.71
	1986	2.61	2.58	2.07	2.81	2.83	2.6	2.59	2.78	2.61	2.98	2.84	2.81	1.95
	1987	2.39	2.4	2.15	2.16	2.63	2.5	2.8	2.93	2.6	-1	-1	2.96	1.4
	1988	3.2	1.95	4.38	3.9	3.25	3.31	3.02	3.17	3.36	2.46	3.79	2.97	2.33
	1989	2.27	0.8	2.25	3.74	1.91	2.83	2.94	2.23	1.8	2.81	2.78	1.51	1.6
	1990	2.9	1.79	-1	1.73	2.15	3.69	4.1	3.24	3.57	2.86	3.1	2.59	3.81
	1991	3.39	2.29	-1	3.27	2.71	3.08	4.04	3.53	3.81	3.22	4.04	5.51	3.24
	1992	3.39	2.57	3.12	2.4	3.76	4.81	3.06	-1	-1	2	-1	-1	-1
	1993	1.44	-1	-1	-1	-1	1.8	1.49	1.28	1.57	2.08	1.66	1.07	0.91
	1994	1.39	2.13	1.85	1.13	1.5	1.71	1.83	1.14	1.72	0.89	0.95	1.36	0.53
	1995	1.2	0.41	0.92	1.12	1	1.66	1.66	1.57	1.14	1.04	1.13	0.98	1.62
	1996	1.1	0.44	0.9	1.35	1.5	1.38	1.13	1.67	2.7	1.15	0.72	0.68	0.47
	1997	1.04	1.06	0.73	1.08	0.97	1.65	1.63	1.06	1.24	0.78	1.35	0.45	0.62
	1998	1.15	0.93	0.86	0.9	1.15	1.58	1.31	1.45	1.85	1.4	1.17	0.52	0.74
	1999	1.04	0.97	0.12	1	1.44	1.76	1.24	1.43	0.7	1.2	1.01	0.6	0.61
	2000	1.08	0.73	0.81	1.32	1.36	1.61	1.14	1.23	1.33	1.01	0.81	0.63	0.92
	2001	1.59	0.8	0.55	1.09	1.41	2.08	2.51	2.52	3.04	2.06	2.18	2.03	2.59
	2002	1.4	2.37	0.44	1.53	1.86	1.72	1.21	1.55	1.16	0.21	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	19	18	23	21	19	19	19	16	18	27	18	16	18
	1973	65	137	99	22	10	36	110	35	6	203	30	59	572
	1974	36	16	18	41	27	111	20	20	25	76	62	398	10
	1975	36	65	64	5	45	52	35	25	31	87	17	11	7
	1976	31	50	18	18	26	52	41	24	7	86	19	12	25
	1977	32	22	32	65	24	20	22	20	20	66	45	36	1
	1978	30	6	14	31	13	32	43	10	157	64	21	8	13
	1979	37	3	84	120	10	13	20	3	20	66	36	18	5
	1980	20	7	53	33	9	34	16	17	10	10	3	3	17
	1981	19	2	13	8	26	3	37	17	7	10	10	74	2
	1982	25	69	17	18	20	15	41	51	6	30	7	4	12
	1983	15	16	12	14	14	13	30	11	17	10	12	3	32
	1984	18	4	18	8	32	20	9	16	11	19	27	22	32
	1985	26	19	44	29	19	33	30	19	39	39	25	11	10
	1986	35	34	25	55	29	29	23	31	26	34	30	53	51
	1987	37	92	24	21	23	22	73	24	10	-1	-1	63	16
	1988	62	30	175	95	49	44	39	44	58	30	79	48	24
	1989	30	6	54	96	10	29	34	13	17	44	26	8	44
	1990	66	37	-1	20	37	55	67	32	60	25	45	63	204
	1991	90	52	-1	82	155	25	71	54	71	56	78	259	210
	1992	79	50	62	42	91	150	36	-1	-1	5	-1	-1	-1
	1993	16	-1	-1	-1	-1	9	11	7	16	33	25	11	7
	1994	15	29	26	7	15	17	21	7	22	3	6	24	4
	1995	10	3	8	10	6	13	19	11	8	6	6	9	20
	1996	10	3	14	14	9	9	6	16	32	11	4	5	5
	1997	8	16	5	7	4	12	11	6	10	4	12	2	4
	1998	10	7	5	7	8	16	10	11	22	18	7	3	9
	1999	9	14	0	5	14	12	8	16	2	14	5	4	5
	2000	9	7	22	11	7	12	8	7	11	10	4	4	6
	2001	10	4	4	6	10	14	16	18	31	9	9	7	19
	2002	14	11	2	25	40	12	8	18	9	0	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	117839	8677	8889	10314	10065	11289	10604	10921	10849	8991	9419	8831	8990
	1973	1593	62	147	240	104	128	119	186	21	124	341	104	17
	1974	2733	119	10	214	387	27	179	303	435	393	302	3	361
