NENANA MUNI (AMOS)  AK - 702600                                                 														
 64 deg    33' N  149 deg    05' W - Elev  110m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.21	2.25	2.1	2.37	2.49	2.6	2.22	1.98	2.02	2.18	2.12	2.11	2.12
	1973	2.87	2.61	2.61	3.21	3.53	2.77	2.9	2.68	2.54	2.57	2.72	2.77	3.22
	1974	2.36	2.23	1.6	2.93	3.72	3.05	3.06	2.54	3.03	4.09	2.4	1.37	1.28
	1975	2.33	2.01	2.37	-1	4.3	-1	-1	-1	-1	3.12	2.45	2.18	2.08
	1976	2.36	2.33	1.32	4.46	-1	2.5	-1	-1	-1	4.1	-1	2.96	2.13
	1977	1.97	1.86	1.62	1.96	2.06	2.43	2.1	1.94	1.8	2.1	2.32	1.71	1.58
	1978	2.29	2.55	2.53	0	2.18	2.53	2.27	1.57	2.01	1.87	2.19	2.83	2.8
	1979	2.06	2.61	1.97	2.18	2.16	2.64	2.15	1.74	1.93	2	1.86	2.19	1.62
	1980	2.12	1.77	2.3	2.2	2.38	2.76	2.29	1.95	1.99	2.06	2.3	1.51	1.77
	1981	2.09	2.48	1.69	2.47	2.56	2.34	2.34	2.1	1.97	1.76	1.86	1.78	1.63
	1982	2.03	2.85	1.82	2.31	2.13	2.27	2.02	2	1.53	2.15	1.77	1.81	1.15
	1983	1.92	1.84	1.59	1.66	1.93	2.49	1.89	1.59	1.69	1.98	2.02	2.23	2.21
	1984	1.74	1.38	1.18	1.59	1.88	2.08	1.72	2.02	1.85	1.74	2.09	1.46	1.79
	1985	2.06	2.29	1.72	2.28	2.17	2.27	2.08	1.82	1.99	2.19	1.69	2.44	1.83
	1986	2.18	1.5	2.18	2.23	2.63	2.54	2.23	2.21	2.17	2.04	2.2	2.16	2.11
	1987	2.14	2.53	1.75	2.4	2.42	2.68	2.63	2.1	1.83	2.1	2.12	1.5	1.69
	1988	2.31	2.22	3.56	2.99	3.12	2.18	1.92	1.93	1.96	1.73	1.77	1.66	2.85
