SDR	6.10.0

-----Logger Information-----
Model #	3090
Serial #	07315
Hardware Rev.	009-009-000

-----Site Information-----
Site #	7313
Site Desc	Newton Peak
Project Code	New
Project Desc	Newton Peak Nome, AK
Site Location	
Site Elevation	1152
Latitude	N 064° 34.290'
Longitude	W 165° 28.210'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	20   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	26   m
Scale Factor	0.351
Offset	270
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:.adgj
Height	29   m
Scale Factor	0.351
Offset	340
Units	deg

Channel #	9
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.138
Offset	-86.383
Units	C

Channel #	10
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
11/09/2009 13:40:00	1.6	0.4	2.3	0.7	1.4	0.3	2.3	0.7	1.5	0.3	2.3	0.7													274	0	270	270	55	0	52	340	-6.1	0.1	-5.7	-6.4												
11/09/2009 13:50:00	1.6	0.3	2.3	0.7	1.4	0.3	2.3	0.7	1.5	0.3	2.3	0.4													270	0	270	270	55	0	52	340	-6.5	0	-5.9	-6.6												
11/09/2009 14:00:00	1.3	0.4	2.3	0.7	1.2	0.4	1.9	0.4	1	0.5	2.3	0.4													270	0	270	270	55	0	53	340	-6.6	0	-6.4	-6.8												
11/09/2009 14:10:00	0.9	0.4	1.9	0.4	0.5	0.3	1.9	0.4	0.9	0.3	1.5	0.4													270	0	270	270	55	0	52	340	-6.7	0	-6.6	-6.8												
11/09/2009 14:20:00	1.4	0.3	2.3	0.4	0.4	0	0.4	0.4	1.1	0.4	1.9	0.4													270	0	270	270	55	0	340	340	-6.5	0.1	-6.1	-6.8												
11/09/2009 14:30:00	1.2	0.3	1.9	0.4	0.4	0	0.4	0.4	1	0.3	1.9	0.4													270	0	270	270	55	0	340	340	-6.4	0	-6.1	-6.6												
11/09/2009 14:40:00	0.5	0.2	1.5	0.4	0.4	0	0.4	0.4	0.4	0.2	1.1	0.4													270	0	270	270	55	0	340	340	-6.4	0	-6.1	-6.6												
11/09/2009 14:50:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													270	0	270	270	55	0	340	340	-6.6	0	-6.4	-6.8												
11/09/2009 15:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													270	0	270	270	55	0	340	340	-6.8	0	-6.6	-7												
11/09/2009 15:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													270	0	270	270	55	0	340	340	-6.6	0	-6.4	-6.8												
11/09/2009 15:20:00	1.3	0.8	2.3	0.4	0.4	0	0.4	0.4	1.8	0.7	2.6	0.4													270	0	270	270	55	0	340	340	-6.6	0.1	-6.4	-6.8												
11/09/2009 15:30:00	1.6	0.4	2.6	0.4	0.4	0	0.4	0.4	1.7	0.3	2.3	1.1													270	0	270	270	55	0	340	340	-7	0	-6.8	-7												
11/09/2009 15:40:00	2.1	0.5	3	0.7	0.4	0	0.4	0.4	2.1	0.4	3	0.7													270	0	270	270	55	0	340	340	-7.1	0	-6.8	-7.2												
11/09/2009 15:50:00	2.9	0.3	3.4	1.9	0.4	0	0.4	0.4	2.8	0.4	3.4	1.5													270	0	270	270	55	0	340	340	-7.1	0	-7	-7.2												
11/09/2009 16:00:00	2.6	0.5	3.4	1.1	0.4	0	0.4	0.4	2.5	0.5	3.4	1.1													270	0	270	270	55	0	340	340	-7	0	-6.6	-7												
11/09/2009 16:10:00	1.6	0.7	3	0.4	0.4	0	0.4	0.4	1.7	0.5	3	0.4													270	0	270	270	55	0	340	340	-6.6	0.1	-6.6	-6.8												
11/09/2009 16:20:00	0.5	0.3	1.5	0.4	0.4	0	0.4	0.4	0.7	0.4	1.5	0.4													270	0	270	270	55	0	340	340	-6.4	0	-6.1	-6.6												
11/09/2009 16:30:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													270	0	270	270	55	0	340	340	-6.3	0	-6.1	-6.4												
