SDR	5.7.6

-----Logger Information-----
Model #	
Serial #	7310
Hardware Rev.	009-009-000

-----Site Information-----
Site #	7310
Site Desc	Nome Anvil Mtn
Project Code	
Project Desc	
Site Location	
Site Elevation	
Latitude	N 000° 00.000'
Longitude	W 000° 00.000'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	12   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	12   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	3
Type	0
Description	No Sensor
Details	
Serial Number	SN:
Height	ft
Scale Factor	0
Offset	0
Units	

Channel #	4
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	12   m
Scale Factor	0.351
Offset	135
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	0
Scale Factor	0.351
Offset	0
Units	deg

Channel #	9
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	1    m
Scale Factor	0.138
Offset	-135.383
Units	C

Channel #	10
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
09/15/2005 04:00:00	0.4	0.1	1.1	0.4	0.4	0.1	1.1	0.4	0.8	0.2	2.5	0.8													313	0	314	135	178	1	178	0	-65.9	0.1	-65.9	-135.4												
09/15/2005 04:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													313	0	135	135	178	0	0	0	-65.8	0	-135.4	-135.4												
09/15/2005 04:20:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													313	0	135	135	178	0	0	0	-65.8	0	-135.4	-135.4												
09/15/2005 04:30:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													313	0	135	135	178	0	0	0	-65.8	0	-135.4	-135.4												
09/15/2005 04:40:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													313	0	135	135	178	0	0	0	-65.8	0	-135.4	-135.4												
09/15/2005 04:50:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													313	0	135	135	178	0	0	0	-65.8	0	-135.4	-135.4												
09/15/2005 05:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													313	0	135	135	178	0	0	0	-65.8	0	-135.4	-135.4												
10/06/2005 18:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													135	0	135	135	0	0	0	0	-135.4	0.1	-134.8	-135.4												
10/06/2005 18:20:00	0.4	0.3	2.6	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													136	12	135	135	0	0	0	0	-135.4	0	-134.8	-135.4												
10/06/2005 18:30:00	0.4	0.3	4.2	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													135	0	135	135	0	0	0	0	-135.4	0	-135.2	-135.4												
10/06/2005 18:40:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													135	0	135	135	0	0	0	0	-135.4	0	-135.4	-135.4												
10/06/2005 18:50:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													135	0	135	135	0	0	0	0	-135.4	0	-135.4	-135.4												
10/06/2005 19:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													135	0	135	135	0	0	0	0	-135.4	0	-135.4	-135.4												
10/06/2005 19:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													135	0	135	135	0	0	0	0	-135.4	0	-135.4	-135.4												
10/06/2005 19:20:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.8	0	0.8	0.8													135	0	135	135	0	0	0	0	-135.4	0	-135.4	-135.4												
10/06/2005 19:30:00	0.4	0	0.4	0.4	1.1	1.6	5.7	0.4	0.8	0	0.8	0.8													115	23	135	135	0	0	0	0	-135.4	0	-135.4	-135.4												
10/06/2005 19:40:00	3.6	2.1	6.8	0.4	4.9	0.6	6.8	3	0.8	0	0.8	0.8													86	2	84	135	0	0	0	0	-86	67.7	5.9	-135.4												
10/06/2005 19:50:00	5.3	0.7	7.2	3.4	5.3	0.7	7.2	3.4	0.8	0	0.8	0.8													85	2	86	135	0	0	0	0	5.7	0	5.9	5.9												
