SDR	5.7.6

-----Logger Information-----
Model #	
Serial #	7311
Hardware Rev.	009-009-000

-----Site Information-----
Site #	7311
Site Desc	Nome Snake River
Project Code	
Project Desc	
Site Location	
Site Elevation	
Latitude	N 000° 00.000'
Longitude	W 000° 00.000'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	29   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	20   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	0
Description	No Sensor
Details	
Serial Number	SN:
Height	29
Scale Factor	0
Offset	0
Units	

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	29m
Scale Factor	0.351
Offset	0
Units	deg

Channel #	9
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2 m
Scale Factor	0.138
Offset	-86.381
Units	C

Channel #	10
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
11/09/2005 00:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 00:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 00:20:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 00:30:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 00:40:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 00:50:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 01:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 01:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 01:20:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 01:30:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 01:40:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 01:50:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 02:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 02:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 02:20:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 02:30:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 02:40:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 02:50:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
11/09/2005 03:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													0	0	0	0	0	0	0	0	-86.4	0	-86.4	-86.4												
