NOME                AK - 702000                                                 														
 64 deg    31' N  165 deg    27' W - Elev   11m   LST=GMT+99 hours   *NT=-11    														
 01/73-12/81 01/84-09/02                                                        							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	4.45	4.63	4.77	4.39	4.23	4.18	4.11	4.2	4.6	4.63	4.26	4.91	4.54
	1973	4.86	5.22	5.96	4.03	4.73	4.55	4.12	4.79	4.51	5.11	4.83	5.6	4.85
	1974	4.29	5.12	3.37	4.83	4.05	4.23	4.45	4.68	4.77	4.03	4.32	4.32	3.21
	1975	4.19	4.03	4.91	4.76	4.44	3.96	4.09	3.96	4.24	4.19	3.98	3.87	3.94
	1976	4.29	3.91	2.22	4.79	4.12	4.22	4.06	4.82	4.05	4.82	4.92	4.71	4.79
	1977	4.72	6.51	6.08	4.05	3.62	4.7	4.03	4.71	4.67	5.93	4.31	4.19	4.05
	1978	5.15	5.26	5.24	4.46	4.66	4.36	4.91	4.6	4.52	4.73	5.26	7.25	6.63
	1979	4.85	6.9	3.22	4.96	5.53	3.73	4.61	4.69	5.05	5.38	3.68	6.75	3.66
	1980	4.2	3.85	5.43	5.23	3.92	4.97	4.87	3.82	3.82	3.96	3.82	3.66	3.18
	1981	4.19	5.4	4.64	5.26	4.27	3.73	4.09	3.84	3.91	3.57	4.08	3.78	3.69
	1984	4.42	4.04	3.1	5.07	4.54	3.98	3.9	5.03	5.08	4.77	4.18	4.33	4.9
	1985	5.03	6.19	3.81	4.71	3.17	4.91	4.24	4.08	4.96	5.31	5.49	6.39	6.94
	1986	4.7	4.02	4.78	3.42	3.96	4.78	4.48	4.84	5.52	6.27	4.18	4.75	5.48
	1987	4.67	5.49	5.35	5	4.35	4.2	4.17	3.54	4.35	5.14	4.83	4.49	5.22
	1988	4.3	4.57	5.24	4.66	5.44	4.76	3.54	4.29	4.26	3.24	3	3.86	4.75
	1989	4.62	3.91	7.07	4.81	5.2	4.11	3.53	4.11	4.19	4.5	4.96	4.53	4.73
	1990	4.35	4.05	2.56	2.95	3.42	3.89	4.11	4.31	5.77	5.33	4.92	6.24	4.53
	1991	4.33	4.73	5.23	4.78	3.46	3.78	4.37	4	3.9	4.77	5.29	4.77	3.02
	1992	3.91	3.55	3.67	3.52	3.88	4.42	3.9	3.3	3.9	3.8	4.01	4.56	4.42
	1993	4	3.68	5.43	4.01	3.51	3.74	3.37	3	3.8	4.53	4.16	4.84	4.11
	1994	3.87	3.12	4.13	4.29	3.63	3.23	3.54	3.41	4.7	3.57	3.28	5.07	4.78
	1995	3.78	4.36	3.96	3.17	3.61	4.07	3.67	3.4	3.46	4.78	3.57	2.52	4.64
	1996	4.37	3.41	5.14	3.61	3.93	3.98	4.78	5.46	4.94	4.49	3.9	5.31	3.96
	1997	4.46	3.85	4.88	2.68	3.61	4.31	4.47	4.34	5.06	4.83	4.05	6.71	4.33
	1998	4.66	3.97	4.11	5.04	5.89	5.31	4.18	3.24	5.57	4.47	4.78	4.72	4.48
	1999	3.99	4.35	4.53	3.41	4.51	3.28	3.85	4.87	4.6	4.79	3.36	4	2.48
	2000	4.9	3.95	5.92	5.45	4.33	3.69	3.86	4.26	5.64	4.37	3.54	6.47	7.22
	2001	4.9	6.2	7.29	4.22	4.82	3.95	4.56	5.01	4.77	4.45	4.53	4.33	3.56
	2002	4.46	5.6	5.35	5.19	3.81	4.32	3.69	3.65	4.26	2.54	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
