NORTHWAY            AK - 702910                                                 														
 62 deg    58' N  141 deg    56' W - Elev  525m   LST=GMT+99 hours   *NT= -9    														
 01/73-09/02                                                                    														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	1.91	0.76	1.08	1.78	2.39	2.85	2.81	2.6	2.43	2.29	1.97	1.09	0.8
	1973	1.96	1.31	0.87	2.08	2.65	2.77	2.87	2.61	2.9	2.3	2.15	1.23	0.17
	1974	2.06	0.36	1.49	2.32	2.27	2.88	2.89	2.93	2.65	2.38	1.97	1.61	0.91
	1975	2.16	1.2	1.12	1.98	3.6	2.83	3.08	2.83	2.61	2.47	3	0.97	0.33
	1976	1.32	0.21	0.8	1.58	1.53	2.2	1.98	2.19	1.99	1.41	1.16	0.28	0.38
	1977	1.76	0.49	0.33	2.3	2.77	2.88	2.62	2.34	2.06	2.54	1.87	0.46	0.16
	1978	1.85	0.25	0.8	1.39	2.36	2.7	2.94	2.52	2.5	2.17	1.88	1.57	1.1
	1979	1.79	0.22	0.45	1.65	2.65	2.9	3.05	2.52	2.02	1.79	1.56	1.4	1.37
	1980	2.01	1.2	1.28	1.91	2.36	2.97	3.3	2.62	2.57	2.53	1.54	1.19	0.65
	1981	1.88	0.68	1.27	1.54	2.45	2.77	2.74	2.62	2.49	2.16	2.2	1.21	0.42
	1982	1.88	0.38	1.61	1.85	2.74	2.7	2.65	2.68	2.52	2.02	2.56	0.65	0.27
	1983	1.83	0.38	0.88	0.84	2.25	2.69	2.78	2.72	2.74	2.63	2.45	0.95	0.55
	1984	1.89	1.28	1.37	1.52	2.67	2.7	2.65	2.68	2.54	1.66	1.62	0.69	1.06
	1985	2.09	0.63	1.29	2.08	2.67	2.83	2.92	2.69	2.4	2.76	2.37	1.64	0.79
	1986	1.99	0.55	0.99	1.87	2.58	2.79	3.14	3.22	2.72	2.77	1.56	1.24	0.87
	1987	1.94	1.3	1.44	1.24	2.34	2.54	2.66	2.67	2.43	2.34	1.79	1.2	1.35
	1988	1.92	0.52	1.34	1.84	2.42	2.61	2.77	2.38	2.44	2.28	2.05	1.39	1.04
	1989	2.06	1.7	1.46	1.8	2.16	2.98	2.8	2.48	2.24	2.15	2.36	1.4	1.03
	1990	2.03	0.91	1.58	2.02	2.2	2.55	2.78	2.29	2.11	2.36	2.09	1.81	1.65
	1991	1.94	1.53	1.57	2.24	1.9	2.95	2.54	2.43	2.11	1.99	2.33	0.78	0.9
	1992	2.11	0.65	0.95	1.97	2.98	3.62	2.99	2.56	2.67	2.93	1.73	1.39	1.4
	1993	2.15	2.06	1.47	1.69	2	2.87	2.74	2.82	2.69	2.74	2.19	2.02	0.49
	1994	2.16	0.68	0.83	2.49	2.65	3.46	3.37	2.68	2.68	2.27	1.99	2.04	0.9
	1995	1.92	0.65	1.51	2.52	2.42	3.16	3.33	2.9	2.61	1.98	2.06	0.71	0.53
	1996	1.99	0.37	2.01	2.28	1.99	2.92	2.59	2.61	2.6	2.49	1.93	0.57	1.47
	1997	1.95	0.55	0.58	2.09	2.45	3.66	3.17	2.87	2.76	1.8	2.36	0.63	0.29
	1998	1.68	0.24	0.03	1.42	2.66	3.29	3.5	3.13	2.97	2.41	0.93	0.15	0.89
	1999	1.8	0.2	0.76	1.56	2.74	3.47	3.13	2.65	2.2	2.33	1.42	0.89	0.91
	2000	1.43	0.89	0.76	1.32	1.91	2.62	1.92	2.1	2.17	2.36	1.03	0.19	0.13
	2001	1.91	0.25	0.61	1.15	1.81	2.97	3.61	2.97	2.7	2.54	2.91	2.11	3.72
	2002	1.6	2.38	0.47	1.06	2.11	2.23	1.93	1.89	1.31	1.15	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	19	8	11	19	25	32	28	23	22	21	19	9	8
	1973	20	19	3	19	37	29	26	22	37	18	20	13	0
	1974	21	2	18	31	18	29	30	29	23	21	17	21	8
	1975	27	20	8	17	70	28	33	38	39	20	44	10	2
	1976	13	1	15	29	18	24	15	17	13	12	6	1	2
	1977	18	1	1	33	37	31	27	19	14	31	15	4	1
	1978	18	5	8	13	23	27	31	18	21	16	19	18	13
	1979	19	1	6	21	27	33	45	22	26	12	9	7	18
	1980	18	12	9	14	20	31	38	21	23	25	10	8	5
	1981	16	2	8	13	25	26	24	22	19	14	21	10	1
	1982	19	4	23	20	31	25	24	24	25	15	29	4	1
	1983	16	2	6	3	18	37	23	24	22	32	24	2	1
	1984	16	12	14	8	28	26	21	24	26	9	13	2	10
	1985	21	1	11	32	28	34	27	24	20	35	20	18	4
	1986	20	2	6	23	33	28	36	33	24	37	9	9	3
	1987	19	10	28	7	18	30	24	25	20	29	10	5	24
	1988	16	7	13	12	22	22	30	18	18	17	15	9	5
	1989	19	22	12	22	15	38	25	19	18	12	22	12	12
	1990	18	6	20	19	16	22	26	18	15	17	18	20	15
	1991	18	23	13	25	25	34	20	18	15	13	24	3	6
	1992	21	2	5	18	35	52	30	20	23	37	11	8	14
	1993	22	25	19	14	13	28	26	28	39	32	17	23	1
	1994	21	2	5	33	25	42	39	22	25	19	17	23	10
	1995	19	17	10	33	23	36	37	29	20	16	22	6	3
	1996	21	1	28	22	14	33	24	25	25	29	24	4	29
	1997	23	8	4	33	34	52	37	27	25	16	30	6	5
	1998	22	4	0	20	25	46	43	33	35	25	32	1	18
	1999	24	2	15	13	43	51	42	28	20	22	19	12	24
	2000	13	10	9	13	15	29	12	18	20	21	6	1	1
	2001	17	4	5	6	18	29	40	22	17	16	28	8	60
	2002	15	13	4	9	23	31	17	15	8	7	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	221169	18636	17681	19527	18875	18917	17795	18658	18522	17960	18589	17802	18207
	1973	6914	517	526	585	500	467	502	612	627	615	653	645	665
	1974	7495	644	547	657	622	677	627	604	627	626	620	607	637
	1975	7726	628	584	655	622	641	577	639	667	672	686	670	685
	1976	8067	702	663	699	696	711	687	681	669	634	666	609	650
	1977	7868	640	588	691	664	672	661	699	683	649	643	629	649
	1978	8026	679	602	701	665	692	653	686	683	636	657	675	697
	1979	8274	713	652	712	667	702	667	685	710	675	690	685	716
	1980	8175	705	592	714	675	693	666	689	675	684	714	657	711
	1981	8472	721	662	731	703	721	703	711	701	703	721	688	707
	1982	8235	704	642	680	681	688	685	695	700	685	692	682	701
	1983	8382	717	656	721	692	721	682	704	728	674	712	670	705
	1984	8154	540	566	729	699	715	697	733	692	691	707	697	688
	1985	8395	703	645	716	689	718	672	707	704	705	720	696	720
	1986	6956	700	653	728	691	702	490	502	507	486	499	495	503
	1987	8244	655	631	720	678	694	669	708	695	667	725	684	718
	1988	8382	705	660	724	695	715	690	703	693	686	707	692	712
	1989	8385	710	636	708	698	723	698	720	700	700	719	674	699
	1990	8361	715	659	706	704	717	685	696	708	693	704	678	696
	1991	8295	701	648	710	650	691	683	708	699	690	714	693	708
	1992	6826	569	463	493	483	508	492	491	560	670	702	683	712
	1993	8228	706	649	705	689	704	677	690	704	659	684	673	688
	1994	5845	681	444	502	477	490	462	496	502	477	491	463	360
	1995	6360	478	432	465	477	322	346	625	541	639	698	637	700
	1996	7401	712	663	705	677	718	614	594	497	589	620	532	480
	1997	6062	449	542	529	550	535	510	541	473	536	426	428	543
	1998	5393	512	542	518	412	460	415	370	362	407	459	482	454
	1999	5394	439	432	495	475	414	401	427	402	412	443	532	522
	2000	7231	411	469	531	626	609	556	585	615	650	729	754	696
	2001	5311	753	690	643	662	487	424	386	372	329	388	92	85
	2002	4312	127	543	654	656	610	504	571	626	21	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	8619	713	665	755	753	728	687	721	737	705	752	683	720
	1	8649	727	686	751	723	746	683	719	712	698	758	711	735
	2	8449	718	657	737	711	737	664	705	721	689	728	681	701
	3	8718	759	679	761	720	720	662	731	718	719	777	725	747
	4	8615	728	679	754	745	737	679	727	708	686	737	710	725
	5	9022	716	661	752	812	792	764	808	780	734	798	682	723
	6	9594	813	784	814	829	832	780	808	800	786	803	775	770
	7	9550	807	773	853	802	819	774	815	784	778	805	749	791
	8	9354	762	744	837	803	812	771	787	817	760	779	724	758
	9	9411	804	763	843	796	818	755	805	764	766	771	749	777
	10	9380	787	745	844	791	820	761	786	777	767	781	747	774
	11	9447	782	775	851	800	829	782	804	800	754	764	747	759
	12	9405	780	744	844	807	815	785	799	783	767	785	731	765
	13	9385	797	756	834	798	813	758	803	779	755	785	730	777
	14	9341	787	764	840	804	793	777	784	786	743	770	735	758
	15	9365	800	740	829	787	814	762	771	782	769	772	770	769
	16	9479	797	750	830	809	821	781	796	803	763	781	772	776
	17	9496	802	750	840	827	798	780	798	805	778	780	770	768
	18	9641	801	769	845	830	808	758	829	821	791	803	791	795
	19	9626	810	764	849	835	818	777	822	817	799	800	764	771
	20	9423	805	780	845	807	778	740	788	787	767	777	775	774
	21	9593	801	771	842	830	791	783	820	810	781	794	787	783
	22	8989	801	776	838	729	738	670	712	712	706	753	774	780
	23	8618	739	706	739	727	740	662	720	719	699	736	720	711
	24	8619	713	665	755	753	728	687	721	737	705	752	683	720
SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	1.54	0.73	1.09	1.55	1.9	1.98	1.99	1.86	1.87	1.77	1.82	1.05	0.76
	1	1.48	0.75	1.02	1.5	1.87	1.9	1.83	1.87	1.69	1.77	1.8	1.03	0.73
	2	1.45	0.72	1.02	1.5	1.81	1.82	1.78	1.7	1.67	1.74	1.79	1.06	0.69
	3	1.44	0.73	1.02	1.46	1.84	1.73	1.82	1.67	1.66	1.83	1.81	0.99	0.73
	4	1.4	0.76	0.93	1.44	1.72	1.67	1.75	1.65	1.6	1.74	1.77	1	0.76
	5	1.47	0.71	1	1.4	1.8	1.79	1.93	1.82	1.65	1.81	1.79	1.03	0.71
	6	1.54	0.8	0.98	1.41	1.77	2.02	2.22	1.97	1.78	1.84	1.75	1.07	0.82
	7	1.65	0.76	0.96	1.42	2.01	2.4	2.49	2.22	2.13	1.83	1.72	1.05	0.82
	8	1.84	0.81	0.99	1.45	2.32	2.73	2.71	2.51	2.48	2.14	1.82	1.09	0.81
	9	1.96	0.77	0.97	1.6	2.51	3.04	2.95	2.68	2.68	2.51	1.86	1.09	0.79
	10	2.12	0.76	1.03	1.83	2.74	3.29	3.08	2.88	2.92	2.77	2.08	1.09	0.82
	11	2.24	0.71	1.02	2	2.87	3.4	3.33	3.08	2.99	2.94	2.32	1.16	0.82
	12	2.36	0.78	1.14	2.26	2.97	3.68	3.5	3.22	3.09	2.98	2.36	1.28	0.85
	13	2.43	0.81	1.25	2.39	3.07	3.84	3.61	3.34	3.13	3.05	2.45	1.26	0.81
	14	2.46	0.86	1.35	2.38	3.16	3.79	3.69	3.31	3.29	3.06	2.4	1.22	0.83
	15	2.42	0.74	1.29	2.36	3.05	3.83	3.62	3.43	3.22	3.03	2.41	1.17	0.83
	16	2.41	0.77	1.22	2.36	3.12	3.83	3.72	3.42	3.19	3.02	2.2	1.09	0.84
	17	2.33	0.74	1.2	2.2	3.09	3.82	3.59	3.36	3.11	2.75	2.01	1.1	0.89
	18	2.18	0.75	1.09	1.82	2.84	3.7	3.49	3.33	2.94	2.4	1.87	1.06	0.85
	19	2.03	0.73	1.04	1.67	2.46	3.48	3.31	3.19	2.61	2.07	1.83	1.04	0.81
	20	1.87	0.77	1.09	1.63	2.14	2.93	3.11	2.78	2.33	2.02	1.84	1.08	0.8
	21	1.75	0.78	1.1	1.6	2.05	2.6	2.76	2.41	2.05	1.87	1.91	1.09	0.77
