Created 2/5/2008 15:47 by Windographer 1.1 beta

Elevation = 10 m
Calm threshold = 0 m/s

Time stamps indicate the beginning of the time step.

Date	Time	30m AVE m/s [m/s]	Dir [°]	Temp AVE C [°C]
3/15/2006	00:00	6.78	101.5	-15.43
3/15/2006	01:00	7.15	106.7	-16.10
3/15/2006	02:00	6.57	108.5	-16.45
3/15/2006	03:00	7.43	120.2	-16.22
3/15/2006	04:00	6.37	134.6	-16.23
3/15/2006	05:00	3.67	137.8	-17.05
3/15/2006	06:00	3.38	105.9	-17.15
3/15/2006	07:00	5.63	88.5	-17.00
3/15/2006	08:00	8.52	92.8	-16.67
3/15/2006	09:00	6.15	102.7	-14.02
3/15/2006	10:00	2.88	131.1	-13.98
3/15/2006	11:00	4.57	76.9	-12.82
3/15/2006	12:00	5.33	81.2	-10.13
3/15/2006	13:00	3.60	105.1	-8.32
3/15/2006	14:00	3.83	99.4	-7.68
3/15/2006	15:00	5.38	86.4	-6.75
3/15/2006	16:00	4.40	94.7	-6.12
3/15/2006	17:00	6.18	82.4	-6.65
3/15/2006	18:00	6.30	88.7	-7.82
3/15/2006	19:00	8.30	80.3	-8.98
3/15/2006	20:00	8.30	85.3	-10.50
3/15/2006	21:00	8.17	84.6	-11.52
3/15/2006	22:00	8.03	81.8	-12.60
3/15/2006	23:00	8.08	83.8	-13.55
3/16/2006	00:00	9.08	83.0	-13.70
3/16/2006	01:00	8.92	84.7	-13.95
3/16/2006	02:00	8.40	75.3	-14.82
3/16/2006	03:00	8.22	75.5	-15.15
3/16/2006	04:00	7.50	78.3	-15.78
3/16/2006	05:00	6.98	74.3	-16.65
3/16/2006	06:00	6.92	65.3	-17.48
3/16/2006	07:00	9.47	55.5	-16.92
3/16/2006	08:00	9.77	57.1	-15.60
3/16/2006	09:00	8.18	62.9	-14.88
3/16/2006	10:00	7.20	75.7	-13.88
3/16/2006	11:00	7.80	76.8	-12.38
3/16/2006	12:00	7.63	82.5	-10.98
3/16/2006	13:00	9.80	76.2	-9.98
3/16/2006	14:00	12.12	77.6	-9.40
3/16/2006	15:00	10.18	79.1	-8.88
3/16/2006	16:00	11.12	81.5	-7.98
3/16/2006	17:00	10.72	83.0	-7.58
3/16/2006	18:00	11.03	78.9	-7.57
3/16/2006	19:00	10.73	82.3	-8.00
3/16/2006	20:00	11.37	81.8	-8.27
3/16/2006	21:00	12.27	81.0	-8.75
3/16/2006	22:00	12.18	84.3	-9.23
3/16/2006	23:00	12.50	83.9	-9.42
3/17/2006	00:00	12.45	83.3	-9.30
3/17/2006	01:00	13.05	82.2	-9.68
3/17/2006	02:00	11.98	84.0	-10.20
3/17/2006	03:00	11.98	84.4	-10.17
3/17/2006	04:00	11.52	87.7	-10.42
3/17/2006	05:00	11.07	86.5	-10.67
3/17/2006	06:00	11.62	84.1	-10.85
3/17/2006	07:00	12.38	82.9	-11.05
3/17/2006	08:00	11.43	83.7	-11.07
3/17/2006	09:00	11.53	85.2	-10.98
3/17/2006	10:00	11.70	85.5	-10.73
3/17/2006	11:00	10.50	88.8	-10.47
3/17/2006	12:00	9.82	85.9	-9.95
3/17/2006	13:00	9.72	83.7	-9.83
3/17/2006	14:00	9.85	82.7	-9.32
3/17/2006	15:00	9.87	88.6	-8.60
3/17/2006	16:00	10.35	85.0	-8.17
3/17/2006	17:00	10.27	89.6	-8.22
3/17/2006	18:00	9.12	89.4	-8.78
3/17/2006	19:00	9.73	90.7	-9.28
3/17/2006	20:00	9.18	89.2	-9.83
3/17/2006	21:00	9.33	87.5	-10.08
3/17/2006	22:00	9.20	87.3	-9.65
3/17/2006	23:00	8.18	86.8	-9.32
3/18/2006	00:00	9.30	86.3	-8.95
