SDR	5.7.6

-----Logger Information-----
Model #	
Serial #	2402
Hardware Rev.	009-008-000

-----Site Information-----
Site #	1402
Site Desc	Palmer UAF
Project Code	
Project Desc	
Site Location	
Site Elevation	63
Latitude	N 061° 33.973'
Longitude	W 149° 14.384'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	20   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.351
Offset	300
Units	deg

Channel #	8
Type	0
Description	No Sensor
Details	
Serial Number	SN:
Height	m
Scale Factor	0
Offset	0
Units	

Channel #	9
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	0
Scale Factor	0.138
Offset	-86.381
Units	C

Channel #	10
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
10/30/2005 00:00:00	3.8	0.8	6.1	1.9	3.8	0.9	6.1	1.5	2.7	0.9	5.3	0.7													49	13	63	300					-3	0.1	-2.8	-3.3												
10/30/2005 00:10:00	3.8	0.9	6.1	1.1	3.7	1	6.1	1.1	3	1	5.3	1.1													50	13	40	300					-2.9	0	-2.8	-3												
10/30/2005 00:20:00	3.4	0.8	5.3	1.1	3.3	0.9	5.3	0.4	2.5	0.8	5.3	0.7													60	15	68	300					-2.8	0	-2.6	-2.8												
10/30/2005 00:30:00	3	0.8	5.3	1.5	2.9	0.8	5.3	0.7	2.3	0.7	4.6	0.4													60	19	57	300					-2.8	0	-2.8	-2.8												
10/30/2005 00:40:00	3.7	1	6.1	1.5	3.5	1	5.7	1.1	3	0.8	5.3	1.1													50	20	54	300					-2.8	0	-2.6	-2.8												
10/30/2005 00:50:00	4.4	1	6.8	1.1	4.1	1	6.5	0.4	3.1	0.8	5.7	1.1													43	17	40	300					-2.8	0	-2.6	-2.8												
10/30/2005 01:00:00	4.1	1.2	7.6	1.5	3.9	1.3	7.6	1.1	3.1	1	6.5	0.7													47	17	40	300					-2.6	0	-2.6	-2.8												
10/30/2005 01:10:00	5.3	1.2	8.8	2.3	5.1	1.3	8.8	2.3	3.9	1.2	8.8	1.5													52	15	54	300					-2.5	0.1	-2.4	-2.6												
10/30/2005 01:20:00	3.7	1.2	8	1.5	3.5	1.3	8	0.7	2.6	1.1	5.7	0.7													53	20	48	300					-2.5	0	-2.4	-2.6												
10/30/2005 01:30:00	2.3	0.8	4.6	0.4	2.1	0.9	4.6	0.4	1.9	0.8	4.6	0.4													66	22	39	300					-2.4	0	-2.1	-2.6												
10/30/2005 01:40:00	2.5	0.7	3.8	0.7	2.3	0.8	3.8	0.4	2	0.8	4.2	0.4													71	21	80	300					-2.5	0	-2.1	-2.6												
10/30/2005 01:50:00	1.5	0.6	3.4	0.4	1.2	0.6	3.4	0.4	1.4	0.5	2.6	0.4													130	58	41	300					-3.1	0.3	-2.6	-3.5												
10/30/2005 02:00:00	0.8	0.5	2.6	0.4	0.7	0.5	3	0.4	0.6	0.3	1.9	0.4													107	49	38	300					-3.6	0	-3.5	-3.7												
10/30/2005 02:10:00	2.1	1	4.6	0.4	1.8	1.1	4.6	0.4	1.6	0.9	4.9	0.4													61	30	43	300					-3.3	0.3	-2.6	-3.5												
10/30/2005 02:20:00	3.6	0.8	6.5	1.9	3.5	0.9	6.1	1.1	3	0.8	5.3	1.1													48	15	49	300					-2.5	0.1	-2.1	-2.8												
10/30/2005 02:30:00	3.4	0.8	4.9	1.1	3.3	0.8	5.3	1.1	2.6	0.8	4.9	1.1													46	17	42	300					-2.4	0	-2.1	-2.4												
10/30/2005 02:40:00	2.9	0.7	4.6	1.1	2.7	0.7	4.9	0.7	2.2	0.7	4.2	0.4													46	14	51	300					-2.4	0	-2.1	-2.4												
10/30/2005 02:50:00	1.6	0.4	2.6	0.4	1.3	0.5	2.6	0.4	1.3	0.4	2.3	0.4													72	19	48	300					-2.5	0.1	-2.1	-2.6												
10/30/2005 03:00:00	1.5	0.4	2.3	0.7	1.1	0.4	1.9	0.4	1.2	0.3	1.9	0.4													89	7	95	300					-2.6	0	-2.6	-2.8												
