PALMER MUNICIPAL    AK - 702740                                                 														
 61 deg    36' N  149 deg    05' W - Elev   71m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	3.29	3.15	3.26	3.5	4.06	4.14	3.47	2.92	2.95	3.32	2.76	2.76	3.09
	1973	2.77	1.76	2.83	2.74	4.41	5.48	3.02	3.64	2.73	2.57	1.76	1.68	2.17
	1974	2.82	1.84	1.86	3.19	3.93	3.25	3.48	2.43	2.68	3.28	3.06	2.83	1.98
	1975	2.94	2.53	3.06	2.57	3.08	4.59	3.26	2.37	2.51	3.31	3.34	1.7	3.15
	1976	3.45	2.74	2.41	2.93	4.36	4.31	3.21	3.31	2.95	4.98	2.89	4.31	3.16
	1977	3.39	4.82	4.1	2.58	4.25	4.32	3.66	3.84	3.4	2.83	3.37	1.5	1.9
	1978	3.74	3.21	5.35	3.8	4.64	5.37	3.38	3.59	2.78	2.65	3.31	3.04	4
	1979	3.59	3.19	5.55	2.85	2.98	4.79	3.7	2.68	3.63	3.92	3.63	3.92	2.68
	1980	3.75	5.27	4.12	3.89	5.58	6.17	3.32	3.03	2.69	3.41	3.26	3.02	1.29
	1981	3.41	4.63	3.13	4.52	4.08	3.89	3.15	2.82	3.28	3.33	2.43	2.67	2.97
	1982	3.43	3.17	3.95	3.42	3.98	4.14	4.32	3.05	2.5	3.35	1.92	3.25	4.2
	1983	3.07	2.98	2.69	2.83	3.95	4.53	3.56	2.86	2.46	2.69	2.68	2.97	2.52
	1984	2.59	2.34	2.27	2.91	3.83	3.14	3.06	1.88	2.53	2.9	2.41	1.38	2.4
	1985	3.51	3.56	3.27	3.81	3.22	4.43	3.67	3.13	3.13	3.67	2.38	2.51	5.24
	1986	3.56	4.15	3.66	2.76	3.74	4.17	4.31	2.99	3.68	2.82	2.88	3.38	4.13
	1987	3.54	3.59	4.14	4.26	4.06	3.8	4.66	2.51	2.9	3.53	3.74	2.52	2.89
	1988	3.63	3.29	4.93	3.86	4.55	4.08	3.22	2.85	3.62	4.15	2.96	1.99	4.12
	1989	3.48	2.03	2.04	4.4	3.95	3.81	4.31	3.41	3.17	3.72	3.43	3.54	3.8
	1990	3.19	2.83	2.02	3.49	3.49	3.45	3.14	3.8	3.05	3.81	2.52	3.49	3.15
	1991	3.41	2.64	2.68	2.7	4.73	5.12	3.54	2.9	3.94	4.19	2.74	2.35	2.92
	1992	2.79	3.09	1.54	3.29	3.07	3.49	3.14	2.67	3.13	2.38	2.22	2.74	2.06
	1993	3.11	2.67	2.77	3.58	4.08	3.75	2.94	2.53	3.38	3.35	2.33	2.44	3.74
	1994	3.43	3.69	4.65	3.53	3.94	4.77	3.02	3.52	2.61	3.22	2.62	2.47	2.75
	1995	3.18	2.31	3.3	3	3.86	4.72	3.01	2.99	2.56	3.12	2.52	3.76	2.9
	1996	3	1.42	1.98	4.19	4.21	3.47	3.66	3.08	3.19	3.05	2.37	2.17	3.34
	1997	3.34	3.25	4.14	3.63	4.25	5.08	4.35	4	4.02	3.74	1.62	2.98	2.6
	1998	3.13	2.54	2.71	3.24	5.58	4.73	3.2	2.57	2.44	3.11	3.22	1.88	2.13
	1999	2.92	2.97	1.75	4.15	3.68	3.66	2.85	2.42	2.49	3.43	2.52	2.5	2.71
	2000	3.16	2.22	3.16	3.61	3.48	3.61	3.59	2.49	2.82	2.63	2.79	3.59	3.96
	2001	3.79	3.92	3.56	4.28	4.26	3.93	3.45	2.97	3.27	3.69	3.89	3.75	4.31
	2002	3.43	4.63	4.44	3.07	3.95	2.94	3.38	2.98	2.34	1.58	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	88	116	137	119	119	106	67	41	48	69	61	71	101
	1973	56	60	80	36	112	167	43	75	36	31	16	22	46
	1974	51	84	22	78	79	44	67	18	37	58	64	45	20
	1975	69	70	109	37	54	132	78	20	26	112	95	24	77
	1976	77	51	48	45	115	100	44	52	47	158	44	150	72
	1977	69	167	82	26	118	107	50	64	55	38	57	16	37
	1978	104	78	202	93	145	178	70	82	37	54	67	162	98
	1979	135	90	767	58	36	138	81	29	67	98	103	126	86
	1980	129	422	173	86	200	256	62	58	40	59	70	62	69
	1981	78	120	82	146	124	98	49	38	56	64	28	60	75
	1982	105	208	242	91	112	125	115	58	25	63	26	80	130
	1983	68	91	51	50	93	109	63	35	33	59	36	73	119
	1984	55	56	39	43	98	52	65	16	33	49	123	22	69
	1985	108	89	312	107	52	147	73	57	89	102	28	92	171
	1986	94	133	219	34	104	90	99	35	60	89	84	66	123
	1987	79	74	198	158	82	64	99	17	36	59	82	33	55
	1988	85	62	214	82	135	80	37	26	57	99	63	45	119
	1989	112	100	47	405	94	100	98	55	39	65	85	108	142
	1990	70	69	38	114	70	58	46	68	40	71	31	142	103
	1991	76	84	66	41	134	146	65	46	92	91	42	49	51
	1992	47	53	35	62	41	57	40	28	42	24	80	65	36
	1993	68	64	115	113	93	67	37	31	68	65	43	47	88
	1994	105	188	451	104	79	125	35	55	35	54	38	48	67
	1995	65	38	134	73	72	111	34	31	21	32	50	147	46
	1996	74	43	27	179	112	50	53	42	36	34	36	34	250
	1997	83	171	81	178	81	89	85	43	64	71	46	82	75
	1998	99	78	39	72	248	194	76	41	44	65	84	32	179
	1999	96	150	63	268	91	109	59	31	38	96	64	69	113
	2000	87	151	108	73	80	94	87	31	88	80	54	95	101
	2001	115	136	134	259	168	83	57	33	44	56	109	71	143
	2002	108	144	111	143	257	50	90	54	20	6	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	129896	11229	10239	11111	11121	11270	10767	11108	11151	10491	10636	10234	10539
	1973	2500	225	214	191	179	143	164	231	210	225	236	245	237
	1974	2787	233	226	239	224	249	232	228	230	229	233	222	242
	1975	2871	240	214	244	233	228	234	236	249	250	254	251	238
	1976	2905	266	245	261	254	271	241	225	220	190	213	261	258
	1977	3207	286	256	265	257	274	258	285	275	259	251	256	285
	1978	3234	274	230	269	279	272	247	264	277	277	281	277	287
	1979	3528	292	270	298	294	289	287	290	291	289	291	272	365
	1980	4240	337	332	364	341	378	369	366	363	365	345	324	356
	1981	4341	361	328	369	349	373	371	375	383	368	354	359	351
	1982	4214	357	324	359	348	347	358	367	370	359	343	340	342
	1983	4305	382	327	358	356	373	360	376	379	347	363	334	350
	1984	4333	367	321	372	360	361	360	384	372	374	359	347	356
	1985	4299	348	318	364	362	367	343	378	377	368	347	357	370
	1986	4174	347	325	370	338	356	345	342	365	343	337	351	355
	1987	4184	348	315	363	336	367	340	346	358	339	362	358	352
	1988	4254	366	344	348	353	360	344	365	350	345	369	343	367
	1989	4227	356	327	351	353	360	352	368	350	350	366	327	367
	1990	3997	358	332	354	357	340	333	352	331	342	309	286	303
	1991	4062	286	282	358	353	350	360	361	360	362	353	292	345
	1992	3676	338	229	225	316	361	347	351	364	331	332	280	202
	1993	3920	354	290	311	333	352	320	358	368	317	340	346	231
	1994	3705	315	280	338	322	364	270	304	333	340	314	276	249
	1995	3571	279	285	320	329	308	329	315	240	254	326	261	325
	1996	3459	291	334	242	266	346	308	262	290	284	280	245	311
	1997	4839	313	286	277	307	285	282	275	296	473	698	688	659
	1998	7531	649	428	604	659	671	635	633	642	639	645	662	664
	1999	7918	679	638	674	642	620	640	654	689	637	642	701	702
	2000	8099	706	660	701	670	631	628	660	676	674	689	685	719
	2001	6427	724	680	680	672	610	484	512	484	538	404	288	351
	2002	5089	552	599	642	679	664	626	645	659	23	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	1577	137	127	138	143	134	130	136	132	115	129	126	130
	1	1592	138	122	140	142	147	131	129	134	120	130	130	129
	2	1565	136	125	133	135	143	127	136	134	121	123	126	126
	3	1562	141	122	134	141	131	131	130	125	119	125	133	130
	4	1645	137	120	135	145	142	134	149	153	140	129	136	125
	5	2621	145	122	145	252	303	290	279	289	272	261	131	132
	6	4038	301	274	284	317	404	369	410	410	373	353	262	281
	7	6177	390	366	381	568	644	627	649	642	611	584	347	368
	8	8674	654	624	705	728	827	783	805	805	774	772	566	631
	9	9704	852	772	852	828	802	783	825	835	787	820	771	777
	10	9690	839	776	836	817	821	786	826	839	767	797	784	802
