POINT LAY (DEW)     AK - 701210                                                 														
 69 deg    49' N  162 deg    55' W - Elev    6m   LST=GMT+99 hours   *NT=-11    														
 01/73-12/81 01/87-08/02                                                        							Adjusted to Alaska Time Zone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.72	6.18	6.74	6.8	5.42	6.17	4.68	5	5.17	5.3	5.17	5.35	5.64
	1973	5.52	3.24	4.43	7.58	5.78	6.38	5.46	5.17	6.26	3.95	4.1	6.53	7.28
	1974	5.19	5.33	4.19	5.57	7.34	5.51	5.18	4.8	3.71	4.81	6.09	5.03	4.72
	1975	5.21	5.47	6.08	4.3	4.1	6.53	4.63	5.04	4.66	5.77	5.23	5.11	5.64
	1976	5.48	5.28	5.95	5.23	5.29	7.8	4.72	4.63	3.63	4.16	5.04	5.16	8.41
	1977	6.08	10.83	9.19	6.31	3.98	6.24	3.25	4.67	3.96	6.51	7.9	5.12	4.8
	1978	6.17	6.54	5.82	5.73	6.85	8.5	6.07	4.65	5.37	5.66	6.9	5.72	6.25
	1979	5.87	5.51	3.89	8.37	8.59	7.06	5.55	4.34	4.4	4.48	7.91	5.55	5.16
	1980	6.05	3.94	6.2	7.04	10.8	8.84	4.56	4.73	5.8	5.72	3.99	7.69	3.52
	1981	5.15	6.83	6.38	7.17	5.09	5.64	4.1	4.89	4.35	4.3	3.01	5.45	4.61
	1987	5.57	5.04	6.24	5.74	6.42	5.93	5.54	5.35	5.23	4.72	4.02	6.62	6.37
	1988	5.54	5.85	6.19	5.56	5.84	9.36	4.26	4.08	4.45	4.01	7.2	6.36	3.6
	1989	5.17	4.57	7.18	3.99	5.07	4.16	3.91	4.83	4.54	6.19	5.69	5.34	6.66
	1990	4.67	7.56	5.61	3.55	4.28	3.01	3.35	4.28	5.47	6.34	3.57	0.07	-1
	1991	6.34	7.51	-1	-1	-1	-1	14.15	6.19	7.22	6.38	4.26	4.09	8.51
	1992	6.38	11.18	4.97	5.47	4.86	5.21	2.66	6.86	3.38	4.39	4.1	-1	9.2
	1993	8.27	-1	3.6	-1	-1	10.2	3.05	9.14	3.57	7.22	8.75	8.59	11.28
	1994	7.18	8.85	3.57	3.57	2.8	-1	-1	-1	-1	-1	-1	-1	3.6
	1995	5.1	5.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1996	4.78	-1	-1	-1	-1	-1	-1	-1	5.41	4.72	4.54	5.21	4.16
	1997	5.38	5.76	6.06	5.44	4.31	5.04	4.43	5.28	5.91	6.31	5.32	4.91	6.28
	1998	6.32	7.66	8.53	5.43	4.28	7.28	3.78	4.91	5.36	4.9	5.97	6.92	6.27
	1999	5.34	5.96	4.93	6.8	5.91	4.89	4.77	6.16	4.76	3.95	4.66	3.62	6.2
	2000	6.95	6.19	7.22	11.06	5.82	5.37	4.85	-1	5.78	5.12	-1	-1	-1
	2001	5.64	-1	-1	4.23	6.59	3.58	4.34	6.08	6.46	6.09	5.12	5.33	5.77
	2002	5.93	4.94	8.04	7.55	5.64	5.81	5.77	5.04	4.97	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	337	468	519	568	320	352	165	172	210	199	233	272	331
	1973	331	254	303	613	356	422	247	212	435	60	69	424	543
	1974	284	354	148	374	714	279	169	142	97	244	396	343	171
	1975	268	287	413	172	190	611	161	167	153	260	217	236	360
	1976	297	236	372	369	267	568	153	112	78	97	129	304	716
