PORT ALEXANDER      AK - 703886                                                 														
 56 deg    15' N  134 deg    39' W - Elev    1m   LST=GMT+99 hours   *NT= -9    														
 05/79-10/82 06/87-09/02                                                        														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	4.07	5.02	4.94	4.57	4.13	3.87	3.1	2.72	3.12	3.65	4.3	4.93	5.22
	1979	4.83	-1	-1	-1	-1	4.45	3.58	4.29	2.67	4.96	2.55	5.09	6.37
	1980	4.98	5.34	5.31	4.46	6.97	4.26	4.04	4.74	3.41	2.56	-1	6.9	-1
	1981	3.26	-1	-1	-1	3.26	-1	-1	-1	-1	-1	-1	-1	-1
	1982	8.7	-1	-1	-1	-1	-1	-1	-1	-1	-1	8.7	-1	-1
	1987	3.48	-1	-1	-1	-1	-1	3.01	1.76	3.15	3.04	3.89	4.69	6.73
	1988	3.68	20.09	5.42	4.33	2.83	3.13	3.04	2.3	2.58	3.57	3.43	4.33	4.49
	1989	3.79	3.67	5.5	4.46	4	2.98	3.26	3	2.67	3.74	3.74	5.5	5.17
	1990	4.69	4.29	5.13	6.4	5.14	4.15	3.45	3.42	4.01	4.67	5.54	5.75	5.29
	1991	4.41	5.54	-1	4.82	4.53	4.11	3.37	3.21	4.02	3.79	5.06	6.05	5.81
	1992	5.33	6.33	7.37	4.49	4.47	5.75	3.51	2.97	3.96	5.05	6.02	5.87	6.93
	1993	4.9	8.06	7.17	5.69	4.23	4.46	3.65	3.72	3.94	3.71	3.99	5.92	5.76
	1994	4.88	6.53	8.23	5.27	4.66	4.98	3.59	3.38	3.12	4.51	4.66	6.03	5.53
	1995	4.1	4.35	4.61	5.55	4.86	3.52	3.56	3.01	2.4	3.49	4.14	5	4.32
	1996	3.74	4.36	3.94	4.19	4.17	1.67	2.87	2.57	2.83	3.32	3.8	4.55	4.93
	1997	3.59	4.95	2.99	4.33	4.18	3.23	2.83	2.4	2.71	2.7	4.03	3.83	4.67
	1998	3.61	4.96	4.46	3.93	3.22	2.91	2.6	2.03	2.53	2.92	4.39	3.97	5.5
	1999	3.43	4.28	4.01	3.53	3.93	4.28	2.81	2.32	2.61	3.2	3.1	-1	-1
	2000	3.5	3.78	3.76	4.61	4.02	2.95	2.63	2.53	2.94	3.12	4.01	3.48	3.96
	2001	3.64	3.9	3.99	4.63	3.22	3.71	2.3	2.58	2.6	3.73	4.32	4.88	4.21
	2002	3.62	4.1	4.14	3.42	3.08	3.26	2.63	2.48	4.44	6.27	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	159	265	226	178	144	121	64	60	79	118	177	266	284
	1979	194	-1	-1	-1	-1	100	51	83	35	94	25	334	314
	1980	201	206	214	126	457	152	81	128	52	36	-1	279	-1
	1981	57	-1	-1	-1	57	-1	-1	-1	-1	-1	-1	-1	-1
	1982	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	397	-1	-1
	1987	243	-1	-1	-1	-1	-1	156	109	101	202	183	308	939
	1988	289	5507	450	338	219	80	181	142	168	197	219	306	196
	1989	167	101	567	101	155	79	72	199	97	152	140	290	311
	1990	272	160	259	515	258	257	60	66	199	227	511	397	482
	1991	192	162	-1	298	254	116	65	53	136	148	261	378	348
	1992	308	434	507	137	186	275	80	38	110	252	344	463	677
	1993	290	1325	536	279	108	156	80	72	116	90	249	572	367
	1994	233	334	627	315	205	195	83	66	74	185	195	374	384
	1995	117	132	128	290	177	73	71	47	36	65	103	162	108
	1996	75	89	81	91	77	4	38	24	29	51	84	139	143
	1997	68	120	35	95	97	46	31	19	25	33	81	88	124
	1998	63	115	93	64	35	32	23	9	23	44	128	74	136
	1999	74	107	80	64	76	201	36	16	26	64	31	-1	-1
	2000	64	109	66	102	83	44	30	23	44	54	75	54	82
	2001	78	78	90	111	44	66	21	22	25	68	112	208	133
	2002	96	126	164	84	42	80	20	33	134	178	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	40251	2978	2928	3506	3353	3735	3935	3477	3803	3140	3214	3006	3176
	1979	731	0	0	0	0	162	124	44	14	7	28	163	189
	1980	1030	193	183	187	162	119	59	23	41	61	0	2	0
	1981	7	0	0	0	7	0	0	0	0	0	0	0	0
	1982	1	0	0	0	0	0	0	0	0	0	1	0	0
	1987	1284	0	0	0	0	0	235	241	162	173	195	158	120
	1988	2205	30	133	193	201	217	194	238	241	220	201	202	135
	1989	2133	46	40	94	151	229	268	243	248	234	155	213	212
	1990	1817	188	115	161	165	197	183	143	160	131	137	87	150
	1991	1941	78	0	191	250	242	204	200	212	138	162	125	139
	1992	2567	133	199	199	180	227	237	148	169	234	318	266	257
	1993	3001	144	271	276	246	275	269	222	278	270	272	243	235
