PORT CLARENCE (CGS) AK - 701190                                                 														
 65 deg    15' N  166 deg    52' W - Elev    5m   LST=GMT+99 hours   *NT=-11    														
 01/73-11/81 01/87-09/90 08/94-06/96 08/00-05/02                                								Adjusted to Alaska Time Zone (GMT-9)						
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	7.48	8.34	9.85	8.79	7.85	7.02	5.71	5.99	6.33	6.87	7.35	7.86	8.62
	1973	7.5	9.06	8.56	8.31	7.46	7.7	4.7	6.1	6.51	6.89	8.15	7.74	8.99
	1974	7.61	8.89	9.56	7.47	8.6	6.2	6.06	8.16	6.22	5.75	7.91	6.42	9.67
	1975	7.42	8.64	9.64	7.35	7.34	7.27	6.25	6.35	6.62	8.05	7.25	7.34	8.14
	1976	7.73	9.7	8.3	10.08	7.39	7.71	5.58	5.9	6.32	7	8.17	8.79	11.04
	1977	7.51	9.23	11.58	9.7	7.23	6.52	5.73	5.04	6.19	8.75	7.3	7.83	7.11
	1978	7.26	5.53	10.28	8.19	7.5	6.65	6.13	5.68	5.57	6.31	8.83	9.69	9.13
	1979	7.82	7.93	6.86	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1980	7.23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.23
	1981	8.06	15.4	-1	-1	-1	-1	-1	-1	-1	-1	7.37	8.21	-1
	1987	6.83	10.06	11.59	8.6	7.21	6.07	5.48	4.61	4.49	5.11	7.07	8.47	9.13
	1988	7.89	8.62	10.05	10.42	8.17	8.92	5.93	5.78	7.18	6.25	6.43	8.35	8.78
	1989	7.7	8.08	11.35	7.57	9.58	7.13	5.58	6.26	7.01	7.55	7.04	7.43	8.28
	1990	6.58	7.71	9.55	12.31	7.12	5.01	6.79	7.2	6.95	5.33	-1	-1	-1
	1994	6.5	-1	-1	-1	-1	-1	-1	-1	2.8	4.94	7.31	6.75	7.61
	1995	5.78	8.82	5.84	4.39	9.33	5.7	3.1	5.84	4.07	3.86	4.78	5.65	6.38
	1996	5.42	3.88	4.6	7.61	6.48	2.03	4.05	-1	-1	-1	-1	-1	-1
	2000	2.05	-1	-1	-1	-1	-1	-1	-1	2.6	1.5	-1	-1	-1
	2002	1.27	2.55	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	561	816	1172	858	612	427	216	259	302	392	447	605	826
	1973	560	1044	820	623	500	554	177	261	288	443	627	557	806
	1974	542	677	832	458	687	352	231	640	326	257	590	296	1105
	1975	554	1073	1271	525	526	451	317	278	407	527	484	578	702
	1976	588	1176	651	1169	497	483	172	256	257	318	508	724	1467
	1977	579	954	1814	1085	533	325	192	157	231	729	435	659	506
	1978	541	190	1326	774	507	470	260	231	173	313	585	856	931
	1979	547	562	408	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1980	324	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	324
	1981	563	2496	-1	-1	-1	-1	-1	-1	-1	-1	396	589	-1
	1987	479	1202	1686	868	438	282	184	96	128	186	424	762	972
	1988	626	852	1238	1199	670	642	228	222	432	298	269	674	847
	1989	615	789	1624	636	1079	442	199	259	382	430	361	487	829
	1990	365	464	862	1935	462	161	311	451	351	162	-1	-1	-1
	1994	335	-1	-1	-1	-1	-1	-1	-1	23	123	471	341	467
	1995	274	1092	187	137	682	203	39	142	60	69	137	178	414
	1996	227	144	68	473	251	20	71	-1	-1	-1	-1	-1	-1
