Port Heiden Wind Speed and Direction				
Month	Day	Hour	Dir	Spd m/s
1	1	0	305	14.7
1	1	1	306	10.9
1	1	2	317	9.1
1	1	3	309	12.4
1	1	4	315	15.9
1	1	5	308	15.4
1	1	6	318	19.0
1	1	7	316	15.8
1	1	8	304	15.0
1	1	9	305	12.4
1	1	10	305	16.1
1	1	11	302	17.3
1	1	12	304	14.9
1	1	13	308	11.2
1	1	14	334	6.8
1	1	15	41	8.7
1	1	16	340	7.2
1	1	17	336	6.1
1	1	18	352	6.9
1	1	19	32	4.2
1	1	20	347	4.5
1	1	21	268	4.7
1	1	22	301	6.8
1	1	23	321	8.1
1	2	0	316	9.4
1	2	1	313	10.0
1	2	2	325	8.6
1	2	3	330	8.8
1	2	4	324	9.3
1	2	5	325	9.3
1	2	6	323	8.8
1	2	7	323	11.6
1	2	8	314	10.9
1	2	9	313	13.6
1	2	10	312	12.9
1	2	11	313	14.4
1	2	12	316	15.1
1	2	13	309	18.1
1	2	14	307	17.5
1	2	15	314	16.0
1	2	16	325	13.5
1	2	17	327	9.4
1	2	18	320	5.9
1	2	19	286	6.6
1	2	20	210	6.1
1	2	21	219	4.5
1	2	22	242	4.1
1	2	23	314	7.9
1	3	0	334	5.7
1	3	1	332	5.1
1	3	2	337	5.5
1	3	3	9	4.8
1	3	4	50	3.0
1	3	5	102	3.1
1	3	6	136	1.7
1	3	7	241	2.2
1	3	8	258	4.3
1	3	9	243	3.0
1	3	10	237	1.9
1	3	11	271	0.9
1	3	12	2	1.8
1	3	13	48	2.3
1	3	14	59	2.4
1	3	15	51	3.2
1	3	16	76	4.2
1	3	17	131	4.2
1	3	18	124	5.6
1	3	19	119	4.3
1	3	20	108	4.2
1	3	21	98	3.7
1	3	22	47	3.9
1	3	23	50	4.4
1	4	0	51	4.6
1	4	1	64	4.3
1	4	2	69	3.2
1	4	3	85	2.2
1	4	4	7	1.4
1	4	5	61	4.0
1	4	6	54	4.1
1	4	7	55	5.1
1	4	8	52	3.9
1	4	9	52	5.4
1	4	10	54	4.5
1	4	11	103	4.3
1	4	12	114	4.1
1	4	13	117	3.7
1	4	14	43	4.8
1	4	15	53	5.6
1	4	16	57	5.3
1	4	17	52	5.6
1	4	18	77	6.1
1	4	19	47	5.9
1	4	20	45	4.8
1	4	21	45	3.8
1	4	22	45	3.3
1	4	23	46	4.3
1	5	0	46	5.8
1	5	1	47	5.0
1	5	2	47	4.8
1	5	3	53	3.8
1	5	4	53	1.9
1	5	5	37	2.8
1	5	6	30	4.0
1	5	7	29	4.5
1	5	8	29	4.7
1	5	9	17	4.9
1	5	10	4	4.0
1	5	11	7	4.3
1	5	12	16	4.3
1	5	13	36	6.3
1	5	14	39	6.3
1	5	15	40	6.0
1	5	16	52	5.6
1	5	17	48	4.5
1	5	18	53	4.8
1	5	19	62	4.8
1	5	20	59	6.0
1	5	21	60	4.3
1	5	22	359	1.8
1	5	23	334	0.7
1	6	0	5	0.5
1	6	1	180	1.6
1	6	2	192	4.2
1	6	3	205	5.0
1	6	4	212	5.6
1	6	5	225	5.5
1	6	6	226	4.8
1	6	7	226	3.9
1	6	8	226	2.8
1	6	9	226	3.9
1	6	10	226	1.6
1	6	11	226	4.0
1	6	12	226	6.2
1	6	13	226	3.2
1	6	14	226	1.4
1	6	15	226	5.6
1	6	16	226	6.0
1	6	17	226	2.9
1	6	18	226	3.8
1	6	19	226	5.4
1	6	20	226	4.0
1	6	21	226	3.6
1	6	22	226	4.2
1	6	23	226	5.0
1	7	0	226	2.6
1	7	1	226	1.7
1	7	2	226	0.4
1	7	3	226	1.9
1	7	4	226	1.0
1	7	5	226	0.4
1	7	6	226	1.6
1	7	7	226	0.8
1	7	8	226	0.7
1	7	9	226	0.4
1	7	10	226	0.3
1	7	11	226	0.3
1	7	12	226	1.5
1	7	13	226	3.9
1	7	14	226	6.0
1	7	15	226	6.0
1	7	16	226	6.0
1	7	17	226	6.5
1	7	18	226	8.2
1	7	19	226	7.6
1	7	20	226	6.4
1	7	21	226	4.8
1	7	22	226	3.9
1	7	23	226	3.8
1	8	0	226	4.3
1	8	1	226	4.0
1	8	2	226	4.9
1	8	3	226	5.0
1	8	4	226	5.0
1	8	5	226	4.3
1	8	6	226	3.9
1	8	7	226	3.6
1	8	8	226	3.7
1	8	9	226	4.0
1	8	10	226	4.6
1	8	11	220	6.2
1	8	12	205	9.0
1	8	13	221	9.2
1	8	14	207	8.0
1	8	15	179	9.1
1	8	16	179	7.9
1	8	17	223	6.7
1	8	18	207	7.9
1	8	19	208	9.7
1	8	20	205	10.2
1	8	21	203	9.6
1	8	22	203	9.3
1	8	23	208	8.0
1	9	0	209	8.6
1	9	1	211	7.1
1	9	2	207	7.0
1	9	3	198	8.1
1	9	4	201	8.6
1	9	5	190	7.3
1	9	6	212	5.5
1	9	7	209	7.9
1	9	8	216	3.2
1	9	9	209	6.2
1	9	10	208	8.3
1	9	11	219	6.4
1	9	12	257	2.4
1	9	13	220	6.6
1	9	14	222	6.5
1	9	15	233	5.5
1	9	16	216	8.4
1	9	17	217	7.0
1	9	18	216	9.3
1	9	19	205	12.7
1	9	20	215	9.6
1	9	21	209	8.4
1	9	22	206	9.8
1	9	23	207	10.7
1	10	0	220	6.7
1	10	1	223	5.7
1	10	2	218	5.6
1	10	3	216	4.7
1	10	4	210	5.3
1	10	5	222	4.5
1	10	6	212	6.3
1	10	7	205	9.3
1	10	8	207	8.1
1	10	9	213	6.7
1	10	10	211	5.8
1	10	11	218	6.3
1	10	12	212	8.4
1	10	13	211	9.7
1	10	14	202	11.0
1	10	15	212	12.0
1	10	16	205	11.2
1	10	17	205	14.4
1	10	18	210	12.3
1	10	19	209	12.9
1	10	20	212	13.6
1	10	21	205	14.9
1	10	22	203	15.3
1	10	23	206	14.7
1	11	0	206	14.8
1	11	1	213	10.3
1	11	2	216	9.4
1	11	3	222	8.4
1	11	4	220	7.8
1	11	5	214	7.6
1	11	6	221	7.6
1	11	7	222	5.5
1	11	8	227	4.8
1	11	9	293	3.8
1	11	10	233	2.9
1	11	11	230	2.8
1	11	12	213	2.8
1	11	13	217	2.7
1	11	14	188	3.3
1	11	15	234	3.6
1	11	16	197	2.6
1	11	17	236	3.7
1	11	18	317	1.8
1	11	19	282	1.4
1	11	20	286	3.7
1	11	21	245	5.3
1	11	22	238	4.8
1	11	23	236	3.8
1	12	0	224	3.8
1	12	1	208	4.2
1	12	2	203	4.2
1	12	3	208	3.8
1	12	4	209	4.0
1	12	5	229	2.2
1	12	6	247	1.6
1	12	7	243	2.3
1	12	8	290	3.5
1	12	9	291	4.5
1	12	10	291	5.0
1	12	11	309	5.5
1	12	12	306	7.4
1	12	13	307	9.4
1	12	14	304	9.4
1	12	15	300	11.4
1	12	16	298	10.1
1	12	17	295	9.8
1	12	18	296	10.1
1	12	19	298	7.7
1	12	20	296	8.4
1	12	21	307	8.5
1	12	22	319	10.4
1	12	23	312	11.4
1	13	0	309	11.9
1	13	1	303	11.4
1	13	2	301	11.3
1	13	3	302	10.3
1	13	4	304	8.5
1	13	5	310	10.6
1	13	6	308	11.0
1	13	7	306	12.6
1	13	8	303	10.6
1	13	9	304	9.6
1	13	10	304	8.8
1	13	11	307	9.8
1	13	12	300	10.4
1	13	13	297	12.4
1	13	14	304	13.1
1	13	15	301	16.7
1	13	16	300	14.5
1	13	17	299	16.9
1	13	18	297	17.8
1	13	19	298	16.8
1	13	20	296	17.5
1	13	21	298	13.8
1	13	22	299	12.3
1	13	23	290	13.7
1	14	0	286	11.1
1	14	1	292	12.6
1	14	2	296	12.6
1	14	3	298	12.9
1	14	4	302	11.0
1	14	5	300	11.2
1	14	6	301	10.5
1	14	7	294	12.3
1	14	8	299	11.6
1	14	9	304	12.9
1	14	10	303	9.9
1	14	11	302	11.5
1	14	12	295	13.7
1	14	13	298	13.6
1	14	14	296	14.2
1	14	15	286	8.7
1	14	16	277	7.5
1	14	17	268	8.9
1	14	18	238	5.9
1	14	19	222	4.7
1	14	20	235	4.1
1	14	21	267	7.3
1	14	22	269	7.9
1	14	23	254	6.3
1	15	0	277	11.0
1	15	1	292	18.8
1	15	2	296	17.9
1	15	3	288	14.7
1	15	4	286	13.0
1	15	5	284	13.8
1	15	6	278	11.4
1	15	7	285	9.9
1	15	8	287	10.8
1	15	9	285	10.0
1	15	10	293	10.1
1	15	11	296	12.7
1	15	12	294	13.5
1	15	13	286	12.0
1	15	14	278	8.5
1	15	15	282	8.7
1	15	16	285	8.1
1	15	17	282	6.3
1	15	18	291	6.3
1	15	19	255	8.1
1	15	20	251	6.3
1	15	21	271	12.8
1	15	22	270	14.0
1	15	23	268	9.8
1	16	0	275	11.8
1	16	1	279	12.0
1	16	2	295	7.8
1	16	3	292	4.2
1	16	4	232	5.5
1	16	5	187	10.1
1	16	6	165	9.0
1	16	7	183	11.7
1	16	8	181	9.3
1	16	9	215	11.0
1	16	10	208	9.6
1	16	11	141	11.4
1	16	12	151	8.7
1	16	13	286	13.4
1	16	14	261	16.1
1	16	15	243	17.5
1	16	16	244	4.7
1	16	17	277	5.7
1	16	18	294	10.7
1	16	19	283	7.2
1	16	20	218	5.0
1	16	21	250	4.4
1	16	22	221	5.4
1	16	23	216	6.3
1	17	0	222	12.4
1	17	1	287	11.9
1	17	2	314	10.3
1	17	3	309	10.3
1	17	4	306	11.4
1	17	5	342	10.8
1	17	6	1	9.5
1	17	7	357	11.5
1	17	8	5	9.6
1	17	9	357	8.2
1	17	10	325	1.6
1	17	11	317	3.5
1	17	12	319	5.0
1	17	13	286	12.9
1	17	14	314	11.6
1	17	15	341	12.2
1	17	16	309	9.6
1	17	17	304	4.6
1	17	18	319	8.5
1	17	19	314	11.1
1	17	20	311	10.3
1	17	21	320	10.2
1	17	22	321	6.8
1	17	23	322	3.7
1	18	0	303	4.4
1	18	1	295	4.1
1	18	2	303	4.4
1	18	3	297	3.8
1	18	4	290	3.6
1	18	5	289	2.7
1	18	6	292	6.4
1	18	7	310	6.8
1	18	8	313	3.4
1	18	9	310	3.9
1	18	10	316	9.2
1	18	11	321	8.5
1	18	12	316	11.0
1	18	13	302	13.1
1	18	14	327	12.5
1	18	15	355	13.8
1	18	16	1	15.7
1	18	17	339	16.9
1	18	18	283	10.9
1	18	19	286	9.6
1	18	20	308	10.2
1	18	21	283	10.0
1	18	22	294	11.1
1	18	23	351	11.0
1	19	0	3	11.1
1	19	1	354	7.9
1	19	2	334	2.6
1	19	3	357	4.9
1	19	4	359	9.4
1	19	5	351	9.8
1	19	6	338	9.3
1	19	7	322	5.8
1	19	8	317	5.7
1	19	9	337	4.2
1	19	10	333	3.9
1	19	11	340	2.3
1	19	12	346	5.2
1	19	13	359	7.7
1	19	14	319	10.7
1	19	15	292	8.4
1	19	16	249	8.4
1	19	17	208	10.0
1	19	18	183	4.3
1	19	19	179	6.7
1	19	20	166	10.3
1	19	21	180	5.7
1	19	22	182	4.8
1	19	23	193	4.8
1	20	0	194	4.5
1	20	1	213	4.5
1	20	2	220	4.7
1	20	3	214	3.6
1	20	4	215	5.7
1	20	5	255	2.6
1	20	6	271	3.5
1	20	7	284	7.4
1	20	8	294	11.7
1	20	9	280	7.1
1	20	10	271	3.8
1	20	11	282	2.8
1	20	12	297	3.2
1	20	13	320	3.6
1	20	14	240	3.7
1	20	15	234	12.4
1	20	16	224	12.9
1	20	17	239	15.3
1	20	18	251	11.6
1	20	19	272	10.0
1	20	20	335	6.2
1	20	21	346	5.0
1	20	22	312	4.8
1	20	23	309	10.2
1	21	0	328	11.9
1	21	1	339	10.4
1	21	2	322	2.8
1	21	3	309	2.2
1	21	4	321	4.4
1	21	5	351	9.9
1	21	6	323	7.3
