PROSPECT CREEK      AK - 701748                                                 														
 66 deg    49' N  150 deg    39' W - Elev  335m   LST=GMT+99 hours   *NT=-10    														
 08/73-08/79 01/87-06/96                                                        								Adjusted to Alaska Time Zone (GMT-9)						
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.86	2.6	2.4	2.91	3.5	3.64	3.61	3.25	2.97	3.15	2.72	1.92	1.82
	1973	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	0
	1974	1.75	0	-1	-1	-1	-1	3.98	3.46	2.94	2.37	3.64	2.58	1.51
	1975	2.86	2.33	3.01	3.17	3.51	4.01	3.51	3.37	2.88	3.35	2.62	1.61	1.86
	1976	3.13	2.73	1.95	3.28	3.77	3.47	3.98	3.39	3.3	3.26	2.87	2.78	2.31
	1977	3.19	3.04	2.02	2.55	3.6	4.11	3.75	3.9	3.46	3.61	3.85	1.94	2.21
	1978	3.29	3.17	3.29	3.57	-1	-1	4.49	0	6.15	0	1.5	5.93	4.6
	1979	2.69	3.3	0.88	1.5	8.7	4.1	4.2	2.55	2.5	-1	-1	-1	-1
	1987	2.78	5.8	2.67	1.17	2.41	3.91	6.15	2.22	1.79	1.6	3.25	1.12	0.92
	1988	2.81	2.91	5.79	2.99	4.63	2.8	3.31	1.73	2.15	0.73	2.22	2.24	1.75
	1989	1.95	2.18	1.66	1.67	3.97	1.44	1.75	0.83	1	2.12	1.97	3.22	1.75
	1990	2.03	0.69	0.7	1.82	3.11	2.89	2.92	0.64	1.67	3.49	3.15	0	1.07
	1991	1.44	0.85	0.7	1.33	1.35	1.32	1.63	1.79	0.82	2.95	2.54	0.33	0.65
	1992	1.75	0.89	0.36	2.12	1.56	3.3	1.95	1.75	1.99	1.89	1.57	3.6	0.89
	1993	1.82	2.9	1.43	0.66	1.8	2.97	2.51	1.48	2.77	1.48	1.3	1.6	0.5
	1994	1.51	1.81	0.5	2.75	1.73	2.91	1.81	1	1.35	1.65	0.71	1.11	1.06
	1995	1.66	1.48	1.75	0.96	2.86	2.87	1.66	1.35	0.82	1.41	1.39	0.78	2.5
	1996	1.86	0	1.07	1.98	1.76	2.2	3.15	-1	-1	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	49	69	37	69	57	64	57	43	43	51	53	26	16
	1973	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	0
	1974	15	0	-1	-1	-1	-1	81	69	30	53	123	27	6
	1975	48	41	53	55	55	81	56	48	44	64	64	13	18
	1976	54	80	21	91	61	51	60	43	51	46	40	52	22
	1977	57	133	23	71	64	75	49	54	46	52	65	22	21
	1978	59	51	64	64	-1	-1	64	0	160	0	2	271	65
	1979	38	35	2	2	396	41	48	14	9	-1	-1	-1	-1
	1987	75	249	21	13	15	119	324	25	14	10	72	8	5
	1988	81	170	235	181	148	38	39	15	38	4	13	42	12
	1989	60	103	9	105	131	14	13	7	11	63	63	138	9
	1990	39	4	5	12	44	43	45	2	24	110	143	0	9
	1991	14	5	4	9	14	9	10	16	4	48	28	0	3
	1992	23	5	1	61	6	43	19	31	26	9	26	58	4
	1993	19	57	19	2	11	39	17	6	37	6	9	7	1
	1994	20	52	1	78	7	53	14	3	5	14	1	7	2
	1995	36	46	21	5	61	74	91	7	3	5	6	2	61
	1996	21	0	8	16	13	20	54	-1	-1	-1	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	17321	1770	1652	1630	1403	1513	1412	1254	1277	1254	1286	1276	1594
	1973	4	0	0	0	0	0	0	0	1	2	0	0	1
	1974	434	2	0	0	0	0	5	5	14	15	14	19	360
	1975	5892	514	498	510	360	483	431	407	397	489	587	603	613
	1976	5527	589	559	585	570	553	478	436	446	411	411	266	223
	1977	2689	206	199	275	283	278	276	254	243	165	99	199	212
	1978	489	232	195	41	0	0	11	2	2	1	1	3	1
	1979	21	2	8	1	1	1	5	2	1	0	0	0	0
	1987	184	15	13	13	14	15	16	19	14	10	20	16	19
	1988	205	14	21	20	14	17	14	14	15	15	16	26	19
	1989	192	26	15	18	11	14	10	18	16	11	12	22	19
	1990	256	19	17	11	35	28	29	16	27	19	20	22	13
	1991	270	29	22	36	23	27	12	27	12	29	21	9	23
	1992	194	15	13	17	10	12	21	13	14	17	19	14	29
	1993	323	39	35	32	23	21	29	21	28	30	23	22	20
	1994	219	23	14	19	11	14	14	8	23	19	17	39	18
	1995	269	30	18	24	17	26	31	12	24	21	26	16	24
	1996	153	15	25	28	31	24	30	0	0	0	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	410	22	20	25	35	34	41	48	46	43	45	28	23
	1	423	52	45	51	34	47	30	19	19	24	26	33	43
	2	406	51	44	55	38	39	26	18	16	16	29	27	47
	3	411	50	45	54	31	43	30	25	19	20	29	23	42
	4	506	48	47	44	50	65	43	30	39	32	42	23	43
	5	651	67	57	65	55	68	53	43	43	46	51	40	63
	6	789	74	74	71	64	74	60	56	60	63	67	54	72
	7	1007	87	84	90	70	96	92	89	91	89	82	60	77
	8	1176	124	116	108	101	96	92	88	87	85	72	100	107
	9	1127	123	114	94	91	102	89	80	85	74	79	94	102
	10	1104	113	111	96	84	92	88	80	78	73	77	92	120
	11	974	109	108	100	67	73	68	58	58	69	63	87	114
	12	808	72	77	61	82	74	76	54	60	55	56	72	69
	13	877	96	81	85	74	67	77	65	62	67	57	58	88
	14	832	92	92	75	64	68	66	64	64	60	44	67	76
	15	810	84	77	78	60	67	55	54	61	64	63	68	79
	16	807	90	79	75	69	68	68	59	56	53	54	61	75
	17	834	89	82	75	71	72	74	62	62	53	61	57	76
	18	768	86	74	74	68	60	62	51	59	47	53	59	75
	19	601	59	42	69	59	46	46	40	45	47	41	59	48
	20	509	53	48	37	33	45	43	46	45	44	45	28	42
	21	509	48	49	49	34	37	44	42	40	44	48	31	43
	22	506	55	45	49	31	41	46	41	41	38	50	25	44
	23	476	26	41	50	38	39	43	42	41	48	52	30	26

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	2.75	2.76	2.17	3.59	3.42	3.38	2.73	2.73	2.43	3.06	2.74	1.64	1.93
	1	2.61	2.52	2.5	3.63	3.6	2.84	2.38	3.03	1.93	3.11	2.3	1.55	1.62
	2	2.73	2.58	2.62	3.54	3.23	3.33	3.18	2.84	2.26	3.34	2.2	1.55	1.79
	3	2.61	2.32	2.31	3.48	3.14	3.03	3.11	2.56	2.86	2.63	2.37	1.77	1.53
	4	2.37	2.29	2.33	2.84	2.86	2.79	2.1	2.59	2.25	2.65	1.92	2.22	1.39
	5	2	2.21	1.55	2.27	2.76	2.34	2.07	1.66	1.84	2.24	1.77	1.72	1.37
	6	2.05	2.37	2	2.17	2.86	2.23	2.29	1.87	1.65	2.02	2.16	1.75	1.18
	7	2.23	2.22	2.27	2.2	2.9	2.72	2.7	2.18	1.69	2.04	2.84	1.46	1.37
	8	2.48	2.65	2.2	2.17	2.83	3.25	3.31	2.42	1.98	2.41	2.92	2.14	1.7
	9	2.57	2.73	2.5	1.89	2.98	3.38	3.59	2.69	2.52	2.56	2.38	1.92	1.75
	10	2.68	2.6	2.25	1.93	3.37	3.76	3.81	3.01	2.76	2.81	2.26	2.18	1.89
	11	2.81	2.6	2.43	1.99	3.64	4.24	3.99	3.45	3.24	3.47	2.42	2.06	1.87
	12	3.04	2.62	2.08	2.14	3.73	4.29	4.1	3.94	3.48	3.64	2.33	1.98	2.1
	13	3.2	2.64	2.24	2.68	4.05	4.34	4.28	3.98	4.02	3.68	2.97	2.25	1.94
	14	3.25	2.52	2.55	3.1	4.11	4.33	4.17	4.48	3.88	4.08	2.78	1.83	1.96
	15	3.43	3	2.47	3.53	3.95	4.65	4.11	4.13	3.88	3.92	3.45	2.05	2.78
	16	3.47	2.77	2.69	3.97	4.23	4.92	4.27	4.42	3.9	4.06	3.43	1.82	1.78
	17	3.51	2.65	2.68	3.67	4.05	4.44	4.54	4.38	4.27	4.15	3.6	2.06	2.08
	18	3.39	3.08	2.69	3.8	4.19	4.09	4.58	4.28	3.73	3.73	3.15	2.08	1.87
	19	3.29	2.47	2.75	3.79	3.73	4.47	4.22	3.83	3.87	3.72	3.16	2.09	1.73
	20	3.27	2.78	2.6	3.92	4.16	4.08	4.4	3.72	3.59	3.44	3.21	1.4	1.68
	21	3.15	2.61	2.54	3.96	3.72	3.86	4	3.4	3.07	3.75	2.98	1.89	1.9
	22	3.01	2.43	2.84	3.68	3.45	3.48	3.57	3.49	2.98	3.39	3.01	1.47	1.96
	23	2.87	2.75	2.79	3.39	3.11	3.53	3.27	2.8	2.95	2.67	2.54	1.73	2.4

POWER BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	44	77	18	101	61	49	25	22	32	61	53	8	41
	1	40	69	29	75	52	35	17	28	10	58	47	11	10
	2	68	43	50	255	52	56	38	34	9	57	41	10	19
