PRUDHOE BAY         AK - 700636                                                 														
 70 deg    15' N  148 deg    20' W - Elev   14m   LST=GMT+99 hours   *NT=-10    														
 01/73-12/81 06/87-06/99                                                        									Adjusted to Alaska Time Zone (GMT-9)					
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.08	5.61	5.07	4.79	4.44	5.47	5.01	5.02	4.76	5.37	5.06	5.17	5.27
	1973	4.87	6.51	4.32	4.43	2.77	5.22	5.43	5.61	4.44	3.98	3.78	5.92	6.39
	1974	5.62	8.18	5.52	4.61	5.97	4.03	6.87	5.08	4.51	8.14	6.58	5.71	3.94
	1975	5.1	6.12	4.77	4.93	3.19	5.29	5.45	5.32	5.27	5.14	5.67	4.6	4.86
	1976	5.2	5.08	6.3	5.88	3.75	5.69	5.6	5.42	4.44	3.46	6.37	6.1	5.1
	1977	4.64	11.27	1	4.71	3.84	4.66	3.14	5.28	5.09	4.38	5.21	0	4.39
	1978	4.46	3.64	2.95	2.39	3.4	-1	4.89	3.55	2.94	3.86	8.59	7.84	4.17
	1979	5.35	3.42	2.68	2.76	5.91	7.98	2	4.6	2.37	7.46	13.77	-1	-1
	1980	5.07	-1	7.2	4.1	5.1	-1	-1	7.45	3.92	-1	4.96	7.26	4.71
	1981	4.88	4.37	4.06	10.16	3.52	4.42	5.63	5.62	4.84	7.87	4.53	13.85	4.1
	1987	5.42	-1	-1	-1	-1	-1	5.82	5.6	5.22	5.42	4.28	6.88	4.78
	1988	5.02	4.61	4.46	4.52	4.94	7.26	4.37	4.94	5.26	4.82	5.67	4.71	4.56
	1989	4.85	5.21	6.64	5.08	5.07	4.42	4.44	4.57	3.77	4.43	4.79	4.18	5.77
	1990	5.1	4.11	5.83	4.49	5.27	5.46	4.28	4.49	6.28	5.97	5.25	4.8	5
	1991	4.67	6.05	4.87	4.55	3.6	4.99	5.11	3.91	4.17	5.64	4.01	4.4	4.64
	1992	4.97	6.01	3.58	3.83	5.31	5.5	4.82	5.04	4.49	4.86	5.52	4.71	5.69
	1993	5.3	6.68	5.46	4.16	4.4	6.63	4.27	4.68	4.54	5.57	5.49	4.87	6.82
	1994	5.11	5.97	4.71	4.98	3.8	6.42	4.34	4.66	5.17	5.94	3.77	6.63	4.97
	1995	5.28	5.13	5.05	5.87	4.51	5.68	4.95	4.43	4.46	5.58	6.18	4.06	6.97
	1996	4.7	4.85	5.68	4.81	3.6	4.69	4.64	-1	-1	-1	-1	-1	-1
	1997	4.87	-1	3.8	5.58	4.59	4.35	4.31	5.03	4.64	5.77	4.06	5.24	5.43
	1998	5.4	5.74	5.43	4.62	4.33	6.86	5.71	6.5	5.11	4.8	5.27	5.37	5.19
	1999	5.13	5.02	3.67	4.57	5.35	5.89	5.67	-1	-1	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	198	279	224	181	145	215	150	144	141	212	229	234	237
	1973	206	337	148	182	60	286	157	226	117	85	122	370	420
	1974	294	853	229	163	250	150	329	128	112	713	511	239	95
	1975	192	249	145	280	66	197	169	159	242	159	226	197	192
	1976	221	201	472	329	86	230	236	173	108	53	259	164	169
	1977	175	1213	3	201	127	126	30	167	177	103	358	0	167
	1978	280	173	63	16	59	-1	144	30	39	46	1492	785	162
	1979	310	46	57	44	227	363	5	59	16	451	2165	-1	-1
	1980	188	-1	246	50	91	-1	-1	278	59	-1	238	423	165
	1981	225	331	134	858	71	136	240	243	147	322	247	1891	50
	1987	211	-1	-1	-1	-1	-1	180	202	137	175	157	489	138
	1988	181	174	173	119	198	371	108	159	164	142	221	138	193
	1989	169	183	423	225	146	127	112	99	71	121	148	134	273
	1990	181	106	243	131	195	216	81	94	278	210	258	143	205
	1991	165	328	201	141	68	184	157	66	110	240	150	166	167
	1992	170	299	84	81	273	155	111	153	114	147	196	167	237
	1993	239	374	284	132	170	385	114	103	118	213	287	181	515
	1994	199	349	202	158	107	282	87	108	162	254	86	436	180
	1995	218	234	208	244	137	199	122	105	129	279	312	127	479
	1996	158	184	247	196	82	120	126	-1	-1	-1	-1	-1	-1
	1997	150	-1	42	193	135	105	105	131	145	231	83	214	184
	1998	214	239	248	201	146	387	220	254	126	135	268	235	170
	1999	174	203	77	152	177	215	162	-1	-1	-1	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	65998	5375	4971	5742	5649	5723	6265	5613	5595	5189	5399	4977	5500
	1973	3065	206	243	255	230	173	232	281	286	293	309	273	284
	1974	4060	287	294	289	316	336	336	359	321	301	319	336	566
	1975	4156	470	325	336	323	324	363	331	351	364	325	313	331
	1976	2447	321	288	247	320	309	319	274	264	79	23	1	2
	1977	704	7	2	161	45	112	60	111	20	72	67	3	44
	1978	462	52	42	7	44	0	74	2	86	5	39	39	72
	1979	168	4	51	10	68	13	1	1	3	5	12	0	0
	1980	249	0	1	1	1	0	0	22	63	0	50	25	86
	1981	570	62	72	24	97	6	102	37	84	3	80	2	1
	1987	2546	0	0	0	0	0	346	379	347	360	383	361	370
	1988	4546	374	362	381	377	391	392	393	381	363	389	366	377
	1989	4554	377	348	372	374	395	391	397	381	399	387	348	385
	1990	4450	403	349	367	376	398	339	357	381	368	370	360	382
	1991	4652	367	367	381	365	414	455	371	394	391	382	381	384
	1992	4669	373	363	394	382	383	392	379	388	345	376	371	523
	1993	4557	417	365	389	382	385	382	383	394	370	359	366	365
	1994	4293	354	316	383	365	372	367	375	399	368	376	345	273
	1995	4116	288	312	358	348	371	375	366	275	339	376	331	377
	1996	2265	381	361	366	387	401	369	0	0	0	0	0	0
	1997	3775	0	5	329	386	403	392	401	397	369	391	382	320
	1998	3919	308	323	361	94	147	399	394	380	395	386	374	358
	1999	1775	324	182	331	369	390	179	0	0	0	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	105	4	7	5	6	8	11	12	5	2	0	1	44
	1	89	2	5	4	7	7	10	5	6	1	1	1	40
	2	88	5	4	5	6	9	10	4	3	2	1	1	38
	3	271	4	1	6	29	46	54	28	23	26	13	1	40
	4	947	53	15	48	98	121	128	106	95	91	88	44	60
	5	2723	89	77	105	294	334	361	348	318	308	281	93	115
	6	4523	336	294	370	369	442	456	423	431	393	403	298	308
	7	4951	389	368	433	439	431	465	419	435	388	422	383	379
	8	4925	398	367	435	419	436	446	426	420	397	421	370	390
	9	4877	399	381	431	422	403	444	419	413	391	407	381	386
	10	4894	401	366	435	426	433	449	410	396	391	420	383	384
	11	4858	397	384	427	430	405	440	422	405	393	406	365	384
	12	4935	395	374	457	436	429	437	409	417	380	414	388	399
	13	4889	386	375	435	425	426	434	417	412	378	417	388	396
	14	4841	392	383	426	423	425	438	411	407	393	406	361	376
	15	4835	404	370	428	415	405	432	409	420	384	399	385	384
	16	4861	409	379	424	433	413	454	415	378	401	403	367	385
	17	4144	394	370	432	322	324	387	275	308	260	309	372	391
	18	2174	271	268	286	147	106	160	97	111	98	100	252	278
	19	784	90	83	77	36	33	83	54	67	42	36	71	112
	20	456	39	42	26	22	29	67	34	53	32	23	29	60
	21	347	45	26	19	18	25	47	25	36	20	13	19	54
	22	263	38	19	19	13	17	30	23	19	15	6	12	52
	23	218	35	13	9	14	16	22	22	17	3	10	12	45

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	4.99	5	5.26	5.94	4.42	4.99	5.8	5.14	2.32	4.05	-1	1.5	5.1
	1	5.26	6.4	5	7	3.33	6.2	7.11	5.5	1.43	3.1	19	2	5.11
	2	5.72	5.4	5.77	6.84	4.32	5.21	6.85	6.75	1.5	5.15	3.6	18.5	5.62
	3	4.8	5.1	6.1	6.48	4.88	4.82	4.88	5.55	3.63	4.61	3.6	6.7	4.92
	4	4.62	5.7	5.29	4.48	3.71	4.87	4.44	4.54	4.28	4.65	4.59	5.43	5.09
	5	4.58	5.69	4.74	4.74	3.97	5.19	4.11	4.06	4.3	5.1	4.81	4.68	5.07
	6	4.73	5.63	5.16	4.64	4.06	5.14	4.34	4.17	4.18	4.93	4.8	5.09	5.12
	7	4.8	5.47	5.15	4.67	3.89	5.22	4.46	4.3	4.23	5.04	4.94	5.15	5.31
	8	4.93	5.8	5.03	4.71	4.05	5.34	4.58	4.53	4.52	5.29	4.89	5.18	5.36
	9	4.97	5.71	4.94	4.83	4.31	5.34	4.74	4.57	4.62	5.19	4.89	5.29	5.39
	10	5.03	5.73	5.14	4.6	4.52	5.38	4.86	4.85	4.61	5.43	5.1	5.06	5.16
	11	5.11	5.57	5.11	4.81	4.68	5.44	4.94	5.14	4.73	5.44	5.12	5.1	5.38
	12	5.22	5.62	5.12	4.87	4.68	5.66	5.31	5.19	5	5.54	5.23	5.15	5.3
	13	5.23	5.63	4.99	4.96	4.65	5.6	5.37	5.48	5.04	5.56	5.07	5.12	5.27
	14	5.34	5.51	5.12	5.05	4.81	5.66	5.48	5.58	5.26	5.78	5.22	5.22	5.34
	15	5.35	5.51	5.06	4.98	4.81	5.84	5.56	5.72	5.3	5.62	5.35	5.2	5.3
	16	5.3	5.54	4.92	4.96	4.77	5.74	5.49	5.75	5.33	5.62	5.13	5.18	5.16
	17	5.25	5.57	4.92	4.8	4.62	5.82	5.42	5.93	5.23	5.53	5.19	5.17	5.12
	18	5.13	5.45	5.05	4.62	4.35	5.56	5.26	5.82	4.97	5.5	4.68	5.27	5.36
	19	5.16	5.54	5.15	4.18	4.29	5.52	5.31	5.7	4.92	4.98	4.99	5.55	5.38
	20	5.16	5.86	5.36	4.2	3.26	5.94	5.44	5.61	4.54	4.83	5.61	5.21	5.23
	21	5.28	5.94	5.03	3.34	4.43	5.12	5.82	5.27	4.23	4.56	7.44	5.98	5.61
	22	5.65	6.03	7.6	3.12	5.73	5.38	6.55	4.6	4.45	6.79	6.98	5.88	5.49
	23	5.43	6.54	6.61	4.19	4.88	5.55	5.94	4.95	3.15	5.43	6.75	4.69	5.37

POWER BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	173	193	255	234	70	124	209	130	20	52	-1	2	203
	1	227	263	121	320	55	252	320	132	9	19	4463	6	180
	2	303	195	166	352	68	211	389	226	6	134	28	4297	304
	3	156	134	136	308	127	149	179	168	59	158	45	219	214
	4	145	229	208	181	71	142	115	114	90	127	195	229	251
	5	151	265	187	180	105	190	98	93	105	185	206	202	223
	6	172	265	223	162	112	204	116	100	107	202	195	216	221
	7	176	245	223	157	104	195	126	109	106	186	214	227	254
	8	190	315	213	156	114	205	134	117	138	211	220	233	252
	9	197	291	208	193	146	206	145	117	134	196	221	268	254
	10	197	300	225	163	152	210	147	137	140	213	238	227	223
	11	204	281	257	180	164	207	148	143	141	210	249	236	254
	12	211	297	250	183	163	228	158	158	157	219	262	242	235
	13	206	285	239	198	161	219	161	166	172	220	222	221	223
	14	215	253	226	197	170	227	175	177	170	237	254	248	257
	15	215	297	224	200	171	234	173	184	169	225	251	229	232
	16	208	271	210	204	172	231	166	182	161	226	225	235	223
	17	208	277	210	198	161	240	161	199	159	233	226	221	214
	18	207	271	222	176	154	202	155	172	149	239	168	222	251
	19	200	239	218	144	114	238	158	161	164	258	155	243	250
	20	217	266	218	156	51	571	177	177	117	184	272	320	202
	21	221	240	202	94	144	311	218	146	91	228	462	415	239
	22	241	281	183	70	211	166	266	104	215	606	407	294	243
	23	215	288	322	129	171	207	234	173	53	170	387	176	209

SPEED BY DIRECTION                                                              														
	Month	calm	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360
	ALL	0	3.34	3.53	3.41	3.58	4.54	5.54	6.07	6.74	6.63	6.08	5.76	4.92	4.04	3.27	3.2	2.47	2.91	3.68	3.01	3.53	4.35	4.53	5.37	5.69	5.39	5.74	6.01	5.7	5.28	4.72	4	3.96	3.74	3.34	3.52	3.61	3.34
	1	0	2.6	2.8	3.2	3.1	4.8	5.8	6.5	7.3	6.7	6	5.6	5.1	4.8	3.3	3.6	2.5	3	2.6	3	3.8	5	5.3	6.3	6.8	6	6	6.9	6.9	6.4	3.8	3.4	2.5	2.8	2.7	2.2	3.9	2.6
	2	0	3.2	3.7	2.4	3.3	4.3	6	6.3	6.2	6.3	5.3	5.4	4.3	3.9	3.6	2.6	1.9	2.3	2.5	2.9	2.6	3.6	4.8	5.6	6.1	5.3	6.4	6.4	6.5	6.1	4.8	4.1	3.9	3.7	3	2.5	1.7	3.2
	3	0	2.5	2.8	3.5	3.5	4.9	5	6	5.8	6.8	5.9	5.8	6.1	4.7	3.1	2.3	2.2	2.6	3.2	2.4	3.6	3.5	4.3	5.2	5.4	5.1	5.5	5.5	5.2	4.8	3.8	3.3	3.6	3.3	2.6	1.9	2.6	2.5
	4	0	2.5	2.8	3.1	3.5	4.9	5.5	5.8	6	5.8	5.7	5.2	4	3.8	2.9	2.7	2.3	2.5	4.4	3	3.9	4.2	4.3	4.5	4.5	4.7	5.2	5.3	4.4	3.9	3.6	2.9	2.3	2.9	2.6	2.1	2.4	2.5
	5	0	2.7	3.2	3.7	3.9	5	5.7	6	7.2	7.2	6.3	6.3	5.2	3.6	3.2	3.5	2.4	2.9	4.9	2.5	3.7	3.6	4.2	5.3	5.6	5.3	5.1	5.7	4.9	4	3.9	3.2	3.3	3.3	3.2	3.2	3.1	2.7
	6	0	3.3	3.4	3.3	3.7	3.9	4.5	5.3	6.1	6.3	5.9	6	5.3	4.8	3	2.9	2.6	2.5	3.5	2.6	3.9	3.5	4.4	4.8	5.4	5.2	5.2	5.6	5.5	5.6	5.6	5.3	4.4	4	3.5	3.5	3.4	3.3
	7	0	3.7	3.9	3.5	3.6	4.1	4.9	5.1	6.4	6.5	6.2	5.2	4.4	3.3	2.8	3.4	2.5	3.6	3.2	2.7	4.2	5.3	4.1	4.9	5.2	5.7	6.3	6.4	5.9	5.6	5.7	4.6	4.4	4.5	3.7	4	4	3.7
	8	0	3.4	3.3	3.4	3.1	4.2	4.8	5.2	6.1	5.8	5.2	5	5	3.9	3.5	3.3	3.1	3.5	4	4	4	4.1	5	5.5	5.7	6	5.8	5.5	6	6.1	5.6	4.5	4.7	3.9	3.6	3.4	3.9	3.4
	9	0	3.8	4.6	4.2	4	5.1	5.9	6.3	6.9	7.2	7.1	7.3	4.7	4.6	3.7	3.8	2.3	2.5	3.3	2.8	3.1	6	5.1	6	6.2	5.3	5.6	5.8	5.1	4.9	4.4	3.6	3.8	3.7	3.4	4.2	4.3	3.8
	10	0	3.9	4	3.9	3.9	4.5	6.1	7.2	8.2	7.2	6.5	5.3	4.7	3.7	3.2	3	2.5	2.6	3.1	3.1	2.8	3.9	4.3	5.3	4.9	4.6	5.5	5.5	5.4	5.4	4.7	3.2	3.4	2.8	3	3.8	4.8	3.9
	11	0	3.1	2	2.9	3.5	5	5.5	6.6	7.7	7.3	6.1	6.5	5	3.9	3.2	3.4	2.3	2.4	4.5	2.6	3.4	4	4.3	5.2	5.6	5.3	5.4	6.8	5.5	5	3.9	3.9	2.8	2.7	2.8	3	3.9	3.1
	12	0	2.6	2.8	2.8	3.7	4.3	6.5	6.6	7.3	6.8	6.7	5.2	4.4	3	3.3	3.2	2.1	2.9	2.8	2.6	3	3.1	3.7	4.9	5.6	5.7	6.2	6	5.9	4.9	4.4	2.8	2.9	2.7	3.1	2.9	3	2.6
FREQUENCY BY DIRECTION                                                          																																							
	Month	calm	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360
	ALL	7.33	1.58	0.88	0.91	1.94	2.15	6.42	7.16	10.63	8.38	6.5	4.11	2.12	1.85	0.76	0.4	0.79	0.34	0.28	0.73	0.48	0.67	1.61	2.02	4.99	7.3	6.51	5.66	4.37	2.13	1.38	1.36	0.78	0.56	0.96	0.51	0.78	1.58
	1	7.3	0.5	0.4	0.7	1.3	1.9	5.4	5.9	8.5	4.5	4.5	3.5	1.6	1.8	0.8	0.3	0.6	0.4	0.1	0.4	0.3	0.7	1.8	2.8	8.7	13.7	9.7	8.8	6.1	1.9	0.9	0.5	0.2	0.1	0.4	0	0.3	0.5
