SDR	5.3.1

-----Logger Information-----
Model #	
Serial #	2543
Hardware Rev.	009-008-000

-----Site Information-----
Site #	0022
Site Desc	Quinhagak
Project Code	
Project Desc	
Site Location	
Site Elevation	3
Latitude	N 059° 44.646'
Longitude	W 161° 55.030'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	20   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	25   m
Scale Factor	0.351
Offset	220
Units	deg

Channel #	8
Type	0
Description	No Sensor
Details	
Serial Number	SN:
Height	25   m
Scale Factor	0
Offset	0
Units	

Channel #	9
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	2    m
Scale Factor	0.138
Offset	-86.383
Units	C

Channel #	10
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
10/22/2005 12:30:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													220	0	220	220					-86.4	0	-86.4	-86.4												
10/22/2005 12:40:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													220	0	220	220					-86.4	0	-86.4	-86.4												
10/22/2005 12:50:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													220	0	220	220					-86.4	0	-86.4	-86.4												
10/22/2005 13:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													220	0	220	220					-86.4	0	-86.4	-86.4												
10/22/2005 13:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													220	0	220	220					-86.4	0	-86.4	-86.4												
10/22/2005 13:20:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													220	0	220	220					-86.4	0	-86.4	-86.4												
10/22/2005 13:30:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													221	0	220	220					-86.4	0	-86.2	-86.4												
10/22/2005 13:40:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													222	0	220	220					-86.2	0	-86.1	-86.4												
10/22/2005 13:50:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													222	0	220	220					-86.1	0	-86.1	-86.2												
10/22/2005 14:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													222	0	220	220					-86.1	0	-86.1	-86.1												
10/22/2005 14:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													223	1	220	220					-86	0.1	-85.6	-86.1												
10/22/2005 14:20:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													226	1	220	220					-85.4	0.1	-85.1	-85.8												
10/22/2005 14:30:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													232	6	220	220					-85	0.2	-84.3	-85.4												
10/22/2005 14:40:00	0.4	0.7	5.7	0.4	0.4	0.6	6.1	0.4	0.4	0.3	4.6	0.4													236	2	235	220					-84.2	0.2	-83.3	-84.7												
10/22/2005 14:50:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													235	1	220	220					-83.8	0.3	-83.3	-85.1												
10/22/2005 15:00:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													234	29	220	220					-83.2	0.2	-82.5	-83.8												
10/22/2005 15:10:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													235	0	220	220					-83.3	0.1	-83.2	-83.6												
10/22/2005 15:20:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													234	0	220	220					-83.5	0	-83.5	-83.6												
10/22/2005 15:30:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													234	0	220	220					-83.6	0	-83.5	-83.6												
10/22/2005 15:40:00	0.4	0	0.4	0.4	0.4	0	0.4	0.4	0.4	0	0.4	0.4													234	0	220	220					-83.5	0.1	-83.5	-83.6												
