SAND POINT          AK - 703165                                                 														
 55 deg    19' N  160 deg    31' W - Elev    7m   LST=GMT+99 hours   *NT=-11    														
 01/73-04/74 05/80-09/83 06/87-09/02                                            									Adjusted to Alaska Timezone (GMT=9)					
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	4.97	5.84	5.38	5.23	5.08	4.3	3.79	3.61	4.1	4.88	5.95	6.34	6.15
	1973	4.26	4.77	2.72	3.48	6.38	3.05	-1	0	0	5.43	7.2	-1	5.75
	1974	7.33	4.6	5.1	4.1	12.8	-1	-1	-1	-1	-1	-1	-1	-1
	1980	4.73	-1	-1	-1	-1	3.78	5.13	3.91	-1	4.6	-1	-1	6.4
	1981	4.83	5.9	8.2	2.5	-1	-1	5.01	4.57	5.1	3.6	-1	-1	-1
	1982	4.74	11.3	-1	-1	-1	3	-1	5.1	3.64	-1	-1	-1	-1
	1983	4.05	-1	-1	-1	-1	-1	-1	-1	3	5.1	-1	-1	-1
	1987	5.55	-1	-1	-1	-1	-1	5.15	4.15	4.62	6.27	5.87	6.35	6.51
	1988	5.11	4.18	6.47	5.72	5.51	4.55	4.22	3.2	4.13	5.21	5.45	5.48	7.72
	1989	4.88	6.43	5.39	5.2	4.94	4.38	3.68	3.68	3.83	4.81	5.41	5.86	5.62
	1990	4.43	5.67	5.34	5.45	4.25	3.8	3.27	3.13	3.78	3.99	4.88	5.73	4.38
	1991	5.02	5.9	6.69	5.75	4.28	4.69	3.74	3.44	3.96	4.63	5.14	6.78	5.8
	1992	5.38	6.54	5.16	5.59	6.05	4.59	4.85	4.04	5.3	4.64	6.15	5.9	5.84
	1993	4.9	7.42	5.42	5.11	5.09	4.21	3.75	4.18	3.54	4.28	4.51	6.61	4.92
	1994	5.2	4.59	5.88	6.77	5.24	3.83	3.64	3.23	4.09	5.21	6.37	8.36	6.58
	1995	4.69	4.81	4.84	5.72	5.38	4.03	3.74	3.77	4.09	3.86	6.12	5.35	4.19
	1996	5.24	5.46	6.97	3.69	4.74	4.2	5.19	3.63	4.38	5.34	5.8	6.36	7.08
	1997	4.81	5.75	4.59	5.92	4.09	3.99	3.47	3.37	4.38	5.23	5.8	5.94	6.94
	1998	5.11	5.04	4.34	4.52	6.49	5.5	4.2	3.34	4.81	5.3	5.85	5.47	6.73
	1999	5.08	6.19	6.03	4.9	5.62	4.11	3.11	3.88	4.17	4.48	5.75	6.99	6.39
	2000	5.12	7.46	4.56	5.08	4.08	4.43	3.85	3.82	4.52	4.52	6.38	6.54	6.16
