SAVOONGA AIRPORT    AK - 702035                                                 														
 63 deg    41' N  170 deg    30' W - Elev   16m   LST=GMT+99 hours   *NT=-11    														
 06/87-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.6	5.59	5.57	5.33	4.92	4.61	4.38	4.39	5.55	6.12	6.87	8.44	6.65
	1987	7.16	-1	-1	-1	-1	-1	3.42	4.47	4.77	7.77	8.64	9.66	7.18
	1988	5.98	6.52	5.94	4.61	5.03	5.48	4.67	5.81	6.44	6.06	6.61	8.78	5.33
	1989	6.61	6.48	9.81	6.37	7.62	5.63	4.57	5.29	5.85	6.91	7.14	9.2	5.65
	1990	5.74	5.57	4.39	5.39	5.49	5.43	4.92	5.03	5.95	7.16	7.96	7.93	6.04
	1991	4.98	4.98	5.11	2.57	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1992	7.66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.66
	1993	5.64	6.38	5.51	3.97	4.13	4.04	4.28	4.28	4.98	7.88	6.81	8.6	7.03
	1994	5.47	3.6	6.06	5.78	4.18	3.16	4.51	4.39	6.7	6.81	6.64	8.25	6.07
	1995	5.12	4.84	3.8	4.56	5.37	3.17	4.22	4.55	3.76	5.71	6.39	6.12	8.65
	1996	6.29	6.45	8.11	7.02	4.38	4.85	5.4	4.6	5	7.12	7.17	8.85	6.36
	1997	5.25	5.82	3.34	4.19	3.94	5.62	4.25	4.52	5.21	5.51	6.09	8.69	5.74
	1998	5.25	4.81	4.11	5.57	5.86	4.24	3.75	3.18	6.52	4.95	7.42	9.52	7.41
	1999	4.97	4.88	4.31	3.76	6.63	4.06	3.85	4.6	5.4	5.68	4.97	8.62	4.08
	2000	5.9	5.55	6.23	4.71	3.83	5.37	4.07	4.56	5.89	4.75	7.18	9.46	9.41
	2001	6.22	6.87	9.45	5.24	4.88	5.48	5.72	5.4	6.33	5.95	7.17	7.7	5.07
	2002	5.01	6.14	5.37	8.49	6.19	5.01	4.24	3.7	5.46	4.1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	280	312	337	275	233	165	122	130	228	299	384	649	405
	1987	417	-1	-1	-1	-1	-1	38	91	102	432	686	758	361
	1988	255	304	203	115	155	162	153	221	370	295	268	623	159
	1989	379	580	928	294	555	193	127	149	199	332	355	763	244
	1990	248	208	237	295	257	142	213	150	182	350	440	531	230
	1991	170	167	181	16	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1992	849	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	849
	1993	313	634	268	107	119	102	112	121	173	558	396	751	445
	1994	287	100	387	284	122	41	129	162	413	433	373	754	302
	1995	229	160	150	312	327	48	103	152	78	202	350	243	602
	1996	411	476	883	554	118	218	222	203	204	408	487	750	374
	1997	245	276	73	167	152	285	99	141	218	236	252	735	306
	1998	241	216	93	213	312	158	85	62	326	221	464	722	570
	1999	214	204	199	90	386	150	111	149	211	229	126	680	122
	2000	292	267	267	178	104	193	124	146	232	138	405	762	714
	2001	304	407	1007	259	208	205	183	180	267	226	380	412	143
	2002	203	333	247	613	543	219	93	60	202	83	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	89023	7681	6922	6008	6784	8569	8696	8758	9355	7010	6672	6120	6448
	1987	1417	0	0	0	0	0	12	236	199	219	251	257	243
	1988	3044	252	259	262	219	237	214	268	260	265	276	261	271
	1989	2706	246	201	234	246	239	246	247	258	237	202	172	178
	1990	2034	192	182	177	184	248	220	218	174	178	142	79	40
	1991	214	82	125	7	0	0	0	0	0	0	0	0	0
	1992	375	0	0	0	0	0	0	0	0	0	0	0	375
	1993	8380	720	614	637	717	739	717	715	739	658	731	662	731
	1994	7980	724	621	596	642	739	694	675	741	702	734	625	487
	1995	8255	661	655	672	698	709	689	684	674	695	729	679	710
	1996	8086	713	681	728	711	689	704	518	731	630	635	709	637
	1997	8217	732	680	708	611	671	701	745	660	700	697	690	622
	1998	7282	648	657	677	697	718	649	723	705	699	678	233	198
	1999	6731	693	662	42	174	783	734	723	747	671	235	529	738
	2000	8491	730	680	732	670	726	716	728	703	720	695	688	703
	2001	6721	669	367	206	658	691	402	694	704	612	667	536	515
	2002	9090	619	538	330	557	1380	1998	1584	2060	24	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	3303	263	225	213	255	338	358	350	376	265	214	216	230
	1	3416	310	273	227	252	337	342	321	360	256	258	237	243
	2	3224	293	254	225	258	309	312	303	318	239	252	229	232
	3	3323	262	230	216	259	352	359	348	377	261	214	212	233
	4	3358	311	277	220	260	312	323	320	344	259	257	230	245
	5	3290	286	251	224	257	314	329	316	357	242	248	221	245
	6	3594	261	239	213	297	392	392	375	406	305	283	212	219
	7	4096	354	312	250	326	386	397	420	410	333	336	277	295
	8	4187	369	355	301	313	366	368	389	422	344	344	301	315
	9	4350	355	317	294	323	427	422	458	463	365	316	302	308
	10	4408	390	368	294	324	401	397	429	457	358	359	312	319
	11	4290	377	339	303	325	392	384	425	451	339	344	297	314
	12	4305	342	316	306	319	433	432	436	463	355	307	292	304
	13	4401	385	355	289	334	395	405	453	456	357	350	301	321
	14	3635	368	344	301	256	311	305	300	332	248	259	297	314
	15	3963	271	240	230	318	431	440	452	471	354	299	223	234
	16	3749	390	346	288	272	328	331	319	346	259	264	295	311
	17	3881	291	279	219	321	383	405	409	441	337	322	234	240
	18	3652	324	305	282	258	340	357	341	362	259	227	290	307
	19	3402	323	272	222	246	318	331	315	358	272	259	237	249
	20	3228	289	261	219	242	311	311	309	334	241	240	226	245
	21	3287	257	238	228	249	340	355	341	360	260	213	214	232
	22	3414	321	267	221	257	331	332	324	354	265	256	235	251
	23	3267	289	259	223	263	322	309	305	337	237	251	230	242

SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	5.21	5.57	5.52	5.14	4.26	4.25	3.77	3.72	5.24	5.81	6.48	8.3	6.73
	1	5.27	5.42	5.04	5.19	4.26	4.27	3.75	3.88	5.25	5.72	6.77	8.28	6.79
	2	5.32	5.38	5.44	5.27	4.34	4.19	3.87	3.71	5.3	5.88	6.79	8.38	6.63
	3	5.19	5.63	5.52	5.21	4.14	4.16	3.8	3.57	5.07	6	6.79	8.24	6.66
	4	5.29	5.46	5.14	5.15	4.45	4.42	4.23	3.6	5.01	5.84	6.56	8.37	6.61
	5	5.32	5.49	5.49	5.2	4.44	4.17	4.15	3.65	5.15	6.01	6.71	8.07	6.92
	6	5.29	5.57	5.2	5.14	4.79	4.3	4.12	3.95	5.23	5.82	6.72	8.18	6.76
	7	5.45	5.43	5.21	5.44	4.74	4.55	4.15	3.93	5.17	6.06	6.91	8.55	6.79
	8	5.57	5.45	5.48	5.18	4.99	4.54	4.4	4.23	5.28	6.17	6.85	8.41	6.67
	9	5.57	5.68	5.77	5.23	4.64	4.72	4.42	4.24	5.37	6.15	6.95	8.62	6.53
	10	5.67	5.75	5.52	5.08	5.02	4.7	4.61	4.45	5.37	6.09	7.08	8.68	6.58
	11	5.74	5.63	5.56	5.26	4.88	5.01	4.7	4.56	5.7	6.41	6.86	8.55	6.59
	12	5.86	5.67	5.81	5.43	5.32	4.91	4.8	4.77	5.92	6.61	7.08	8.71	6.56
	13	5.88	5.76	5.42	5.45	5.4	4.87	4.75	4.97	5.91	6.62	6.98	8.59	6.81
	14	5.98	5.52	5.85	5.51	5.34	4.87	4.95	5.13	5.99	6.47	7.05	8.7	6.71
	15	5.9	5.56	5.79	5.42	5.61	5.22	4.74	5.22	6.03	6.72	7.05	8.5	6.56
	16	5.93	5.74	5.89	5.46	5.36	5.2	4.79	5.02	5.96	6.55	6.81	8.5	6.31
	17	5.92	5.58	5.81	5.69	5.51	5.1	4.88	5.19	6.07	6.54	7.05	8.41	6.5
	18	5.91	5.87	6.26	5.52	5.5	4.83	4.78	4.93	6.02	6.13	6.89	8.42	6.51
	19	5.7	5.64	5.45	5.54	5.05	4.56	4.55	4.85	5.76	5.86	7.01	8.33	6.73
	20	5.59	5.65	5.59	5.5	5.16	4.4	4.29	4.47	5.7	5.67	6.78	8.35	6.62
	21	5.5	5.65	5.64	5.4	5.06	4.38	4.25	4.58	5.55	5.59	6.59	8.31	6.9
	22	5.46	5.45	5.67	5.32	4.75	4.31	4.05	4.13	5.5	5.76	6.89	8.46	6.51
	23	5.37	5.48	5.29	5.25	4.61	4.24	3.88	3.97	5.42	5.67	6.83	8.28	6.72

POWER BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	262	312	358	313	183	143	93	101	210	298	339	675	425
	1	271	306	290	295	200	146	95	111	212	295	364	645	484
