SDR	5.7.6

-----Logger Information-----
Model #	
Serial #	3297
Hardware Rev.	009-009-000

-----Site Information-----
Site #	3071
Site Desc	Seward
Project Code	
Project Desc	www.akenergyauthority.org
Site Location	next to power plant facility at AVTEC
Site Elevation	22
Latitude	N 060° 31.621'
Longitude	W 165° 06.770'
Time offset (hrs)	-9

-----Sensor Information-----

Channel #	1
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	2
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	3
Type	1
Description	NRG #40 Anem. m/s
Details	
Serial Number	SN:
Height	20   m
Scale Factor	0.765
Offset	0.35
Units	m/s

Channel #	4
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	5
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	6
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	7
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	30   m
Scale Factor	0.351
Offset	245
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	
Serial Number	SN:
Height	m
Scale Factor	0.351
Offset	140
Units	deg

Channel #	9
Type	4
Description	NRG #110S Temp  C
Details	
Serial Number	SN:
Height	0
Scale Factor	0.138
Offset	-86.381
Units	C

Channel #	10
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	11
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Channel #	12
Type	0
Description	No SCM Installed
Details	
Serial Number	--------
Height	------
Scale Factor	0
Offset	0
Units	-----

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
05/05/2006 20:00:00	1.5	1	4.2	0.4	2.3	0.8	4.6	0.4	2.2	0.7	4.6	0.7													340	27	12	245	140	0	140	140	6.9	0	7	6.7												
05/05/2006 20:10:00	1.1	0.9	3.8	0.4	1.9	0.7	4.2	0.4	1.9	0.8	4.6	0.7													334	17	327	245	140	0	140	140	6.9	0	7	6.7												
05/05/2006 20:20:00	0.9	0.5	2.6	0.4	1.9	0.5	3.8	0.7	1.6	0.6	2.6	0.4													2	22	358	245	140	0	140	140	6.7	0.1	7	6.5												
05/05/2006 20:30:00	1.1	0.8	3.4	0.4	2.1	0.7	3.8	0.7	1.7	0.7	3.8	0.4													1	22	16	245	140	0	140	140	6.4	0	6.7	6.2												
05/05/2006 20:40:00	2	1.3	5.3	0.4	2.7	1	5.7	0.7	2.6	1.1	5.3	1.1													358	29	17	245	140	0	140	140	6.6	0	7	6.2												
05/05/2006 20:50:00	1.8	0.8	4.2	0.4	2.6	0.6	4.2	1.1	2.4	0.7	4.6	1.1													356	15	317	245	140	0	140	140	6.6	0	6.7	6.5												
05/05/2006 21:00:00	0.5	0.3	1.9	0.4	1.5	0.5	2.6	0.4	1.3	0.4	2.6	0.4													9	20	28	245	140	0	140	140	6.4	0	6.7	6.2												
05/05/2006 21:10:00	1.1	0.5	2.6	0.4	2.1	0.4	3.4	1.1	2	0.4	3	1.1													32	27	21	245	140	0	140	140	6.2	0	6.2	6												
05/05/2006 21:20:00	1.9	0.6	3.4	0.4	2.7	0.5	4.2	1.5	2.4	0.5	3.8	1.1													14	23	347	245	140	0	140	140	6	0	6.2	5.7												
05/05/2006 21:30:00	0.7	0.5	2.3	0.4	1.6	0.7	3	0.4	1.5	0.7	2.6	0.4													74	47	120	245	140	0	140	140	6.1	0	6.2	5.7												
05/05/2006 21:40:00	0.4	0.2	1.5	0.4	1.6	0.3	2.6	0.7	1.4	0.4	2.3	0.4													118	19	120	245	140	0	140	140	5.7	0	6	5.7												
05/05/2006 21:50:00	1	0.7	2.6	0.4	2	0.5	3.4	0.7	1.8	0.6	3	0.4													184	19	184	245	140	0	140	140	5.6	0	5.7	5.7												
05/05/2006 22:00:00	1	0.7	2.6	0.4	2.1	0.5	3.4	0.7	1.7	0.5	3	0.4													226	15	210	245	140	0	140	140	5.6	0	5.7	5.5												
05/05/2006 22:10:00	0.9	0.6	2.6	0.4	1.9	0.6	3.4	0.4	1.5	0.7	3	0.4													184	17	184	245	140	0	140	140	5.4	0	5.7	5.2												
05/05/2006 22:20:00	0.9	0.6	2.6	0.4	2	0.5	3.4	1.1	1.7	0.6	3	0.7													187	11	186	245	140	0	140	140	5.2	0	5.5	5												
05/05/2006 22:30:00	1.7	0.7	3.4	0.4	2.7	0.5	3.8	1.1	2	0.6	3.4	0.7													178	12	191	245	140	0	140	140	5.1	0	5.2	5												
05/05/2006 22:40:00	2.2	0.9	4.2	0.4	3	0.7	4.6	1.5	2.7	0.7	4.2	1.1													197	10	196	245	140	0	140	140	5.1	0	5.2	5												
05/05/2006 22:50:00	3.7	0.5	4.9	2.3	4.1	0.4	5.3	3	3.7	0.5	4.6	1.9													196	8	194	245	140	0	140	140	5.1	0	5	5												
