SEWARD              AK - 702770                                                 														
 60 deg    07' N  149 deg    27' W - Elev   18m   LST=GMT+99 hours   *NT=-10    														
 01/73-09/02                                                                    						Adjusted to Alaska Timezone (GMT-9)								
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	4.6	5.66	5.56	4.62	4.33	3.97	3.67	3.44	3.75	4.19	5.19	5.41	5.49
	1973	5.96	11.43	6.24	5.02	5.2	4.55	4.45	4.3	4.73	4.33	6.52	8.85	5.35
	1974	5.95	8.7	7.85	6.21	4.43	4.8	5.41	5.15	5.13	4.5	5.5	7.86	6.31
	1975	5.58	8.28	6.68	5.88	5.37	3.98	4.27	3.98	4.16	4.54	5.5	6.96	6.68
	1976	4.79	4.86	6.81	5.05	4.47	3.88	4.08	4.92	2.87	3	-1	4.35	5.93
	1977	4.74	2.25	2.54	3.2	2.53	7.2	2.35	4.37	22.6	8	7.4	5	4.35
	1978	4.92	1	3.05	4.59	6.9	4.18	5.49	3.69	4.24	4.63	4.78	5.23	5.94
	1979	5.23	4.4	8.12	5.34	4.26	3.96	4.19	4.28	3.79	4.87	5	6.03	7.77
	1980	5.44	8.04	4.88	5.39	4.16	4.57	4.36	4.14	4.41	5.43	5.39	5.3	8.01
	1981	5.03	5.18	5.8	4.76	5.91	4.38	4.48	3.76	4.25	5.06	5.27	5.53	5.69
	1982	5.45	6.22	8.28	5.95	5.8	4.82	4.58	4.77	4.25	4.78	6.65	4.94	4.23
	1983	4.59	6.46	4.96	3.54	4.31	4.43	4.25	3.94	4.31	5.29	5.24	4.38	3.72
	1984	4.16	5.8	5.89	3.26	3.84	3.91	3.66	3.11	3.87	3.04	4.39	4.17	5.23
	1985	4.61	3.15	6.15	4.44	4.78	4.33	3.73	2.6	4.04	4.8	6.99	6.79	3.76
	1986	4.42	3.86	4.87	5.74	5.65	4.18	4.23	4.27	3.3	4.12	3.97	5	3.62
	1987	4.07	4.75	5.44	4.69	3.98	3.66	3.51	3.55	3.22	3.65	3.8	4.48	4.33
	1988	3.39	2.69	3.28	2.99	3.19	2.61	2.8	2.6	3.08	3.63	4.22	5.55	4.36
	1989	4	7.26	3.94	5.04	2.59	2.81	2.3	3.76	3.37	3.24	4.92	5.53	4.44
	1990	4.88	4.82	6.23	3.99	3.78	3.17	3.87	3.56	3.99	4.33	5.54	8.97	6.39
	1991	4.7	5.71	4.74	5.17	4.11	4.28	3.73	3.43	4.42	4.23	5.73	5.2	5.29
	1992	5.2	5.29	6.62	4.88	5.83	5.28	3.85	3.35	3.23	6.02	5.13	5.71	6.97
	1993	4.72	6.37	5.08	4.49	3.9	4.26	4.05	4.32	4.65	5.29	4.99	5.68	3.66
	1994	4.46	3.57	4.76	4.13	3.86	4.34	3.97	3.62	4.45	4.45	5.68	6.31	4.57
	1995	4.72	4.79	5.05	6.78	4.42	3.74	4.07	3.56	4.51	3.17	4.45	6.37	4.55
	1996	5.74	6.51	5.51	4.74	4.35	5.5	4.43	5.5	5.81	6.13	8.21	6.16	7.14
	1997	4.08	7.63	5.94	6.75	3.47	3.74	3.25	2.15	2.75	3.19	6.05	3.72	5.96
	1998	3.76	3.83	3.59	3.81	3.25	3.49	3.42	2.53	3.4	2.98	4.08	4.23	6.34
	1999	4.71	6.33	8.72	4.25	5.01	3.91	2.86	3.3	2.83	3.33	4.47	5.48	6.36
	2000	3.75	6.95	2.65	2.86	3.73	4.04	2.85	2.66	3.72	4.19	4.09	3.62	3.28
	2001	4.55	4.1	4.04	3.85	3.54	4.21	3.86	3.44	3.72	3.74	6.11	5.27	8.04
	2002	3.8	6.01	4.16	5.19	5.02	3.2	2.53	2.77	2.7	0.37	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	178	331	301	177	133	86	77	67	86	129	213	269	273
	1973	394	1599	336	327	199	128	111	98	150	141	397	911	227
	1974	395	897	834	579	115	125	188	154	199	182	461	689	408
	1975	309	969	435	294	299	75	88	86	162	181	251	362	426
	1976	180	171	434	188	159	83	93	84	17	17	-1	56	272
	1977	281	7	15	33	13	237	17	87	6910	493	353	134	155
	1978	201	1	20	109	279	83	712	42	99	118	206	224	381
	1979	245	149	621	201	100	73	91	103	83	155	182	384	692
	1980	244	670	158	235	109	110	103	101	116	237	206	236	514
	1981	191	248	292	180	241	111	94	105	123	170	263	206	232
	1982	267	385	716	253	262	133	117	138	103	241	422	222	175
	1983	166	448	179	59	116	93	95	67	103	253	281	156	94
	1984	127	302	267	67	93	74	69	43	135	43	126	118	202
	1985	165	51	285	129	134	96	66	53	83	154	369	438	142
	1986	158	110	211	290	254	82	98	99	63	207	94	238	123
	1987	116	219	255	169	93	74	81	67	40	69	97	131	120
