SHISHMAREF (AWOS)   AK - 701195                                                 														
 66 deg    16' N  166 deg    03' W - Elev    2m   LST=GMT+99 hours   *NT=-11    														
 01/87-09/02                                                                    							Adjusted to Alaska Time Zone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	5.53	5.69	5.85	5.22	5.2	4.44	4.37	4.99	6.04	6.35	6.24	6.69	6.09
	1987	5.75	6.82	5.47	5.48	4.84	4.25	4.26	4.46	5.8	8.15	6.52	7.19	6.68
	1988	4.75	6.57	6.5	5.17	4.68	3.03	2.59	3.54	5.27	4.09	3.74	5.52	6.23
	1989	5.35	5.2	7.22	5.01	6.39	4.96	4.27	4.93	4.47	5.65	5.71	5.78	4.87
	1990	5.38	4.36	3.47	4.24	4.63	3.78	4.48	5.18	4.5	6.73	5.25	7.87	7.59
	1991	5.39	6.69	9.26	6.38	4.74	3.51	4.08	5.35	5.12	5.64	6.5	5.72	6.35
	1992	5.42	4.53	6.06	5.15	4.53	5.76	3.68	4.55	5.75	6.66	6.49	5.59	5.18
	1993	5.19	5.98	5.78	4.04	3.9	3.67	4.01	4.55	5.45	6.75	5.86	7	5.93
	1994	5.96	4.81	6.31	6.62	5.66	3.36	4.01	4.14	7.27	6.58	7.12	8.26	7.25
	1995	5.21	5.43	3.93	4.85	5.17	3.99	4.2	5.35	4.83	6.34	5.93	4.72	7.68
	1996	6.08	5.52	7.56	4.71	5.52	4.22	6.39	6.49	6.37	7.12	6.54	7.55	5.25
	1997	5.34	5.5	3.59	5.02	4.65	3.82	4.49	5.37	5.72	5.84	6.45	8.07	6.03
	1998	5.5	5.81	4.7	5.16	5.99	4.77	3.83	4.53	6.93	6.87	6.93	5.87	5.25
	1999	5.25	5.42	5.98	4.65	5.56	3.71	3.63	5.56	5.86	6.07	5.8	8.15	5.19
	2000	6.05	6.37	6.31	6.13	5.01	4.57	3.83	5.92	7.32	6	6.25	7.81	7.51
	2001	5.86	6.07	7.88	4.84	5.38	5.42	4.5	5.55	6.5	6.29	6.8	5.65	5.13
	2002	5.32	6.69	6.12	5.67	6.09	5.42	5.09	4.43	6.26	3.94	-1	-1	-1
POWER BY YEAR                                                                   														
