SHMYA/EARECKSON AFS AK - 704140                                                 														
 52 deg    43' N  174 deg    07' E - Elev   30m   LST=GMT+99 hours   *NT=+12    														
 01/73-08/02                                                                    														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	7.73	8.77	9.03	8.76	8.06	7.09	6.26	5.68	6.21	6.84	7.93	9.29	9.02
	1973	8.02	9.73	11.56	8.86	8.75	6.44	6.22	4.95	6.59	6.84	7.3	9.48	9.9
	1974	7.81	10.24	9.82	9.73	7.86	6.52	4.74	5.71	6.72	6.88	7.1	9.8	8.74
	1975	7.91	9.76	9.75	8.35	6.83	7.28	5.21	5.48	6.45	6.02	8.73	11.11	10.05
	1976	7.92	9.76	10.23	8.25	8.6	6.98	7.07	6.57	5.27	7.57	8.01	8.25	8.6
	1977	7.63	6.97	8.96	8.15	6.97	7.06	6.18	5.41	5.18	8.14	8.56	10.48	9.62
	1978	8.21	8.49	5.72	9.45	9.21	6.53	7.81	6.85	7.72	7.06	7.57	10.68	11.29
	1979	7.9	8.46	9.1	7.64	8.25	7.26	7.4	5.67	6.46	7.17	9.42	9.39	8.73
	1980	6.56	7.35	7.61	6.59	6.51	7.21	5.87	4.52	4.67	6.14	5.9	8.29	8.06
	1981	6.68	6.47	8.34	6.89	8.57	6.34	5.13	4.44	5.91	4.27	6.28	8.56	9.11
	1982	7.91	7.91	7.82	10.83	8.9	7.47	7.92	5.4	7.08	6.59	8.03	8.76	8.29
	1983	7.09	8.31	7.74	7.66	8.21	6.46	5.07	5.17	6.37	6.63	7.62	7.95	7.96
	1984	7.56	8.75	9.71	8.45	8.76	7.04	6.37	5.63	4.85	6.53	6.23	9.51	9.08
	1985	7.51	9.34	10.31	10.44	7.87	7.1	6.23	6.28	5.07	5.36	7.14	7.81	7.3
	1986	6.98	8.07	7.43	7.94	7.84	6.59	5.36	3.85	6.12	6.81	6.65	8.28	8.86
	1987	8.24	8.81	9.92	10.27	8.59	6.78	7.01	6.54	7.05	6.96	8.84	8.31	9.92
	1988	7.13	8.47	8.8	8.25	7.35	7.73	5.89	5.4	5.17	6.68	6.61	7.59	7.7
	1989	8.11	9.26	10.49	8.83	8.05	6.79	5.42	5.51	6.51	8.82	11.09	8.54	8.22
	1990	7.95	9.91	9.45	9.54	7.17	7.22	5.41	6.01	7.33	5.89	8.61	9.88	8.95
	1991	7.22	8.36	6.59	10.03	6.29	6.44	5.35	5.34	6.11	6.55	6.95	8.7	9.85
	1992	7.96	6.95	10.48	8.68	8.86	7.63	6.72	6.05	6.31	7.55	6.93	9.98	9.61
	1993	8.02	8.74	8.18	7.7	8.4	7.26	6.79	6.5	5.58	6.67	10.43	10.14	10.18
	1994	8.61	9.47	12.5	9.45	6.95	7.84	6.73	6.65	8.26	8.16	9.01	10.46	8.18
	1995	8.13	10.57	7.96	8.45	9.04	7.22	5.73	4.84	5.03	7.9	9.23	7.6	7.79
	1996	8.34	10.92	10.19	9.69	7.84	7	7.09	6.44	6.79	6.81	7.98	10.2	9.93
	1997	8.48	10.75	7.7	10	9.24	9.77	6.72	6.05	5.81	7.2	8.17	11.97	10.19
	1998	8.3	10.05	8.07	8.58	9.77	8.01	7.05	6.7	6.62	8.05	8.12	11.42	9.44
	1999	8.18	8.96	8	8.33	8.96	7.38	6.93	5.94	7.31	7	7.98	11.88	9.85
	2000	8.61	10.54	9.98	9.66	10.22	7.2	7.93	5.57	6	8.6	10.19	10.92	8.42
	2001	8.32	9.37	9.1	8.14	10.25	6.52	8.06	6.4	6.33	7.01	9.19	10.75	9.08
	2002	7.86	9.56	9.71	9.84	7.75	8.89	6.36	6.01	5.74	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	589	828	873	768	609	400	274	223	281	402	621	952	869
	1973	673	960	1550	856	802	290	222	147	316	392	483	1049	1124
	1974	589	1051	884	817	542	324	126	223	311	354	425	1212	841
	1975	690	1009	1188	749	415	450	152	212	275	280	931	1588	1076
	1976	654	1177	1150	826	744	485	324	332	238	451	780	703	647
	1977	579	361	881	722	441	399	230	192	153	664	756	1158	1028
	1978	663	702	268	843	838	323	453	312	441	488	574	1086	1612
	1979	638	892	1003	528	726	421	460	257	321	549	833	993	703
	1980	394	529	516	406	353	468	217	120	141	279	323	771	601
	1981	407	308	653	452	581	276	144	104	206	106	301	802	975
	1982	629	585	532	1312	832	449	594	218	393	376	694	777	783
	1983	431	664	477	425	675	279	125	164	268	376	528	578	620
	1984	593	802	1050	679	755	415	321	235	194	322	326	994	1060
	1985	536	882	1037	1200	522	415	223	228	180	198	486	586	509
	1986	457	585	480	611	625	337	176	114	258	386	393	810	721
	1987	660	888	1056	989	713	311	370	303	321	450	754	765	1037
	1988	460	813	725	675	451	499	207	162	167	309	348	586	582
	1989	699	1101	1415	684	559	372	206	210	302	774	1209	888	721
	1990	641	1222	963	916	500	403	171	264	528	252	675	994	819
	1991	501	633	397	1236	326	284	205	171	280	365	402	692	998
	1992	580	431	1096	605	713	531	331	236	244	547	371	1009	890
	1993	636	913	692	492	556	375	286	289	194	330	1130	1213	1232
	1994	745	1030	1837	871	372	495	341	354	585	535	829	1149	652
	1995	674	1236	721	560	712	340	193	129	130	510	942	494	484
	1996	679	1245	1034	1085	511	321	334	343	287	386	560	1228	1012
	1997	628	1032	446	848	714	804	251	203	199	329	565	1498	989
	1998	651	1141	528	588	1040	559	322	330	284	576	508	1489	991
	1999	647	926	518	731	789	424	317	203	375	351	466	1623	1161
	2000	731	1293	914	858	891	339	476	273	225	611	1086	1511	772
	2001	659	1039	847	621	1097	256	488	239	236	330	786	1371	699
	2002	511	746	917	935	413	623	228	220	193	-1	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	209480	18150	16516	17617	17245	17914	17378	17901	17949	16960	17515	16879	17456
	1973	7249	615	542	531	571	538	594	599	677	669	649	595	669
	1974	8242	674	638	715	677	712	682	689	685	683	706	669	712
	1975	8375	696	616	709	699	701	699	710	703	697	711	701	733
	1976	8428	722	677	697	689	696	691	727	716	683	718	704	708
	1977	8501	689	638	727	709	732	717	735	695	693	738	703	725
	1978	8563	728	659	726	706	728	699	731	731	703	724	705	723
	1979	8596	738	669	735	712	737	709	734	709	698	732	703	720
	1980	8887	851	696	744	720	744	720	743	741	720	744	720	744
	1981	8759	744	672	744	720	744	720	744	744	720	744	719	744
	1982	8761	744	672	744	720	744	720	745	745	721	744	719	743
	1983	8781	747	674	744	721	745	722	749	744	720	744	725	746
	1984	8801	747	699	745	720	745	725	745	745	720	744	720	746
	1985	8780	744	674	745	721	749	721	746	745	720	746	722	747
	1986	8771	746	672	744	720	746	719	750	745	721	744	720	744
	1987	8774	746	672	745	720	745	722	745	746	720	746	721	746
	1988	8749	740	695	746	720	742	720	741	741	712	734	716	742
	1989	8773	746	676	746	719	744	720	748	746	719	744	722	743
	1990	8786	746	674	749	721	746	721	749	747	720	744	722	747
	1991	8783	752	675	746	721	746	720	747	746	720	744	722	744
	1992	8825	749	696	751	720	747	727	747	744	723	745	725	751
	1993	8311	722	649	713	675	708	697	719	712	687	686	671	672
	1994	8372	685	626	709	680	722	682	723	696	698	717	705	729
	1995	3235	702	646	211	177	183	189	178	207	173	193	185	191
	1996	2225	180	156	178	183	191	170	175	231	188	214	177	182
	1997	2502	194	163	177	189	244	229	243	242	225	218	177	201
	1998	2613	188	174	200	207	253	308	300	243	191	197	191	161
	1999	2721	204	211	215	283	284	247	224	195	221	213	215	209
	2000	2724	195	193	247	220	277	246	220	289	221	206	197	213
	2001	2651	212	216	205	237	242	222	228	260	174	226	208	221
	2002	1942	204	196	229	268	279	220	267	279	0	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	8000	710	648	674	646	682	645	672	674	652	679	644	674
	1	7958	707	639	664	645	672	648	673	665	654	671	648	672
	2	7983	706	635	671	652	680	648	676	663	655	677	648	672
	3	7985	701	634	674	641	691	657	671	669	649	676	647	675
	4	8079	703	629	675	675	705	670	684	686	662	670	650	670
	5	8454	705	632	684	713	767	733	746	751	687	698	660	678
	6	9235	712	650	696	820	867	837	858	858	787	789	666	695
	7	9875	830	776	833	817	850	827	856	858	796	822	795	815
	8	9834	840	762	820	825	844	818	839	848	789	834	790	825
	9	9878	839	768	835	815	857	829	855	863	800	812	783	822
	10	9925	850	758	838	832	859	831	860	878	799	821	791	808
	11	10227	875	803	865	849	881	852	902	890	803	850	814	843
	12	9819	845	769	833	819	859	831	847	847	781	808	776	804
	13	9780	841	768	830	810	835	815	841	843	797	813	779	808
	14	9740	831	778	830	807	836	807	825	839	783	813	787	804
	15	8750	822	763	819	675	669	664	683	708	668	700	779	800
	16	8063	711	640	676	655	674	658	685	686	656	675	664	683
	17	8041	703	643	679	653	667	664	682	689	649	678	659	675
	18	8011	704	641	675	652	682	664	673	678	647	670	658	667
	19	7977	704	638	663	648	662	661	675	682	651	678	646	669
	20	7986	707	637	673	646	667	656	674	675	654	666	655	676
	21	7964	702	633	673	656	667	658	673	667	646	669	647	673
	22	7956	705	637	665	648	668	654	673	667	647	672	646	674
	23	7960	697	635	672	646	673	651	678	665	648	674	647	674
	24	8000	710	648	674	646	682	645	672	674	652	679	644	674
SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	7.51	8.42	9.09	8.57	7.7	6.55	5.88	5.52	6.06	6.5	7.74	9.1	9.01
	1	7.51	8.59	8.84	8.48	7.73	6.63	5.91	5.41	6.08	6.52	7.77	9.19	8.97
	2	7.54	8.52	8.99	8.56	7.81	6.68	5.98	5.4	6.11	6.47	7.78	9.25	9.03
	3	7.54	8.56	8.85	8.55	7.81	6.71	5.99	5.43	6.04	6.48	7.77	9.24	9.08
	4	7.54	8.56	8.99	8.67	7.76	6.72	5.97	5.49	6.02	6.49	7.69	9.15	9.2
