SITKA/JAPONSKI ARPT AK - 703710                                                 														
 57 deg    04' N  135 deg    21' W - Elev   20m   LST=GMT+99 hours   *NT= -9    														
 01/73-09/02                                                                    														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	3.77	4.28	4.2	3.87	3.76	3.53	3.28	3.01	2.89	3.29	4.34	4.41	4.43
	1973	3.66	3.95	3.59	3.42	3.91	3.96	3.73	2.69	2.75	2.73	4.91	3.65	4.64
	1974	3.74	3.63	4.73	3.09	3.49	3.49	3.22	3	2.58	2.97	5.21	4.4	5.14
	1975	3.59	4.92	5.12	3.11	3.43	3.21	3.27	2.61	2.53	2.57	3.71	3.87	4.94
	1976	3.72	4.85	3.48	3.74	3.52	4.27	2.94	2.85	2.8	3.11	3.65	5.05	4.26
	1977	3.67	3.41	5.77	4	4.05	3.41	2.89	2.67	3.09	2.71	5.56	3.79	2.83
	1978	3.53	3.07	4.6	4.28	3.09	3.43	3.03	2.83	2.2	3.23	4.74	3.44	4.32
	1979	3.34	2.8	3.41	3.99	2.61	3.2	2.95	2.86	2.61	3.09	4.16	4.3	4.07
	1980	4.18	4.04	4.08	3.65	4.77	4.04	3.76	3.19	3.25	3.72	5.39	5.6	4.78
	1981	4.02	5.49	3.6	4.5	4.16	3.13	3.41	3.8	3.29	4.09	3.61	4.67	4.4
	1982	3.7	4.08	3.91	2.78	4.5	4.7	3.1	3.78	2.67	2.64	4.71	3.32	4.26
	1983	3.84	5.58	4.93	3.52	3.53	3.31	3.38	3.38	3.27	3.58	4.59	4.27	2.75
	1984	4.19	4.74	5.81	4.45	4.38	3.8	3.66	3.27	3.06	3.61	4.5	4.68	4.34
	1985	4	5.44	4.91	4.82	4.84	4.06	3.72	2.92	2.95	3.24	3.89	3.5	3.79
	1986	3.8	5.51	3.82	4.74	4.44	3.14	3.61	2.72	2.99	2.27	3.39	4.31	4.68
	1987	4.49	5.17	5.08	3.71	5.13	4.24	4.02	3.77	3	4.16	4.86	5.64	5.14
	1988	4.03	4	4.94	4.63	4.24	3.87	3.46	3.01	2.99	3.62	4.14	5.16	4.36
	1989	3.6	5.22	2.38	3.58	3.29	3.47	3.33	3.03	2.71	3.21	4.16	4.65	4.09
	1990	3.75	3.93	4.52	3.96	3.39	3.11	3.16	2.93	2.8	3.92	4.54	4.69	4.1
	1991	3.95	3.28	4.58	3.41	4.29	3.8	3.48	3.07	3.4	3.72	4.21	5.21	5.09
	1992	4.23	5.31	4.39	4.44	4.11	4.53	4.11	3.68	3.23	3.71	4.25	4.75	4.33
	1993	3.43	4.03	3.1	4.07	2.57	2.8	2.9	2.88	3	2.79	3.43	4.5	5.15
	1994	3.48	3.42	3.66	4.21	3.21	3.6	2.61	2.63	2.61	3.43	4.4	4.33	3.77
	1995	3.27	3.3	3.37	3.34	3.33	2.15	3.08	2.98	2.47	2.68	4.02	4.29	4.17
	1996	3.47	2.99	3.62	3.29	3.81	2.66	3.58	2.64	2.94	3.28	4.39	3.87	4.58
	1997	3.5	3.97	4.04	4	3.47	2.87	2.57	2.53	2.5	2.73	3.8	4.09	5.57
	1998	3.7	3.84	5.3	3.25	3.72	3.33	3.55	3.11	2.98	3.22	3.96	3.68	4.62
	1999	3.95	3.88	5.04	3.78	3.99	3.71	3	3.23	2.74	3.72	4.72	5.06	4.56
	2000	3.49	4.06	2.82	4.43	3.35	3.33	2.78	2.39	2.89	3.22	4.22	4.16	4.19
	2001	4.3	5.49	3.08	4.44	3.5	4.39	3.31	3.57	3.49	4.43	4.92	5.06	5.32
	2002	3.21	4.38	4.19	3.21	2.88	3.05	2.8	2.38	2.83	2.39	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	88	129	119	93	84	69	52	42	40	64	114	126	131
	1973	84	111	88	58	109	98	90	33	38	45	138	76	132
	1974	97	95	154	78	98	93	50	43	25	46	164	128	193
	1975	87	177	196	58	66	49	54	31	34	38	86	114	160
	1976	94	153	94	87	80	107	48	44	35	58	99	187	136
	1977	96	84	221	135	108	72	39	37	45	45	221	101	50
	1978	83	76	159	96	63	68	43	39	32	76	124	83	128
	1979	74	65	95	93	56	60	34	52	30	45	110	134	109
	1980	105	100	114	74	120	87	80	52	48	78	172	224	127
	1981	96	215	82	141	86	43	48	58	57	88	61	123	138
	1982	84	103	84	43	130	127	42	70	29	66	121	83	112
	1983	89	193	146	96	73	62	51	62	44	64	123	109	39
	1984	104	148	196	126	104	66	67	45	39	73	120	143	125
	1985	95	212	140	127	122	97	67	37	37	55	83	69	100
	1986	93	210	91	131	121	51	57	28	53	24	61	131	162
	1987	125	190	171	93	152	91	85	79	44	83	151	209	157
	1988	100	126	155	127	110	70	65	37	42	74	96	168	130
	1989	71	159	29	74	52	57	46	34	30	47	104	119	94
	1990	77	71	108	94	52	42	43	30	29	99	119	132	106
	1991	82	75	120	55	95	67	50	37	59	66	82	139	146
	1992	93	154	104	100	76	96	82	53	45	79	89	141	108
	1993	79	126	80	98	54	57	41	33	46	39	87	135	164
	1994	75	64	73	122	68	69	29	32	32	84	116	109	99
	1995	63	89	75	79	60	21	43	36	28	36	79	97	105
	1996	66	53	90	55	77	31	61	26	37	55	97	81	132
	1997	83	121	111	88	74	47	30	28	32	55	70	113	230
	1998	86	105	147	58	67	49	62	51	48	56	137	97	159
	1999	100	105	165	76	100	72	44	53	48	86	142	178	137
	2000	80	134	64	111	68	61	40	27	35	69	127	102	127
	2001	113	226	81	127	64	103	40	48	55	108	134	143	180
	2002	66	116	136	72	41	59	39	24	41	14	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	242239	20637	19086	20926	20364	20854	19935	20723	20632	19484	20051	19358	20189
	1973	6834	525	508	545	505	455	491	616	629	615	649	634	662
	1974	7372	641	540	649	612	600	607	600	617	627	632	616	631
	1975	7757	591	582	660	615	640	615	628	685	688	689	674	690
	1976	7571	718	661	705	701	702	669	664	639	396	529	570	617
	1977	7345	585	550	585	540	672	609	617	605	629	664	647	642
	1978	7695	656	607	652	673	632	547	581	655	652	682	674	684
	1979	8226	697	634	670	679	701	660	701	702	682	702	690	708
	1980	8156	709	658	691	677	698	665	691	686	684	669	637	691
	1981	8343	718	652	715	692	722	693	685	672	667	717	699	711
	1982	8333	714	632	716	684	719	703	682	699	696	702	681	705
	1983	8352	725	657	728	693	689	674	710	710	674	702	682	708
	1984	8394	719	653	727	699	726	697	696	693	673	719	690	702
	1985	8421	696	644	724	693	721	665	718	718	697	721	701	723
	1986	8400	714	652	714	697	703	686	715	724	692	711	695	697
	1987	8261	693	630	719	687	708	677	697	688	671	702	676	713
	1988	8332	715	661	698	689	701	674	707	690	687	714	679	717
	1989	8386	701	634	709	689	722	704	714	711	704	713	672	713
	1990	8423	714	654	701	690	710	689	724	712	702	716	686	725
	1991	8521	724	661	728	703	727	707	713	712	701	730	706	709
	1992	8095	725	675	729	706	727	708	728	734	673	566	555	569
	1993	8233	564	519	724	709	724	709	729	734	698	705	700	718
	1994	8340	695	607	725	701	728	688	720	727	689	718	654	688
	1995	8065	709	640	662	676	713	693	711	564	639	701	647	710
	1996	8266	704	667	710	691	723	666	654	677	673	717	685	699
	1997	8295	682	676	717	683	679	691	749	733	687	656	646	696
	1998	8363	651	676	703	691	727	675	702	689	728	735	703	683
	1999	8767	724	696	721	725	745	705	731	746	729	748	709	788
	2000	8901	773	677	745	718	726	738	780	761	759	753	729	742
	2001	8008	753	662	737	737	684	547	650	529	651	689	621	748
	2002	5784	702	721	717	709	730	683	710	791	21	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	10122	846	796	874	856	885	833	869	876	820	824	805	838
	1	9974	839	771	877	858	861	824	860	851	808	815	788	822
	2	9924	831	766	870	839	866	823	847	865	788	804	794	831
	3	9891	837	769	862	833	851	800	876	869	803	804	781	806
	4	9961	845	772	872	860	881	825	850	860	795	806	776	819
	5	10038	839	782	868	859	883	842	872	841	819	825	787	821
	6	10119	874	795	874	859	876	825	857	840	814	850	809	846
	7	10103	869	805	870	859	871	818	862	852	810	845	801	841
	8	10103	856	812	874	844	870	844	857	857	800	836	808	845
	9	10057	856	805	862	827	855	825	857	861	825	850	805	829
	10	10133	865	811	876	830	870	840	880	859	800	841	815	846
	11	10120	862	796	872	853	871	815	863	870	809	846	806	857
	12	10157	859	803	865	857	875	847	865	850	810	852	824	850
	13	10167	857	818	883	850	877	842	864	861	816	842	817	840
	14	10187	866	807	878	867	870	834	881	856	808	835	828	857
	15	9883	850	789	855	814	799	809	849	843	803	838	797	837
	16	10102	867	789	869	845	872	836	870	845	819	837	807	846
	17	10143	870	798	869	846	874	838	860	862	819	841	822	844
	18	10178	870	805	881	844	861	838	879	862	814	847	822	855
	19	10154	872	794	869	849	880	837	857	871	804	844	815	862
	20	10210	876	795	888	850	860	851	864	885	830	846	818	847
	21	10142	881	797	864	853	879	841	851	865	822	830	812	847
	22	10193	880	804	871	854	896	831	868	867	814	845	813	850
	23	10178	870	807	883	858	871	817	865	864	834	848	808	853
	24	10122	846	796	874	856	885	833	869	876	820	824	805	838
SPEED BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	3.38	4.28	4.08	3.5	3.22	2.84	2.53	2.35	2.3	2.95	4.23	4.24	4.29
	1	3.34	4.18	3.98	3.49	3.09	2.75	2.5	2.22	2.28	2.82	4.25	4.32	4.34
	2	3.32	4.19	4.05	3.4	3.13	2.58	2.41	2.29	2.24	2.88	4.19	4.26	4.36
	3	3.32	4.2	4.11	3.41	3.13	2.64	2.32	2.25	2.18	2.84	4.3	4.36	4.35
	4	3.28	4.12	4.04	3.47	3.08	2.61	2.39	2.18	2.11	2.87	4.16	4.31	4.29
	5	3.31	4.23	4.13	3.46	3.1	2.69	2.41	2.19	2.13	2.75	4.17	4.38	4.33
	6	3.32	4.17	4.09	3.42	3.06	2.69	2.47	2.15	2.17	2.91	4.12	4.33	4.31
	7	3.38	4.21	4.02	3.42	3.17	2.98	2.67	2.3	2.2	2.85	4.06	4.37	4.37
	8	3.5	4.17	3.98	3.49	3.51	3.3	3	2.55	2.44	2.86	4.15	4.31	4.32
	9	3.69	4.26	4.04	3.78	3.87	3.6	3.27	2.85	2.69	3.08	4.19	4.36	4.37
	10	3.89	4.28	4.07	3.91	4.12	3.91	3.65	3.16	3.07	3.35	4.26	4.46	4.45
	11	4.11	4.27	4.2	4.16	4.39	4.24	4.03	3.52	3.36	3.69	4.46	4.51	4.54
	12	4.26	4.48	4.34	4.29	4.66	4.4	4.05	3.76	3.58	3.85	4.67	4.56	4.5
	13	4.38	4.4	4.45	4.59	4.69	4.58	4.22	3.91	3.75	4	4.66	4.66	4.63
	14	4.39	4.31	4.48	4.64	4.74	4.61	4.21	4.02	3.84	4.16	4.7	4.52	4.5
	15	4.42	4.46	4.6	4.71	4.66	4.47	4.24	4.01	3.89	4.14	4.7	4.59	4.58
	16	4.35	4.37	4.47	4.59	4.6	4.51	4.19	4	3.86	3.93	4.56	4.64	4.45
	17	4.25	4.35	4.37	4.4	4.45	4.4	4.14	3.93	3.69	3.87	4.46	4.38	4.51
	18	4.12	4.34	4.3	4.14	4.26	4.2	3.89	3.78	3.53	3.57	4.39	4.5	4.58
	19	3.96	4.31	4.27	3.91	3.88	4.01	3.77	3.5	3.32	3.32	4.37	4.39	4.52
	20	3.79	4.24	4.25	3.82	3.62	3.58	3.42	3.27	2.98	3.22	4.35	4.35	4.41
	21	3.65	4.25	4.18	3.7	3.48	3.33	3.16	2.92	2.73	3.08	4.3	4.32	4.4
	22	3.53	4.26	4.1	3.64	3.25	3.04	2.95	2.71	2.48	3.01	4.3	4.25	4.41
	23	3.47	4.3	4.09	3.55	3.25	2.92	2.67	2.46	2.43	3	4.23	4.35	4.4
	24	3.38	4.28	4.08	3.5	3.22	2.84	2.53	2.35	2.3	2.95	4.23	4.24	4.29
POWER BY HOUR                                                                   														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	77	131	117	77	65	46	32	26	25	54	115	118	129
	1	77	129	110	82	65	44	33	23	24	55	110	128	133
	2	77	134	115	73	69	40	30	32	24	59	112	121	129
	3	76	128	116	76	65	40	28	22	24	52	115	124	128
