SKAGWAY             AK - 703620                                                 														
 59 deg    28' N  135 deg    18' W - Elev    5m   LST=GMT+99 hours   *NT= -9    														
 01/73-09/02                                                                    														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	4.55	6.23	5.6	5.03	4.23	4.33	4.18	3.78	3.43	3.54	3.95	4.74	5.44
	1973	4.75	6.97	7.56	5.32	3.3	3.23	4.14	3.54	4.22	1.78	3.09	7.38	5.41
	1974	4.47	7.96	6.59	5.6	4.65	3.72	4.26	3.32	2.4	3.19	4.17	3.52	3.85
	1975	4.5	5.96	7.48	4.32	3.98	4.4	4.23	2.84	2.44	3.71	3.69	3.97	6.9
	1976	3.63	4.9	4.82	4.01	3.89	3.94	3.2	2.65	1.72	2.34	3.76	3.48	4.34
	1977	3.81	3.59	3.78	3.64	4.61	3.23	2.9	2.25	1.44	3.38	3.54	4.76	7.98
	1978	4.12	7.06	4.8	4.48	3.65	3.49	4.62	3.33	2.31	1.45	5.24	4.28	4.75
	1979	3.98	6.94	8.7	4.29	2.48	3.79	2.94	1.95	2.19	3.02	3.53	2.8	5.06
	1980	4.65	6.75	4.86	4.77	3.69	3.94	3.36	4.01	4.03	2.3	2.91	4.77	9.72
	1981	3.73	2.77	3.95	3.96	4.59	3.33	3.17	3.84	3.4	2.11	3.69	4.4	5.47
	1982	4.56	8.35	6.62	4.03	5.39	4.55	3.77	3	2.51	3.5	4.17	4.02	5.64
	1983	4.65	6.9	5.69	5.9	4.76	4.34	3.51	2.42	3.43	3.23	4.06	4.37	7.11
	1984	4.06	5.78	5.09	4.15	3.66	4.42	4.33	4.07	3.39	1.7	3.76	3.36	5.05
	1985	4.42	2.9	6.7	5.22	5.39	4.92	4.51	3.61	3.63	3.69	3.33	5.65	3.5
	1986	4.09	3.98	6.04	4.5	4.27	4.54	4.75	3.52	3.47	2.15	3.6	4.79	3.44
	1987	4.14	4	3.82	5.88	4.27	4.25	4.32	3.38	2.94	4.09	4.34	3.14	5.37
	1988	4.69	7.15	6.12	4.31	5.43	4.38	4.39	4.03	3.12	3.35	3.35	4.47	6.21
	1989	4.46	7.5	6.17	6.38	3.91	4.45	3.86	2.66	2.36	3.74	3.25	5.99	5.08
	1990	4.88	6.67	8.02	4.72	5.08	3.99	3.94	3.78	2.94	5.47	3.29	5.92	4.43
	1991	4.46	6.22	4.95	5.54	3.51	4.59	4.3	4.54	3.77	3.51	3.89	4.36	4.09
	1992	4.88	4.68	6.04	6.02	4.52	4.42	4.01	3.97	3.57	4.07	5.2	4.69	7.22
	1993	4.48	5.21	6.01	5.69	4.24	3.92	4.49	3.85	4.03	4.78	3.2	4.01	4.71
	1994	4.33	6.21	6	4.25	3.95	4.23	4.18	3.81	3.23	3.31	3.53	4.11	5.11
	1995	3.87	4.45	4.68	3.78	3.61	3.96	3.71	3.73	3.56	2.77	2.46	4.62	5.08
	1996	4.5	7.38	4.54	4.95	3.71	3.17	3.9	3.86	3.11	3.21	3.03	6.45	5.5
	1997	3.94	7.35	3.41	4.68	3.02	4	3.82	3.33	3.01	2.43	3.75	4.26	4.06
	1998	4.63	8.19	4.94	5.52	4.1	4.14	4.25	3.16	4.35	3.82	3.68	4.57	4.83
	1999	4.9	5.64	6.8	2.78	4.93	4.23	4.25	4.43	2.97	5.11	5.49	4.97	6.75
	2000	4.79	7.38	5.2	4.82	4.81	4.3	5.03	4.03	3.66	4.7	4	4.49	4.86
	2001	5.8	5.02	5.27	6.35	4.09	6.65	5.41	5.86	4.86	5.84	6.9	6.32	7.38
	2002	5.55	7.55	6.37	6.62	4.89	4.65	4.42	5.04	5.46	2.5	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	192	400	303	212	144	137	118	100	101	127	153	210	292
	1973	223	470	566	217	97	47	103	73	122	33	99	388	314
	1974	198	638	322	244	195	107	117	66	61	100	168	120	184
	1975	193	429	500	196	118	111	125	54	43	108	94	127	424
	1976	118	241	220	126	111	102	70	49	27	63	113	111	161
	1977	160	136	131	105	169	70	47	42	24	92	116	208	710
	1978	156	482	267	158	84	73	126	69	36	33	194	183	182
	1979	179	598	576	122	47	81	54	32	34	130	105	106	264
	1980	213	372	254	178	114	100	69	85	107	60	95	169	864
	1981	122	105	150	129	139	120	79	90	87	64	99	153	236
	1982	193	600	356	167	204	144	67	53	56	140	132	161	271
	1983	205	487	309	270	191	145	123	53	94	85	134	159	403
	1984	139	296	209	149	85	115	125	103	94	35	113	135	219
	1985	167	111	380	194	207	142	131	78	101	107	88	296	167
	1986	141	156	303	169	133	134	138	88	87	51	141	172	122
	1987	150	153	141	297	150	121	128	77	81	130	162	116	256
	1988	187	434	318	142	203	118	121	104	79	114	121	162	321
	1989	181	481	372	342	125	151	99	60	43	110	111	248	204
	1990	207	405	508	206	172	105	104	96	77	197	103	244	222
	1991	167	467	190	203	96	141	126	121	98	100	134	160	149
	1992	187	179	322	249	133	120	100	96	92	134	175	177	477
	1993	140	284	304	216	111	94	115	86	82	122	62	108	138
	1994	105	244	218	91	77	82	78	66	42	55	71	102	136
	1995	98	174	127	89	99	81	69	71	70	39	36	128	194
	1996	165	359	111	117	75	51	79	72	73	109	90	347	245
	1997	156	640	115	156	82	106	104	87	89	55	111	151	152
	1998	186	494	301	234	120	132	116	82	147	118	134	121	210
	1999	265	404	400	72	203	136	121	134	82	286	415	386	543
	2000	250	628	248	262	214	168	197	135	116	265	177	263	294
	2001	304	303	356	414	179	350	175	208	144	312	412	310	441
	2002	280	479	487	335	194	168	161	193	297	67	-1	-1	-1
NUMBER OF SPEED OBSERVATIONS BY YEAR                                            														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	116000	9932	9530	9745	9663	9796	9777	9849	9643	9383	9679	9081	9922
	1973	2203	186	183	167	154	23	168	204	215	215	234	219	235
	1974	2513	222	199	217	210	214	209	139	201	221	232	215	234
	1975	2622	208	200	224	209	227	218	145	220	242	256	242	231
	1976	2933	248	229	251	255	259	266	251	154	265	262	239	254
	1977	2890	246	221	251	243	269	138	186	273	279	281	245	258
	1978	3056	256	230	266	233	278	259	257	266	253	275	234	249
	1979	2925	252	229	243	257	277	252	274	149	250	259	235	248
	1980	2596	247	239	209	234	234	216	223	144	220	199	202	229
	1981	2143	226	196	139	221	127	226	206	201	180	68	140	213
	1982	2439	196	202	222	103	168	220	210	218	187	243	235	235
	1983	2923	243	242	254	264	254	253	243	248	218	230	241	233
	1984	2959	240	222	250	240	257	253	247	243	241	264	254	248
	1985	2831	239	211	252	244	250	232	207	233	242	217	244	260
	1986	2918	230	217	243	210	276	249	253	261	205	256	258	260
	1987	2956	256	210	235	230	252	259	279	257	230	263	236	249
	1988	3041	274	266	275	234	237	234	251	220	265	286	280	219
	1989	3218	206	205	210	226	316	276	274	283	317	316	281	308
	1990	3494	319	292	310	296	319	193	287	300	227	288	321	342
	1991	3783	329	285	338	286	319	328	330	257	338	338	294	341
	1992	3621	343	323	334	313	329	299	295	295	252	283	280	275
	1993	3438	285	252	270	178	255	264	270	353	333	331	337	310
	1994	3568	322	275	331	289	225	302	318	321	275	308	297	305
	1995	3229	243	294	190	259	291	305	320	225	266	299	222	315
	1996	4918	319	289	291	264	87	300	304	385	658	669	675	677
	1997	7763	678	630	647	629	644	658	681	669	635	613	632	647
	1998	7235	614	637	680	655	686	614	640	546	642	632	268	621
	1999	7606	531	662	402	681	709	683	709	689	635	579	648	678
	2000	8007	708	649	677	668	654	697	615	664	665	684	656	670
	2001	6749	689	630	683	684	607	523	530	456	404	514	451	578
	2002	5423	577	611	684	694	753	683	701	697	23	0	0	0
NUMBER OF SPEED OBSERVATIONS BY HOUR                                            														
	Hour	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	0	1882	161	157	156	163	173	157	153	159	147	149	142	165
	1	1897	161	161	159	170	170	156	160	160	147	155	140	158
	2	1894	159	161	155	167	175	156	156	157	155	150	142	161
	3	1930	161	162	159	163	170	176	163	166	151	150	142	167
	4	2454	159	152	161	179	243	239	272	255	258	230	140	166
	5	5138	259	258	245	448	599	593	595	568	562	528	235	248
	6	8294	664	655	688	700	719	746	720	718	711	733	594	646
	7	8818	787	740	739	734	708	734	735	728	718	730	706	759
	8	8706	758	716	735	730	732	730	730	717	693	724	691	750
	9	8528	741	731	731	688	696	725	698	673	678	733	699	735
	10	7844	719	679	692	648	626	633	661	616	607	624	637	702
	11	6356	548	523	545	501	535	521	556	532	501	524	501	569
	12	7668	643	619	646	662	643	644	644	652	618	631	612	654
	13	8506	730	693	709	696	708	700	720	703	687	731	698	731
	14	8595	737	708	750	727	686	723	714	714	697	722	685	732
	15	7655	702	635	664	626	624	615	604	611	613	655	623	683
	16	5300	477	471	479	433	418	420	423	391	393	418	478	499
	17	3302	429	378	406	232	176	170	174	169	149	190	398	431
	18	1901	161	155	152	165	169	164	172	158	154	153	135	163
	19	1863	160	154	152	161	163	154	158	161	146	154	139	161
	20	1879	157	151	159	163	169	159	164	167	147	143	135	165
	21	1844	153	157	155	169	163	151	156	149	151	146	136	158
