SKWENTNA            AK - 702550                                                 														
 61 deg    58' N  151 deg    11' W - Elev   45m   LST=GMT+99 hours   *NT=-10    														
 01/73-08/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.32	1.94	2.36	2.63	2.78	2.67	2.35	2.11	2.13	2.2	2.64	2.08	1.89
	1973	1.69	1.95	1.47	1.71	2.56	1.65	1.47	1.01	1.29	1.41	2.82	1.6	1.34
	1974	2	1.36	3.38	2.45	1.18	1.66	2.27	1.81	1.67	1.69	2.19	2.19	2.12
	1975	2.21	2.26	2.12	2.36	2.78	2.11	1.43	1.04	1.21	1.61	1.5	2.33	1.74
	1976	1.12	0	0.64	0	2.98	2.18	2.6	1.47	0	0.81	0.71	0.9	1.16
	1977	1.99	0.31	0.9	1.98	1.54	1.53	1.69	0.75	0	0.42	3.91	2.13	2.1
	1978	2.07	1.5	2.49	2.46	2.19	2.43	2.54	2.02	1.9	2.33	1.88	1.83	1.39
	1979	2.11	1.36	3.02	2.17	1.56	2.52	1.73	1.92	1.82	2.56	2.15	2.01	2.43
	1980	1.92	2.3	2.11	2.45	2.2	2.42	1.9	1.69	1.64	1.8	1.54	1.22	1.69
	1981	1.97	1.5	1.74	1.69	2.06	1.94	1.62	1.79	1.87	2.51	2.56	2.45	1.65
	1982	2.33	1.74	3.19	2.88	3.25	2.38	2.38	2.23	1.86	1.91	2.57	1.67	2.01
	1983	2.08	2.81	1.67	2.34	2.53	2.43	2.21	1.86	1.79	2.17	2.42	1.67	0.73
	1984	2.15	1.93	2.78	1.95	2.83	1.73	1.29	1.73	-1	-1	-1	-1	-1
	1985	2.81	2.26	3.19	3.08	3.86	3.29	2.77	2.46	2.48	2.62	3.04	2.27	2.24
	1986	2.93	2.48	3.06	3.52	3.82	3.45	2.69	2.73	2.57	2.56	2.75	2.61	2.32
