SPARREVOHN (AWOS)   AK - 702350                                                 														
 61 deg    06' N  155 deg    35' W - Elev  484m   LST=GMT+99 hours   *NT=-10    														
 01/73-08/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.3	2.25	2.3	2.42	2.58	2.4	2.2	2.08	2.32	2.47	2.36	2.21	1.93
	1973	2.35	2.75	1.33	1.64	2.88	1.97	2.01	1.65	2.81	2.63	3.18	2.93	1.68
	1974	2	1.3	3.05	2.61	1.56	1.77	2.3	2.22	2.11	2.26	1.81	2.27	0.75
	1975	2.16	2.07	1.33	2.73	3.24	1.7	1.72	1.51	1.79	2.03	2.97	2.05	1.95
	1976	1.85	1.42	1.26	2.35	2.31	2.43	1.88	2.06	1.51	1.8	1.87	1.71	1.53
	1977	1.85	2.68	1.56	2.16	2.48	2.27	1.91	1.84	1.19	2	1.9	0.68	1.86
	1978	1.84	1.2	2.82	1.36	2.1	1.36	2.18	1.19	1.37	1.61	1.8	2.48	2.71
	1979	1.95	1.81	1.17	1.23	2.64	2.05	2.09	1.9	1.84	2.34	1.79	2.49	2.08
	1980	2.22	3.03	2.89	2.25	1.89	2.75	2.38	1.84	1.9	2.63	2.46	1.74	0.89
	1981	2.19	2.9	1.99	2.07	1.56	1.85	1.83	2.41	2.44	2.44	3.13	2	1.67
	1982	2.69	1.39	4.49	3.65	4.08	2.26	2.23	2.53	1.59	2.57	3.33	2.01	2.3
	1983	2.02	3.04	0.79	0.92	2.46	1.71	2.14	2.13	2.53	2.57	2	2.83	1.13
	1984	1.83	1.81	1.54	1.17	2.22	2.12	1.91	2.08	3	1.79	1.47	1.04	0.68
	1985	2.52	2.36	3.42	4.55	3.12	3.33	2.82	1.27	1.83	2.87	2.29	2.08	2.18
	1986	1.8	0.2	3.19	1.23	2.75	2.05	2.07	2.44	2.45	1.48	0.79	0.96	1.02
	1987	1.94	1.76	4.66	1.77	1.94	3.13	2.28	1.36	0.73	1.95	1.14	1.17	0
	1988	1.89	1.16	1.98	1.8	2.34	1.69	1.86	0.83	2.13	2.45	1.72	0.96	2.63
	1989	2.18	3.12	1.35	1.02	1.69	2.54	1.85	2.27	1.59	2.23	3.41	1.68	1.24
	1990	1.74	0.53	1.18	2.49	3.03	1.14	1.6	1.1	1.59	2.44	1.24	4.01	2.22
	1991	3.61	1.03	4.41	5.82	3.52	4.08	3.65	3.5	2.75	4.4	4.32	2.49	2.34
	1992	2.54	1.71	1.84	3.44	3.41	3.42	2.84	1.54	2.93	2.91	2.19	2.35	2.54
	1993	2.85	4.13	2.84	2.65	2.18	2.56	2.1	2.32	3	4.12	2.42	3.17	2.5
	1994	3.02	1.75	3.51	4.13	2.34	2.78	2.42	2.54	3.12	2.36	3.1	5.04	3.27
	1995	2.34	2.21	2.73	3.66	2.3	2.62	2.27	2.28	2.29	2.37	2.41	2.09	1.5
	1996	2.53	2.17	3.17	2.52	2.43	2.68	3.14	2.78	2.78	2.53	2	2	2
	1997	2.44	2.06	2.48	2.53	2.66	2.89	2.01	1.9	3.01	2.22	2.02	2.77	2.45
	1998	2.36	1.27	0.98	2.65	3.41	3.62	2.59	1.99	3.45	2.7	2.37	1.4	1.69
	1999	2.4	3.65	2.45	2.36	3.22	2.7	1.83	2.44	2.52	2.75	1.57	1.46	1.68
	2000	2.66	4.01	2.32	2.81	2.09	2.72	1.74	1.69	3.25	2.93	2.14	1.41	3.14
	2001	2.55	3.11	2.7	3.22	2.34	2.94	2.57	2.37	2.68	2.05	3.02	1.74	2.43
	2002	2.18	1.16	4.22	1.89	2.81	2.45	1.78	2.22	1.27	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
